data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Lodi,Lodi,Q6244,0,0,1,Italian comune,,Q747074,,"Lodi, Lombardy"
Lodi,Lodi,Q852647,0,0,1,"city in San Joaquin County, California, United States","Lodi, California|Lodi, CA",Q1093829,,"Lodi, California"
Lodi,Province of Lodi,Q16201,0,0,1,province in the Lombardy region of Italy,Lodi province|provincia di Lodi,Q15089,,Province of Lodi
Lodi,Lodi,Q37155513,0,0,1,family name,,Q101352,,
Lodi,Lodi,Q16961107,0,0,1,original song written and composed by John Fogerty; first recorded by Creedence Clearwater Revival,,Q105543609,,Lodi (Creedence Clearwater Revival song)
Lodi,Lodi,Q1085972,0,0,1,"borough in Bergen County, New Jersey, United States","Lodi, New Jersey|Lodi, NJ",Q2911266,,"Lodi, New Jersey"
Lodi,Lodi,Q1569446,0,0,1,"city in Columbia County, Wisconsin, United States","Lodi, Wisconsin|Lodi, WI|City of Lodi",Q15221373,,"Lodi, Wisconsin"
Lodi,Lødingen Municipality,Q484252,0,0,1,"municipality in Nordland, Norway",,Q755707,,Lødingen Municipality
Lodi,Lodi,Q6666393,0,0,1,"town in Seneca County, New York, United States","Lodi, New York|Town of Lodi|Lodi, NY",Q15127012|Q106071004,,"Lodi, New York"
Lodi,Lodi,Q2054265,0,0,1,"village in Medina County, Ohio","Lodi, Ohio|Lodi, OH",Q108569739,,"Lodi, Ohio"
Lodi,"Lodi, Italy",Q12495068,0,0,2,,,,,
Lee,Lee,Q2061957,1,0,1,unisex given name,Lee (given name)|Lee (first name),Q3409032,,Lee (given name)
Lee,Li,Q686223,1,0,1,Chinese family name (李),Lǐ|Lee,Q1093580|Q101352|Q11420694,,Li (surname 李)
Lee,Lee,Q11983535,1,0,1,Korean family name (이),이|Ri|Rhee|Yi|I,Q101352|Q11420694,,Lee (Korean surname)
Lee,Leeuwarden,Q25390,1,0,1,"capital city of Friesland, the Netherlands",,Q515|Q13539802|Q1852859,,Leeuwarden
Lee,Leeds,Q39121,1,0,1,"city in West Yorkshire, England, United Kingdom",,Q515|Q7897276|Q1549591|Q1187811,,Leeds
Lee,Leeuwarden,Q2311189,1,0,1,"municipality in Friesland, the Netherlands",Ljouwert|Gemeente Leeuwarden,Q2039348,,
Lee,Lee,Q12494277,1,0,1,"village in North Morowali Regency, Central Sulawesi, Indonesia",,Q26211545,,
Lee,Lee Teng-hui,Q315528,1,0,1,7-9th President of Republic of China(Taiwan) (1923-2020),Li Denghui|Masao Iwasato,Q5,,Lee Teng-hui
Lee,Lee's Summit,Q959502,1,0,1,"city in Jackson and Cass counties in Missouri, United States","Lee's Summit, Missouri|Lee's Summit, MO",Q1093829,,"Lee's Summit, Missouri"
Lee,Lée,Q180117,1,0,1,"commune in Pyrénées-Atlantiques, France",,Q484170,,Lée
Lee,Lee Kuan Yew,Q131248,1,0,2,1st Prime Minister of the Republic of Singapore (1923–2015),,Q5,,Lee Kuan Yew
Lee,Lee Kuan Yew School of Public Policy,Q6514349,1,0,2,Autonomous postgraduate school of the National University of Singapore,"LKYSPP|Lee Kuan Yew School of Public Policy, National University of Singapore",Q20820271|Q11391922|Q31855,,Lee Kuan Yew School of Public Policy
Lee,Lee Kuan Yew World City Prize,Q5972471,1,0,2,,,,,
Lee,Lee Kuan Yew and the pro-People's Action,Q106970572,1,0,2,The 70's Biweekly (MCY-000271),,Q17524420,,
Lee,"Lee Kuan Yew: The Grand Master's Insights on China, the United States, and the World",Q136266798,1,0,2,book 2012,,Q3331189,,
Lee,Lee Kuan Yew Fund For Bilingualism,Q136696748,1,0,2,nonprofit organisation from Singapore,,Q163740,,
Lee,Looking East to Look West,Q6675298,1,0,2,book by Sunanda K. Datta-Ray,,Q7725634,,
Lee,"Lee Kuan Yew’s enduring legacy of good governance in Singapore, 1959-2015",Q140154510,1,0,2,"journal article from Asian Education and Development Studies, published in 2015",,Q13442814,,
Lee,"Lee Kuan Yew: race, culture and genes",Q47735378,1,0,2,scientific article published in January 1999,,Q13442814,,
Lee,Lee Kuan Yew’s World View,Q120609180,1,0,2,"scholarly article in Journal of Shenzhen University (Humanities & Social Sciences), no. 3, 2010",,Q13442814,,
Lee,Lee Seung-yoon,Q11266208,1,0,2,South Korean politician,,Q5,,
Lee,Lee Seung-yoon,Q134828651,1,0,2,"South Korean actress, born 1994",Lee Seung-yun,Q5,,
Lee,Lee Seung-yoon,Q133837299,1,0,2,South Korean entrepreneur (born 1989),,Q5,,Lee Seung-yoon (entrepreneur)
Lee,Lee Min-ho,Q80758,1,0,2,"South Korean actor, singer and model",Lee Min Ho,Q5,,Lee Min-ho
Lee,Lee Min-ho,Q139559244,1,0,2,South Korean pornographic actor,,Q5,,
Lee,Lee Tae-ri,Q487017,1,0,2,South Korean actor,Lee Min-ho,Q5,,Lee Tae-ri
Lee,Lee Know,Q59260597,1,0,2,South Korean singer and dancer (born 1998),Lee Min-ho,Q5,,Lee Know
Lee,Boom,Q552820,1,0,2,"South Korean rapper, singer, actor, radio host, and television presenter",Lee Min-ho,Q5,,Boom (entertainer)
Lee,Lee Min-ho,Q6514563,1,0,2,Wikimedia disambiguation page,,Q22808320,,Lee Min-ho (disambiguation)
Lee,Lee Min-ho,Q12611464,1,0,2,South Korean baseball player,,Q5,,Lee Min-ho (baseball)
Lee,Lee Min-ho,Q97339203,1,0,2,South Korean baseball player (2001-),,Q5,,
Lee,Lee Min-ho,Q97206288,1,0,2,South Korean League of Legends pro gamer,Crown,Q5,,
Lee,Lee-min-ho,Q12611463,1,0,2,South Korean baseball player (1970-),,Q5,,
Lee,Lee Byung-hun,Q380121,1,0,2,South Korean actor (born 1970),Lee Byeong-heon|Byung Hun Lee,Q5,,Lee Byung-hun
Lee,Byung-heon,Q16097542,1,0,2,South Korean actor and singer,L.Joe|Byung-hun|Lee Byung-hun,Q5,,Byung Hun (entertainer)
Lee,Lee Byung-hun,Q25194223,1,0,2,Wikimedia disambiguation page,,Q22808320,,Lee Byung-hun (disambiguation)
Lee,Lee Byung-hun filmography,Q23994915,1,0,2,Wikimedia list article,,Q13406463,,Lee Byung-hun filmography
Lee,Lee Hyun-ji,Q138163895,1,0,2,South Korean actress,,Q5,,
Lee,Lee Hyun-jin,Q1279425,1,0,2,South Korean badminton player,,Q5,,
Lee,Lee Hyun-ji,Q12613153,1,0,2,South Korean singer,Lee Hyeon-ji,Q5,,Lee Hyun-ji
