data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Watertoren,Watertoren,Q132897126,0,0,1,"watertower in Sint-Kruis, Bruges, Belgium",Watertower (Sint-Kruis),Q274153,,
Watertoren,Watertoren,Q2317781,0,0,1,,,Q274153,,
Watertoren,Watertoren,Q2243350,0,0,1,,,Q274153,,
Watertoren,Watertoren,Q2201776,0,0,1,,,Q274153,,
Watertoren,Watertoren,Q2330441,0,0,1,,,Q274153,,
Watertoren,Watertoren,Q2384504,0,0,1,,,Q274153,,
Watertoren,Watertoren,Q2344410,0,0,1,,,Q274153,,
Watertoren,Watertoren,Q4297615,0,0,1,,,Q274153,,
Watertoren,Watertoren,Q5164572,0,0,1,,,Q274153,,
Watertoren,Watertoren,Q2312600,0,0,1,"Rijksmonument in Doetinchem, the Netherlands",Watertoren Doetinchem|Watertoren Terborgseweg|rijksmonumentnummer 513133,Q274153,,
Bergambacht,Bergambacht,Q653025,0,1,1,"town in South Holland, the Netherlands",,Q532|Q1852859,,Bergambacht
Bergambacht,Bergambacht,Q35159872,0,1,1,"former municipality in South Holland, the Netherlands",,Q2039348,,
Bergambacht,Bergambacht municipal council,Q106212947,0,1,1,,,Q17014622,,
Bergambacht,coat of arms of Bergambacht,Q16070274,0,1,1,"various coats of arms of former municipality in South Holland, the Netherlands",Bergambacht coat of arms,Q16887380|Q61627811,,
Bergambacht,flag of Bergambacht,Q64617552,0,1,1,,Bergambacht flag,Q21850100,,
Bergambacht,Bergambachtstraat,Q18947128,0,1,1,"street in Rotterdam, the Netherlands",,Q79007,,
Bergambacht,Bergambachterstraat,Q18947123,0,1,1,"street in Schoonhoven, the Netherlands",,Q79007,,
Netherlands,Netherlands,Q55,0,2,1,one of the four autonomous countries of the Kingdom of the Netherlands; with territories in the Caribbean,Holland|the Netherlands|Nederland|Nederlanden|de Nederlanden|NL|NLD,Q15304003|Q6256,,Netherlands
Netherlands,Kingdom of the Netherlands,Q29999,0,2,1,transcontinental sovereign state and constitutional monarchy,Netherlands|the Netherlands|Nederlanden|Kingdom of Netherlands,Q3624078|Q417175|Q20181813|Q1250464|Q6256,,Kingdom of the Netherlands
Netherlands,Low Countries,Q476033,0,2,1,historical coastal landscape in north western Europe,Low Lands|Netherlands,Q1620908,,Low Countries
Netherlands,Netherlands,Q16250490,0,2,1,constituency of the European Parliament,,Q2631496,,Netherlands (European Parliament constituency)
Netherlands,Dutch Republic,Q170072,0,2,1,predecessor state of the Netherlands (1581–1795),Republic of the Seven United Netherlands|Republic of the United Netherlands|Republic of the Seven United Provinces|United Provinces|Federated Dutch Provinces|Dutch Federation|United Provinces of the Netherlands|Netherlands (1581–1795)|Republic of the Netherlands|Republiek der Zeven Verenigde Nederlanden,Q3624078|Q3024240|Q20181813|Q170156,,Dutch Republic
Netherlands,RKD - Nederlands Instituut voor Kunstgeschiedenis,Q758610,0,2,1,Dutch national documentation centre of art history,RKD-Nederlands Instituut voor Kunstgeschiedenis|rkd.nl|Netherlands Institute for Art History,Q166118|Q4671277|Q2659904,,Netherlands Institute for Art History
Netherlands,Dutch East Indies,Q188161,0,2,1,Dutch colony in Southeast Asia and Oceania (1800–1949),Netherlands East Indies|Dutch Indies|Nederlands-Indië|Netherlands Indies|Insulinde,Q3024240|Q133156,,Dutch East Indies
