data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
* V627 Per,V627 Aurigae,Q87152718,0,0,2,eclipsing binary star in the constellation Auriga,,Q1457376|Q6243|Q67206691,,
* V627 Per,V627 Hydrae,Q88963371,0,0,2,eclipsing binary star,,Q1457376|Q72534536|Q6243,,
* V627 Per,V627 Herculis,Q87572004,0,0,2,star in the constellation Hercules,,Q67206785|Q6243,,
* V627 Per,V* V627 Cen,Q86782250,0,0,2,Algol variable in the constellation Centaurus,,Q24452|Q523,,
* V627 Per,V* V627 Aql,Q90110694,0,0,2,long period variable,,Q1153690|Q523,,
* V627 Per,V* V627 Cep,Q97286208,0,0,2,star in the constellation Cepheus,,Q67206691|Q67206785|Q6243,,
* V627 Per,V* V627 Tau,Q88113462,0,0,2,,,Q2247863|Q523|Q1362543|Q67206785,,
* V627 Per,V* V627 Oph,Q83499584,0,0,2,carbon star in the constellation Ophiuchus,,Q130019|Q744691|Q1153690|Q67206691|Q67206785|Q6243,,
* V627 Per,V* V627 Lyr,Q85535549,0,0,2,hot subdwarf star in the constellation Lyra,,Q54231557|Q1332364,,
* V627 Per,V* V627 Sgr,Q74997371,0,0,2,Mira variable star in the constellation Sagittarius,,Q744691,,
* V627 Per,Peru,Q419,0,0,2,sovereign state in South America,pe|Republic of Peru|Republica del Peru|per,Q3624078|Q6256,,Peru
* V627 Per,Per,Q13582800,0,0,2,male given name,Per (given name)|Per (first name),Q12308941,,Per (given name)
* V627 Per,Perseus,Q10511,0,0,2,constellation in the northern celestial hemisphere,Per|Persei,Q8928,,Perseus (constellation)
* V627 Per,Per,Q37556804,0,0,2,family name,,Q101352,,
* V627 Per,Perth,Q3183,0,0,2,"capital city of Western Australia, Australia","Perth, Western Australia|Perth, Australia|Perth, W.A.|Perth, AUS|Boorloo|Boorloo, Western Australia",Q515|Q1549591,,Perth
* V627 Per,Christiaan Hendrik Persoon,Q346451,0,0,2,German mycologist (1761-1836),Pers.|C. H. Persoon|Christiaan H. Persoon,Q5,,Christiaan Hendrik Persoon
* V627 Per,Perugia,Q3437,0,0,2,Italian comune,,Q747074|Q515|Q1549591|Q1200957,,Perugia
