data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
sundial,sundial,Q80793,0,0,1,device that tells the time of day by the apparent position of the Sun in the sky,sun dial,Q140424281,Q751997|Q3370053|Q39546|Q860861,Sundial
sundial,Sundial,Q123007551,0,0,1,2008 vocal track by Lemon Demon,,Q55850593,,
sundial,Sundial,Q6746177,0,0,1,"sculpture by Henry Moore (LH 528, Adler Planetarium & Astronomy Museum, Chicago)",Man Enters the Cosmos,Q860861|Q80793,,Man Enters the Cosmos
sundial,Sundial,Q62523721,0,0,1,,,Q860861|Q80793,,
sundial,Sundial,Q56696074,0,0,1,sculpture by Dani Karavan,,Q860861,,
sundial,sundial,Q22995081,0,0,1,sundial in Vallouise (Hautes-Alpes),,Q80793,,
sundial,Solarium,Q2629199,0,0,1,former constellation,Sundial,Q1620914,,Solarium (constellation)
sundial,Sundial Aeon,Q94291028,0,0,1,ambient trance group from Poland,Sundial,Q215380,,
sundial,Sundial,Q30204676,0,0,1,,,Q811165,,
sundial,Sundial,Q7639778,0,0,1,"community in Raleigh County, West Virginia, United States","Sundial, West Virginia|Sundial, WV",Q17343829,,"Sundial, West Virginia"
Obelisc,Obeliscus,Q7074699,1,0,1,genus of molluscs,,Q16521,,Obeliscus
Obelisc,Obelisc,Q99459743,1,0,1,,,Q860861,,
Obelisc,Obeliscoides,Q50700494,1,0,1,genus of worms,,Q16521,,
Obelisc,Obeliscoides cuniculi,Q50731087,1,0,1,species of worm,,Q16521,,
Obelisc,obelisk,Q170980,1,0,1,"tall, four-sided, narrow tapering monument which ends in a pyramid-like shape at the top",,,Q811979|Q4989906|Q207961,Obelisk
Obelisc,Obelisco comemorativo da construção da Avenida Central,Q115055707,1,0,1,photograph by Marc Ferrez,,Q125191,,
Obelisc,Obeliscoidinae,Q53678052,1,0,1,subfamily of worms,,Q16521,,
Obelisc,Obelisc,Q61745184,1,0,1,"monument in Puigcerdà, Spain",,Q4989906,,
Obelisc,Obelisco a los Niños Héroes,Q60003057,1,0,1,"Monument in Chapultepec, Mexico City.",Obelisk to Niños Héroes|Niños Héroes Obelisk|Obelisk to Children Heroes,Q5003624,,Obelisco a los Niños Héroes
Obelisc,Obelisco a la Batalla de Las Piedras,Q18417434,1,0,1,monument in Uruguay,,Q2065736|Q170980,,
Obelisc,Obelisk,Q122314052,1,0,2,2020 video game,,Q7889,,
Obelisc,Obelisk,Q130070953,1,0,2,"artwork in public space by Herbert Koekkoek in Groningen, the Netherlands",,Q860861,,
Obelisc,Obelisk,Q135027119,1,0,2,video game developed by IceLemonTea Studio,,Q7889,,
Obelisc,†,Q282364,1,0,2,"dagger, obelisk, obelus, long cross, oblong cross (U+2020), typographic mark used to indicate a note call",obelisk|obelus|DAGGER|long cross|oblong cross|dagger (mark),Q29654788,Q10617810,Dagger (mark)
Obelisc,GNU Enterprise,Q76182628,1,0,2,collection of business-related software tools [defunct],GNUe|GNU G/L|Obelisk,Q20825628,,
Obelisc,Obelisk 11 March,Q125146220,1,0,2,"monument by Braco Dimitrijević at Charlottenburg Palace Gardens in Berlin, Germany",,Q170980|Q860861,,Obelisk 11 March
Obelisc,Obelisk,Q56696203,1,0,2,sculpture by Buky Schwartz,,Q860861,,
Obelisc,Obelisk,Q12041909,1,0,2,"cultural monument in the village of Lednice, Lednice–Valtice Cultural Landscape, Czech Republic",,Q170980,,
Obelisc,Obelisk,Q103306053,1,0,2,sculpture by Artist Unknown,,Q860861,,
