data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
ollege Hall,,,0,0,0,,,,,
London Borough of Camden,London Borough of Camden,Q202088,0,1,1,borough in the London Region in England,"Camden|Camden, London, England|Camden, England|Camden (unparished area)",Q211690|Q7897276,,London Borough of Camden
London Borough of Camden,coat of arms of the London Borough of Camden,Q16985996,0,1,1,,the London Borough of Camden coat of arms|London Borough of Camden coat of arms,Q14659,,Coat of arms of the London Borough of Camden
London Borough of Camden,Camden,Q1144372,0,1,2,"city in South Carolina, United States","Camden, South Carolina|Camden, SC",Q1093829,,"Camden, South Carolina"
London Borough of Camden,Camden,Q79446,0,1,2,"city in and county seat of Ouachita County, Arkansas, United States","Camden, Arkansas|Camden, AR",Q1093829|Q62049,,"Camden, Arkansas"
London Borough of Camden,Camden,Q5355202,0,1,2,"state electoral district of New South Wales, Australia",Electoral district of Camden|Camden electoral district,Q3032154,,Electoral district of Camden
London Borough of Camden,Camden,Q97751078,0,1,2,given name,,Q202444,,
London Borough of Camden,Camden,Q1208446,0,1,2,"city in Tennessee, United States","Camden, Tennessee|Camden, TN",Q1093829|Q62049,,"Camden, Tennessee"
London Borough of Camden,Camden,Q16865331,0,1,2,family name,,Q101352,,Camden (surname)
London Borough of Camden,Camden,Q2934722,0,1,2,"census-designated place (CDP) in Camden County, North Carolina, United States","Camden, North Carolina|Camden, NC",Q17343829|Q62049,,"Camden, North Carolina"
London Borough of Camden,Camden,Q138367,0,1,2,"city in and county seat of Camden County, New Jersey, United States","Camden, New Jersey|Camden, NJ",Q2974552|Q62049,,"Camden, New Jersey"
London Borough of Camden,Camden,Q3319733,0,1,2,"village in Michigan, United States",,Q751708,,"Camden, Michigan"
Bryan Hal,Bryan Hall,Q100798959,1,0,1,college basketball player (2009–2011) Northern Illinois,,Q5,,
Bryan Hal,Bryan Hall,Q4980136,1,0,1,"historic building in Gainesville, Florida, United States","Bryan Hall (Gainesville, Florida)",Q19844914,,"Bryan Hall (Gainesville, Florida)"
Bryan Hal,Bryan Hall,Q3696455,1,0,1,American football player,,Q5,,Bryan Hall (gridiron football)
Bryan Hal,Bryan Hall,Q4980138,1,0,1,Canadian radio presenter,,Q5,,Bryan Hall (sportscaster)
Bryan Hal,Bryan Hall,Q4980134,1,0,1,Wikimedia disambiguation page,,Q22808320,,Bryan Hall
Bryan Hal,Bryan Hall,Q76285053,1,0,1,"building in WA, United States",,Q41176,,Bryan Hall (Washington State University)
Bryan Hal,Bryan Hall,Q122987400,1,0,1,"residence hall building of Ohio University in Athens, Ohio, USA",,Q19844914|Q3661265,,
Bryan Hal,Bryan Hall,Q100798960,1,0,1,college basketball player (1959–1959) Louisville,,Q5,,
Athens,Athens,Q203263,1,1,1,"consolidated city-county and county seat of Clarke County, Georgia, United States","Athens, Georgia|The Classic City|Athens, GA|Cedar Shoals",Q1093829|Q76514543|Q3301053|Q1549591|Q62049,,"Athens, Georgia"
Athens,Athens,Q1524,1,1,1,capital and largest city of Greece,Athens city|Athenae,Q1549591|Q51929311|Q200250|Q5500203,,Athens
Athens,Athens,Q79439,1,1,1,"county seat of Limestone County, Alabama, United States","Athens, Alabama|Athens, AL",Q1093829|Q62049,,"Athens, Alabama"
Athens,National and Kapodistrian University of Athens,Q547867,1,1,1,"university in Athens, Greece",University of Athens|NKUA|UoA|Athens University|uoa.gr|National Kapodistrian University of Athens,Q3918,,National and Kapodistrian University of Athens
Athens,Classical Athens,Q844930,1,1,1,city-state in ancient Greece,Ancient Athens|Athens|Athens (Samian Ware Discovery Site),Q148837|Q839954|Q133442|Q102202066,,Classical Athens
Athens,Athens,Q570807,1,1,1,"township municipality in Ontario, Canada","Athens, Ontario",Q15210668|Q55774719,,"Athens, Ontario"
Athens,Athens,Q25412596,1,1,1,family name,,Q101352,,
Athens,Edinburgh,Q23436,1,1,1,"capital city of Scotland, UK","Edinburgh, Scotland|City of Edinburgh|Edina|Modern Athens|Auld Reekie|Athens of the North",Q515|Q1187811|Q202435|Q104630835|Q1549591,,Edinburgh
Athens,2004 Summer Olympics,Q8558,1,1,1,"Games of the XXVIII Olympiad, in Athens, Greece",Athens 2004|Games of the XXVIII Olympiad,Q135976384|Q14547231,,2004 Summer Olympics
Athens,Athens,Q755420,1,1,1,"city in Athens County, Ohio, United States","Athens, Ohio|Athens, OH",Q108569710|Q1187811|Q62049,,"Athens, Ohio"
Athens,Ancient Athens’women and its democratic politics,Q120453012,1,1,2,"scholarly article in Journal of South China Normal University (Social Science Edition), no. 3, 1996",,Q13442814,,
Athens,"Ancient Athens. By Ernest Arthur Gardner. Pp. 579; with maps, plans, and illustrations. London: Macmillan & Co., 1902. 21s. net",Q60204689,1,1,2,,,Q13442814,,
Athens,Ancient Athens and the values of Mediterranean society,Q57552901,1,1,2,"journal article; published in Mediterranean Historical Review, Jan 1996",,Q18918145,,
Athens,Athenians,Q120096553,1,1,2,"people from or residents of Athens, Greece","Athens residents|Athens, Greece, residents|Atheneans",Q33829,Q101242814|Q22947,
