data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
2017 Qatar Open,2017 Qatar Open,Q109935363,0,0,1,,,Q13406554,,
2017 Qatar Open,2017 Qatar Open,Q109935337,0,0,1,Wikimedia disambiguation page,,Q4167410,,
2017 Qatar Open,tennis open era,Q2025677,0,0,2,tennis term,open era,Q77733378|Q6428674,,Tennis Open Era
2017 Qatar Open,Tennis Open Karlsruhe,Q120189872,0,0,2,tennis tournament,,Q18608583,,Tennis Open Karlsruhe
2017 Qatar Open,2018 Meerbusch Challenger,Q56065208,0,0,2,Professional tennis tournament,,Q47345468,,2018 Meerbusch Challenger
2017 Qatar Open,2019 Meerbusch Challenger,Q66385372,0,0,2,tennis tournament,,Q47345468,,2019 Meerbusch Challenger
2017 Qatar Open,2024 Pfeiffer & May Tennis Open,Q126724727,0,0,2,tennis tournament,2024 Tennis Open Karlsruhe,Q47345468,,2024 Tennis Open Karlsruhe
2017 Qatar Open,2024 Tennis Open Karlsruhe – Doubles,Q126951695,0,0,2,2024 tennis event results,,Q46190676,,2024 Tennis Open Karlsruhe – Doubles
2017 Qatar Open,2023 Tennis Open Karlsruhe,Q119820688,0,0,2,tennis tournament,,Q47345468,,2023 Tennis Open Karlsruhe
2017 Qatar Open,2024 Tennis Open Karlsruhe – Singles,Q126947869,0,0,2,2024 tennis event results,,Q46190676,,2024 Tennis Open Karlsruhe – Singles
2017 Qatar Open,2023 Tennis Open Karlsruhe – Singles,Q120147626,0,0,2,2023 tennis event results,,Q46190676,,2023 Tennis Open Karlsruhe – Singles
2017 Qatar Open,2023 Tennis Open Karlsruhe – Doubles,Q120147637,0,0,2,2023 tennis event results,,Q46190676,,2023 Tennis Open Karlsruhe – Doubles
2017 Qatar Open,Qatar Open,Q299402,0,0,2,tennis tournament,ATP Doha|Qatar Mobil Open|Qatar ExxonMobil Open,Q47443726,Q26863790,ATP Qatar Open
2017 Qatar Open,Qatar Open,Q3354025,0,0,2,ITTF table tennis tournament,Qatar Open Table Tennis Champions,Q500834,,Qatar Open (table tennis)
2017 Qatar Open,Qatar Open Badminton Championships,Q125973827,0,0,2,badminton championships,Qatar Open,Q18608583,Q13357858,
2017 Qatar Open,Qatar Open Data,Q97097206,0,0,2,,data.gov.qa,Q27031827,,
2017 Qatar Open,2014 Qatar ExxonMobil Open,Q15255901,0,0,2,tennis tournament,,Q47345468,,2014 Qatar ExxonMobil Open
2017 Qatar Open,1998 Qatar Open,Q1634351,0,0,2,tennis tournament,,Q47345468,,1998 Qatar Open
2017 Qatar Open,2000 Qatar Open,Q1613904,0,0,2,tennis tournament,,Q299402|Q47345468,,2000 Qatar Open
2017 Qatar Open,2010 Qatar Open,Q2121465,0,0,2,tennis tournament,,Q299402|Q47345468,,2010 Qatar Open
2017 Qatar Open,2017 Qatar ExxonMobil Open,Q27927742,0,0,2,tennis tournament,,Q47345468|Q299402,,2017 Qatar ExxonMobil Open
2017 Qatar Open,2016 Qatar ExxonMobil Open,Q21598795,0,0,2,tennis tournament edition,,Q47345468,,2016 Qatar ExxonMobil Open
athletics at the 2021 Junior Pan American Games,athletics at the 2021 Junior Pan American Games,Q109858486,1,0,1,athletics competitions at the 2021 Junior Pan American Games,,Q13406554,,Athletics at the 2021 Junior Pan American Games
athletics at the 2021 Junior Pan American Games,Athletics at the 2021 Junior Pan American Games – Results,Q110654553,1,0,1,,,,,Athletics at the 2021 Junior Pan American Games – Results
athletics at the 2021 Junior Pan American Games,2021 Junior Pan American Games,Q65118014,1,0,2,1st edition of the Junior Pan American Games,,Q167170,,2021 Junior Pan American Games
2021–22 ISU Speed Skating World Cup – World Cup 1,2021–22 ISU Speed Skating World Cup – World Cup 1,Q109559080,2,0,1,,,Q13406554,,
2021–22 ISU Speed Skating World Cup – World Cup 1,ISU Speed Skating World Cup,Q143692,2,0,2,International speed skating competition spanning across the Earth's Northern Hemisphere wintertime season,,Q18608583,Q1936368,ISU Speed Skating World Cup
2021–22 ISU Speed Skating World Cup – World Cup 1,ISU Speed Skating World Cup – Men's 1500 metres,Q106478374,2,0,2,,,Q13406554,,
2021–22 ISU Speed Skating World Cup – World Cup 1,ISU Speed Skating World Cup – Women's 1500 metres,Q106844356,2,0,2,,,Q13406554,,
2021–22 ISU Speed Skating World Cup – World Cup 1,ISU Speed Skating World Cup – women's long distances,Q108074377,2,0,2,,,Q13406554,,
2021–22 ISU Speed Skating World Cup – World Cup 1,ISU Speed Skating World Cup – Women's Grand World Cup,Q106813899,2,0,2,,,Q13406554,,
2021–22 ISU Speed Skating World Cup – World Cup 1,ISU Speed Skating World Cup – Men's Grand World Cup,Q106823297,2,0,2,,,Q13406554,,
