data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Hrborn,,,0,0,0,,,,,
Shelburng,Shelburne,Q37295453,1,0,2,family name,,Q101352,,
Shelburng,Shelburne,Q114947502,1,0,2,male given name,,Q12308941,,
Shelburng,Shelburne,Q1018289,1,0,2,"town in Vermont, United States","Shelburne, Vermont|Shelburne, VT",Q2154459,,"Shelburne, Vermont"
Shelburng,Shelburne River,Q2277839,1,0,2,"watercourse in Nova Scotia, Canada",,Q4022,,Shelburne River
Shelburng,Shelburne,Q1693101,1,0,2,"town in Shelburne County, Nova Scotia, Canada","Shelburne, Nova Scotia",Q59341087,,"Shelburne, Nova Scotia"
Shelburng,Shelburne,Q2416708,1,0,2,"human settlement in Franklin County, Massachusetts, United States of America","Shelburne, MA",Q15127012,,"Shelburne, Massachusetts"
Shelburng,Shelburne,Q4859980,1,0,2,"town in Dufferin County, Ontario, Canada","Shelburne, Ontario|Shelburne, ON",Q3957|Q15210668,,"Shelburne, Ontario"
Shelburng,Shelburne,Q59419991,1,0,2,"barony in County Wexford, Ireland",,Q853565,,
Shelburng,Shelburne,Q2418215,1,0,2,"town in Coös County, New Hampshire, United States","Shelburne, New Hampshire|Shelburne NH|Shelburne N.H.|Shelburne, NH",Q15127012,,"Shelburne, New Hampshire"
Shelburng,Municipality of the District of Shelburne,Q3481779,1,0,2,municipal district of Nova Scotia,"Shelburne, Nova Scotia",Q15731904,,Municipality of the District of Shelburne
Shelburng,"Shelburne, Vermont MPS",Q124365326,1,0,2,multiple listing in the U.S. National Register of Historic Places,,Q18247357,,
arion Bay,,,2,0,0,,,,,
Sungurl,Sungurlu,Q1012915,3,0,1,"town in Çorum Province, Turkey",,Q3957,,Sungurlu
Sungurl,Sungurlu district,Q14421288,3,0,1,"district of Çorum, north-central Turkey",Sungurlu District,Q1147395,,Sungurlu District
Sungurl,Sungurlare,Q2398979,3,0,1,"municipality in Burgas oblast, Bulgaria",Sungurlare Obshtina|Sungurlare municipality,Q1906268,,Sungurlare Municipality
Sungurl,Sungurlare,Q990310,3,0,1,"city in Sungurlare municipality, Burgas oblast, Bulgaria",,Q15303838|Q89487741,,Sungurlare
