data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Bo Phloi,Bo Phloi,Q475278,0,0,1,"district in Kanchanaburi province, Thailand",,Q475061,,Bo Phloi district
Bo Phloi,Bo Phloi,Q16206159,0,0,1,"subdistrict in Bo Rai district, Trat province, Thailand",,Q1077097,,
Bo Phloi,Bo Phloi,Q19361929,0,0,1,"subdistrict in Bo Phloi district, Kanchanaburi province, Thailand",,Q1077097,,
Bo Phloi,Bo Phloi,Q28735553,0,0,1,"subdistrict municipality in Bo Phloi district, Kanchanaburi province, Thailand",,Q15141625|Q7635776,,
Bo Phloi,Bo Phloi,Q28732145,0,0,1,"subdistrict municipality in Bo Rai district, Trat province, Thailand",,Q15141625|Q7635776,,
Bo Phloi,Bo Phloi,Q110517780,0,0,1,"subdistrict administrative organization in Bo Rai district, Trat province, Thailand",,Q15140073,,
Bo Phloi,Bo Phloi,Q105668678,0,0,1,"subdistrict administrative organization in Bo Phloi district, Kanchanaburi province, Thailand",,Q15140073,,
Bo Phloi,Bo Phloi Hospital,Q139302820,0,0,1,"hospital in Bo Phloi, Bo Phloi, Thailand",Bo Phloi Hospital,Q16917,,
Bo Phloi,"Bo Phloi District Conscription Unit, Kanchanaburi",Q139051941,0,0,1,military conscription unit in Thailand,"Bo Phloi District Conscription Unit, Kanchanaburi",Q139050316,,
Bo Phloi,"Bo Phloi District Agriculture Office, Kanchanaburi",Q139051942,0,0,1,district-level agricultural office in Thailand,"Bo Phloi District Agriculture Office, Kanchanaburi",Q139050315,,
Pa Daet,Pa Daet,Q476308,1,0,1,"district in Chiang Rai province, Thailand",,Q475061,,Pa Daet district
Pa Daet,Pa Daet,Q6578349,1,0,1,"subdistrict in Mueang Chiang Mai district, Chiang Mai province, Thailand",,Q1077097,,"Pa Daet, Chiang Mai"
Pa Daet,Pa Daet,Q7121325,1,0,1,"subdistrict in Pa Daet district, Chiang Rai province, Thailand",,Q1077097,,Pa Daet subdistrict
Pa Daet,Pa Daet,Q7121324,1,0,1,"subdistrict in Mae Suai district, Chiang Rai province, Thailand",,Q1077097,,"Pa Daet, Mae Suai"
Pa Daet,Pa Daet,Q15273822,1,0,1,"subdistrict administrative organization in Mae Suai district, Chiang Rai province, Thailand",,Q15140073,,
Pa Daet,Pa Daet,Q28732122,1,0,1,"subdistrict municipality in Pa Daet district, Chiang Rai province, Thailand",,Q15141625|Q7635776,,
Pa Daet,"Pa Daet District Conscription Unit, Chiang Rai",Q139053476,1,0,1,military conscription unit in Thailand,"Pa Daet District Conscription Unit, Chiang Rai",Q139050316,,
Pa Daet,"Pa Daet District Agriculture Office, Chiang Rai",Q139053477,1,0,1,district-level agricultural office in Thailand,"Pa Daet District Agriculture Office, Chiang Rai",Q139050315,,
Pa Daet,Pa Daet Hospital,Q139302733,1,0,1,"hospital in Pa Daet, Pa Daet, Thailand",Pa Daet Hospital,Q16917,,
Pa Daet,"Pa Daet District Office, Chiang Rai",Q139053475,1,0,1,district administrative office in Thailand,"Pa Daet District Office, Chiang Rai",Q41769254,,
Pueai Noi,Pueai Noi,Q476537,2,0,1,"district in Khon Kaen province, Thailand",,Q475061,,Pueai Noi district
Pueai Noi,Pueai Noi,Q28487521,2,0,1,"subdistrict in Pueai Noi district, Khon Kaen province, Thailand",,Q1077097,,
Pueai Noi,Pueai Noi,Q28732045,2,0,1,"subdistrict municipality in Pueai Noi district, Khon Kaen province, Thailand",,Q15141625|Q7635776,,
