data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Grave of Hentsch,Grave of Hentsch,Q112327977,0,0,1,"sepulchral chapel located in Paris, in France",,Q1424583,,
Grave of Hentsch,Grave of Hentsch,Q112327970,0,0,1,"sepulchral chapel located in Père-Lachaise Cemetery - Division 13, in Paris, in France",,Q1424583,,
Grave of Hentsch,Grave of Hentsch-Stuht,Q112327986,0,0,1,,,Q173387,,
Grave of Hentsch,Père Lachaise Cemetery,Q311,0,0,2,"cemetery in Paris, France",Cimetière du Père-Lachaise|Pere Lachaise|Pere Lachaise cemetery|Cimetiere du Pere-Lachaise|Père-Lachaise|Père Lachaise,Q39614,,Père Lachaise Cemetery
Grave of Hentsch,Père-Lachaise Cemetery - Division 10,Q50065453,0,0,2,"cemetery division located in Paris, in France",,Q50064469,,
Grave of Hentsch,Père-Lachaise Cemetery - Division 49,Q50065864,0,0,2,"cemetery division located in Paris, in France",,Q50064469,,
Grave of Hentsch,Père-Lachaise Cemetery - Division 36,Q50065649,0,0,2,"cemetery division located in Paris, in France",,Q50064469,,
Grave of Hentsch,Père-Lachaise Cemetery - Division 11,Q50065460,0,0,2,"cemetery division located in Paris, in France",,Q50064469,,
Grave of Hentsch,Père-Lachaise Cemetery - Division 95,Q50066537,0,0,2,"cemetery division located in Paris, in France",,Q50064469,,
Grave of Hentsch,Père-Lachaise Cemetery - Division 87,Q50066509,0,0,2,"cemetery division located in Paris, in France",,Q50064469,,
Grave of Hentsch,Père-Lachaise Cemetery - Division 90,Q50066521,0,0,2,"cemetery division located in Paris, in France",,Q50064469,,
Grave of Hentsch,Père-Lachaise Cemetery - Division 7,Q50065443,0,0,2,"cemetery division located in Paris, in France",,Q50064469,,
Grave of Hentsch,Père-Lachaise Cemetery - Division 60,Q50066013,0,0,2,"cemetery division located in Paris, in France",,Q50064469,,
Grave of Hentsch,Society of Consulting Psychology,Q7552440,0,0,2,,Division 13,Q955824|Q334453,,Society of Consulting Psychology
Grave of Hentsch,Division 13,Q56751600,0,0,2,,,Q56477675,,
Grave of Hentsch,Division 13 Israelitico in Cemetery of Verano,Q125850108,0,0,2,"section of Campo Verano cemetery, Rome, Italy",Divisione 13 Israelitico nel Cimitero del Verano,Q56632662,,
Grave of Hentsch,Père-Lachaise Cemetery - Division 13,Q50065466,0,0,2,"cemetery division located in Paris, in France",,Q50064469,,
Grave of Hentsch,Passy Cemetery - Division 13,Q112393207,0,0,2,"cemetery sector located in Paris, in France",,Q112390525,,
Grave of Hentsch,Cimetière Saint-Vincent - Division 13,Q130304802,0,0,2,"cemetery sector located in Paris, in France",,Q56632662,,
Grave of Hentsch,Cimetière de Montmartre - Division 13,Q130304526,0,0,2,"cemetery sector located in Paris, in France",,Q56632662,,
Grave of Hentsch,Cimetière parisien de Saint-Ouen - Division 13,Q130304763,0,0,2,"cemetery sector located in Seine-Saint-Denis, in France",,Q56632662,,
Grave of Hentsch,division 13 du cimetière du Montparnasse,Q130152592,0,0,2,"cemetery sector located in Paris, in France",,Q56632662,,
