data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Pound,pound,Q100995,0,0,1,"unit of mass in imperial, US customary, and avoirdupois systems of units",lb|avoirdupois pound|pound-mass|pound mass|pound (mass)|lbs|pounds|lbm|pound (avoirdupois),Q3647172|Q82047057,,Pound (mass)
Pound,pound sterling,Q25224,0,0,1,official currency of the United Kingdom and other territories,GBP|British pound|pound|£|quid|sterling|Great British pound|pence|pounds|penny|livre sterling,Q8142|Q339180,,Pound sterling
Pound,Pound,Q20997663,0,0,1,family name,,Q101352,,Pound (surname)
Pound,Pound,Q23874556,0,0,1,article in Otto's encyclopedia,,Q13433827,,
Pound,pound,Q339180,0,0,1,currency in some nations,,,Q8142|Q12039317,Pound (currency)
Pound,animal pound,Q4764963,0,0,1,place where stray livestock were impounded,pinfold|pound|town pound,,Q10480682|Q1411287,Animal pound
Pound,Irish pound,Q270642,0,0,1,former currency of Ireland,pound|punt|IEP,Q8142|Q28783456|Q100995,,Irish pound
Pound,lock,Q105731,0,0,1,fall structure with a fixed chamber in which the water level changes,lock and dam|canal lock|pound lock|lock (water navigation)|lock (water transport),,Q333170|Q107589046,Lock (water navigation)
Pound,animal shelter,Q1411287,0,0,1,"facility that houses and disposes of homeless, lost, or abandoned animals",pound|dog pound|animal pound,Q137018865,Q56055115|Q13226383,Animal shelter
Pound,pound-force,Q1194225,0,0,1,unit of force: the force exerted by one standard gravity on a one-pound mass,pound force|lbf|pound weight|pound-weight|pound (weight)|pound of force|pound|poundforce|lb,Q15976022|Q83155724,,Pound (force)
Pound,banknote of the pound sterling,Q4856429,0,0,2,promissory notes denominated in pounds sterling,British pound banknotes|British pound banknote|British pound note|British pound bill|pound banknotes|pound banknote|pound note|pound bill,,Q47433,Banknotes of the pound sterling
Pound,British Pound Sterling in Malta,Q3973268,0,0,2,Wikimedia list article,,Q28783456,,
Pound,British Pound Falls to Lowest Level Since 1985,Q115177004,0,0,2,"Wall Street Journal article (March 18, 2020)",,Q5707594,,
Pound,British Pound Surges as Johnson’s Conservatives Win U.K. Election,Q115177037,0,0,2,"Wall Street Journal article (December 13, 2019)",,Q5707594,,
Pound,British Pound Reaches Strongest Level in Nearly Three Years,Q115176859,0,0,2,"Wall Street Journal article (February 21, 2021)",,Q5707594,,
Pound,Government Boys' Primary School,Q67015940,0,0,2,type of school in Pakistan,GBPS,,Q9842|Q1713379|Q1080794,
Pound,Google Business Profile,Q21235252,0,0,2,internet service for local businesses operated by Google,Google My Business|GBP,Q897682|Q1668024,,Google My Business
Pound,PIAS1,Q18033102,0,0,2,protein-coding gene in the species Homo sapiens,DDXBP1|GBP|GU/RH-II|ZMIZ3|protein inhibitor of activated STAT 1,Q7187,Q20747295,PIAS1
Pound,HADHA,Q1145906,0,0,2,protein-coding gene in the species Homo sapiens,"hydroxyacyl-CoA dehydrogenase/3-ketoacyl-CoA thiolase/enoyl-CoA hydratase (trifunctional protein), alpha subunit|ECHA|GBP|HADH|LCEH|LCHAD|MTPA|TP-ALPHA|hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha",Q7187,Q20747295,HADHA
Pound,Protein inhibitor of activated STAT 1,Q21105489,0,0,2,mammalian protein found in Homo sapiens,"zinc finger, MIZ-type containing 3|GBP|RNA helicase II-binding protein|gu-binding protein|DEAD/H box-binding protein 1|protein inhibitor of activated STAT protein 1|E3 SUMO-protein transferase PIAS1|E3 SUMO-protein ligase PIAS1|DEAD/H (Asp-Glu-Ala-Asp/His) box binding protein 1|PIAS1|AR interacting protein",Q8054,,
Pound,LGALS1,Q18028523,0,0,2,protein-coding gene in the species Homo sapiens,GAL1|GBP|galectin 1,Q7187,Q20747295,Galectin-1
Pound,GBP130 protein,Q56570951,0,0,2,"protein found in Plasmodium falciparum 3D7, encoded by GBP130",GBP|PF10_0159|glycophorin binding protein,Q8054,Q8054,
Pound,Lgals3,Q18252036,0,0,2,protein-coding gene in the species Mus musculus,"GBP|L-34|Mac-2|gal3|lectin, galactose binding, soluble 3",Q7187,Q20747295,
Pound,GBP130,Q18970843,0,0,2,protein-coding gene,PF10_0159|GBP,Q7187,Q20747295,
Pound,£,Q249306,0,0,2,"pound sign (U+00A3), pound sterling, Irish punt, lira, etc.; not to be confused with the unit of weight; glyph may have one or two crossbars, in distinction from ₤ (U+20A4)",U+00A3|POUND SIGN|pound sign|pound symbol|pound sterling sign|pound sterling symbol,Q29654788|Q308229,,Pound sign
Pound,pound sterling in the South Atlantic and the Antarctic,Q16933389,0,0,2,overview about the pound sterling in the South Atlantic and the Antarctic,,Q74817647,,Pound sterling in the South Atlantic and the Antarctic
Pound,"pound sterling in Australia, New Zealand, and Oceania",Q7235652,0,0,2,aspect of history,history of pound sterling in Oceania,Q17524420,,History of pound sterling in Oceania
Crivitz,Crivitz,Q558985,1,0,1,"town in the Ludwigslust-Parchim district in Mecklenburg-Western Pomerania, Germany",,Q42744322,,Crivitz
Crivitz,Crivitz railway station,Q50396515,1,0,1,"railway station in Crivitz, Germany",,Q27996466,,Crivitz station
Crivitz,Crivitz,Q302746,1,0,1,"village in Marinette County, Wisconsin, United States","Village of Crivitz|Crivitz, Wisconsin|Crivitz, WI",Q15221242,,"Crivitz, Wisconsin"
Crivitz,Crivitz,Q15602293,1,0,1,,,Q478847,,Crivitz (Amt)
Crivitz,Crivitz,Q459317,1,0,1,,,Q478847,,
Crivitz,Crivitz,Q4175845,1,0,1,crater on Mars,,Q55818|Q1475691,,Crivitz (crater)
Crivitz,Crivitz,Q106588710,1,0,1,,,Q486972|Q253019,,
Crivitz,Crivitz Municipal Airport,Q28446847,1,0,1,"airport in Marinette County, Wisconsin, United States of America",,Q1248784,,Crivitz Municipal Airport
Crivitz,Crivitz School District,Q5186952,1,0,1,"school district in Crivitz, Wisconsin, United States",,Q398141,,Crivitz School District
Crivitz,Crivitz Theatre,Q43332531,1,0,1,"former movie theater in Crivitz, Wisconsin, United States",,Q41253,,
Tigerton,Tigerton,Q3259560,2,0,1,"village in Shawano County, Wisconsin","Village of Tigerton|Tigerton, WI",Q15221242,,"Tigerton, Wisconsin"
Tigerton,Tigerton,Q3991260,2,0,1,,,Q122967152,Q5300,
