data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Lydd,Lydd,Q1639689,0,0,1,"town in Kent, England, UK","Lydd, Kent",Q3957|Q1115575,,Lydd
Lydd,Lyddington,Q641991,0,0,1,"village in Rutland, England, UK","Lyddington, Rutland",Q532|Q1115575,,Lyddington
Lydd,Lydda,Q10571365,0,0,1,genus of insects,,Q16521,,Lydda (planthopper)
Lydd,Lydden,Q2624651,0,0,1,"village in Kent, England, UK","Lydden, Kent",Q1115575|Q532,,Lydden
Lydd,Lyddia Cheah,Q523764,0,0,1,Malaysian badminton player,Lyddia Yi Yu Cheah|Cheah Li Ya Lydia|Lydia Cheah|Cheah Li Ya|Lyddia Cheah Li Ya,Q5,,Lyddia Cheah
Lydd,Lydd Airport,Q1986577,0,0,1,"airport in Kent, England",LYX|EGMD|Lydd|London Ashford Airport|Lydd Ferryfield,Q1248784,,Lydd Airport
Lydd,Lod,Q207540,0,0,1,city in Israel,"Lod, Israel|al-Ludd|Lydda|Diospolis-Lydda|Mint of Diospolis-Lydda",Q515|Q12232785,,Lod
Lydd,Lydd,Q24665616,0,0,1,Wikimedia duplicated page,"Lydd, Kent",Q17362920,,
Lydd,Lyddon,Q37454493,0,0,1,family name,,Q101352,,
Lydd,Lyddastrombus,Q10571389,0,0,1,genus of insects,,Q16521,,Lyddastrombus
Ivybridgf,Ivybridge,Q1018121,1,0,2,"town in Devon, SW England","Ivybridge, Devon",Q3957|Q1115575,,Ivybridge
Ivybridgf,Ivybridge,Q24671369,1,0,2,Wikimedia duplicated page,"Ivybridge, Devon",Q17362920,,
Ivybridgf,Ivybridge railway station,Q2781536,1,0,2,railway station just outside Ivybridge in south-west England,Ivybridge Station|IVY,Q55488,,Ivybridge railway station
Ivybridgf,Ivybridge,Q15228998,1,0,2,locality in the southern part of Isleworth in west London,Mogden,Q123705,,Ivybridge (Isleworth)
Ivybridgf,IVYBRIDGE,Q127048284,1,0,2,hymn tune,,Q105543609,,
Ivybridgf,Ivybridge Community College,Q6099982,1,0,2,"school for 11–18-year-olds in Devon, UK",,Q159334|Q4671329,,Ivybridge Community College
Ivybridgf,Ivybridge Town F.C.,Q6099985,1,0,2,"football (soccer) club in Ivybridge, Devon, England",Ivybridge Town FC,Q476028,,Ivybridge Town F.C.
Ivybridgf,Ivybridge Manor,Q105775457,1,0,2,"former manorial estate in Cornwood, Devon",,Q2116450,,
Ivybridgf,Ivybridge Town Council,Q104395184,1,0,2,"UK local authority for the town of Ivybridge, Devon, England",,Q7137435,,
Ivybridgf,Ivybridge Town Hall,Q125251209,1,0,2,"municipal building in Ivybridge, Devon, England, UK",,Q25550691,,Ivybridge Town Hall
Thass,Thassilo von Scheffer,Q106917,2,0,1,German translator (1873–1951),,Q5,,
Thass,Thássia Naves,Q109733363,2,0,1,Digital Influencer,Thássia,Q5,,
Thass,Thassilo Prinz zu Hohenlohe-Öhringen,Q110365873,2,0,1,(born 2011),,Q5,,
Thass,Tadeusz Ajdukiewicz,Q981439,2,0,1,Polish painter (1851-1916),Thaddéus von Adjukiewicz|Thassaus Von Ajdukiewicz|Thassaus von Ajdukiewicz|Tadeusz Adjukiewicz|Thaddeus von Adjukiewicz|Tadeus Ajdukiewicz|Taddäus von Ajdukiewicz|Thaddeusz von Ajdukiewicz|t. adjukevits|thaddeus ajdukiewicz|Thad. Adjukiewicz|Thaddeusz von adjukiewicz|Thad. Ajdukievicz|Adjudkiewicz|Thaddaeus von Ajdukiewicz|Thaddäus von Ajdukiewicz|Thaddäus Adjukiewicz|Tadeusz v. Ajdukiewicz|TADEUS VON ADJUKIEWICZ|T. Ajdukiewicz|Thaddäus v. Ajdukiewicz|Adjukiewicz|Thad. Adjukievicz|ajdukiewicz thaddaus|thaddaus v. ajdukiewicz|Tadeusz von Adjukiewicz,Q5,,Tadeusz Ajdukiewicz
Thass,Thássio Ricardo Ribeiro Mesquita,Q86440488,2,0,1,researcher,,Q5,,
