data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
2910 Yoshkar-Ola,2910 Yoshkar-Ola,Q919813,0,0,1,asteroid,Yoshkar-Ola,Q3863,,2910 Yoshkar-Ola
2910 Yoshkar-Ola,Yoshkar-Ola,Q5449,0,0,2,"capital city of the Mari El Republic, Russia",Yoshkar Ola|Krasnokokshaysk|Tsaryovokokshaysk,Q7930989|Q1549591,,Yoshkar-Ola
2910 Yoshkar-Ola,Yoshkar-Ola train station,Q4206049,0,0,2,"railway station in Yoshkar-Ola, Russia",,Q55488|Q1081138,,
2910 Yoshkar-Ola,Yoshkar-Ola Urban Okrug,Q18055588,0,0,2,"municipality in Mari El, Russia",,Q13626398,,
2910 Yoshkar-Ola,Yoshkar-Ola Eparchy,Q737818,0,0,2,,Yoshkar-Ola-Mari Eparchy,Q60176300,,
2910 Yoshkar-Ola,history of Yoshkar-Ola,Q4204618,0,0,2,"history of the capital city of the Mari El Republic, Russia",Yoshkar-Ola history,Q28747937,,
2910 Yoshkar-Ola,Yoshkar-Ola Airport,Q2574474,0,0,2,airport in Russia,JOK|UWKJ,Q1248784|Q94993988|Q106643740,,Yoshkar-Ola Airport
2910 Yoshkar-Ola,flag of Yoshkar-Ola,Q4486326,0,0,2,,Yoshkar-Ola flag,Q21850100,,
2910 Yoshkar-Ola,sport in Yoshkar-Ola,Q4438069,0,0,2,,Sports in Yoshkar-Ola|sports in Yoshkar-Ola|Yoshkar-Ola sports|sports of Yoshkar-Ola|sporting in Yoshkar-Ola,Q29791211,,
2910 Yoshkar-Ola,Yoshkar-Ola in philately,Q23921659,0,0,2,,,,,
5675 Evgenilebedev,5675 Evgenilebedev,Q727007,1,0,1,asteroid,Evgenilebedev,Q3863,,5675 Evgenilebedev
(163899) 2003 SD220,(163899) 2003 SD220,Q15194286,2,0,1,asteroid,2003 SD220,Q59423687|Q265392|Q217526,,(163899) 2003 SD220
48495 Ryugado,48495 Ryugado,Q2616892,3,0,1,asteroid,Ryugado,Q3863,,48495 Ryugado
48495 Ryugado,Ryugadous,Q7385488,3,0,2,genus of insects,,Q16521,,Ryugadous
48495 Ryugado,Ryugadous kiuchii,Q14293125,3,0,2,species of insect,,Q16521,,
48495 Ryugado,Ryugadous uozumii,Q14293179,3,0,2,species of insect,,Q16521,,
48495 Ryugado,Ryugadous mimus,Q14293140,3,0,2,species of insect,,Q16521,,
48495 Ryugado,Ryugadous ciliatus,Q14293057,3,0,2,species of insect,,Q16521,,
48495 Ryugado,Ryugadous elongatulus,Q14293070,3,0,2,species of insect,,Q16521,,
48495 Ryugado,Ryugadous ishikawai,Q14293084,3,0,2,species of insect,,Q16521,,
48495 Ryugado,Ryugadous kajimotoi,Q14293096,3,0,2,species of insect,,Q16521,,
48495 Ryugado,Ryugadous solidior,Q14293166,3,0,2,species of insect,,Q16521,,
48495 Ryugado,48495,Q135557103,3,0,2,natural number,,Q16317911|Q50707|Q13366129|Q467511,,
48495 Ryugado,48495·2^140666 - 1,Q96859489,3,0,2,prime number,,Q49008,,
5038 Overbeek,5038 Overbeek,Q154964,4,0,1,asteroid,Overbeek,Q3863,,5038 Overbeek
5038 Overbeek,Overbeek,Q21451039,4,0,2,family name,,Q101352,,
5038 Overbeek,"Overbeek, Bloemendaal",Q17195412,4,0,2,"building in Bloemendaal, Netherlands",,Q41176,,
5038 Overbeek,Overbeek,Q21764284,4,0,2,river in Belgium,,Q4022,,
5038 Overbeek,Overbeek,Q19403403,4,0,2,"street in Noordwijk, the Netherlands",,Q79007,,
5038 Overbeek,Overbeek,Q19403401,4,0,2,"street in Ede, the Netherlands",,Q79007,,
5038 Overbeek,Overbeeke,Q65562074,4,0,2,family name,,Q101352,,
5038 Overbeek,"Overbeek, Velp",Q17452703,4,0,2,"house in Rheden, Netherlands",,Q3947,,
5038 Overbeek,Overbeek Medal,Q124373218,4,0,2,,,Q11448906,,
5038 Overbeek,Overbeekweg,Q19403408,4,0,2,"street in Enschede, the Netherlands",,Q79007,,
4 Vesta,Vesta,Q3030,5,0,1,second largest asteroid of the main asteroid belt,asteroid Vesta,Q3863,,4 Vesta
4 Vesta,Vesta,Q178710,5,0,2,"goddess of the hearth, home, and family in Roman religion",Veſta,Q11688446,,Vesta (mythology)
4 Vesta,Vesta,Q25114526,5,0,2,female given name,,Q11879590,,Vesta (name)
4 Vesta,VESTA,Q71457177,5,0,2,2018 video game,,Q7889,,
4 Vesta,Vesta,Q19600807,5,0,2,genus of insects,,Q16521,,
4 Vesta,Vesta,Q37306545,5,0,2,family name,,Q101352,,
4 Vesta,Vesta,Q74820954,5,0,2,supercomputer manufactured at Argonne National Laboratory,,Q121117,,
