data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Hamois,Hamois,Q66312000,0,0,1,"section of Hamois, Belgium",,Q2785216,,
Hamois,Hamois,Q696133,0,0,1,"municipality in Wallonia, Belgium",,Q493522,,Hamois
Hamois,Hamois,Q21767671,0,0,1,"town in Hamois municipality, Belgium",,Q532,,
Hamois,Hamois railway station,Q109662180,0,0,1,"railway station in Hamois, Belgium",,Q55488,,
Hamois,Hamois,Q29437169,0,0,1,Wikimedia disambiguation page,,Q4167410,,
Gesves,Gesves,Q66312008,1,0,1,"section of Gesves, Belgium",,Q2785216,,
Gesves,Gesves,Q388879,1,0,1,"municipality in Wallonia, Belgium",,Q493522,,Gesves
Gesves,Gesves,Q21769032,1,0,1,"town in Gesves municipality, Belgium",,Q532,,
Gesves,Gesves,Q29437218,1,0,1,Wikimedia disambiguation page,,Q4167410,,
Gesves,Givry,Q821265,1,0,2,"commune in Saône-et-Loire, France",,Q484170,,"Givry, Saône-et-Loire"
Gesves,Givry,Q453615,1,0,2,"commune in Ardennes, France",,Q484170,,"Givry, Ardennes"
Gesves,Givry,Q130239,1,0,2,"commune in Yonne, France",,Q484170,,"Givry, Yonne"
Gesves,Givry-en-Argonne,Q729333,1,0,2,"commune in Marne, France",Givry,Q484170,,Givry-en-Argonne
Gesves,Givry-lès-Loisy,Q633330,1,0,2,"commune in Marne, France",Givry,Q484170,,Givry-lès-Loisy
Gesves,Givry,Q76151684,1,0,2,family name,,Q101352,,
Gesves,Givry,Q3108212,1,0,2,"section of Quévy, Belgium",,Q2785216|Q532,,"Givry, Quévy"
Gesves,Givrycourt,Q22347,1,0,2,"commune in Moselle, France",,Q484170,,Givrycourt
Gesves,Givry,Q1908847,1,0,2,"village in Bastogne, Belgium",,Q532,,
Gesves,Givry wine,Q3108210,1,0,2,French wine,,,Q630531,Givry wine
Maasmechelen,Maasmechelen,Q329633,2,0,1,"municipality in Limburg, Belgium",Maosmechele,Q493522,,Maasmechelen
Maasmechelen,K. Patro Eisden Maasmechelen,Q2308515,2,0,1,Belgian football club,,Q476028,,Patro Eisden Maasmechelen
Maasmechelen,Maasmechelen Village,Q2681638,2,0,1,"Factory Outlet Center in Maasmechelen, Belgium",,Q11315|Q54927709,,
Maasmechelen,Maasmechelen,Q22141371,2,0,1,Wikimedia disambiguation page,,Q4167410,,
Zandhoven,Zandhoven,Q146656,3,0,1,"municipality in Antwerp, Belgium",,Q493522,,Zandhoven
Zandhoven,Zandhoven,Q21760351,3,0,1,"town in Zandhoven municipality, Belgium",,Q532,,
Zandhoven,Zandhoven,Q66311756,3,0,1,"section of Zandhoven, Belgium",,Q2785216,,
Zandhoven,coat of arms of Zandhoven,Q15883832,3,0,1,"coat of arms of municipality in the province of Antwerp, Belgium",Zandhoven coat of arms,Q41505469,,
Zandhoven,Zandhovenstraat,Q18951093,3,0,1,"street in Breda, the Netherlands",,Q79007,,
Zandhoven,Zandhovenstraat,Q18951095,3,0,1,"street in Eindhoven, the Netherlands",,Q79007,,
Zandhoven,Zandhoven,Q29436363,3,0,1,Wikimedia disambiguation page,,Q4167410,,
Malmedy,Malmedy,Q66311939,4,0,1,"section of Malmedy, Wallonia, Belgium",,Q2785216,,
Malmedy,Malmedy,Q159838,4,0,1,"city in Wallonia, Belgium",,Q493522|Q15273785|Q737681,,Malmedy
Malmedy,Malmedy,Q31824088,4,0,1,"town in Malmedy municipality, Belgium",,Q3957,,
Malmedy,Malmedy massacre,Q162228,4,0,1,WWII war crime,,Q135010|Q3199915|Q750215,,Malmedy massacre
Malmedy,Malmédy,Q107474317,4,0,1,,,Q2031121,,
Malmedy,Malmédy,Q24524098,4,0,1,artwork BK 5916 of Raoul De Keyser,,Q838948,,
Malmedy,Malmédy,Q24524126,4,0,1,artwork BK 5915 of Raoul De Keyser,,Q838948,,
Malmedy,Malmédy,Q24524127,4,0,1,artwork BK 5918 of Raoul De Keyser,,Q838948,,
Malmedy,Malmédy,Q24524758,4,0,1,artwork BK 5917 of Raoul De Keyser,,Q838948,,
Malmedy,Malmedy railway station,Q3096961,4,0,1,"railway station in Malmedy, Belgium",,Q55488,,
Landen,Landen,Q943502,5,0,1,"city in Flemish Brabant, Belgium",,Q493522|Q15273785,,Landen
Landen,Landen,Q105993095,5,0,1,male given name,,Q12308941,,
Landen,London,Q84,5,0,1,capital and largest city of England and the United Kingdom,"London, UK|London, United Kingdom|London, England|London UK|London U.K.|Londinium|Loñ|Lundenwic|Londinio|Londini|Londiniensium|Augusta|Trinovantum|Kaerlud|Karelundein|Lunden|Big Smoke|the Big Smoke|Lundenburh|Lundenburgh|Llyn Dain|Llan Dian|Londinion|Loniniensi|Lon.|Loñ.|Lond.|LDN",Q200250|Q1066984|Q515|Q208511|Q174844|Q51929311|Q108178728|Q1048835,,London
Landen,Landen railway station,Q2251844,5,0,1,railway station in Belgium,Landen,Q55488,,Landen railway station
Landen,Landen,Q21765449,5,0,1,"town in Landen municipality, Belgium",,Q515,,
Landen,Landenberger,Q37483698,5,0,1,family name,,Q101352,,
Landen,Landenne,Q2541119,5,0,1,"section of Andenne, Wallonia, Belgium",,Q2785216,,Landenne
Landen,Landen,Q37328465,5,0,1,family name,,Q101352,,
Landen,Landén,Q27887808,5,0,1,family name,,Q101352,,
Landen,Landen,Q66311822,5,0,1,"section of Landen, Belgium",,Q2785216,,
Kampenhout,Kampenhout,Q492453,6,0,1,"municipality in Flemish Brabant, Belgium",,Q493522,,Kampenhout
Kampenhout,Kampenhout,Q31824039,6,0,1,"town in Kampenhout municipality, Belgium",,Q532,,
Kampenhout,Kampenhout,Q66311794,6,0,1,"section of Kampenhout, Belgium",,Q2785216,,
Kampenhout,Kampenhout,Q19286617,6,0,1,"street in Vught, the Netherlands",,Q79007,,
Kampenhout,Kampenhout-Sas,Q3226422,6,0,1,,,Q486972,,
