data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
ishermans Bay,,,0,0,0,,,,,
Mcgratjs Bay,,,1,0,0,,,,,
BlancheBay,Blanche Bay,Q15199677,2,0,2,bay in Papua New Guinea,,Q39594,,Blanche Bay
BlancheBay,Blanche Bay,Q33538260,2,0,2,"maritime bight between Pouembout and Népoui, in New-Caledonia",Baie Blanche,Q17018380,,
BlancheBay,Blanche Bay,Q21952082,2,0,2,bight in Australia,,Q17018380,,
BlancheBay,Blanche Bay,Q22931701,2,0,2,Wikimedia disambiguation page,,Q4167410,,
Whte Rock Ba,White Rock Bay,Q49395095,3,0,2,"bay in Davis County, Utah, United States",,Q39594,,
Whte Rock Ba,White Rock Bay,Q21952067,3,0,2,"bight in Queensland, Australia",,Q17018380,,
Whte Rock Ba,White Rock Bay,Q21951331,3,0,2,bight in Australia,,Q17018380,,
Whte Rock Ba,White Rock Bay,Q24570880,3,0,2,bay in the Falkland Islands,,Q39594,,
Whte Rock Ba,White Rock Bay,Q22152225,3,0,2,Wikimedia disambiguation page,,Q4167410,,
Tea Tree By,,,4,0,0,,,,,
Sea Bay,Sea Bay,Q21716167,5,0,1,"painting by Hagen, August Mathias",,Q3305213,,
Sea Bay,Sea bay,Q104535865,5,0,1,painting by Leonardo Coccorante,,Q3305213,,
Sea Bay,Sea Bay,Q104747911,5,0,1,painting by anonymous painter,,Q3305213,,
Sea Bay,Sea Bay,Q86061407,5,0,1,crude oil tanker built in 2009,IMO 9439539,Q11446,,
Sea Bay,sea-bay (black sea),Q112236970,5,0,1,painting by Russian modern,,Q3305213,,
Sea Bay,Sea bay with castle ruins,Q30099153,5,0,1,painting by Salvator Rosa,,Q3305213,,
Sea Bay,bay,Q39594,5,0,2,"body of water connected to an ocean or lake, formed by an indentation of the shoreline",embayment,Q12046615,Q35116038|Q2507626,Bay
Sea Bay,Bay,Q16479551,5,0,2,family name,Bay (family name),Q101352,,Bay (surname)
Sea Bay,Bavarian State Painting Collections,Q812285,5,0,2,"artworks held by the Free State of Bavaria for Alte Pinakothek, Aschaffenburg, Bamberg, Bayreuth, Schleissheim and others",BStGS|Bayerische Staatsgemäldesammlungen|Centralgemäldegaleriedirektion,Q7328910|Q207694,,Bavarian State Painting Collections
Sea Bay,Bay,Q651823,5,0,2,"commune in Haute-Saône, France",,Q484170,,"Bay, Haute-Saône"
Sea Bay,Bayreuth,Q3923,5,0,2,"a medium-sized town in northern Bavaria, Germany, on the Red Main river in a valley between the Franconian Jura and the Fichtel Mountains",Baireuth,Q42744322|Q85631896,,Bayreuth
Sea Bay,Bayonne,Q134674,5,0,2,"commune in Pyrénées-Atlantiques, France",Baiona|Bayona,Q484170,,Bayonne
Sea Bay,Bay,Q63763,5,0,2,municipality of the Philippines in the province of Laguna,"Municipality of Bay|Bay, Laguna",Q24764,,"Bay, Laguna"
Sea Bay,Bay,Q16531938,5,0,2,"former commune in Ardennes, France",,Q484170|Q666943,,
Sea Bay,Massachusetts,Q771,5,0,2,state of the United States of America,"Bay State|Commonwealth of Massachusetts|Mass.|The Commonwealth of Massachusetts|Massachusetts, United States|State of Massachusetts|The Bay State|Massachusetts (U.S. state)|6th State|Taxachusetts|Massachusetts state|Masshole Commonwealth|Commonwealth of MA",Q35657,,Massachusetts
Sea Bay,BMW,Q26678,5,0,2,"German automobile manufacturer, and conglomerate",Bavarian Motor Works|Bayrische Motoren Werke|Bayerische Motorenwerke|B.M.W.,Q6881511|Q786820|Q15081030|Q891723,,BMW
Sea Bay,Southeast Asia,Q11708,5,0,2,south-eastern region of Asia,"Southeastern Asia|South-east Asia|South East Asia|SE Asia|Asia, Southeastern|SEA",Q82794,,Southeast Asia
Sea Bay,SeaLifeBase,Q7439813,5,0,2,global online database of information about marine life,,Q4117139|Q7094076|Q5570651|Q35127,,SeaLifeBase
Sea Bay,Seattle–Tacoma International Airport,Q14295,5,0,2,"airport in SeaTac, Washington, USA",Sea–Tac|SeaTac|KSEA|Seattle Tacoma International Airport|Seattle-Tacoma International Airport|Sea-Tac|Sea-Tac Airport|Sea–Tac Airport|SEA|SEA Airport,Q644371|Q1248784|Q94993988,,Seattle–Tacoma International Airport
Sea Bay,Seattle,Q5083,5,0,2,"city in and county seat of King County, State of Washington, United States","Seattle, Washington|Seattle, WA|Duwamps|New York Alki|Emerald City",Q1093829|Q62049|Q1549591,,Seattle
Sea Bay,Sea,Q3476636,5,0,2,genus of insects,,Q16521,,
Sea Bay,sea,Q165,5,0,2,large body of saline water,seas,,Q2507626|Q116126039|Q116126228,Sea
Sea Bay,COVID-19,Q84263196,5,0,2,contagious disease caused by SARS-CoV-2,coronavirus disease 2019|nCOVD-19|2019-nCoV acute respiratory disease|Novel Coronavirus Pneumonia|Covid-19|Severe Acute Respiratory Syndrome Coronavirus 2|Wuhan respiratory syndrome|severe acute respiratory syndrome type 2|nCOVD 19|CD-19|SARS-CoV-2|2019 novel coronavirus pneumonia|Wuhan pneumonia|COVID|COVID 19|Coronavirus disease 2019|nCOVD19|2019 NCP|COVID19|2019 novel coronavirus respiratory syndrome|seafood market pneumonia|SARS-CoV-2 infection|COVID-2019|WuRS,Q112193867,Q2633267|Q18975243|Q2603200|Q182672|Q107295072|Q12192|Q609748,COVID-19
Sea Bay,ocean,Q9430,5,0,2,very large body of saline water,sea|oceans|oceanic,,Q35145263|Q15324|Q116126039|Q116126228,Ocean
Sea Bay,Sean,Q19801202,5,0,2,male given name,Sean (given name)|Sean (first name),Q12308941,,Sean
Sea Bay,Sea of Japan,Q27092,5,0,2,"marginal sea between Japan, Russia, and Korea",East Sea|East Sea of Korea,Q204894,,Sea of Japan
Snu Cove,,,6,0,0,,,,,
Tea Tree Ba,Tea Tree Bay,Q21951109,7,0,1,bight in Australia,,Q17018380,,
Tea Tree Ba,Tea Tree Bay,Q21952057,7,0,1,"bight in Queensland, Australia",,Q17018380,,
Tea Tree Ba,Tea-Tree Bay,Q21951366,7,0,1,"bight in Tasmania, Australia",,Q17018380,,
Tea Tree Ba,Tea-Tree Bay,Q21951365,7,0,1,bight in Australia,,Q17018380,,
Tea Tree Ba,Tea Tree Bay,Q21951989,7,0,1,"bight in South Australia, Australia",,Q17018380,,
Tea Tree Ba,Tea Tree Bay,Q102262264,7,0,1,Czech company,,Q4830453|Q6881511,,
Tea Tree Ba,Tea-Tree Bay Conservation Area,Q139747993,7,0,1,"conservation area in Tasmania, Australia",Tea-Tree Bay,Q936257,,
Tea Tree Ba,Tea-Tree Bay,Q22211922,7,0,1,Wikimedia disambiguation page,,Q4167410,,
Tea Tree Ba,Tea Tree Bay,Q22211902,7,0,1,Wikimedia disambiguation page,,Q4167410,,
Shoal ay,Shoal Bay,Q29197572,8,0,2,"suburb of Darwin, Northern Territory","Shoal Bay, Northern Territory|Shoal Bay, Northern Territory, Australia",Q188509,,"Shoal Bay, Northern Territory"
Shoal ay,Shoal Bay,Q3482425,8,0,2,"locality in New South Wales, Australia","Shoal Bay, New South Wales|Shoal Bay, New South Wales, Australia",Q188509,,"Shoal Bay, New South Wales"
Shoal ay,Shoal Bay,Q7499724,8,0,2,"bay in Newfoundland and Labrador, Canada",,Q39594,,Shoal Bay (Newfoundland and Labrador)
Shoal ay,Shoal Bay,Q7499722,8,0,2,"bay in the Beagle Gulf, Northern Territory, Australia",,Q39594,,Shoal Bay (Darwin)
Shoal ay,Shoal Bay,Q7499720,8,0,2,"bay in British Columbia, Canada","Shoal Bay, British Columbia",Q39594,,"Shoal Bay, British Columbia"
Shoal ay,Shoal Bay,Q49391951,8,0,2,"bay on the North Shore, New Zealand",Oneoneroa / Shoal Bay|Oneoneroa,Q39594,,"Shoal Bay, New Zealand"
Shoal ay,Shoal Bay,Q22615840,8,0,2,"bay in Nova Scotia, Canada",,Q39594,,
Shoal ay,Shoal Bay,Q21952327,8,0,2,,,Q17018380,,
Shoal ay,Shoal Bay,Q49391949,8,0,2,,,,,
Shoal ay,Shoal Bay,Q21895633,8,0,2,"bay in Northern Territory, Australia",,Q39594,,
rigjt Bay,,,9,0,0,,,,,
ishry Bay,,,10,0,0,,,,,
Solitue Bay,Solitude Bay,Q21951884,11,0,2,bight in Australia,,Q17018380,,
Solitue Bay,Solitude Bay,Q32022595,11,0,2,"bight in Saint Croix, United States Virgin Islands, United States of America",,Q17018380,,
Solitue Bay,Solitude Bay,Q22218849,11,0,2,Wikimedia disambiguation page,,Q4167410,,
Swan By,1918 Swan by-election,Q7653544,12,0,1,Australian federal by-election,"Swan by-election, 1918",Q1057954,,1918 Swan by-election
Swan By,1940 Swan by-election,Q7653545,12,0,1,Australian federal by-election,"Swan by-election, 1940",Q1057954,,1940 Swan by-election
Swan By,Swan Bay,Q31410196,12,0,2,"suburb of Launceston, Tasmania, Australia","Swan Bay, Tasmania|Swan Bay, Tasmania, Australia",Q188509|Q98433835,,"Swan Bay, Tasmania"
Swan By,Swan Bay,Q7653420,12,0,2,"locality in Victoria, Australia","Swan Bay, Victoria|Swan Bay, Victoria, Australia",Q3257686,,"Swan Bay, Victoria"
Swan By,Swan Bay,Q7653418,12,0,2,"bay in Victoria, Australia",,Q39594,,Swan Bay
Swan By,Swan Bay,Q21957561,12,0,2,lake in Australia,,Q23397,,
Swan By,Swan Bay,Q21951114,12,0,2,,,Q17018380,,
Swan By,Swan Bay,Q49393354,12,0,2,bay on Lake Brunner / Moana in New Zealand,,Q39594,,
Swan By,Swan Bay,Q49393349,12,0,2,"bay in Burlington County, New Jersey, United States of America",,Q39594,,
Swan By,Swan Bay,Q22450931,12,0,2,"bay in North Coast Regional District, British Columbia, Canada",,Q39594,,
Swan By,Swan Bay,Q22450921,12,0,2,"bay in Columbia-Shuswap Regional District, British Columbia, Canada",,Q39594,,
Swan By,Swan Bay,Q21900127,12,0,2,bay in Australia,,Q39594,,
Chimne Corner,Chimney Corner,Q5099398,13,0,2,"human settlement in Nova Scotia, Canada","Chimney Corner, Nova Scotia|Cùil an t-Simileir",Q486972,,"Chimney Corner, Nova Scotia"
Chimne Corner,Chimney Corner,Q64581262,13,0,2,drawing in the National Gallery of Art (NGA 7016),,Q93184,,
Chimne Corner,Chimney Corner,Q5099397,13,0,2,"unincorporated community in Fayette County, West Virginia","Chimney Corner, West Virginia|Chimney Corner, WV",Q17343829,,"Chimney Corner, West Virginia"
Chimne Corner,Chimney Corner,Q31814493,13,0,2,"cliff in New Haven County, Connecticut, United States",,Q107679,,
Chimne Corner,Chimney Corner,Q21951729,13,0,2,bight in Australia,,Q17018380,,
Chimne Corner,Chimney Corner,Q22492890,13,0,2,"peninsula in Nova Scotia, Canada",,Q34763,,
Chimne Corner,Chimney Corner,Q29506530,13,0,2,Grade II listed building in Anglesey. At the W end of Castle Street at Chimney Corner.,,Q811979,,
Chimne Corner,Chimney Corner F.C.,Q651796,13,0,2,association football club,,Q476028,,Chimney Corner F.C.
Chimne Corner,Chimney Corner Beach,Q22492902,13,0,2,"beach in Nova Scotia, Canada",,Q40080,,
Chimne Corner,Chimney Corners Pond Dam,Q48982684,13,0,2,"dam in Berkshire County, Massachusetts, United States of America",,Q12323,,
Davis Bcy,,,14,0,0,,,,,
Gardn Bay,Garden Bay,Q20791874,15,0,2,bay in Michigan,,Q39594,,
Gardn Bay,Garden Bay,Q33584211,15,0,2,"bay in Delta County, Michigan, United States of America",,Q39594,,
Gardn Bay,Garden Bay,Q11813236,15,0,2,Holiday resort an dive site near Sharm el-Sheikh,,Q39594|Q2983893|Q317548,,
Gardn Bay,Garden Bay,Q22627320,15,0,2,"bay in Algoma District, Ontario, Canada",,Q39594,,
Gardn Bay,Garden Bay,Q32205093,15,0,2,"bay off Admiralty Bay in Marlborough Region, New Zealand",,Q39594,,
Gardn Bay,Garden Bay,Q32205079,15,0,2,"bay off the coast of D'Urville Island in Marlborough Region, New Zealand",,Q39594,,
Gardn Bay,Garden Bay,Q21951670,15,0,2,bight in Australia,,Q17018380,,
Gardn Bay,Garden Bay,Q22627330,15,0,2,"bay in Thunder Bay District, Ontario, Canada",,Q39594,,
Gardn Bay,Garden Bay,Q22627303,15,0,2,"bay in Manitoba, Canada",,Q39594,,
Gardn Bay,Garden Bay,Q21952224,15,0,2,"bay in New South Wales, Australia",,Q39594,,
