data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Soultzbach,Soultzbach-les-Bains,Q251631,0,0,1,"commune in Haut-Rhin, France",Bad Sulzbach|Solzbach|Sulzbe,Q484170,,Soultzbach-les-Bains
Soultzbach,Soultzbach,Q16677563,0,0,1,river in France,,Q47521,,
Soultzbach,Soultzbach,Q2304057,0,0,1,"river in Alsace, France",,Q4022,,Soultzbach (Sauer)
Soultzbach,Soultzbach,Q1761934,0,0,1,,,Q4022,,
Soultzbach,Fontaine de Soultzbach-les-Bains,Q14627846,0,0,1,,,Q483453,,
Soultzbach,Soultzbach,Q1599985,0,0,1,Wikimedia disambiguation page,,Q4167410,,
Soultzbach,Soultzbach-les-Bains,Q251631,1,0,1,"commune in Haut-Rhin, France",Bad Sulzbach|Solzbach|Sulzbe,Q484170,,Soultzbach-les-Bains
Soultzbach,Soultzbach,Q16677563,1,0,1,river in France,,Q47521,,
Soultzbach,Soultzbach,Q2304057,1,0,1,"river in Alsace, France",,Q4022,,Soultzbach (Sauer)
Soultzbach,Soultzbach,Q1761934,1,0,1,,,Q4022,,
Soultzbach,Fontaine de Soultzbach-les-Bains,Q14627846,1,0,1,,,Q483453,,
Soultzbach,Soultzbach,Q1599985,1,0,1,Wikimedia disambiguation page,,Q4167410,,
Seez,Séez,Q929303,2,0,1,"commune in Savoie, France",,Q484170,,"Séez, Savoie"
Seez,Seez,Q118499713,2,0,1,family name,,Q101352,,
Seez,Seez,Q679177,2,0,1,river in Switzerland,,Q4022|Q355304,,
Seez,Seez,Q60666320,2,0,1,Japanese record label,SEEZ Records,Q18127,,
Seez,seiza,Q1426744,2,0,1,"method of sitting traditional to Japan and having a connotation of respect, seriousness, or ceremony",sehza|seeza|heel seat|Seiza,Q8514257,Q1144593|Q8866546,Seiza
Seez,Seezyn,Q125973480,2,0,1,American rapper,Carl Chaney,Q5,,
Seez,Seezy,Q126198781,2,0,1,French songwriter,,Q5,,
Seez,Seezen,Q131155737,2,0,1,family name,,Q101352,,
Seez,Seezn,Q76940569,2,0,1,KT Studio Genie OTT Service,SEEZN TV,Q63241860|Q35127,,
Seez,Seezo,Q110476531,2,0,1,,,Q4830453,,
Hartmecke,Hartmecke,Q1422327,3,0,1,river in Germany,,Q4022,,Hartmecke
Hartmecke,Hartmecke,Q1587352,3,0,1,human settlement in Germany,,Q253019,,
Uluy,Uluy,Q12567853,4,0,1,"river in Krasnoyarsk Krai, Russia",,Q4022,,
Uluy,Uluy,Q483556,4,0,1,"river in Kirov Oblast, Russia",,Q4022,,
Uluy,Uluyatır,Q4831150,4,0,1,"mahalle (administrative quarter) in Nizip, Gaziantep, south-central Turkey",,Q815324|Q17051044,,"Uluyatır, Nizip"
