data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Tatranská Polianka,Tatranská Polianka,Q104658274,0,0,1,"railway station in Vysoké Tatry, Slovakia",,Q55488,,
Tatranská Polianka,Tatranská Polianka,Q897165,0,0,1,part of the town of Vysoké Tatry in Slovakia,Tatranska Polianka,Q3257686|Q2983893,,
Tatranská Polianka,Tatra Mountains,Q194263,0,0,2,mountain range on the Polish–Slovak border,Tatry,Q46831|Q3491088,,Tatra Mountains
Tatranská Polianka,Tatra Mountains,Q117215435,0,0,2,painting by Ferdyš Duša,,Q3305213,,
Tatranská Polianka,Tatra Mountains Mathematical Publications,Q96334192,0,0,2,Slovak scientific journal,,Q5633421,,
Hochdahl,Hochdahl,Q1355151,1,0,1,human settlement in Germany,,Q2983893,,
Hochdahl,Hochdahl station,Q1982807,1,0,1,"railway station in Erkrath, Germany",,Q55488,,Hochdahl station
Hochdahl,Hochdahl-Millrath station,Q5875357,1,0,1,"railway station in Erkrath, Germany",,Q55488,,Hochdahl-Millrath station
Hochdahl,Hochdahler Straße,Q131537186,1,0,1,"street in Düsseldorf, Germany",,Q79007,,
Hochdahl,Hochdahler Weg,Q100896990,1,0,1,"street in Wuppertal, North Rhine-Westphalia, Germany",,Q79007,,
Hochdahl,Dahlen,Q16869383,1,0,2,family name,Dahlen (surname),Q101352,,Dahlen (surname)
Hochdahl,Dahlen,Q12043,1,0,2,"town in the district Nordsachsen, in the Free State of Saxony, Germany",,Q42744322,,"Dahlen, Saxony"
Hochdahl,Dahlenheim,Q21217,1,0,2,"commune in Bas-Rhin, France",,Q484170,,Dahlenheim
Hochdahl,Dahlene N Fusco,Q114367228,1,0,2,researcher,Dahlene Fusco,Q5,,
Hochdahl,Dahlener Straße,Q101092544,1,0,2,"street in Torgau, Saxony, Germany",,Q79007|Q15709582,,
Hochdahl,Dahlén,Q27877610,1,0,2,family name,,Q101352,,
Hochdahl,Dahlen,Q706259,1,0,2,"human settlement in Stendal, Germany",,Q253019|Q262166,,"Dahlen, Saxony-Anhalt"
Hochdahl,Reiner Dahlen,Q24175449,1,0,2,"German painter, 1836-1874",Rainer Dahlen|reiner Dahlen|Dahlen|rainer dahlen,Q5,,
Hochdahl,Dalen,Q65230687,1,0,2,village in Finland,Dals|Dahlen|Dahls,Q47254761,,
Hochdahl,Dahlener Straße,Q110735960,1,0,2,street in Torgau in Germany,,Q79007|Q896009,,
Hochdahl,Dahl,Q1158580,1,0,2,family name,Dahl (surname)|Dáhl,Q101352,,Dahl (surname)
Hochdahl,Dahlia,Q130918,1,0,2,genus of plants,,Q16521,Q886167,Dahlia
Hochdahl,Dahl,Q64866071,1,0,2,given name,,Q202444,,
