data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
ustralian Drlvers' Championship,,,0,0,0,,,,,
IJF Worl Tour Tel Aviv,IJF World Tour,Q11223998,1,0,2,judo tour,,Q18608583,Q108761755,IJF World Tour
IJF Worl Tour Tel Aviv,IJF World Tour Baku,Q3534196,1,0,2,Judo Competitions,,Q13406554|Q18608583,Q13406554,
IJF Worl Tour Tel Aviv,IJF World Tour Abu Dhabi,Q16680659,1,0,2,Judo Competitions,,Q13406554|Q18608583,Q13406554,
IJF Worl Tour Tel Aviv,IJF World Tour Russia,Q3534194,1,0,2,Judo competitions,,Q13406554|Q18608583,Q13406554,Judo Grand Slam in Russia
IJF Worl Tour Tel Aviv,IJF World Tour Düsseldorf,Q3534198,1,0,2,judo competition,,Q13406554|Q18608583,Q13406554,Judo Grand Slam in Germany
IJF Worl Tour Tel Aviv,IJF World Tour Turkey,Q16680753,1,0,2,Judo Competitions,,Q13406554|Q18608583,Q13406554,
IJF Worl Tour Tel Aviv,IJF World Tour Tashkent,Q16680763,1,0,2,Judo competitions,,Q13406554|Q18608583,Q11223998,
IJF Worl Tour Tel Aviv,IJF World Tour Budapest,Q3329708,1,0,2,judo competition,,Q13406554|Q18608583,Q13406554,
IJF Worl Tour Tel Aviv,IJF World Tour Tbilisi,Q3329729,1,0,2,Judo Competitions,,Q13406554|Q18608583,Q13406554,
IJF Worl Tour Tel Aviv,IJF World Tour China,Q55025820,1,0,2,Judo competitions,,Q13406554|Q18608583,Q11223998,
Drive in Arena,Drive in Arena,Q18191321,1,1,1,sports arena in Tel Aviv,,Q641226,,Shlomo Group Arena
Súper,Super Nintendo Entertainment System,Q183259,2,0,1,fourth-generation home video game console by Nintendo,Super NES|SNES|Super Nintendo|Super Famicom|Nintendo Super-NES|Nintendo SNES|Nintendo 16-bit|Super Nintendo 16-bit|SNES 16-bit|SFC|Super Comboy,Q62008942,Q17589470,Super Nintendo Entertainment System
Súper,supercomputer,Q121117,2,0,1,type of extremely powerful computer,,Q716676,Q68,Supercomputer
Súper,supernova,Q3937,2,0,1,star exploding at the end of its stellar lifespan,SN|SNe|supernovae|SNO,Q17444909,Q523|Q179057|Q751989,Supernova
Súper,Mario,Q12379,2,0,1,fictional character in the Mario video game franchise,Super Mario|Mario Mario|Mr. Video|Jumpman|Mario (character),Q15632617|Q87576284|Q80447738|Q15773317|Q15773347|Q1569167|Q386208|Q33093124|Q17564712|Q15711870,,Mario
Súper,superconductivity,Q124131,2,0,1,electrical conductivity with exactly zero resistance,,Q3457198|Q96253971,Q4593291|Q230855,Superconductivity
Súper,magic,Q81741,2,0,1,rituals or actions employed to manipulate natural or supernatural beings and forces,supernatural magic|paranormal magic|occult magic|wizardry|witchcraft|magick,Q80837,Q178934,Magic (supernatural)
Súper,superlative,Q1817208,2,0,1,degree of comparison for adjectives and adverbs,,Q123964806,Q4423888,Superlative
Súper,Super,Q37318743,2,0,1,family name,,Q101352,,
Súper,pensioner,Q1749879,2,0,1,"person who collects a pension, most commonly because of a retirement from the workforce",superannuitant|retired person|OAP,Q12737077|Q189970,Q215627,Pensioner
Súper,higher education institution,Q38723,2,0,1,"institution that provides higher education (e.g., universities, vocational universities, community colleges, liberal arts colleges, institutes of technology, and others)",institution of higher education|Higher Education school|HEI|Superior Institute,Q112872396,Q2385804,Higher education institution
Súper,supermarket,Q180846,2,0,2,large form of the traditional grocery store,SM|mega mart,,Q1295201|Q13226383|Q655686|Q726870|Q213441,Supermarket
Súper,Supermarket,Q135073578,2,0,2,video game developed by Crispy Codeworks,,Q7889,,
Súper,Supermarket,Q135072445,2,0,2,video game developed by Grinding Simulator Games,,Q7889,,
Súper,Supermarket,Q135074339,2,0,2,video game developed by Aisle 5 Games,,Q7889,,
Súper,supermarket chain,Q18043413,2,0,2,"supermarkets that share a brand and central management, and usually have standardized business methods and practices",grocery store chain|grocery chain|chain of supermarkets,,Q132777643,
Súper,Supermarket,Q15849655,2,0,2,1974 film by Roland Klick,Supermarkt,Q11424,,Supermarket (1974 film)
Súper,Supermarket,Q7643948,2,0,2,album by Rockfour,,Q482994,,Supermarket (Rockfour album)
Súper,Supermarket,Q114523494,2,0,2,episode of The Mr. Men Show (S2 E26),,Q21191270,,
Súper,Supermarket Mania,Q85078150,2,0,2,2008 video game,,Q7889,,
Súper,Supermarket,Q9348254,2,0,2,album by Formacja Nieżywych Schabuff,,Q482994,,
Súper,Superstore,Q19863018,2,0,2,American sitcom,,Q5398426,,Superstore (TV series)
Súper,hypermarket,Q750656,2,0,2,big-box store combining a supermarket and a department store,superstore,Q11541377,Q180846|Q16766413,Hypermarket
Súper,Superstore,Q115624477,2,0,2,2022 album by Sam Gendel,,Q482994,,
Súper,big-box store,Q16766413,2,0,2,"physically large retail establishment, usually part of a chain of stores",megastore|supercenter|superstore,Q11541377,Q213441,Big-box store
Súper,Superstore,Q114521268,2,0,2,episode of The Mr. Men Show (S1 E42),,Q21191270,,
Súper,"Superstore, season 4",Q56899609,2,0,2,season of television series,Superstore (season 4),Q3464665,,Superstore season 4
Súper,"Superstore, season 2",Q27704840,2,0,2,season of television series,,Q3464665,,Superstore season 2
Súper,"Superstore, season 3",Q39069784,2,0,2,season of television series,,Q3464665,,Superstore season 3
Súper,"Superstore, season 5",Q85847472,2,0,2,season of Superstore,,Q3464665,,Superstore season 5
Súper,Real Canadian Superstore,Q7300856,2,0,2,Canadian chain of supermarkets and subsidiary of the Loblaw Companies,Superstore|The Real Canadian Superstore|Loblaw Superstore,Q4830453,,Real Canadian Superstore
Trofeu Vil-real CF,,,3,0,0,,,,,
Vila-real,Villarreal,Q12292,3,1,1,"city in the province of Castellón, in the Valencian Community, Spain",Vila Real|Villareal,Q2074737|Q515|Q123754112,,Villarreal
Vila-real,Vila Real,Q503856,3,1,1,municipality in Portugal,Vila Real Municipality|Vila Real de Trás-os-Montes|Vila Real de Panóias,Q13217644,,Vila Real
Vila-real,Vila Real,Q3349006,3,1,1,civil parish in Vila Real,"União das Freguesias de Vila Real (Nossa Senhora da Conceição, São Pedro e São Dinis)|Freguesia de Vila Real",Q1131296,,
Vila-real,Vila Real,Q49278400,3,1,1,city seat of Vila Real municipality,,Q15647906|Q15303838,,
