data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Glen avi,,,0,0,0,,,,,
oopabarabran,,,1,0,0,,,,,
oolamon,,,2,0,0,,,,,
Koaikanal,,,3,0,0,,,,,
Ellisto,Elliston,Q37449433,4,0,1,family name,,Q101352,,
Ellisto,Ellistown and Battleflat,Q5366078,4,0,1,"civil parish in Leicestershire, United Kingdom","Ellistown and Battleflat (civil parish), Leicestershire|Ellistown and Battleflat, Leicestershire",Q1115575,,Ellistown and Battleflat
Ellisto,Elliston Campbell,Q116158560,4,0,1,Australian engineer,Elliston F. Campbell|Elliston Fauna Campbell|E. F. Campbell,Q5,,
Ellisto,Elliston,Q1332499,4,0,1,local government area in South Australia,District of Elliston,Q55558027,,District Council of Elliston
Ellisto,Elliston,Q5366069,4,0,1,"town in Newfoundland and Labrador, Canada",,Q44529188,,"Elliston, Newfoundland and Labrador"
Ellisto,Elliston,Q3723553,4,0,1,town in South Australia,"Elliston, South Australia|Elliston, South Australia, Australia",Q3957,,"Elliston, South Australia"
Ellisto,Elliston,Q966661,4,0,1,"census designated place in Powell County, Montana, United States","Elliston, MT",Q498162,,"Elliston, Montana"
Ellisto,Elliston Perot Bissell,Q124899249,4,0,1,"American architect, active in Pennsylvania",,Q5,,
Ellisto,Elliston Perot Walker,Q131862750,4,0,1,American botanist,E. Perot Walker|E. P. Walker,Q5,,
Ellisto,Elliston,Q5366070,4,0,1,"census-designated place in Montgomery County, Virginia","Elliston, Virginia|Elliston, VA",Q498162|Q17343829,,"Elliston, Virginia"
Kenmcre,,,5,0,0,,,,,
Eoalville,,,6,0,0,,,,,
Cardign,Cardigna,Q18452786,7,0,1,human settlement in Italy,,Q486972,,
Cardign,Cardigan,Q97631372,7,0,2,2020 single by Taylor Swift,,Q134556,,Cardigan (song)
Cardign,Cardiganshire,Q645155,7,0,2,historic county of Wales,County of Cardigan,Q1857731|Q67376938,,
Cardign,Cardigan,Q779813,7,0,2,"town and community in Ceredigion, Wales","Cardigan, Ceredigion|Cardigan, Wales|Aberteifi",Q3957|Q2630741,,"Cardigan, Ceredigion"
Cardign,Ceredigion,Q1077398,7,0,2,"Parliamentary constituency in the United Kingdom, 1997-2024",Cardiganshire|Cardigan,Q27971968,,Ceredigion (UK Parliament constituency)
Cardign,Ceredigion,Q217829,7,0,2,"principal area in mid-Wales, corresponding to the historic county of Cardiganshire",Cardiganshire|County of Ceredigion|Ceredigion County,Q15979307|Q28575,,Ceredigion
Cardign,cardigan,Q877140,7,0,2,type of knitted garment that has an open front,,,Q232191,Cardigan (sweater)
Cardign,Cardigan,Q2938039,7,0,2,"federal electoral district in Prince Edward Island, Canada (Since 1968)",,Q15063391|Q17202187,,Cardigan (electoral district)
Cardign,Cardiganshire,Q101170463,7,0,2,"Parliamentary constituency in the United Kingdom, 1801-1983",Cardigan|Ceredigion,Q27971968,,
Cardign,Cardigan,Q60576227,7,0,2,Constituency of the Parliament of England (to 1707),,Q27990982,,
Cardign,Cardigan Boroughs,Q5038499,7,0,2,"Parliamentary constituency in the United Kingdom, 1801-1885",Cardigan District of Boroughs|Cardigan,Q27971968,,Cardigan (UK Parliament constituency)
Cardign,Cardigan Bay,Q747189,7,0,2,bay in Wales,,Q39594,,Cardigan Bay
Cardign,Cardigan Bay,Q5038501,7,0,2,racehorse,,Q726,,Cardigan Bay (horse)
Cardign,Cardigan Bay,Q106318558,7,0,2,ship built in 1972,IMO 7207140,Q17210,,
Cardign,Cardigan Bay,Q22435362,7,0,2,"bay in Prince Edward Island, Canada",,Q39594,,
Cardign,Cardigan Bay,Q119129779,7,0,2,"painting by Frederick William Hayes (1848–1918), Bangor University",,Q3305213,,
Cardign,Cardigan Bay,Q119069207,7,0,2,"painting by David Cox the elder (1783–1859), National Museum Wales, National Museum Cardiff",,Q3305213,,
Cardign,Cardigan Bay,Q119769467,7,0,2,"painting by Philip Richard Morris (1836–1902), Guildhall Art Gallery",,Q3305213,,
Cardign,"Cardigan Bay (map), Sheet 52N-06W, 1:250000 series, solid geology",Q113175997,7,0,2,map published in 1982,,Q4006,,
Cardign,Cardigan Bay (South) Marine Character Area,Q104825559,7,0,2,marine geographic area in Wales,MCA 16,Q104825463,,
Cardign,Cardigan Bay North and Estuaries Marine Character Area,Q104825557,7,0,2,marine geographic area in Wales,MCA 15,Q104825463,,
