data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Strathalbyn,Strathalbyn,Q7622017,0,0,1,town in South Australia,"Strathalbyn, South Australia|Strathalbyn, South Australia, Australia",Q3957,,"Strathalbyn, South Australia"
Strathalbyn,Strathalbyn,Q61982437,0,0,1,electoral ward of Alexandrina Council,Strathalbyn ward,Q61961075,,
Strathalbyn,Strathalbyn,Q7622019,0,0,1,"suburb of Geraldton, Western Australia","Strathalbyn, Western Australia|Strathalbyn, Western Australia, Australia",Q188509,,"Strathalbyn, Western Australia"
Strathalbyn,STRATHALBYN,Q123619246,0,0,1,"weather station in Western Australia, Australia from 1926 to 1991",009577,Q190107,,
Strathalbyn,Strathalbyn,Q97987859,0,0,1,Steam Trawler built in Aberdeen in 1929,,Q11446,,
Strathalbyn,STRATHALBYN,Q123627519,0,0,1,"weather station in Queensland, Australia from 1956 to 1991",042047,Q190107,,
Strathalbyn,STRATHALBYN,Q123622955,0,0,1,"weather station in State of South Australia, Australia from 1861",023747|94810,Q190107,,
Strathalbyn,Strathalbyn Ward,Q61961135,0,0,1,former electoral ward of Alexandrina Council,,Q61961075,,
Strathalbyn,Strathalbyn railway station,Q130052559,0,0,1,"railway station in South Australia, Australia",,Q55488,,Strathalbyn railway station
Strathalbyn,Strathalbyn Road,Q6722936,0,0,1,road in South Australia,Macclesfield Road,Q34442,,Strathalbyn Road
Stratford,Stratford-upon-Avon,Q189288,1,0,1,"town in Warwickshire, England",,Q3957|Q1115575,,Stratford-upon-Avon
Stratford,Stratford,Q755140,1,0,1,"town in Fairfield County, Connecticut, United States","Stratford, Connecticut|Stratford, CT",Q2154459,,"Stratford, Connecticut"
Stratford,Stratford,Q20727133,1,0,1,family name,,Q101352,,Stratford (surname)
Stratford,Stratford,Q3500095,1,0,1,"municipality in Estrie, Quebec, Canada","Stratford, Quebec",Q27676422|Q19730508|Q27676422,,"Stratford, Quebec"
Stratford,Stratford,Q982803,1,0,1,"town in and county seat of Sherman County, Texas, United States","Stratford, Texas|Stratford, TX",Q15127012|Q62049,,"Stratford, Texas"
Stratford,Stratford,Q7621911,1,0,1,"town in Victoria, Australia","Stratford, Victoria|Stratford, Victoria, Australia",Q3957|Q45242174,,"Stratford, Victoria"
Stratford,Stratford railway station,Q801480,1,0,1,major multi-level station serving the district of Stratford in the London Borough of Newham; interchange with the tube/DLR station of the same name,SRA|Stratford station,Q55488,,Stratford station
Stratford,Stratford tube station,Q3500092,1,0,1,London Underground station,Stratford Underground station,Q14562709|Q1342434|Q11606300|Q1779831|Q22808404,,
Stratford,Stratford,Q740756,1,0,1,"city in Ontario, Canada","Stratford, Ontario|Stratford, ON|City of Stratford",Q6593035|Q515,,"Stratford, Ontario"
Stratford,Stratford station,Q7621941,1,0,1,"railway station in Stratford, Connecticut, United States",Stratford,Q55488,,Stratford station (Connecticut)
Stratford,Stratford-upon-Avon,Q24667668,1,0,2,Wikimedia duplicated page,"Stratford-upon-Avon, Warwickshire",Q17362920,,
Stratford,Stratford-upon-Avon railway station,Q1941516,1,0,2,"railway station in Stratford-upon-Avon, Stratford-on-Avon, England, UK",Stratford-upon-Avon Station|SAV,Q55488,,Stratford-upon-Avon railway station
Stratford,Stratford-upon-Avon Canal,Q7621930,1,0,2,"canal in the West Midlands, United Kingdom",,Q12284,,Stratford-upon-Avon Canal
Stratford,Stratford-upon-Avon College,Q7621933,1,0,2,"general further education college in Stratford-upon-Avon, Warwickshire, England",,Q3914,,Stratford-upon-Avon College
Stratford,"Stratford-upon-Avon and Midland Junction Railway, Blisworth to Broom North Junction",Q113407751,1,0,2,railway line in United Kingdom,SJT1,Q728937|Q113990375,,
Stratford,Stratford-upon-Avon and Midland Junction Railway,Q7621937,1,0,2,UK railway line,Stratford-upon-Avon & Midland Junction Railway,Q249556|Q728937,,Stratford-upon-Avon and Midland Junction Railway
Stratford,Stratford-upon-Avon High School,Q7621935,1,0,2,"Warwickshire, England",,Q9826,,Stratford-upon-Avon School
Stratford,"Stratford-upon-Avon and Midland Junction Railway, Towcester to Ravenstone Wood Junction",Q113450227,1,0,2,railway line in United Kingdom,SJT3,Q728937|Q113990375,,
Stratford,"Stratford-upon-Avon and Midland Junction Railway, Towcester to Cockley Brake",Q113450109,1,0,2,railway line in United Kingdom,SJT2,Q728937|Q113990375,,
Stratford,Stratford,Q9080055,1,0,2,"census designated place in Connecticut, United States","Stratford, Connecticut|Stratford, CT",Q498162,,
Stratford,Stratford,Q1083856,1,0,2,"borough in Camden County, New Jersey, United States","Stratford, New Jersey|Stratford, NJ",Q2911266,,"Stratford, New Jersey"
Stony Creek,Stony Creek,Q22407375,2,0,1,"stream in Kawartha Lakes, Ontario, Canada",,Q47521,,
Stony Creek,Stony Creek,Q22407331,2,0,1,"stream in Norfolk County, Ontario, Canada",,Q47521,,
Stony Creek,Stony Creek,Q1373878,2,0,1,"town in Virginia, United States","Stony Creek, Virginia|Stony Creek, VA",Q15127012,,"Stony Creek, Virginia"
Stony Creek,Stony Creek,Q7619534,2,0,1,"village in Branford, Connecticut","Stony Creek, Branford|Stony Creek, Connecticut",Q17343829,,Stony Creek (Branford)
Stony Creek,Stony Creek,Q7619533,2,0,1,"town in South Gippsland, Victoria, Australia","Stony Creek, Victoria|Stony Creek, South Gippsland , Victoria, Australia|Stony Creek, Victoria, Australia",Q3957,,"Stony Creek, Victoria"
Stony Creek,Stony Creek,Q16900757,2,0,1,"locality in Queensland, Australia","Stony Creek, Queensland|Stony Creek, Queensland, Australia",Q3257686,,"Stony Creek, Queensland"
Stony Creek,Stony Creek,Q42843214,2,0,1,"locality in Central Goldfields, Victoria, Australia","Stony Creek, Victoria|Stony Creek, Central Goldfields , Victoria, Australia|Stony Creek, Victoria, Australia",Q3257686,,
Stony Creek,Stony Creek,Q29019965,2,0,1,electrical substation,T178,Q174814,,
Stony Creek,Stony Creek,Q3708819,2,0,1,"human settlement in Warren County, New York, United States of America","Stony Creek, New York|Stony Creek, NY",Q15127012|Q106071004,,"Stony Creek, New York"
Stony Creek,Stony Creek,Q42843750,2,0,1,"locality in Bega Valley, New South Wales, Australia","Stony Creek, Bega Valley , New South Wales, Australia|Stony Creek, New South Wales, Australia|Stony Creek, New South Wales",Q3257686,,
Stonehenge,Stonehenge,Q39671,3,0,1,"Neolithic henge monument in Amesbury, Wiltshire, England, UK","Stonehenge, the Avenue, and Three Barrows Adjacent to the Avenue Forming Part of a Round Barrow Cemetery on Countess Farm",Q935773|Q4989906|Q839954|Q16735822|Q1035294,,Stonehenge
Stonehenge,Stonehenge,Q47007211,3,0,1,"locality in Tasmania, Australia","Stonehenge, Tasmania|Stonehenge, Tasmania, Australia",Q3257686|Q98433835,,"Stonehenge, Tasmania"
Stonehenge,Stonehenge,Q1291822,3,0,1,Hungarian musical group; progressive metal band,,Q215380,,
Stonehenge,9325 Stonehenge,Q748748,3,0,1,asteroid,Stonehenge|1989 GG4,Q3863,,9325 Stonehenge
Stonehenge,Stonehenge,Q14213916,3,0,1,group of offshore dive sites near Duiker Point of the Cape Peninsula west coast,,Q26205080|Q2141554|Q41768382,,
