data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Sevenh-day Adventist Church,Seventh-day Adventist Church,Q104319,0,0,2,Christian denomination,Seventh-day Adventism|SDA,Q879146|Q94670589|Q43229,,Seventh-day Adventist Church
Sevenh-day Adventist Church,New Gallery,Q7007729,0,0,2,"church building in London, England, originally an art gallery, then cinema, church, store",New Gallery Restaurant|New Gallery Cinema|Seventh-day Adventist Church|Habitat|Burberry|New Gallery Kinema,Q1007870|Q41253|Q16970|Q213441,,New Gallery (London)
Sevenh-day Adventist Church,Seventh-Day Adventist Church,Q107798228,0,0,2,"church located in Paris, in France",Église adventiste du septième jour,Q16970,,
Sevenh-day Adventist Church,Seventh Day Adventist Church,Q68880967,0,0,2,,,Q16970,,
Sevenh-day Adventist Church,Seventh Day Adventist Church,Q99452926,0,0,2,chapel in Newport,,Q108325,,
Sevenh-day Adventist Church,Seventh-day Adventist Church congregation,Q108514333,0,0,2,local church organisation,,,Q2638480,
Sevenh-day Adventist Church,Seventh-day Adventist Church,Q138299942,0,0,2,church in Sint Eustatius,,Q16970,,
Sevenh-day Adventist Church,Seventh-day Adventist Church,Q137861542,0,0,2,"church building in Barnsley, South Yorkshire, England, UK",Ashfield Working Mens Club|Ashfield WMC|The Ashfield Club,Q17148672|Q16970,,
Sevenh-day Adventist Church,Seventh-Day Adventist Church,Q105281392,0,0,2,"church building in Wilhelmshaven, Germany",,Q16970,,
Sevenh-day Adventist Church,Seventh-day Adventist Church,Q106500004,0,0,2,"church building in Düsseldorf, Germany",,Q16970,,
Sevenh-day Adventist Church,Adventist Church of Finland,Q56398767,0,0,2,Finnish adventist denomination,,Q879146,,Adventist Church of Finland
Sevenh-day Adventist Church,Adventist church Hof,Q116035884,0,0,2,"Adventist church in Hof (Saale), Bavaria, Germany",Adventist congregation Hof|Seventh-day Adventist Free Church in Hof,Q104319,,
Sevenh-day Adventist Church,Adventist church in Londýnská,Q111985923,0,0,2,church in Prague,,Q16970,,
Sevenh-day Adventist Church,Adventist Church (Navoiy),Q123151800,0,0,2,"church in APARTMENT , Uzbekistan",,Q16970,,Adventist Church (Navoiy)
Sevenh-day Adventist Church,Adventist Church of Promise,Q4686456,0,0,2,Brazilian Christian denomination (1932-),,Q879146,,Adventist Church of Promise
Sevenh-day Adventist Church,The Old English Gentleman Public House,Q26579328,0,0,2,"pub in City of Kingston upon Hull, East Riding of Yorkshire, England, UK",Adventist Church  Old English Gentleman Public House,Q212198,,
Sevenh-day Adventist Church,Adventist church of Hyvinkää,Q112586814,0,0,2,,,Q16970,,
Sevenh-day Adventist Church,Adventist church in Trutnov,Q116894065,0,0,2,"church in Trutnov, Czech Republic",,Q16970,,
Sevenh-day Adventist Church,Seventh Day Adventist,Q141054402,0,0,2,"church in Zagreb, Croatia",,,,
Sevenh-day Adventist Church,Seventh Day Adventist,Q99453374,0,0,2,Independent chapel in Tonypandy,,Q108325,,
Sevenh-day Adventist Church,Norse Seventh-Day Adventist Church Cemetery,Q117687974,0,0,2,"cemetery in Bosque County, Texas, United States",Seventh Day Adventist,Q39614,,
Sevenh-day Adventist Church,Seventh-day Adventist theology,Q3381150,0,0,2,theology of the Seventh-day Adventist Church,,,Q216545,Seventh-day Adventist theology
