data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Kfarshima,Kfarshima,Q3055952,0,0,1,human settlement in Lebanon,Kafr Shima,Q486972|Q23828039,,Kfarshima
Mar Mikhaël,Mar Mikhaël,Q18352478,1,0,1,75th sector of Beirut,Mar Mikhael,Q7444705|Q23828039,,Mar Mikhaël
Mar Mikhaël,Saint Nicolas Stairs,Q125292126,1,0,1,"stairs in Beirut, Lebanon",Saint Nicolas Staircase|Mar Mikhael Stairs|Mar Mikhail Staircase,Q12511,,
Beit Chlala,Beit Chlala,Q12200471,2,0,1,"village in North Governorate, Lebanon",,Q23828039,,Beit Chlala
Tayr Falsay,Tayr Falsay,Q12221993,3,0,1,"village in South Governorate, Lebanon",,Q23828039,,Tayr Felsay
Kfarhamam,Kfarhamam,Q6398697,4,0,1,human settlement in Lebanon,Kafar Hamam|Kfar Hamam|Kfar Hamâm,Q486972|Q532|Q23828039|Q3957,,Kfar Hamam
Qattine (Minieh-Danniyeh),Qattine (Minieh-Danniyeh),Q20404830,5,0,1,,,Q23828039,,
Qattine (Minieh-Danniyeh),Qattine,Q12233316,5,0,2,,,Q23828039,,
Qattine (Minieh-Danniyeh),Qattîne el Abiad,Q21581116,5,0,2,mountain in Lebanon,,Q8502,,
Qattine (Minieh-Danniyeh),Qattîne el Ahmar,Q21581117,5,0,2,mountain in Lebanon,,Q8502,,
Qattine (Minieh-Danniyeh),Qattîne Nasser,Q21578536,5,0,2,,,Q55471069,,
Zawarib,Zawarib,Q8067431,6,0,1,human settlement in Lebanon,,Q486972|Q23828039,,Zawarib
Qana,qanat,Q459297,7,0,1,"underground canal in hot and dry areas, to draw drinking water and process water from higher regions",karez|kariz|qanats|kanât|kanâts|fakkara|fakkaras|käris|khattaras|khettara|khettaras|kārīz|kārēz|aflaj|rhettaras|koriz,,Q12284|Q12719343|Q6129871|Q210272,Qanat
Qana,Ghana,Q117,7,0,1,country in West Africa,,Q3624078|Q6256,,Ghana
Qana,Qana,Q753812,7,0,1,village in South Lebanon,Cana|Kana,Q23828039|Q6936383|Q486972,,Qana
Qana,kana,Q187659,7,0,1,Japanese syllabary writing system using mainly the Hiragana syllabary with the Katakana syllabary for borrowings from other languages or les transcriptions from other scripts,Hiragana + Katakana|Hrkt|kana script|kanas,Q182133,Q182133|Q29517555|Q4004706|Q190502,Kana
Qana,"Cana, Yemen",Q28220311,7,0,1,"ancient port city in Yemen, mainly a trading port of spices from India and Eastern coast of Africa",Qana,,,"Cana, Yemen"
Qana,Qani,Q11944143,7,0,1,historic harbor in southern Arabia,Qana,Q839954|Q1291195,,
Qana,Qanatghestan Rural District,Q5680888,7,0,1,"rural district in Kerman, Iran",,Q15125752,,Qanatghestan Rural District
Qana,Qanavat Rural District,Q7266462,7,0,1,"rural district in Qom Province, Iran",,Q15125752,,Qanavat Rural District
Qana,Canatha,Q1032815,7,0,1,titular see,Canata|Qanawat,Q15217609,,
Qana,Qanawat,Q763167,7,0,1,village in Syria,Kanatha|Canatha,Q839954|Q532|Q16127605,,Qanawat
Qana,Suez Canal Road,Q111520366,7,0,2,street,Qanah Al Suez Road,Q79007,,
Qana,Wadi Qana cave,Q115687348,7,0,2,,Qanah River Cave,Q35509,,Wadi Qana cave
Kartaboun,Kartaboun,Q12232469,8,0,1,,,Q23828039,,
Boustane,Boustane,Q20395495,9,0,1,,,Q23828039,,
Boustane,Boustane Ain El Qantara,Q12198344,9,0,1,,,Q23828039,,
