data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Elektrostal Urban Okrug,Elektrostal Urban Okrug,Q27477665,0,0,1,human settlement in Russia,,Q13626398,,
Elektrostal Urban Okrug,Elektrostal,Q198419,0,0,2,"city in Moscow Oblast, Russia",,Q7930989|Q1549591|Q106389302,,Elektrostal
Elektrostal Urban Okrug,Elektrostal,Q4531095,0,0,2,"railway station in Moscow Oblast, Russia",Elektrostal railway station|Elektrostal station,Q55488,,
Elektrostal Urban Okrug,Elektrostal,Q25393819,0,0,2,,,Q4830453,,
Elektrostal Urban Okrug,Elektrostal Machine-Building Plant,Q4328888,0,0,2,"company based in Elektrostal, Russia",Elektrostal Machine-Building Plant Production Association,Q134161|Q83405,,ELEMASH Machine-Building plant
Elektrostal Urban Okrug,flag of Elektrostal,Q4490497,0,0,2,,Elektrostal flag,Q21850100,,
Elektrostal Urban Okrug,Elektrostal. Emergency medical services,Q107364184,0,0,2,"Russia, Elektrostal",,Q860447,,
Elektrostal Urban Okrug,Elektrostal. MAMI (Branch),Q107311530,0,0,2,Moscow Polytechnic University (Branch).,,Q1880737|Q38723,,
Elektrostal Urban Okrug,Elektrostal. Central medical and sanitary unit № 21,Q108582544,0,0,2,"Russia, Elektrostal",,Q16917,,
Elektrostal Urban Okrug,Elektrostal. Distribution substation. Masts No. 1 - 2,Q95469327,0,0,2,,,,,
Elektrostal Urban Okrug,urban okrug in Russia,Q13626398,0,0,2,Urban district in Russia,,,Q1849719|Q15642599,
Elektrostal Urban Okrug,Urban okrug,Q16638616,0,0,2,Wikimedia disambiguation page,,Q4167410,,Urban okrug
Vorkuta,Vorkuta,Q133529,1,0,1,"town in the Komi Republic, Russia",Vörkuta,Q192287|Q7930989,,Vorkuta
Vorkuta,Vorkuta,Q4125054,1,0,1,railway station,,Q55488,,
Vorkuta,Vorkuta,Q1394087,1,0,1,urban okrug in Russia,Municipal Formation of the City of Vorkuta|Vorkuta Urban Okrug,Q13626398,,
Vorkuta,Vorkuta River,Q1199347,1,0,1,"river in Komi and Nenets AO, Russia",Vorkuta|Vörkutayu,Q4022,,Vorkuta (river)
Vorkuta,Vorkuta Gulag,Q223208,1,0,1,Soviet-era prison/labor camp,Vorkutlag,Q2403977,,Vorkutlag
Vorkuta,Vorkuta,Q122075296,1,0,1,book edition published in 2019,,Q3331189,,
Vorkuta,Vorkuta Airport,Q2718892,1,0,1,airport in Russia,VKT|UUYW,Q1248784|Q94993988,,Vorkuta Airport
Vorkuta,Vorkuta uprising,Q686273,1,0,1,Prison revolt in the USSR,,Q2920604|Q124757,,Vorkuta uprising
Vorkuta,Vorkuta Sovetsky,Q1983668,1,0,1,airport in Russia,XUIK,Q1248784|Q695850,,Vorkuta Sovetsky (air base)
Vorkuta,Vorkuta Eparchy,Q23861389,1,0,1,,,Q60176300,,
Sokolsky District,Sokolsky District,Q3964154,2,0,1,"administrative district in Nizhny Novgorod Oblast, Russia","Sokolsky District, Nizhny Novgorod Oblast",Q13626398,,"Sokolsky District, Nizhny Novgorod Oblast"
Sokolsky District,Sokolsky District,Q3964155,2,0,1,human settlement in Russia,,Q2198484,,"Sokolsky District, Vologda Oblast"
Sokolsky District,flag of Sokolsky District,Q4487879,2,0,1,,Sokolsky District flag,Q21850100,,
Sokolsky District,Sokolsky District,Q3964153,2,0,1,Wikimedia disambiguation page,,Q4167410,,Sokolsky District
