data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Nordfjorden,Nordfjord,Q1518524,0,0,1,106 km fjord in Norway,Nordfjorden|Nord Fjord,Q45776,,Nordfjorden (Vestland)
Nordfjorden,Nordfjorden,Q11209931,0,0,1,fjord in Svalbard,,Q45776,,Nordfjorden (Svalbard)
Nordfjorden,Nordfjorden,Q11214799,0,0,1,"fjord in Stjernøya, Hasvik, Norway",,Q45776,,
Nordfjorden,Nordfjorden,Q3442217,0,0,1,"fjord in Meløy, Norway",,Q45776,,
Nordfjorden,Nordfjorden,Q11073281,0,0,1,"fjord in Bjugn/Indre Fosen, Norway",,Q45776,,
Nordfjorden,Nordfjorden,Q11199729,0,0,1,"fjord in Rødøy, Norway",,Q45776,,
Nordfjorden,Nordfjorden,Q11198011,0,0,1,"fjord in Bodø, Norway",,Q45776,,
Nordfjorden,Nordfjorden,Q11212730,0,0,1,"fjord in Kvaløya, Troms, Norway",,Q45776,,
Nordfjorden,Nordfjorden,Q11209262,0,0,1,"fjord in Sørfold, Norway",,Q45776,,
Nordfjorden,Nordfjorden,Q11215284,0,0,1,"fjord in Båtsfjord, Norway",,Q45776,,
Nordfjorden,fjord,Q45776,0,0,2,"long, narrow inlet of the ocean created in a valley carved by glacial activity",fiord,,Q39594|Q35116038|Q337567,Fjord
Nordfjorden,Fjord Municipality,Q65230514,0,0,2,"municipality in Møre og Romsdal, Norway",,Q755707,,Fjord Municipality
Nordfjorden,Fjord,Q123166572,0,0,2,family name,,Q101352,,
Nordfjorden,lagoon,Q187223,0,0,2,shallow body of water separated from larger body of water by a barrier,haff|albufera|liman,,Q135951980,Lagoon
Nordfjorden,Fjord Line,Q1422444,0,0,2,Norwegian ferry operator serving routes between Norway and Denmark,Fjordline|FjordLine|Fjord-Line,Q1807108|Q25653|Q155930|Q651658,,Fjord Line
Nordfjorden,IMO 8410316,Q58411518,0,0,2,cargo ship built in 1985,Butjadingen|Anna|Anja|Molo Sun|Tifjord|Vestbris|Fjord,Q105999,,
Nordfjorden,Fjord,Q20635222,0,0,2,painting by John Adams Griefen,,Q3305213,,
Nordfjorden,Fjord,Q20266504,0,0,2,painting by Mel Bochner,,Q3305213,,
Nordfjorden,Fjord,Q52333173,0,0,2,heavy lift vessel built in 2001,IMO 8636740,Q83702840,,
Nordfjorden,Tide Bane,Q5456496,0,0,2,Norwegian bus and light rail operator,Fjord1 Partner|Keolis Norge|Tide Buss og Bane,Q4830453,,Keolis Norge
Nordfjorden,Aqua Fjord,Q52512359,0,0,2,ship built in 2004,,Q110966816,,
Nordfjorden,Arctic Fjord,Q124062156,0,0,2,ship built in 1975,IMO 7391305,Q1420024,,
Nordfjorden,Arctic fjords: a review of the oceanographic environment and dominant physical processes,Q59213827,0,0,2,article,,Q13442814,,
Penwith,Penwith,Q1212501,1,0,1,"former district in Cornwall, England, UK",Pennwydh,Q1187580|Q19953632,,Penwith
Penwith,Penwith,Q23701293,1,0,1,painting by Peter Lanyon,,Q3305213,,
Penwith,Penwith,Q104536319,1,0,1,"Heritage Coast in Cornwall, United Kingdom",,Q1367500|Q13125592,,
Penwith,Penwith District Council election,Q7165382,1,0,1,class of election in the United Kingdom,,Q107359024,Q107358924,Penwith District Council elections
Penwith,Penwith Society of Arts,Q7165381,1,0,1,"Art group in Cornwall, England",Penwith Society of Arts in Cornwall,Q4502119,,Penwith Society of Arts
Penwith,Penwithick,Q7165383,1,0,1,"village in Cornwall, England, United Kingdom","Penwithick, Cornwall",Q532,,Penwithick
Penwith,Penwith Hundred,Q10964003,1,0,1,"ancient administrative unit of Cornwall, England",,Q26678366,,Penwith Hundred
Penwith,2003 Penwith District Council election,Q7165374,1,0,1,2003 UK local government election,"Penwith Council election, 2003",Q7165382,,2003 Penwith District Council election
Penwith,Penwith Radio,Q7165380,1,0,1,radio station,,Q14350,,Coast FM (West Cornwall)
Penwith,2002 Penwith District Council election,Q7165373,1,0,1,2002 UK local government election,"Penwith Council election, 2002",Q7165382,,2002 Penwith District Council election
Penwith,Isles of Scilly,Q180209,1,0,2,archipelago and local government district off the south-westernmost point of mainland Britain,Scillonia|Scilly|Scilly Islands|Isles of Scilly Rural District,Q33837|Q1187580|Q1754946|Q1136601,,Isles of Scilly
