data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Topsham Bridge,Topsham Bridge,Q26389846,0,0,1,"bridge in Devon, England, UK",Topsham Bridge (That Part Within The City District Of Exeter)|Topsham Bridge (That Part Within The East Devon District),Q537127|Q158438,,
Topsham Bridge,Topsham Bridge,Q26610669,0,0,1,"bridge in Woodleigh, South Hams, Devon, England, UK",,Q12280,,
Topsham Bridge,Weymouth and Portland National Sailing Academy,Q928789,0,0,2,sports club,,Q847017,,Weymouth and Portland National Sailing Academy
Topsham Bridge,Weymouth and Portland,Q676653,0,0,2,"former local government district with borough status in Dorset, England",,Q1187580|Q1006876|Q19953632,,Weymouth and Portland
Topsham Bridge,Weymouth and Portland Borough Council election,Q7990392,0,0,2,class of election in the United Kingdom,,Q107359024,Q107358924,Weymouth and Portland Borough Council elections
Topsham Bridge,Weymouth and Portland Water Sports Act 1974,Q110283579,0,0,2,Local Act of Parliament of the United Kingdom,"1974 c. xxvi|1974 c xxvi|Weymouth and Portland Water Sports Act, 1974|Weymouth & Portland Water Sports Act 1974",Q100165600,,
Topsham Bridge,Weymouth and Portland Borough Council,Q73072840,0,0,2,"former English non-metropolitan district council in Dorset, England, UK",,Q21561306,,
Topsham Bridge,Weymouth and Portland Railway,Q130266415,0,0,2,"railway on the island of Portland, Dorset, England, UK",Weymouth & Portland Railway,Q249556|Q728937|Q6269546,,Weymouth and Portland Railway
Topsham Bridge,2003 Weymouth and Portland Borough Council election,Q7990383,0,0,2,2003 UK local government election,"Weymouth and Portland Council election, 2003",Q7990392,,2003 Weymouth and Portland Borough Council election
Topsham Bridge,2002 Weymouth and Portland Borough Council election,Q7990384,0,0,2,2002 UK local government election,"Weymouth and Portland Council election, 2002",Q7990392,,2002 Weymouth and Portland Borough Council election
Topsham Bridge,"Weymouth and Portland, near the Turnpike, Dorset",Q119032879,0,0,2,"painting by R. K. Robens (active 1812–1814), Weymouth Museum",,Q3305213,,
Topsham Bridge,Weymouth,Q661619,0,0,2,"town in Dorset, England","Weymouth, Dorset",Q3957|Q1115575,,"Weymouth, Dorset"
Topsham Bridge,Weymouth,Q37112828,0,0,2,family name,,Q101352,,
Topsham Bridge,Weymouth,Q115691214,0,0,2,given name,,Q202444,,
Topsham Bridge,Weymouth F.C.,Q599356,0,0,2,"association football club in Weymouth, England",Weymouth Football Club|Weymouth FC|Weymouth|WFC|The Terras,Q476028,,Weymouth F.C.
Topsham Bridge,Weymouth,Q54195,0,0,2,"city in Norfolk County, Massachusetts, United States","Weymouth, Massachusetts|Weymouth, MA",Q1093829,,"Weymouth, Massachusetts"
Topsham Bridge,Weymouth,Q7990350,0,0,2,"town in Tasmania, Australia","Weymouth, Tasmania|Weymouth, Tasmania, Australia",Q3957|Q98433835,,"Weymouth, Tasmania"
Topsham Bridge,Weymouth,Q60578275,0,0,2,Constituency of the Parliament of England (to 1570),,Q27990982,,
Topsham Bridge,Weymouth,Q3567587,0,0,2,village in Nova Scotia in Canada,"Sissaboo|Weymouth, Nova Scotia",Q532,,"Weymouth, Nova Scotia"
Topsham Bridge,Weymouthiidae,Q1464537,0,0,2,extinct family of arthropods,,Q16521,,Weymouthiidae
Topsham Bridge,Portland,Q6106,0,0,2,"seat of Multnomah County, and largest city in state of Oregon, United States","Portland, Oregon|City of Portland|Rose City|City of Roses|Rip City|Stumptown|Portland, OR|PDX|Beervana|Bridgetown",Q63440326|Q62049|Q1549591,,"Portland, Oregon"
Topsham Bridge,Portland,Q49201,0,0,2,"seat of Cumberland County, and largest city in State of Maine, United States","Portland, Maine|Portland Maine|Portland, ME",Q1093829|Q62049,,"Portland, Maine"
Topsham Bridge,Portland,Q29168518,0,0,2,"civil parish in Dorset, England, UK","Portland (parish in Dorset)|Portland, Dorset",Q1115575|Q3957,,
Topsham Bridge,Portland,Q105747751,0,0,2,given name,,Q202444,,
Topsham Bridge,Portland,Q37205557,0,0,2,family name,,Q101352,,
Topsham Bridge,Portland State University,Q1771717,0,0,2,"public university in Portland, Oregon, USA",Portland State College|pdx.edu,Q3918|Q23002039|Q45400320,,Portland State University
Topsham Bridge,Portland Trail Blazers,Q167253,0,0,2,American professional basketball team,Portland Blazers,Q13393265,,Portland Trail Blazers
Topsham Bridge,University of Portland,Q513658,0,0,2,"private Catholic university in Portland, Oregon, USA",U of Portland|UP,Q557206|Q23002054,,University of Portland
Topsham Bridge,Portland Pilots men's basketball,Q7231997,0,0,2,college basketball team of the University of Portland,Portland Pilots basketball|Portland Pilots|Portland men's basketball|Portland basketball|Portland|Pilots men's basketball|Pilots basketball|Pilots,Q13393265|Q18558301,,Portland Pilots men's basketball
Topsham Bridge,Portland,Q1663450,0,0,2,"city in the state of Victoria, Australia","Portland, Victoria|Leywhollot|Portland, Vic.",Q515,,"Portland, Victoria"
Stair Bridge,Stair Bridge,Q17127523,1,0,1,"bridge in East Ayrshire, Scotland",,Q3397526|Q158438|Q537127,,
Stair Bridge,Stair Bridge,Q26437576,1,0,1,"bridge in Above Derwent, Cumberland, Cumbria, England, UK",,Q12280,,
Stair Bridge,"Stair Bridge, Birnam Burn",Q56618402,1,0,1,"bridge in Perth and Kinross, Scotland, UK",,Q12280,,
Ponte Romano,Ponte Romano,Q21204972,2,0,1,,,Q839954|Q1223230|Q14752696,,
Ponte Romano,Ponte Romano,Q134444067,2,0,1,"Roman bridge at Barisciano, Italy",,Q12280|Q220659,,
Ponte Romano,Ponte romano,Q37283749,2,0,1,bridge in Italy,,Q1223230,,
Ponte Romano,Ponte Romano,Q15125046,2,0,1,,,Q3397526|Q158438|Q537127,,
Ponte Romano,Ponte Filippo Maria Visconti,Q3907967,2,0,1,"bridge in Savona, Italy",Ponte dei Saraceni|Ponte romano,Q12280,,
Ponte Romano,Ponte romano,Q114962579,2,0,1,"bridge in Bogliasco, Italy",,Q12280,,
Ponte Romano,Ponte Romano,Q106082944,2,0,1,"Bridge in Corniglio, Italy",,Q12280,,
Ponte Romano,Ponte romanico,Q134436693,2,0,1,"bridge in Andora, Italy",Ponte romano,Q12280,,
Ponte Romano,ponte romano,Q84704670,2,0,1,"bridge in Cossogno, Italy",,Q12280,,
Ponte Romano,Ponte medievale,Q71834738,2,0,1,"bridge in Borghetto d'Arroscia, Italy",Ponte Romano|Ponte romanico,Q12280,,
London Bridge,London Bridge station,Q801125,3,0,1,"railway station in Southwark, London Borough of Southwark, England, UK",London Bridge railway station|LBG,Q55488|Q55490|Q55485,,London Bridge station
London Bridge,London Bridge tube station,Q11762492,3,0,1,London Underground station,London Bridge station|London Bridge Underground Station,Q14562709|Q55491,,
London Bridge,London Bridge,Q130206,3,0,1,"road bridge across River Thames in London, opened in 1973",,Q537127|Q3397519|Q158438|Q1735471,,London Bridge
London Bridge,London Bridge,Q56739974,3,0,1,bridge across the Thames in London (1209-1831),Old London Bridge,Q12280|Q3397526|Q19860854,,
