data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
IRAS 17550-2800,IRAS 17550-2800,Q79149526,0,0,1,,,Q66619774|Q72803622|Q67206691,,
[SDS2012] Arp 2 25,[SDS2012] Arp 2 25,Q87052933,1,0,1,,,Q66619774,,
2MASS J05115942-6925329,2MASS J05115942-6925329,Q74682667,2,0,1,,,Q66619774,,
2MASS J16413368+3626077,2MASS J16413368+3626077,Q81830860,3,0,1,,,Q66619774,,
CPD-64 2939,CPD-64 2939,Q85372120,4,0,1,,,Q66619774|Q72803622|Q72802977|Q523,,
CPD-64 2939,WASP-100b,Q89783521,4,0,2,exoplanet in the constellation Reticulum,CPD-64 356b|TOI-106b|TOI-106.01|TIC 38846515b,Q44559|Q18611609|Q523,,WASP-100b
CPD-64 2939,Naledi,Q4052865,4,0,2,star in the constellation Dorado,WASP-62|CPD-64 484|TOI-102,Q523|Q6243|Q1362543|Q67206785|Q1457376,,WASP-62
CPD-64 2939,Krotoa,Q80318966,4,0,2,extrasolar planet,WASP-62b|CPD-64 484b|TOI-102b|TOI-102.01|TIC 149603524b,Q44559|Q523|Q18611609,,WASP-62b
CPD-64 2939,CPD-64 271,Q75145143,4,0,2,star in the constellation Reticulum,,Q523|Q67206691,,
CPD-64 2939,[RRW93] P83m-47,Q76813267,4,0,2,star in the constellation Reticulum,,Q523|Q67206691,,
CPD-64 2939,Upsilon Carinae A,Q66476704,4,0,2,,υ Carinae A|υ Car A|HD 85123|HIC 48002|HIP 48002|HR 3890|CCDM J09471-6504A|CPD-64 1084A|PLX 2328.00A|ROT 1512|PLX 2328|PPM 357553|SAO 250695|GCRV 6293|GC 13506,Q523|Q13890,,
CPD-64 2939,CPD-64 2161,Q84497883,4,0,2,star in the constellation Musca,,Q523,,
CPD-64 2939,WRAY 15-964,Q85002432,4,0,2,star in the constellation Musca,,Q72803622|Q67206691,,
CPD-64 2939,CPD-64 946B,Q97354482,4,0,2,star in the constellation Volans,,Q523,,
CPD-64 2939,CPD-64 2487A,Q95922100,4,0,2,star in the constellation Musca,,Q523|Q13890,,
CPD-64 2939,2939,Q19243151,4,0,2,number,"2,939",Q16317911|Q49008|Q13366129,,2939 (number)
CPD-64 2939,29391 Knight,Q582422,4,0,2,asteroid,Knight,Q3863,,29391 Knight
CPD-64 2939,2939,Q26211296,4,0,2,year,,Q235729|Q3186692|Q235690,,
CPD-64 2939,29394 Hirokohamanowa,Q3598682,4,0,2,asteroid,(29394) 1996 NR5,Q3863,,29394 Hirokohamanowa
CPD-64 2939,293934 MPIA,Q19291315,4,0,2,asteroid,MPIA,Q3863,,293934 MPIA
CPD-64 2939,293926 Harrystine,Q22713050,4,0,2,asteroid,Harrystine,Q3863,,293926 Harrystine
CPD-64 2939,29393,Q135535332,4,0,2,natural number,,Q16317911|Q50707|Q13366129|Q467511,,
CPD-64 2939,29395,Q135538937,4,0,2,natural number,,Q16317911|Q50707|Q13366129|Q765289|Q467511,,
CPD-64 2939,29396,Q135538941,4,0,2,natural number,,Q16317911|Q50707|Q13366104|Q467511,,
CPD-64 2939,29391,Q135535330,4,0,2,natural number,,Q16317911|Q50707|Q13366129|Q467511,,
[SDS2012] NGC 6402 193,[SDS2012] NGC 6402 193,Q87052849,5,0,1,,,Q66619774,,
[SDS2012] NGC 6402 193,Messier 14,Q11320,5,0,2,globular cluster,M14,Q11276,,Messier 14
[SDS2012] NGC 6402 193,M14,Q230030,5,0,2,Wikimedia disambiguation page,M.14,Q4167410,,M14
[SDS2012] NGC 6402 193,193,Q746386,5,0,2,natural number,one hundred ninety-three|one hundred and ninety-three|one hundred ninety three|one hundred and ninety three,Q16317911|Q49008|Q13366129,,193 (number)
[SDS2012] NGC 6402 193,1938,Q18645,5,0,2,year,,Q3186692|Q235673,,1938
[SDS2012] NGC 6402 193,1934-1935 one-year-period,Q53384396,5,0,2,period of about one year starting in 1934 and ending in 1935,1934/1935 season|1934-1935 season,Q30227593,,
[SDS2012] NGC 6402 193,1936 Summer Olympics,Q8150,5,0,2,"Games of the XI Olympiad, in Berlin, Germany",Berlin 1936|Games of the XI Olympiad|The Games of the XI Olympiad,Q135976384|Q14547231,,1936 Summer Olympics
[SDS2012] NGC 6402 193,1937,Q18647,5,0,2,year,,Q3186692|Q235680,,1937
[SDS2012] NGC 6402 193,1935,Q18658,5,0,2,year,,Q3186692|Q235684,,1935
[SDS2012] NGC 6402 193,1932,Q18743,5,0,2,year,,Q3186692|Q19828|Q217036,,1932
[SDS2012] NGC 6402 193,1936,Q18649,5,0,2,year,,Q3186692|Q19828|Q217015,,1936
[SDS2012] NGC 6402 193,1930,Q18787,5,0,2,year,,Q3186692|Q235676,,1930
[SDS2012] NGC 6402 193,1933,Q18726,5,0,2,year,,Q3186692|Q235670,,1933
[M81] I-598,[M81] I-598,Q85511237,6,0,1,,,Q66619774|Q523,,
[M81] I-598,Messier 81,Q81102410,6,0,2,galaxy in the constellation Ursa Major,M81|Bode's Galaxy|New General Catalogue 3031,Q83373|Q1931185|Q67206691|Q2154519|Q71965638|Q2557101|Q46587,,Messier 81
[M81] I-598,Woodland Pattern,Q1770272,6,0,2,camouflage pattern,US Woodland|M81,,Q1763187,U.S. Woodland
[M81] I-598,M81 motorway,Q1160894,6,0,2,road in Hungary,,Q159184|Q34442,,
[M81] I-598,Motorway 81,Q16354503,6,0,2,Intercity Motorway in Thailand,Motorway M81|M81,Q46622,,Motorway 81 (Thailand)
[M81] I-598,M81 Group,Q1536497,6,0,2,group of galaxies,M81 and M82,Q1491746,,M81 Group
[M81] I-598,M81,Q127382729,6,0,2,cell line,,Q21014462|Q27555384,,
[M81] I-598,M-8-1,Q119579738,6,0,2,1918 fighter aircraft model by the naval Aircraft Factory,Naval Aircraft Factory M-8-1|NAF M-8-1|M-81|Naval Aircraft Factory M-81|NAF M-81|M81|Loening M-8-1|Loening M-81,Q15056995,Q4450735,
[M81] I-598,M816 Wrecker,Q6713937,6,0,2,type of Heavy Truck,,,,M816 Wrecker
[M81] I-598,M81 road,Q106623393,6,0,2,"metropolitan route in the City of Johannesburg, South Africa",,Q34442,,M81 (Johannesburg)
[M81] I-598,M8166,Q54903650,6,0,2,cell line,,Q21014462|Q27555384,,
IRAS 17233-4330,IRAS 17233-4330,Q82578903,7,0,1,,,Q66619774,,
IRAS 17233-4330,IRAS 17233-5118,Q92255866,7,0,2,star in the constellation Ara,,Q523,,
IRAS 17233-4330,IRAS 17233-2501,Q76791531,7,0,2,star in the constellation Ophiuchus,,Q523,,
IRAS 17233-4330,IRAS 17233-4718,Q83411569,7,0,2,star in the constellation Ara,,Q523|Q67206691,,
IRAS 17233-4330,IRAS 17233-2947,Q86904571,7,0,2,star in the constellation Ophiuchus,,Q523,,
IRAS 17233-4330,IRAS 17233-4012,Q90953937,7,0,2,far-IR source in the constellation Scorpius,,Q67206701|Q67206691,,
IRAS 17233-4330,IRAS 17233-3342,Q82059928,7,0,2,star in the constellation Scorpius,,Q523,,
IRAS 17233-4330,IRAS 17233-1035,Q80109938,7,0,2,far-IR source in the constellation Serpens,,Q67206701,,
IRAS 17233-4330,IRAS 17233-2219,Q76786182,7,0,2,star in the constellation Ophiuchus,,Q523,,
IRAS 17233-4330,IRAS 17233-6224,Q95944764,7,0,2,star in the constellation Ara,,Q523|Q67206691,,
IRAS 17233-4330,IRAS 17233-2531,Q79148859,7,0,2,star in the constellation Ophiuchus,,Q523,,
IRAS 17516-2525,IRAS 17516-2525,Q75832937,8,0,1,,,Q66619774|Q1341811,,
IRAS 17516-2525,IRAS 17516-2525 : an evolved star or a young stellar object ?,Q68228111,8,0,1,scientific article published in January 1989,,Q13442814,,
IRAS 17516-2525,IRAS 17516-2525: the birth of a planetary nebula ?,Q68546814,8,0,1,,,Q13442814,,
[SDS2012] NGC 2808 157,[SDS2012] NGC 2808 157,Q87052800,9,0,1,,,Q66619774|Q71798788,,
[SDS2012] NGC 2808 157,NGC 2808,Q939452,9,0,2,globular cluster in the constellation Carina,,Q11276|Q67206691|Q523,,NGC 2808
[SDS2012] NGC 2808 157,NGC 2808 269,Q87985050,9,0,2,,,Q523,,
[SDS2012] NGC 2808 157,NGC 2808 34,Q92796210,9,0,2,,,Q523,,
[SDS2012] NGC 2808 157,NGC 2808 35,Q92796324,9,0,2,,,Q523,,
[SDS2012] NGC 2808 157,NGC 2808 5,Q92796154,9,0,2,,,Q523,,
[SDS2012] NGC 2808 157,NGC 2808 222,Q87985292,9,0,2,,,Q523,,
[SDS2012] NGC 2808 157,NGC 2808 237,Q87985232,9,0,2,,,Q523,,
[SDS2012] NGC 2808 157,NGC 2808 241,Q87985333,9,0,2,,,Q523,,
[SDS2012] NGC 2808 157,NGC 2808 151,Q87985051,9,0,2,,,Q523,,
[SDS2012] NGC 2808 157,NGC 2808 230,Q87985084,9,0,2,,,Q523,,
[SDS2012] NGC 2808 157,157,Q720745,9,0,2,natural number,one hundred fifty-seven|one hundred and fifty-seven|one hundred fifty seven|one hundred and fifty seven,Q16317911|Q49008|Q13366129,,157 (number)
[SDS2012] NGC 2808 157,157,Q30930,9,0,2,year,,Q577,,AD 157
[SDS2012] NGC 2808 157,15760 Albion,Q140980,9,0,2,"trans-Neptunian object, prototype of cubewanos",(15760) 1992 QB1|1992 QB1|Albion,Q645924|Q3863|Q6592,,15760 Albion
[SDS2012] NGC 2808 157,157 Dejanira,Q140907,9,0,2,main-belt asteroid,(157) Dejanira|Dejanira,Q3863,,157 Dejanira
