data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Aura,Aura,Q774114,0,0,1,"municipality in the region of Southwest Finland, Finland",,Q856076,,"Aura, Finland"
Aura,Aura,Q3629777,0,0,1,female given name,,Q11879590,,
Aura,Aura,Q263119,0,0,1,1989 studio album by Miles Davis,,Q482994,,Aura (Miles Davis album)
Aura,Auray,Q62958,0,0,1,"French commune in Morbihan, Brittany",Alre|An Alre,Q484170,,Auray
Aura,Aurangzeb,Q485547,0,0,1,the sixth Mughal Emperor from 1658 to 1707,Aurangezeb|Alamgir I|Alamgir Shah|Abul Muzaffar Muhi-ud-Din Muhammad Aurangzeb|Alamgir Aurangzeb|Aurungzebe,Q5,,Aurangzeb
Aura,AURKA,Q14905704,0,0,1,protein-coding gene in the species Homo sapiens,AIK|ARK1|AURA|AURORA2|BTAK|PPP1R47|STK15|STK6|STK7|aurora kinase A,Q7187,Q20747295,Aurora kinase A
Aura,Aura River,Q663607,0,0,1,river in Finland,Aurajoki|Aura,Q4022,,Aurajoki
Aura,AuRa,Q133866206,0,0,1,Ukrainian drag queen,Artur Ozerov,Q5,,
Aura,Aura,Q122307045,0,0,1,2019 video game,,Q7889,,
Aura,Kirkonkulma,Q130693272,0,0,1,"village in Aura, Finland",Kirkonkulma (Aura)|Aura parish village|Aura,Q378636,,
Aura,Aura,Q774101,0,0,2,divine personification of the breeze in Greek and Roman mythology,,Q3346693,,Aura (mythology)
Aqua,Aqua,Q213388,1,0,1,Danish-Norwegian music group,Joyspeed,Q215380,,Aqua (band)
Aqua,Aqua,Q622898,1,0,1,GUI and primary visual theme of Apple Inc.'s Mac OS X operating system,Aqua theme,Q1193246|Q205020,,Aqua (user interface)
Aqua,Aquarius,Q10576,1,0,1,zodiac constellation straddling the celestial equator,Aqr,Q8928|Q4193029,,Aquarius (constellation)
Aqua,Aqua,Q4782577,1,0,1,2010 video game,Naval Warfare|Aqua - Naval Warfare,Q7889,,Aqua (video game)
Aqua,Aqua,Q11189519,1,0,1,2001 studio album by Miki Imai,,Q482994,,
Aqua,aquatic science,Q4782809,1,0,1,multidisciplinary study of freshwater and marine ecosystems,aquatic sciences|aquatics|marine science|marinology|maritime science|marine and maritime science,Q11862829,Q336|Q43518|Q864928,Aquatic science
Aqua,Aqua Nibii Waawaaskone,Q113502265,1,0,1,indigenous artist in what is known as Canada,Aqua,Q5,,
Aqua,aquatint,Q473236,1,0,1,etching technique,aquatint technique,,Q186986,Aquatint
Aqua,watercolor,Q50030,1,0,1,practice of applying watercolor to a surface,aquarelle|watercolour|art of watercolor painting|art of watercolour painting,Q1231896|Q3300034,Q2921001,Watercolor painting
Aqua,watercolor painting,Q18761202,1,0,1,flat surface artistically covered with watercolor paint,aquarelle|watercolour|watercolour painting|watercolor,Q116474095,Q3305213|Q93184,
Aqua,Aquarius,Q2859194,1,0,2,genus of insects,,Q16521,,Aquarius (bug)
Aqua,Aquarius,Q94136520,1,0,2,genus of plants,,Q16521,,Aquarius (plant)
Aqua,Aquarius,Q4782766,1,0,2,"1998 7"" EP by Boards of Canada",Chinook|Aquarius / Chinook,Q169930,,Aquarius (EP)
Aqua,Aquarius,Q286649,1,0,2,NASA instrument aboard the Argentine SAC-D spacecraft,,Q100349043,,Aquarius (SAC-D instrument)
Aqua,Aquarius,Q48833111,1,0,2,Song from musical Hair,,Q105543609,,
Aqua,Aquarius,Q124497346,1,0,2,2021 EP by Eiko Shimamiya,,Q169930,,
Aqua,Aquarius,Q122365238,1,0,2,2020 video game,,Q7889,,
Aqua,Aquarius,Q120755893,1,0,2,family name,,Q101352,,
Aqua,Aquarius,Q162119,1,0,2,eleventh astrological sign in the zodiac,♒|♒︎,Q1795024,,Aquarius (astrology)
Aqua,Aquatic Toxicology,Q4782796,1,0,2,peer-reviewed scientific journal,,Q5633421|Q16024164,,Aquatic Toxicology
Aqua,water sport,Q61065,1,0,2,sports that take place in or on water,watersports|aquatics|aquatic sports|water sports,Q31629,Q3493904|Q349,Aquatic sports
Aqua,water pollution,Q183129,1,0,2,contamination of water bodies,stream pollution|aquatic pollution,Q129676813,Q13065634,Water pollution
Aqua,aquatic invasion,Q110758984,1,0,2,biological invasion in an aquatic environment,aquatic invasions,,Q446911,
Aqua,aquaculture,Q188989,1,0,2,"farming things in water, primarily intended as a food source",aquatic agriculture|aquiculture|Aquaculture|NACE 03.2,Q5687161|Q28797|Q8187769,Q11451|Q28778386,Aquaculture
Aqua,Aquatic Botany,Q4782787,1,0,2,journal,,Q5633421,,Aquatic Botany
Aqua,Aquatic Conservation: Marine and Freshwater Ecosystems,Q15751173,1,0,2,journal,Aquatic conservation,Q5633421,,Aquatic Conservation: Marine and Freshwater Ecosystems
Aqua,aquatic animal,Q1756633,1,0,2,animals that partially or wholly inhabit aquatic habitats,water animal|river plate|aquatic fauna,Q55983715,Q729|Q11710365|Q104021,Aquatic animal
Aqua,water park,Q740326,1,0,2,"recreational facility featuring water attractions such as pools, slides, and fountains",waterpark|water theme park|aquatic park,Q137393561,Q2416723|Q200023|Q35145743|Q338112,Water park
Aqua,aquatic organism,Q11710365,1,0,2,organism that inhabits water,aquatic organisms|hydrobiont,Q21871294|Q55597235,Q7239,Aquatic organism
Aqua,"Aquatic organism tracking devices, systems and associated methods",Q123678161,1,0,2,US patent 11355005,,Q43305660,,
Aqua,Aquatic organisms and pyrethroids,Q56387490,1,0,2,,,Q13442814,,
Aqua,Aquatic organisms as amber inclusions and examples from a modern swamp forest,Q28756856,1,0,2,scientific article (publication date: 16 October 2007),,Q13442814,,
Aqua,"Aquatic organisms from selected sites along the Trans-Alaska Pipeline corridor, September 1970 to September 1972",Q96252705,1,0,2,scientific article published in 1977,"Aquatic organisms from selected sites along the Trans-Alaska Pipeline corridor, September 1970 to September 1972: supplement",Q13442814,,
