data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Hurricane Maria,Hurricane Maria,Q40178187,0,0,1,Category 5 Atlantic hurricane in 2017,Maria,Q34439356,,Hurricane Maria
Hurricane Maria,Hurricane Maria,Q782577,0,0,1,Category 3 Atlantic hurricane in 2005,,Q34439356,,Hurricane Maria (2005)
Hurricane Maria,Hurricane Maria,Q3358414,0,0,1,Category 1 Atlantic hurricane in 2011,,Q34439356,,Hurricane Maria (2011)
Hurricane Maria,Hurricane Maria death toll controversy,Q56289970,0,0,1,"disagreement on Hurricane Maria's death toll in Puerto Rico, US",,Q1255828,,Hurricane Maria death toll controversy
Hurricane Maria,Hurricane Maria Memorial,Q106468568,0,0,1,,,Q5003624,,Hurricane Maria Memorial
Hurricane Maria,Hurricane Maria in Puerto Rico,Q47507579,0,0,1,2017 hurricane in Puerto Rico,,,,
Hurricane Maria,Hurricane María tripled stem breaks and doubled tree mortality relative to other major storms,Q64056151,0,0,1,scientific article published on 25 March 2019,,Q13442814,,
Hurricane Maria,Hurricane Maria's wrath leaves clues to coral reefs' future,Q57173231,0,0,1,scientific article published in Nature,Hurricane Maria’s wrath leaves clues to coral reefs’ future,Q13442814,,
Hurricane Maria,"Hurricane Maria's Impact on Punta Santiago, Puerto Rico: Community Needs and Mental Health Assessment Six Months Postimpact",Q58610008,0,0,1,article,,Q13442814,,
Hurricane Maria,"Hurricane María drives increased indoor proliferation of filamentous fungi in San Juan, Puerto Rico: a two-year culture-based approach",Q112570615,0,0,1,scientific article published on 03 March 2022,,Q13442814,,
Atlantic Ocean,Atlantic Ocean,Q97,0,1,1,"ocean between Europe, Africa and the Americas",Atlantic|Atlantic Sea|Great Western Ocean|Oceanus|the Atlantic|Atlantick|Atlantick Ocean|Atlantick Sea|the Atlantick,Q9430,,Atlantic Ocean
Atlantic Ocean,Atlantic Ocean,Q4816504,0,1,1,Dutch trance/electronic band,,Q215380,,Atlantic Ocean (band)
Atlantic Ocean,Atlantic Ocean,Q121826975,0,1,1,painting by José María Velasco,,Q3305213,,
Atlantic Ocean,Atlantic Ocean,Q22828099,0,1,1,Wikimedia permanent duplicated item,,Q21286738,,
Atlantic Ocean,Atlantic Ocean,Q31956345,0,1,1,Swedish band,Quints,Q215380,,
Atlantic Ocean,Atlantic Ocean,Q113612232,0,1,1,ship built in 1978,IMO 7614836|Dien Danielsen|Dien|Ulla Danielsen|Natalie I|Inderbasie,Q105999,,
