data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Piru,Piru,Q19730931,0,0,1,"village in Western Seram Regency, Maluku, Indonesia",,Q26211545|Q3147563,,
Piru,Peru,Q419,0,0,1,sovereign state in South America,pe|Republic of Peru|Republica del Peru|per,Q3624078|Q6256,,Peru
Piru,Piruna,Q1759515,0,0,1,genus of insects,,Q16521,,Piruna
Piru,Piru,Q3322382,0,0,1,"census-designated place in Ventura County, California","Piru, California|Piru, CA",Q498162,,"Piru, California"
Piru,Piru,Q10963262,0,0,1,extinct language in Maluku,Piru language,Q45762|Q33384|Q38058796,Q6699890,
Piru,Piruanycha,Q14810464,0,0,1,genus of insects,,Q16521,,Piruanycha
Piru,Piruapsis,Q7198121,0,0,1,genus of insects,,Q16521,,Piruapsis
Piru,Piru,Q96675642,0,0,1,male given name,,Q12308941,,
Piru,Pirus Ghadjar,Q114530145,0,0,1,researcher,,Q5,,
Piru,Piruauna,Q15872013,0,0,1,genus of insects,,Q16521,,Piruauna
Ami,Amis,Q35132,1,0,1,East Formosan language of Taiwan,Amis language,Q33742|Q1288568,Q716675,Amis language
Ami,Ami,Q3614182,1,0,1,unisex given name,Ami (first name)|Ami (given name),Q3409032,,Ami (given name)
Ami,acute myocardial infarction,Q18558122,1,0,1,human disease,"AMI|myocardial infarction (disease), acute",Q112193867,Q12152|Q266018,Acute myocardial infarction
Ami,Ami,Q2445120,1,0,1,genus of spiders,,Q16521,,Ami (spider)
Ami,Amiens,Q41604,1,0,1,"commune in Somme, France",Amians,Q484170,,Amiens
Ami,Ami,Q11190229,1,0,1,Japanese AV idol,,Q5,,
Ami,Ami,Q36895460,1,0,1,family name,,Q101352,,
Ami,Amis,Q205006,1,0,1,Austronesian ethnic group indigenous to Taiwan,Ami|Pangcah|Amis people,Q41710,Q216839,Amis people
Ami,Diyarbakır,Q83387,1,0,1,"city in Southeastern Anatolia, Turkey",Diarbekir|Amid|Mint of Amid,Q2716259|Q1549591|Q515,,Diyarbakır
Ami,Amitābha Buddha,Q236242,1,0,1,celestial buddha of Mahayana Buddhism,Amitabha|Amida Butsu|Amitoufo|Amida Buddha|Amitābha,Q7055,,Amitābha
