data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Grafskoye,Grafskoye,Q1064673,0,0,1,"human settlement in Kaltasinsky District, Republic of Bashkortostan, Russia",,Q5084,,Grafskoye
Novaya Starina,Novaya Starina,Q93809,1,0,1,"human settlement in Babayevsky District, Vologda Oblast, Russia",,Q5084,,Novaya Starina
Novaya Starina,Novaya Zemlya,Q80413,1,0,2,Arctic archipelago in northern Russia,Nova Zembla|New Zemlya|Nova Semlia|Novasemlia|Nova Zemlia,Q1402592,,Novaya Zemlya
Novaya Starina,Municipal Formation of Novaya Zemlya,Q4307309,1,0,2,"urban okrug in Arkhangelsk Oblast, Russia",Novaya Zemlya District,Q13626398,,Novaya Zemlya District
Novaya Starina,Novaya Zemlya,Q83638615,1,0,2,bulk carrier built in 2009,IMO 9549281,Q15276,,
Novaya Starina,Novaya Zemlya,Q2026745,1,0,2,2008 film by Aleksandr Melnik,,Q11424,,Terra Nova (2008 film)
Novaya Starina,Novaya Zemlya,Q64144284,1,0,2,glacier in Russia,,Q35666,,
Novaya Starina,Novaya Zemlya,Q124415210,1,0,2,,,Q3331189,,
Novaya Starina,Novaya Zemlya,Q117103329,1,0,2,fishing vessel built in 2001,IMO 9249922,Q1420024,,
Novaya Starina,Mount Kruzenshtern,Q31243910,1,0,2,mountain in Russia,Novaya Zemlya High Point|Krusenstern|Mount Krusenstern|Severny Island High Point,Q8502|Q3393392,,Mount Kruzenshtern
Novaya Starina,Novaya Zemlya effect,Q2066340,1,0,2,polar mirage caused by high refraction of sunlight between atmospheric thermal layers,,Q308762,,Novaya Zemlya effect
Novaya Starina,Novaya Zemlya Test Site,Q11703929,1,0,2,"Military and nuclear use zone in the Novaya Zemlya region, Russia",,Q53732481,,
Aygyryal,Aygyryal,Q1055218,2,0,1,"human settlement in Belokataysky District, Republic of Bashkortostan, Russia",,Q5084,,Aygyryal
Mariysky Bikshik,Mariysky Bikshik,Q1064597,3,0,1,"human settlement in Kaltasinsky District, Republic of Bashkortostan, Russia",,Q5084,,Mariysky Bikshik
Mariysky Bikshik,Mari,Q3195783,3,0,2,female given name,Mari (given name)|Mari (first name),Q11879590,,Mari (given name)
Mariysky Bikshik,Maria,Q325872,3,0,2,female given name,,Q11879590,,Maria (given name)
Mariysky Bikshik,Mari,Q29905304,3,0,2,family name,,Q101352,,Mari (surname)
Mariysky Bikshik,Mary,Q345,3,0,2,mother of Jesus Christ,"St Mary the Virgin|Madonna|The Blessed Virgin Mary|Queen of the Universe|Saint Mary|God-Bearer|Maria|Miriam|Mother of God|Blessed Virgin|Our Lady|Virgin God-Bearer|Holy Mary|Mary the Virgin|Holy Virgin|Mary, mother of Jesus|Mīryām|Blessed Virgin Mary|Most Blessed|Blessed Mother|Immaculate Mary|The Blessed Virgin|Maryam|Mother of Jesus|The Madonna|Mary, Mother of our Lord|The Blessed Mother|Notre Dame|the Virgin Mary|Theotokos|Virgin Mary",Q20643955|Q5,,"Mary, mother of Jesus"
