data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Sulzwald,Sulzwald,Q21861903,0,0,1,forest in Lower Austria,,Q4421,,
Sulzwald,Sulzwald,Q21876732,0,0,1,"forest in Mistelbach District, Lower Austria",,Q4421,,
Sulzwald,Sulzwald,Q22195730,0,0,1,Wikimedia disambiguation page,,Q4167410,,
William Wood,William R. Wood,Q2580380,1,0,1,American politician (1861–1933),William Wood|William Robert Wood,Q5,,William R. Wood (Indiana politician)
William Wood,William Wood,Q108162508,1,0,1,"British Royal Navy officer, lieutenant in 1826",,Q5,,
William Wood,William Wood,Q108162506,1,0,1,"British Royal Navy officer, commander in 1846",,Q5,,
William Wood,William Wood,Q108162512,1,0,1,"British Royal Navy officer, lieutenant in 1845",,Q5,,
William Wood,William Wood,Q113072899,1,0,1,theologian,,Q5,,
William Wood,William Wood,Q112968836,1,0,1,,,Q5,,
William Wood,William Wood,Q108540846,1,0,1,British QC,William James Wood,Q5,,
William Wood,William Wood,Q115801679,1,0,1,American screenwriter,,Q5,,William Wood (screenwriter)
William Wood,William D. Wood,Q8007528,1,0,1,Union Army general (1822–1867),William Wood,Q5,,William D. Wood
William Wood,William Wood,Q123663467,1,0,1,American physician and ornithologist,,Q5,,William Wood (naturalist)
Vrouwenbos,Vrouwenbos,Q14517044,2,0,1,"forest in Voeren, Belgium",,Q4421|Q10594991|Q473972,,
Vrouwenbos,Vrouwenbos,Q14754058,2,0,1,"forest near Hobbelrade, Netherlands",,Q4421|Q10594991,,
Vrouwenbos,Vrouwenbos,Q108141094,2,0,1,protected area in Belgium (EBR49),,Q473972,,
Vrouwenbos,Vrouwenbos,Q14754056,2,0,1,Wikimedia disambiguation page,,Q4167410,,
Vrouwenbos,Vrouwenbos,Q14517044,3,0,1,"forest in Voeren, Belgium",,Q4421|Q10594991|Q473972,,
Vrouwenbos,Vrouwenbos,Q14754058,3,0,1,"forest near Hobbelrade, Netherlands",,Q4421|Q10594991,,
Vrouwenbos,Vrouwenbos,Q108141094,3,0,1,protected area in Belgium (EBR49),,Q473972,,
Vrouwenbos,Vrouwenbos,Q14754056,3,0,1,Wikimedia disambiguation page,,Q4167410,,
Uedemer Hochwald,Uedemer Hochwald,Q1423343,4,0,1,forest in Germany,Hochwald,Q4421,,
Uedemer Hochwald,Uedemer Hochwald,Q60690082,4,0,1,"protected area in the European Union defined by the habitats directive in Nordrhein-Westfalen, Germany",,Q1191622|Q796174|Q60534895,,
Uedemer Hochwald,Uedemer Hochwald,Q61712543,4,0,1,nature reserve in Germany,,Q759421,,
Uedemer Hochwald,Hochwald,Q453198,4,0,2,"mountain in Saxony, Germany",,Q8502,,Hochwald (Zittau Mountains)
Uedemer Hochwald,Hochwald,Q137799278,4,0,2,"commercial forest in the municipality of Gosheim, Baden-Württemberg, Germany",,Q2586008,,
Uedemer Hochwald,Štrba,Q373739,4,0,2,"municipality in Prešov, Slovakia",Szczerba|Szczyrba|Hochwald|Schirm|Tschirm|Tschirben|Csirben|Штрба,Q6784672,,Štrba
Uedemer Hochwald,Hochwald,Q58973455,4,0,2,family name,,Q101352,,
Uedemer Hochwald,Hochwald,Q66575,4,0,2,municipality in the canton of Solothurn in Switzerland,Hochwald SO,Q70208,,"Hochwald, Switzerland"
Uedemer Hochwald,Hochwald,Q60663663,4,0,2,"protected area in the European Union defined by the habitats directive in Rheinland-Pfalz, Germany",,Q1191622,,
Uedemer Hochwald,Hochwald,Q19902366,4,0,2,"hill ridge in north Alsace, southwest of Wissembourg, France",,,,Hochwald (Alsace)
