data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
The Perks of Being a Wallflower,The Perks of Being a Wallflower,Q675468,0,0,1,2012 film directed by Stephen Chbosky,Perks of Being a Wallflower,Q11424,,The Perks of Being a Wallflower (film)
The Perks of Being a Wallflower,The Perks of Being a Wallflower,Q7723889,0,0,1,1999 coming-of-age epistolary novel,,Q7725634,,The Perks of Being a Wallflower
The Perks of Being a Wallflower,The Perks of Being a Wallflower,Q60486495,0,0,1,1999 edition,,Q3331189,,
The Perks of Being a Wallflower,The Perks of Being a Wallflower,Q113561898,0,0,1,2012 film soundtrack,,Q482994,,The Perks of Being a Wallflower (soundtrack)
The Perks of Being a Wallflower,The Perks of Being a Wallflower,Q126717301,0,0,1,paperback edition (es),,Q3331189,,
The Perks of Being a Wallflower,The Perks of Being a Wallflower,Q2413401,0,0,1,Wikimedia disambiguation page,,Q4167410,,
Uncle Buck,Uncle Buck,Q609091,1,0,1,1989 film by John Hughes,,Q11424,,Uncle Buck
Uncle Buck,Uncle Buck,Q20088887,1,0,1,2016 American television series,,Q5398426,,Uncle Buck (2016 TV series)
Uncle Buck,Uncle Buck,Q3858654,1,0,1,1990-1991 American television series,,Q5398426,,Uncle Buck (1990 TV series)
Uncle Buck,Uncle Buck,Q105063476,1,0,1,comedy film and television franchise created by John Hughes,,Q196600,,Uncle Buck (franchise)
Uncle Buck,Charles B. Peterson,Q126726348,1,0,1,US American cartographer,Charles Buckley Peterson|Uncle Buck|Charles B. Peterson III,Q5,,
Uncle Buck,Uncle Buckle-Up,Q48709749,1,0,1,episode of The A-Team (S4 E12),,Q21191270,,
Uncle Buck,Uncle Buck/Episodenliste,Q25094101,1,0,1,season of television series,,Q13406463,,
Uncle Buck,Uncle Buck,Q4004530,1,0,1,Wikimedia disambiguation page,,Q4167410,,Uncle Buck (disambiguation)
Uncle Buck,United States dollar,Q4917,1,0,2,official currency of the United States,USD|$|US$|American dollar|US $|U.S. Dollar|U. S. Dollar|US-$|dollar|dollars|US dollar|buck|greenback|$USD|USD$|US dollars|United States dollars|American dollars|USA dollar|USA dollars|American money,Q8142|Q14083|Q756202,,United States dollar
Uncle Buck,Buck,Q14915267,1,0,2,family name,,Q101352,,Buck (surname)
Uncle Buck,Buckinghamshire,Q67285329,1,0,2,historic county of England,County of Buckingham,Q1138494,,
Uncle Buck,Buck,Q30600551,1,0,2,2017 video game,,Q7889,,
Uncle Buck,Ohio,Q1397,1,0,2,state of the United States of America,"State of Ohio|OH|Ohio, United States|Buckeye State|US-OH",Q35657,,Ohio
Uncle Buck,Bucknell University,Q3444679,1,0,2,"private liberal arts college in the Lewisburg, Pennsylvania area",University at Lewisburg,Q902104|Q23002054|Q2085381,,Bucknell University
Uncle Buck,Buckingham Palace,Q42182,1,0,2,official London residence and principal workplace of the British monarch,Buck House,Q53536964|Q2087181|Q7328910|Q16884952|Q131986827,,Buckingham Palace
Uncle Buck,Buckley,Q21484864,1,0,2,family name,,Q101352,,Buckley (name)
Uncle Buck,Buckingham,Q195955,1,0,2,"town in Buckinghamshire, England","Buckingham, Buckinghamshire",Q1115575|Q1357964|Q18511725,,Buckingham
Uncle Buck,Buckethead,Q265252,1,0,2,American guitarist,Brian Patrick Carroll|Brian Carroll|Bucketheadland|Death Cube K|Bucket head,Q5,,Buckethead
Apt Pupil,Apt Pupil,Q570004,2,0,1,1998 film directed by Bryan Singer,,Q11424,,Apt Pupil (film)
Apt Pupil,Apt Pupil,Q2447051,2,0,1,1982 Stephen King novella,Summer of Corruption,Q7725634,,Apt Pupil
Apt Pupil,Apt Pupil,Q28064452,2,0,1,1987 unfinished film by Alan Bridges,,Q11424,,
Apt Pupil,Apt Pupil: Dwight Eisenhower and the 1930 Industrial Mobilization Plan,Q56093745,2,0,1,,,Q13442814,,
Apt Pupil,Apt Pupil,Q622211,2,0,1,Wikimedia disambiguation page,,Q4167410,,
Clue,Cluedo,Q17245,3,0,1,1949 board game,Clue,Q131436,,Cluedo
Clue,Clue,Q2980379,3,0,1,1992 video game,,Q7889,,Clue (1992 video game)
Clue,Clue,Q5136569,3,0,1,1998 PC game,Cluedo|Clue: Murder at Boddy Mansion|Cluedo: Murder at Blackwell Grange,Q7889,,Clue (1998 video game)
Clue,Clue,Q18149325,3,0,1,2009 iOS game,,Q7889,,Clue (mobile games)
Clue,Clue,Q37233463,3,0,1,family name,,Q101352,,
Clue,Cluedo,Q113995525,3,0,1,1994 video game for CD-i,Cluedo on CD-i|Cluedo CD-i|Clue|Clue on CD-i|Clue CD-i,Q7889,,Cluedo (CD-i video game)
Clue,Clueless,Q931165,3,0,1,1995 film by Amy Heckerling,,Q11424,,Clueless
Clue,Clue,Q558795,3,0,1,1985 comedy film directed by Jonathan Lynn,El juego de la sospecha (Cluedo),Q11424,,Clue (film)
Clue,Clue,Q5136566,3,0,1,musical,,Q58483083,,Clue (musical)
Clue,Cluedo,Q55607812,3,0,1,Media franchise based on the board game of the same name,Cluedo (franchise)|Cluedo franchise|Clue|Clue (franchise)|Clue franchise,Q196600,,Cluedo (franchise)
Fatal Attraction,Fatal Attraction,Q134465494,4,0,1,1987 soundtrack album composed by Maurice Jarre,Fatal Attraction (Original Motion Picture Soundtrack),Q482994,,
Fatal Attraction,Fatal Attraction,Q504157,4,0,1,1987 film directed by Adrian Lyne,,Q11424,,Fatal Attraction
Fatal Attraction,Fatal Attraction,Q114501981,4,0,1,episode of Falcon Crest (S6 E4),,Q21191270,,
Fatal Attraction,Fatal Attraction,Q114529550,4,0,1,episode of Empty Nest (S1 E4),,Q21191270,,
Fatal Attraction,Fatal Attraction,Q114477604,4,0,1,episode of Deadly Women (S2 E2),,Q21191270,,
Fatal Attraction,Fatal Attraction,Q3740049,4,0,1,1984 album by Adam Bomb,,Q482994,,
Fatal Attraction,Fatal Attraction,Q10494318,4,0,1,rock band from Sweden,,Q215380,,
Fatal Attraction,Fatal Attraction,Q28442822,4,0,1,television series,,Q5398426,,Fatal Attraction (2013 TV program)
Fatal Attraction,Fatal Attraction,Q113461603,4,0,1,American television series,,Q5398426,,Fatal Attraction (2023 TV series)
Fatal Attraction,Fatal Attraction,Q16992081,4,0,1,play by James Dearden,,Q7725634,,Fatal Attraction (play)
Taegukgi,flag of South Korea,Q127296,5,0,1,national flag of the Republic of Korea,Taegukgi|Taegeukgi|Korean flag|South Korean flag|South Korea flag|Flag of the Republic of Korea,Q186516,,Flag of South Korea
