data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Somercotes,Somercotes,Q2591872,0,0,1,"village and civil parish in the district of Amber Valley in Derbyshire, England","Somercotes, Derbyshire",Q5084|Q1115575,,Somercotes
Somercotes,Somercotes,Q26607874,0,0,1,"building in Plymouth, Devon, England, UK",,Q41176,,
Somercotes,SOMERCOTES,Q127036456,0,0,1,hymn tune,,Q105543609,,
Somercotes,Somercotes Parish Council,Q104383333,0,0,1,UK local authority for the parish of Somercotes,,Q7137435,,
Somercotes,Somercotes Greyhound Stadium,Q28406880,0,0,1,sports venue in the UK,,Q1076486,,Somercotes Greyhound Stadium
Somercotes,Somercotes Library,Q54810833,0,0,1,public library in England,,Q28564,,
Somercotes,Somercotes Infant and Nursery School,Q66140716,0,0,1,"school in Derbyshire, UK",,Q4671329|Q9842,,
Somercotes,Somercotes Medical Centre,Q131525261,0,0,1,"doctors surgery in Somercotes, Derbyshire, United Kingdom",,Q718966,,
Somercotes,Somercotes Academy,Q67151149,0,0,1,"school in Lincolnshire, UK",,Q4671329|Q159334,,
Somercotes,Derbyshire,Q67393503,0,0,2,historic county of England,County of Derby,Q1138494,,
Somercotes,Derbyshire,Q23098,0,0,2,"ceremonial county in East Midlands, England",,Q180673,,Derbyshire
Somercotes,Derbyshire,Q11775003,0,0,2,non-metropolitan county (doesn't include Derby),,Q769603|Q21272231,,
Somercotes,Derbyshire County Cricket Club,Q1788018,0,0,2,English cricket club,Derbyshire Cricket Club|Derbyshire Club|Derbyshire Cricket|Derbyshire County Cricket team|Derbyshire Falcons|Derbyshire Cricket Team|Cricket Derbyshire|Derbyshire Cricket Falcons|Derbyshire Falcons Cricket|Derbyshire CCC|Derbyshire County Falcons|Derbyshire County Cricket Falcons|Falcons,Q17376093,,Derbyshire County Cricket Club
Somercotes,Derbyshire,Q60576010,0,0,2,Constituency of the Parliament of England (to 1707),,Q27990982,,
Somercotes,Derbyshire,Q16869523,0,0,2,family name,,Q101352,,Derbyshire (surname)
Somercotes,Derbyshire,Q5261554,0,0,2,"Parliamentary constituency in the United Kingdom, 1801-1832",,Q27971968,,Derbyshire (UK Parliament constituency)
Somercotes,Derbyshire,Q5261553,0,0,2,constituency of the European Parliament,,Q2631496,,Derbyshire (European Parliament constituency)
Somercotes,MV Derbyshire,Q1199974,0,0,2,sunken ore-bulk-oil carrier,,Q15272,,MV Derbyshire
Somercotes,Derbyshire,Q57206280,0,0,2,DAB multiplex,Derbyshire DAB|Now Derbyshire,Q5204199,,
Bratsky,Bratsky District,Q1651389,1,0,1,"municipal district in Irkutsk Oblast, Russia",Bratskiy Rayon,Q2198484,,Bratsky District
Bratsky,Bratsky,Q4095946,1,0,1,"human settlement in Iglinsky District, Republic of Bashkortostan, Russia",,Q5084,,"Bratsky, Republic of Bashkortostan"
Bratsky,Bratsky,Q24482913,1,0,1,"human settlement in Kalachyovsky District, Volgograd Oblast, Russia",,Q2023000|Q532,,"Bratsky, Volgograd Oblast"
Bratsky,Bratský,Q112613847,1,0,1,family name,,Q101352,,
Bratsky,Bratsky,Q32534670,1,0,1,river in Russia,Bratskiy,Q4022,,
Bratsky,Bratsky bridge,Q4095960,1,0,1,"The bridge over the Yenisey, connects the Krasnoyarsk Krai and Khakassia",,Q12280,,
Bratsky,Bratskyi Monastery walls,Q122296022,1,0,1,,,Q2065736,,
Bratsky,Bratskyi Monastery Father-Superior house,Q122296018,1,0,1,building in Ukraine,,Q41176,,
Bratsky,Bratskyi Monastery bath-house,Q122329613,1,0,1,,,Q2065736,,
Bratsky,Bratsky (rural locality),Q16860366,1,0,1,Wikimedia list article,,Q13406463,,Bratsky (rural locality)
Bratsky,Bratsk,Q132732,1,0,2,city in eastern Russia,,Q486972|Q7930989|Q1549591,,Bratsk
Bratsky,NS Burgas,Q83641856,1,0,2,ship built in 2009,IMO 9411020,Q11446,,
Bratsky,Bratskoe kladbishche,Q4095988,1,0,2,"cemetery in Smolensk, Russia",,Q39614,,
Bratsky,Bratske Raion,Q2632439,1,0,2,"former raion in Mykolaiv Oblast, Ukraine",,Q1267632|Q19953632|Q114072597,,Bratske Raion
Bratsky,Bratsk Reservoir,Q899803,1,0,2,"reservoir in Irkutsk Oblast, Russia",,Q131681,,Bratsk Reservoir
Bratsky,Bratsk Hydroelectric Power Station,Q1965517,1,0,2,dam in Russia,,Q12323|Q15911738,,Bratsk Hydroelectric Power Station
Bratsky,Russian submarine Bratsk (K-391),Q4206125,1,0,2,1989 Akula-class submarine,,Q757587,,Russian submarine Bratsk
Bratsky,Bratske,Q2453553,1,0,2,"Rural settlement in Voznesensk Raion (district), Mykolaiv Oblast (province), Ukraine",,Q4100864|Q121366249,,Bratske
