data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
September,Petra Marklund,Q230066,0,0,1,Swedish singer and songwriter,September,Q5,,Petra Marklund
September,September,Q123,0,0,1,ninth month in the Julian and Gregorian calendars,Sept|Sep,Q47018901,Q18602249,September
September,September,Q3075151,0,0,1,"song by Earth, Wind & Fire",,Q55850593,,September (song)
September,September,Q2538147,0,0,1,2004 studio album by September,,Q482994,,September (2004 album)
September,September,Q11999999,0,0,1,female given name,,Q11879590,,
September,September,Q1759526,0,0,1,2008 compilation album by singer September,,Q482994,,September (2008 album)
September,September,Q119241130,0,0,1,family name,,Q101352,,
September,1939 Invasion of Poland,Q150812,0,0,1,"German, Soviet, and Slovak attack on and takeover of Poland that marked the start of World War II",Poland Campaign|Polish Campaign|1939 Defensive War|September Campaign|Invasion of Poland,Q645883|Q831663|Q467011,,Invasion of Poland
September,September,Q134389440,0,0,1,song written and composed by Anders Wigelius and Ulf Georgsson; originally recorded by Drifters and released in 2011,,Q105543609,,
September,September,Q134389433,0,0,1,vocal track by Drifters; 2011 studio recording,,Q55850593,,
September,September 29,Q2882,0,0,2,day of the year,September 29th|29th of September|29 September|Sep 29,Q14795564|Q1445650,Q11187374,September 29
September,"September 29th, 1857; Observations on the Wild Turkey, or Gallopavo sylvestris, of Ray; Descriptions of Some New Reptiles, Collected by the U. S. Exploring Expedition, under the Command of Capt. Charles Wilkes, U. S. N. Third Part: Including the…",Q106954656,0,0,2,scientific article published in 1857,,Q13442814,,
September,September 29,Q17018342,0,0,2,day in the Eastern Orthodox liturgical calendar,29 September,Q47164206|Q14795564,Q11187374,September 29 (Eastern Orthodox liturgics)
September,"September 29, 2014",Q17982694,0,0,2,date,2014-09-29|29 September 2014,Q2882|Q47150325,,Portal:Current events/2014 September 29
September,"September 29, 2013",Q17982693,0,0,2,date,2013-09-29|29 September 2013,Q2882|Q47150325,,Portal:Current events/2013 September 29
September,"September 29, 2012",Q17982690,0,0,2,date,2012-09-29|29 September 2012,Q2882|Q47150325,,Portal:Current events/2012 September 29
September,"September 29, 2019",Q57350579,0,0,2,Sunday in September 2019,2019-09-29|29 September 2019,Q47150325|Q2882|Q51203150|Q51156433,,Portal:Current events/2019 September 29
September,"September 29, 2009",Q22663883,0,0,2,Tuesday in September 2009,2009-09-29|29 September 2009,Q47150325|Q2882,,Portal:Current events/2009 September 29
September,"September 29, 2017",Q37787981,0,0,2,Friday in September 2017,2017-09-29|29 September 2017,Q47150325|Q2882|Q21605466,,Portal:Current events/2017 September 29
September,"September 29, 2020",Q57396911,0,0,2,Tuesday in September 2020,2020-09-29|29 September 2020,Q47150325|Q2882|Q51156418,,
