data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Bøkfjorden,Bøkfjorden,Q2656917,0,0,1,"fjord in Sør-Varanger Municipality, Norway",Báhčaveajvuonna,Q45776,,Bøkfjorden
Bøkfjorden,Varangerfjord,Q384858,0,0,2,"fjord in Finnmark county, Norway",,Q45776,,Varangerfjord
Bøkfjorden,Varangerfjord,Q27824659,0,0,2,"ship, 1990",Nico|Forward,Q11446,,
Bøkfjorden,Varangerfjorden basin,Q140842284,0,0,2,basin in Norway and Russia,,Q82700259,,
Varangerfjord,Varangerfjord,Q384858,0,1,1,"fjord in Finnmark county, Norway",,Q45776,,Varangerfjord
Varangerfjord,Varangerfjord,Q27824659,0,1,1,"ship, 1990",Nico|Forward,Q11446,,
Varangerfjord,Varangerfjorden basin,Q140842284,0,1,1,basin in Norway and Russia,,Q82700259,,
Varangerfjord,Bøkfjorden,Q2656917,0,1,2,"fjord in Sør-Varanger Municipality, Norway",Báhčaveajvuonna,Q45776,,Bøkfjorden
Varangerfjord,fjord,Q45776,0,1,2,"long, narrow inlet of the ocean created in a valley carved by glacial activity",fiord,,Q39594|Q35116038|Q337567,Fjord
Varangerfjord,Fjord Municipality,Q65230514,0,1,2,"municipality in Møre og Romsdal, Norway",,Q755707,,Fjord Municipality
Varangerfjord,Fjord,Q123166572,0,1,2,family name,,Q101352,,
Varangerfjord,lagoon,Q187223,0,1,2,shallow body of water separated from larger body of water by a barrier,haff|albufera|liman,,Q135951980,Lagoon
Varangerfjord,Fjord Line,Q1422444,0,1,2,Norwegian ferry operator serving routes between Norway and Denmark,Fjordline|FjordLine|Fjord-Line,Q1807108|Q25653|Q155930|Q651658,,Fjord Line
Varangerfjord,IMO 8410316,Q58411518,0,1,2,cargo ship built in 1985,Butjadingen|Anna|Anja|Molo Sun|Tifjord|Vestbris|Fjord,Q105999,,
Varangerfjord,Fjord,Q20635222,0,1,2,painting by John Adams Griefen,,Q3305213,,
Varangerfjord,Fjord,Q20266504,0,1,2,painting by Mel Bochner,,Q3305213,,
Varangerfjord,Fjord,Q52333173,0,1,2,heavy lift vessel built in 2001,IMO 8636740,Q83702840,,
Varangerfjord,Tide Bane,Q5456496,0,1,2,Norwegian bus and light rail operator,Fjord1 Partner|Keolis Norge|Tide Buss og Bane,Q4830453,,Keolis Norge
Vestfjorden,Vestfjorden,Q1753121,1,0,1,"sea area between Lofoten and Salten, Norway",,Q45776,,Vestfjorden
Vestfjorden,Tønsbergfjorden,Q4583789,1,0,1,"fjord in Vestfold, Norway",Vestfjorden,Q45776,,Tønsbergfjorden
Vestfjorden,Vestfjorden,Q3441682,1,0,1,fjord in Svalbard,West Fjord,Q45776,,Vestfjorden (Svalbard)
Vestfjorden,Vestfjorden,Q11223754,1,0,1,"part of Tinnsjå, Telemark, Norway",,Q17018380,,
Vestfjorden,Vestfjorden,Q11073998,1,0,1,"part of Oslofjorden, Norway",,Q45776,,
Vestfjorden,Vestfjorden,Q12009479,1,0,1,"fjord in Vestfold, Norway",,Q45776,,
Vestfjorden,Vestfjorden,Q11211531,1,0,1,"fjord in Nordkapp, Norway",,Q45776|Q17018380,,
Vestfjorden,Ide Vest,Q118367574,1,0,1,,Vestfjorden Fergeselskap,Q740752,,
Vestfjorden,Vestfjorden,Q49315007,1,0,1,,,Q15324,,
Vestfjorden,Vestfjordens Seilforening,Q19397895,1,0,1,,,Q847017,,
Vestfjorden,Vestfjord,Q21809578,1,0,2,fjord in Greenland,Vest Fjord|West Fjord|Västfjorden,Q45776,,Vestfjord
