data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Sidra,Sidra,Q16281476,0,0,1,female given name,,Q202444,,Sidra (name)
Sidra,Sidra,Q105477102,0,0,1,family name,,Q101352,,
Sidra,Sidra,Q3080807,0,0,1,"village in Sokółka County, Podlaskie Voivodeship, Poland",,Q3558970,,"Sidra, Sokółka County"
Sidra,Sidra,Q20001284,0,0,1,female given name (سدرة),,Q11879590,,
Sidra,Sidra Rehman,Q115281368,0,0,1,researcher,,Q5,,
Sidra,Sidra,Q291912,0,0,1,town in Libya,,Q515|Q2264924|Q25391,,"Sidra, Libya"
Sidra,Sidra,Q9336320,0,0,1,river in Poland,,Q4022,,
Sidra,Sidra,Q2749473,0,0,1,"railway stop in Sokółka County, Poland",,Q55678,,
Sidra,Sidra,Q4418952,0,0,1,"river in Karelia, Russia",Lyuli,Q4022,,
Sidra,IMO 7607429,Q26838206,0,0,1,livestock carrier built in 1977,"Category:Barhom II (ship, 1977)|IMO 7607429",Q1752434|Q15266,,
Pantelis,Pantelis,Q37203694,1,0,1,family name,,Q101352,,
Pantelis,Pantelis,Q110434592,1,0,1,guest on the Joe Rogan Experience podcast,,Q5,,
Pantelis,Pantelis,Q81628260,1,0,1,male given name (Παντελής),Παντελής,Q12308941|Q1130279,,Pandelis
Pantelis,Pantelis,Q64149608,1,0,1,"theatrical character in the play ""Educating Daddy""",,Q3375722,,
Pantelis,Pantelis,Q67193946,1,0,1,"theatrical character in the play ""Lot’s wife""",,Q3375722,,
Pantelis,Pantelis Capros,Q114454122,1,0,1,researcher,,Q5,,
Pantelis,Pantelis Rousakis,Q114411827,1,0,1,researcher,,Q5,,
Pantelis,Pantelis Xagoraris,Q104649113,1,0,1,Greek visual artist (1929–2000),Panteles Xagorares,Q5,,
Pantelis,Pantelis Andrea Damianou,Q102203297,1,0,1,Ph.D. University of Arizona 1989,,Q5,,
Pantelis,Pantelis Theodoros Nikolaidis,Q38600959,1,0,1,Greek physiologist,,Q5,,
Hua Ming,Hua Ming,Q100485052,2,0,1,researcher,,Q5,,
Hua Ming,Hua Ming,Q130969181,2,0,1,researcher (ORCID 0000-0001-5379-6311),,Q5,,
Hua Ming,Hua Ming,Q15932302,2,0,1,Qing dynasty person CBDB = 360963,,Q5,,
Hua Ming,Hua Ming,Q10905779,2,0,1,Chinese politician,Ming Hua,Q5,,
Hua Ming,Hua Ming,Q122710676,2,0,1,ship built in 1976,IMO 7369912,Q11446,,
Hua Ming,Hua Ming,Q115573593,2,0,1,bulk carrier built in 1988,IMO 8806345,Q15276,,
Hua Ming,Hua-Ming Zhou,Q119445455,2,0,1,zoologist,,Q5,,
Hua Ming,Hua-Ming Cheng,Q90258958,2,0,1,researcher (ORCID 0000-0002-8876-6320),,Q5,,
Hua Ming,Hua Mingzhi,Q65918322,2,0,1,"person, CBDB ID = 412797",,Q5,,
Columbia River,Columbia River,Q2251,3,0,1,"river in North America; flows from British Columbia, through Washington, and along the Washington-Oregon border to the Pacific Ocean",,Q4022|Q573344,,Columbia River
Columbia River,Columbia Basin,Q2887539,3,0,1,drainage basin of the Columbia River in western North America,Columbia River watershed|Columbia River basin|Columbia River drainage basin,Q166620,,Columbia River drainage basin
Columbia River,Columbia River,Q101897529,3,0,1,bulk carrier built in 2006,IMO 9331907,Q15276,,
Columbia River,Columbia River,Q77997940,3,0,1,painting by Sawada Ikune,,Q3305213,,
