data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
The Raising of the Cross,Raising of the Cross,Q7759352,0,0,1,biblical episode and artistic theme,The Raising of the Cross|Elevation of the Cross|The Elevation of the Cross,Q1406161|Q106355253,,Raising of the Cross
The Raising of the Cross,The Raising of the Cross,Q41796334,0,0,1,"painting by Peter Paul Rubens (Louvre, MNR 411)",The Elevation of the Cross,Q3305213|Q79218,,
The Raising of the Cross,The raising of the cross,Q60618282,0,0,1,painting by Anthony van Dyck,,Q3305213,,
The Raising of the Cross,The raising of the cross,Q48560098,0,0,1,"lost painting by Peter Paul Rubens, formerly in Santa Croce in Gerusalemme",,Q3305213,,
The Raising of the Cross,The Raising of the Cross,Q29655273,0,0,1,"painting by Pierre Paul Rubens (Louvre, MI 964)",The Elevation of the Cross,Q3305213,,
The Raising of the Cross,The Raising of the Cross,Q19858380,0,0,1,painting by James Tissot,,Q18761202,,
The Raising of the Cross,The Raising of the Cross,Q27964925,0,0,1,painting by Flemish School,,Q3305213,,
The Raising of the Cross,The raising of the cross,Q48559512,0,0,1,painting by anonymous,,Q3305213,,
The Raising of the Cross,The Raising of the Cross,Q27967869,0,0,1,painting by Giulio Cesare Procaccini,,Q3305213,,
The Raising of the Cross,The Raising of the Cross,Q55433878,0,0,1,painting by Ukjent kunstner,,Q3305213,,
The Raising of the Cross,crucifixion of Jesus,Q51636,0,0,2,Jesus' crucifixion as described in the four canonical gospels,Crucifixion|Crucifixion of Christ|The Crucifixion|Christ on the Cross,Q106355253|Q1406161|Q3235597|Q1855439,,Crucifixion of Jesus
The Raising of the Cross,The Crucifixion,Q21232677,0,0,2,painting by Andreas Pavias,,Q132137|Q3305213,,The Crucifixion (Pavias)
The Raising of the Cross,The Crucifixion,Q137752859,0,0,2,Painting by Englebert Fisen (1684),The Crucifixion of Jesus|Golgotha,Q3305213,,
The Raising of the Cross,The Crucifixion,Q122639907,0,0,2,painting by Bertholet Flémalle (I),Golgotha ​​with donor Dean Pierre de Rosen,Q3305213,,
The Raising of the Cross,The Crucifixion,Q138529680,0,0,2,painting by Pieter Claeissens the Elder,,Q3305213,,
The Raising of the Cross,The Crucifixion,Q5966352,0,0,2,painting by El Greco,,Q3305213,,
The Raising of the Cross,Crucifixion,Q490312,0,0,2,painting by Jacopo Tintoretto in the Scuola Grande di San Rocco,The Crucifixion,Q3305213,,Crucifixion (Tintoretto)
The Raising of the Cross,Crucifixion of Christ,Q3221342,0,0,2,painting by Francisco de Zurbarán,The Crucifixion|Crucifixion|Christ on the Cross,Q3305213,,Christ on the Cross (Zurbarán)
The Raising of the Cross,The Crucifixion,Q17335810,0,0,2,painting by Giovanni da Milano,Crucifixion,Q3305213,,
The Raising of the Cross,The Crucifixion,Q3698190,0,0,2,painting by Mathias Grünewald,Crucifixion,Q3305213,,
