data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Aars,Aars,Q17378638,0,0,1,family name,Aars (surname),Q101352,,
Aars,Aarschot,Q273442,0,0,1,"city in Flemish Brabant, Belgium",,Q493522|Q15273785,,Aarschot
Aars,Aars,Q303066,0,0,1,town in Denmark,Års,Q3957,,Aars
Aars,AARS1,Q17707208,0,0,1,protein-coding gene in the species Homo sapiens,CMT2N|EIEE29|alanyl-tRNA synthetase|AARS|alanyl-tRNA synthetase 1|DEE29|TTD8|HDLS2,Q7187,Q20747295,AARS1
Aars,Aars1,Q24370052,0,0,1,protein-coding gene in the species Rattus norvegicus,alanyl-tRNA synthetase|alanyl-tRNA synthetase 1|Aars,Q7187,Q20747295,
Aars,Aars,Q18298367,0,0,1,protein-coding gene in the species Mus musculus,AI316495|C76919|sti|alanyl-tRNA synthetase|Aars1,Q7187,Q20747295,
Aars,All-America Rose Selections,Q21083102,0,0,1,American rose award given annually from 1940 to 2013,AARS,Q618779,,All-America Rose Selections
Aars,Alanyl-tRNA synthetase,Q21991203,0,0,1,mammalian protein found in Mus musculus,"protein sticky|Aars|alanyl-tRNA synthetase, cytoplasmic|alaRS|alanine--tRNA ligase, cytoplasmic",Q8054,Q8054,
Aars,aars,Q29743965,0,0,1,protein-coding gene in the species Danio rerio,alanyl-tRNA synthetase|wu:fc48h07|zgc:113920|si:ch211-223o1.6|im:7146712,Q7187,,
Aars,Alanyl-tRNA synthetase 1,Q21135759,0,0,1,mammalian protein found in Homo sapiens,"AARS|alanine--tRNA ligase, cytoplasmic|alaRS|renal carcinoma antigen NY-REN-42|AARS1|alanyl-tRNA synthetase, cytoplasmic|alanine tRNA ligase 1, cytoplasmic",Q8054,,
Dulveron,,,1,0,0,,,,,
au,Australia,Q408,2,0,1,country in Oceania,Commonwealth of Australia|Straya|Aussieland|Oz|Stralia|New Holland|New Hollandia|Nova Hollandia|Down Under|Stria|The Commonwealth of Australia|'Straya,Q202686|Q223832|Q3624078|Q43702|Q6256,,Australia
au,Austria,Q40,2,0,1,country in Central Europe,Republic of Austria,Q3624078|Q4209223|Q123480|Q127693126|Q6256,,Austria
au,Auburn University,Q540672,2,0,1,"public university in Auburn, Alabama, United States",AU|AUM|Auburn College|Alabama Polytechnic Institute|auburn.edu,Q3918|Q615150|Q23002039,,Auburn University
au,astronomical unit,Q1811,2,0,1,"mean distance between Earth and the Sun, common length reference in astronomy",AU|astronomic unit|heliocentric distance|au,Q1978718|Q106839753|Q82047057|Q3268848,,Astronomical unit
au,Auriga,Q10476,2,0,1,constellation in the northern celestial hemisphere,Aur|Aurigae,Q8928,,Auriga
au,Queensland,Q36074,2,0,1,state of Australia,State of Queensland|QLD|Qld.|AU-QLD,Q5852411|Q133156,,Queensland
au,South Australia,Q35715,2,0,1,state of Australia,SA|S.A.|AU-SA|S. Aust.|State of South Australia,Q5852411|Q1351282,,South Australia
