data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Kaisariani Municipality,Kaisariani Municipality,Q21621911,0,0,1,"municipality of Central Athens Regional unit, Greece",,Q1349648,,
Kaisariani Municipality,Kaisariani,Q933566,0,0,2,"suburb of Athens, Greece",,Q486972|Q188509,,Kaisariani
Kaisariani Municipality,Kaisariani executions,Q4030007,0,0,2,German reprisal execution of 200 Greek hostages on 1 May 1944,,Q3966286|Q680121,,1 May 1944 Kaisariani executions
Kaisariani Municipality,Kaisariani Municipal Cemetery,Q100434157,0,0,2,"cemetery in Kaisariani, Greece",Kaisariane cemetery|Cemetery of Kaisariani,Q39614,,
Kaisariani Municipality,Kaisariani metro station,Q116054685,0,0,2,"under construction metro station in Athens, Greece",Kessariani metro station,Q115792670|Q22808403,,
Kaisariani Municipality,Kaisariani monastery,Q1168003,0,0,2,Byzantine monastery,Mone Kaisarianes|Moni Kaisarianis,Q44613,,Kaisariani Monastery
Kaisariani Municipality,Kaisariani Aesthetic Forest,Q117301158,0,0,2,"protected forest area around Kaisariani Monastery, Mt. Hymettus, Greece",Hymettus Aesthetic Forest|Imitos Aesthetic Forest,Q473972,,
Kaisariani Municipality,Kaisariani forest World War II memorial,Q117303961,0,0,2,inscribed stele for June 1944 Greek war victims,,Q64374896,,
Kaisariani Municipality,Kaisariani,Q1626228,0,0,2,Wikimedia disambiguation page,,Q4167410,,
Agios Efstratios Municipality,Agios Efstratios Municipality,Q12875609,1,0,1,municipality of Greece,Municipality of Aghios Efstratios,Q1349648,,
Agios Efstratios Municipality,Agios Efstratios,Q393937,1,0,2,Greek island,Ai Stratis,Q23442,,Agios Efstratios
Agios Efstratios Municipality,St. Eustratius,Q115323002,1,0,2,"rock in Meteora, Greece",Agios Efstratios|Agios Eustratios,Q1404150,,
Agios Efstratios Municipality,Agios Efstratios Kai Paraktia Thalassia Zoni,Q53672963,1,0,2,protected natural site,,Q1191622,,
Agios Efstratios Municipality,Nisos Agios Efstratios Kai Thalassia Zoni,Q53672977,1,0,2,protected natural site,,Q2463705,,
Pallini Municipality,Pallini Municipality,Q352771,2,0,1,"municipality in Attica, Greece",Municipality of Pallini,Q1349648,,
Pallini Municipality,Pallini,Q37112834,2,0,2,family name,,Q101352,,
Pallini Municipality,Pallini,Q21446003,2,0,2,tribe of insects,,Q16521,,
Pallini Municipality,Pallini,Q868553,2,0,2,"suburb of Athens, Greece",Charvati,Q486972,,Pallini
Pallini Municipality,Angelo Pallini,Q37380008,2,0,2,researcher,Pallini,Q5,,
Pallini Municipality,Pallini station,Q12884460,2,0,2,"railway and metro station in East Attica, Greece",Pallini metro station|Pallini railway station,Q55488|Q22808404|Q115792670|Q132555858,,Pallini station
Pallini Municipality,Pallini Municipal Unit,Q679073,2,0,2,"subdivision of Kassandra Municipality, Greece",,Q1985797|Q117871604,,"Pallini, Chalkidiki"
Pallini Municipality,Pallini Music School,Q25535686,2,0,2,"public music school in Pallini, Greece",Experimental Music High School of Pallini|Music School of Pallini,Q1080794|Q1021290|Q811979,,
Pallini Municipality,Pallini Municipal Unit,Q21623482,2,0,2,"subdivision of Pallini Municipality, Greece",,Q1985797,,
Pallini Municipality,Pallini cemetery,Q115215354,2,0,2,"cemetery in Attica, Greece",Pallini Municipal Cemetery|Pallene cemetery,Q39614,,
Ziros Municipality,Ziros Municipality,Q2634251,3,0,1,municipality of Greece,,Q1349648,,"Ziros, Preveza"
Ziros Municipality,Zirosaris,Q21366962,3,0,2,synonym of Izatha,,Q16521,,
Ziros Municipality,"Ziros, Lasithi",Q8072779,3,0,2,human settlement in Greece,,Q486972,,"Ziros, Lasithi"
Ziros Municipality,Lake Ziros,Q12880039,3,0,2,"lake in Preveza regional unit, Greece",Ziros Lake,Q23397,,
Ziros Municipality,Žiroslavlje,Q2246437,3,0,2,"settlement in the Municipality of Suhopolje, Virovitica-Podravina County, Croatia",,Q4845841,,
Ziros Municipality,Zirosaris amorbas,Q136404448,3,0,2,species of Lepidoptera,,Q16521,,
Ziros Municipality,Ziros lake,Q134570173,3,0,2,lake in Crete,,Q23397,,
Ziros Municipality,Ziros,Q61127488,3,0,2,,,,,
Ziros Municipality,gyroscope,Q483400,3,0,2,device for measuring or maintaining orientation and direction,gyroscopes,,Q1183543|Q2041172,Gyroscope
Ziros Municipality,Żyrosław I,Q350175,3,0,2,Polish bishop,Siroslaus I|Zyroslaw,Q5,,Żyrosław I
Oichalia Municipality,Oichalia Municipality,Q1960517,4,0,1,"municipality in Messenia, Greece",,Q1349648,,"Oichalia, Messenia"
Oichalia Municipality,Oichalia,Q972388,4,0,2,"town in Trikala, Greece",Neochori,Q3957,,"Oichalia, Trikala"
Oichalia Municipality,Oechalia,Q3594069,4,0,2,ancient city of Thessaly,Oichalia|Eurytion,Q3238337|Q15661340,,Oechalia (Thessaly)
Oichalia Municipality,Oechalia (Euboea),Q16558803,4,0,2,ancient town of Euboea,Oichalia,Q15661340,,Oechalia (Euboea)
Oichalia Municipality,Oechalia,Q107550037,4,0,2,mythical city ruled by Eurytus and sacked by Heracles,Oichalia,Q3238337,,
Oichalia Municipality,Oechalia,Q60790410,4,0,2,ancient town of Aetolia,Oichalia,Q15661340,,Oechalia (Aetolia)
Oichalia Municipality,Oichalia 4 (Pauly-Wissowa),Q125465410,4,0,2,encyclopedic article in Paulys Realencyclopädie der classischen Altertumswissenschaft (RE),,Q13433827,,
Oichalia Municipality,Oichalia 3b (Pauly-Wissowa),Q125465411,4,0,2,encyclopedic article in Paulys Realencyclopädie der classischen Altertumswissenschaft (RE),,Q13433827,,
Oichalia Municipality,Oichalia 2 (Pauly-Wissowa),Q138448394,4,0,2,encyclopedic article in Paulys Realencyclopädie der classischen Altertumswissenschaft (RE),,Q13433827,,
Oichalia Municipality,Oichalia 1 (Pauly-Wissowa),Q138448395,4,0,2,encyclopedic article in Paulys Realencyclopädie der classischen Altertumswissenschaft (RE),,Q13433827,,
Tripoli Municipality,Tripoli Municipality,Q3539555,5,0,1,municipality in Greece,,Q1349648,,
Tripoli Municipality,Tripoli,Q193409,5,0,2,"city in Peloponnese, Greece",,Q515,,"Tripoli, Greece"
Tripoli Municipality,Tripoli,Q3579,5,0,2,capital city of Libya,Tarabulus,Q515|Q2264924|Q16124843|Q1549591|Q108178728,,"Tripoli, Libya"
Tripoli Municipality,Giovanni Battista Tiepolo,Q186202,5,0,2,Italian painter (1696–1770),J. B. Tiepolo|Gio. Battista Tiepolo|Giovanni Battista Tiepoli|Juan Bautista Tiépolo|Dzhovanni Battista Tʹepolo|Giovanni Battista Teipolo|Giovanni Battista Chiepoletto|Giovanni Battista Thenpholus|Giovanni Battista Theupholus|Giovanni Battista Tiepoletto|Juan Bautista Tiepolo|Tipolo|Giovanni Tiepolo|g. battista tiepolo|Giambatista Tiepolo|g. b. tiepolo|Tiepoli|J. Batista Tiepolo|j.b. tiepolo|Tripoli|tiepolo g.b.|j. b. tiepolo|G.B. Tiepolo|J. B. Tiepolo le père|Hiepolo|Thiepolo|Diebolo|Diepolo|Gian Battista Tiepolo|Johann Baptista Tiepolo|Johann Babtiste Tiepolo|giovanni batt. tiepolo|Tripolo|tiepolo giov. b.|giov. batt. tiepolo|Le Tiepoli|giovanni b. tiepolo|giovanni tiepolo|Tiopalo|C. B. Tiepolo|Tiopolo|Giambatista Tiepelo|Tiopoli|giov. battista tiepolo|Tiepolo Giovanni Battista|Tieoplo|Johann Bapt. Tiepolo|Jean-Baptiste Tiépolo|Giov. Batt. Tiepolo|giovanni bapt. tiepolo|G. Tiepolo|Tippoli|nachahmer des tiepolo|Tibolo|Tipoli|Teipolo|giovanni baptista tiepolo|Tiepulo|Tiepolo Gio. Battista|Gio Baptista Tiepolo|Tiipolo|Le Tiépoli|J.-B. Tiépolo|Jean-Baptiste Tiepolo|Joh. Bapt. Tiepolo|Giovanni Batista Tiepolo|G. B. Tiepolo|F. B. Tiepolo,Q5,,Giovanni Battista Tiepolo
Tripoli Municipality,Tripoli,Q37284982,5,0,2,family name,,Q101352,,
Tripoli Municipality,Tripoli,Q168954,5,0,2,city in northern Lebanon,Tripoli Lebanon,Q515,,"Tripoli, Lebanon"
Tripoli Municipality,Tripoli,Q139709304,5,0,2,,,Q571,,
Tripoli Municipality,Tripolitania vilayet,Q1529261,5,0,2,Ottoman province,Kingdom of Tripoli|Trablusgarp Eyalet|Trablusgarp Vilayet|Pashalik of Tripolitania|Tripoli,Q1462047,,Ottoman Tripolitania
Tripoli Municipality,Tripolium pannonicum,Q635916,5,0,2,species of plant,Sea aster,Q16521,Q190903,Tripolium pannonicum
Tripoli Municipality,silica dust,Q20963647,5,0,2,respirable form of silicon dioxide,Cristobalite dust|Quartz dust|Tridymite dust|Tripoli dust|silicon dioxide dust,,Q165632,
