data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Bilharz,Bilharz,Q37570500,0,0,1,family name,,Q101352,,
Bilharz,schistosomiasis,Q221159,0,0,1,human disease,bilharzia|snail fever|schistosome infection|schistosoma infection|bilharziasis|Katayama fever,Q112193867,Q3030745|Q578994|Q929451|Q1601794,Schistosomiasis
Bilharz,Bilharz,Q861776,0,0,1,lunar crater,,Q1348589,,Bilharz (crater)
Bilharz,Bilharziella polonica,Q5016843,0,0,1,species of worm,,Q16521,,
Bilharz,Bilharziella,Q18520303,0,0,1,genus of worms,,Q16521,,
Bilharz,Bilharz,Q106874307,0,0,1,NASA Lunar topographic orthophotomap,LTO 80A3,Q4006,,
Bilharz,Bilharz,Q23856346,0,0,1,article in Otto's encyclopedia,,Q13433827,,
Bilharz,Bilharziellinae,Q119137832,0,0,1,,,Q16521,,
Bilharz,Bilharzial cor pulmonale,Q28058359,0,0,1,medical condition,,Q112193867,Q1131786|Q221159,Bilharzial cor pulmonale
Bilharz,"Bilharz, Theodor",Q27563025,0,0,1,entry in the Allgemeine Deutsche Biographie,"Bilharz, Theodor (ADB)",Q19389637,,
Bilharz,Schistosoma,Q1457418,0,0,2,genus of worms,,Q16521,,Schistosoma
Bilharz,Bilharzia haematobia,Q23856347,0,0,2,article in Otto's encyclopedia,,Q13433827,,
Bilharz,BILHARZIAL HEART DISEASE IN EGYPT: COR PULMONALE DUE TO BILHARZIAL PULMONARY ENDARTERITIS.,Q41298148,0,0,2,scientific article,,Q13442814,,
Bilharz,Bilharzia,Q70767978,0,0,2,scientific article published on 01 February 1967,,Q13442814,,
Bilharz,Bilharzia,Q70778413,0,0,2,scientific article published on 01 December 1967,,Q13442814,,
Bilharz,Bilharziasis and bladder cancer: a time trend analysis of 9843 patients.,Q39030048,0,0,2,scientific article published on June 2007,,Q13442814,,
Bilharz,Bilharziasis of the genitourinary tract,Q34551300,0,0,2,scientific article,,Q13442814,,
Bilharz,"Bilharzia in the Philippines: past, present, and future.",Q38161217,0,0,2,scientific article published on 26 October 2013,,Q13442814,,
Bilharz,schistosomiasis mansoni,Q66057173,0,0,2,schistosomiasis caused by Schistosoma mansoni,schistosoma mansoni infection,,Q221159,
Bilharz,urinary schistosomiasis,Q18554637,0,0,2,"schistosomiasis that involves parasitic infection of the urinary tract caused by a digenetic trematode Schistosoma haematobium causing cystitis, ureteritis, fibrosis of the bladder and haematuria, which can progress to bladder cancer",Schistosoma Hematobium Infection|Schistosoma haematobium (& vesical schistosomiasis)|Schistosoma hematobium infection (disorder)|Schistosoma hematobium infectious disease|Schistosomiasis due to schistosoma haematobium|Schistosomiasis of bladder [Ambiguous]|Vesical schistosomiasis NOS|bladder Schistosomiasis|cystitis with bilharziasis (disorder)|urinary schistosomiasis (disorder)|Schistosomiasis of bladder|Vesical schistosomiasis|Schistosoma haematobium infection|Schistosoma haematobium|cystitis with bilharziasis|urinary bladder schistosomiasis|Schistosomiasis haematobia,Q112193867,Q221159|Q6066379|Q18123741,
Bilharz,Schistosomiasis,Q28215200,0,0,2,scientific article (publication date: 18 April 2002),,Q13442814,,
Bilharz,Schistosomiasis vaccine,Q2903025,0,0,2,vaccine against Schistosomiasis,,Q105967696,Q134808,Schistosomiasis vaccine
Bilharz,Unlimit Health,Q7431536,0,0,2,non-profit initiative against parasitic worm infections,SCI Foundation|SCI|Schistosomiasis Control Initiative,Q163740,,Unlimit Health
Bilharz,Schistosomiasis Drug Discovery in the Era of Automation and Artificial Intelligence,Q112563710,0,0,2,publication published on 31 May 2021,,Q732577,,
Bilharz,Schistosomiasis,Q56639209,0,0,2,,,Q13442814,,
