data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Frankoin,,,0,0,0,,,,,
Prtsmouth,Portsmouth,Q72259,1,0,2,"city in Hampshire, England, United Kingdom","Portsmouth, Hampshire|Portsmouth, England",Q515|Q1549591|Q2264924,,Portsmouth
Prtsmouth,City of Portsmouth,Q21683233,1,0,2,"district of Hampshire, England",Portsmouth|Portsmouth (city)|GB-POR,Q1136601|Q21503295|Q1006876|Q1187580,,City of Portsmouth
Prtsmouth,Portsmouth,Q1787188,1,0,2,"town in Newport County, Rhode Island, USA","Portsmouth, Rhode Island|Portsmouth, RI",Q15127012,,"Portsmouth, Rhode Island"
Prtsmouth,Portsmouth F.C.,Q19604,1,0,2,"association football club in Portsmouth, England",Portsmouth Football Club|Portsmouth FC|Portsmouth|PFC|Pompey,Q476028,,Portsmouth F.C.
Prtsmouth,Portsmouth,Q7890709,1,0,2,lightvessel LV-101,United States Lightship 101|LV-101|United States lightship Portsmouth (LV-101)|United States lightship Portsmouth,Q831515|Q130326199,,United States lightship Portsmouth (LV-101)
Prtsmouth,Portsmouth,Q110871197,1,0,2,instrumental track by Mike Oldfield; 1976 studio recording,,Q55850643,,
Prtsmouth,Portsmouth,Q342803,1,0,2,"independent city in Virginia, United States","Portsmouth, Virginia|Portsmouth, VA",Q1266818,,"Portsmouth, Virginia"
Prtsmouth,Portsmouth,Q49191,1,0,2,"city in Rockingham County, New Hampshire, United States","Portsmouth, New Hampshire|Portsmouth N.H.|Portsmouth NH|Portsmouth, NH",Q1093829|Q486972,,"Portsmouth, New Hampshire"
Prtsmouth,Portsmouth,Q685335,1,0,2,"city in Scioto County, Ohio, United States","Portsmouth, Ohio|Portsmouth, OH",Q108569710|Q62049,,"Portsmouth, Ohio"
Prtsmouth,Portsmouth,Q60576086,1,0,2,Constituency of the Parliament of England (to 1707),,Q27990982,,
Suffol,Suffolk,Q67574715,2,0,1,historic county of England,,Q1138494,,
Suffol,Suffolk,Q23111,2,0,1,county of England,"SFK|Suffolk County, England",Q769603|Q180673,,Suffolk
Suffol,Suffolk County,Q54065,2,0,1,"county in New York, United States","Suffolk County, New York|Suffolk County, NY",Q13414757,,"Suffolk County, New York"
Suffol,Saint-Émile-de-Suffolk,Q3463587,2,0,1,"municipality in Quebec, Canada","Saint-Emile-de-Suffolk|Suffolk-et-Addington|Saint-Émile-de-Suffolk, Quebec",Q27676428|Q27676422|Q27676424,,Saint-Émile-de-Suffolk
Suffol,Suffolk County,Q54072,2,0,1,"county in Massachusetts, United States","Suffolk County, Massachusetts|Suffolk County, MA",Q13410485,,"Suffolk County, Massachusetts"
Suffol,Suffolk Coastal,Q2116371,2,0,1,"former local government district in Suffolk, England",,Q1187580|Q19953632,,Suffolk Coastal
Suffol,Suffolk Artists,Q115997986,2,0,1,"website on artists associated with Suffolk, England",suffolkartists.co.uk,Q35127|Q36570165,,
Suffol,Suffolk,Q342428,2,0,1,"independent city in Virginia, United States","Suffolk, Virginia|Suffolk, VA",Q1266818|Q9283961|Q486972,,"Suffolk, Virginia"
Suffol,Suffolk University,Q1056123,2,0,1,"private university located in Boston, Massachusetts",,Q902104|Q23002054,,Suffolk University
Suffol,Suffolk University Law School,Q7634594,2,0,1,"law school in Boston, Massachusetts, U.S.",Suffolk Law School|Suffolk Law,Q1321960,,Suffolk University Law School
Suffol,Suffolk,Q132158203,2,0,2,Domestic cat breed from the UK,suffolk cat|suffolk cats|suffolk (cat),Q43577,Q146,Suffolk cat
Suffol,Suffolk,Q60576033,2,0,2,Constituency of the Parliament of England (to 1707),,Q27990982,,
Suffol,Suffolk,Q787795,2,0,2,breed of sheep,,Q15622363,Q7368,Suffolk sheep
Suffol,Suffolk Punch,Q788030,2,0,2,horse breed,Suffolk horse|Suffolk|Punch,Q1160573,Q18562285,Suffolk Punch
Suffol,Suffolk,Q7634529,2,0,2,"Parliamentary constituency in the United Kingdom, 1801-1832",,Q27971968,,Suffolk (UK Parliament constituency)
Suffol,Suffolk County Cricket Club,Q7634553,2,0,2,sports club,Suffolk CCC,Q847017,,Suffolk County Cricket Club
Suffol,Suffolk County Council,Q3305205,2,0,2,English administrative body,,Q110417190,,Suffolk County Council
Suffol,Suffolk County Community College,Q7634547,2,0,2,college and sports venue,,Q1336920|Q23002039|Q1076486,,Suffolk County Community College
Suffol,Suffolk Lodge No. 60,Q64966925,2,0,2,"Masonic lodge in Port Jefferson, New York","Suffolk Lodge of Port Jefferson|F&AM Suffolk Lodge #60|Suffolk County, New York Lodge #60|Suffolk Lodge #60",Q1454583|Q1454597,,
Suffol,Suffolk County Council election,Q7634552,2,0,2,class of election,,Q107359024,Q116209903,Suffolk County Council elections
Suffol,"2020 COVID-19 pandemic in Suffolk County, New York",Q94258616,2,0,2,"pandemic in Suffolk County, New York","2020 coronavirus outbreak in Suffolk County, New York|COVID-19 pandemic in Suffolk County, New York|2020 Suffolk County, New York COVID-19 pandemic|Suffolk County, New York COVID-19 pandemic|2020 COVID pandemic in Suffolk County, New York",Q3241045,,
Suffol,county routes in Suffolk County,Q115943708,2,0,2,"system of numbered routes in Suffolk County, New York, United States","county routes in Suffolk County, New York|Suffolk County routes",Q25631158,,
Hanpton,,,3,0,0,,,,,
Newport New,Newport News,Q335017,4,0,1,"independent city in Virginia, United States","Newport News, Virginia|Newport News, VA",Q1266818|Q1549591,,"Newport News, Virginia"
Newport New,Newport News Shipbuilding,Q82610,4,0,1,shipyard in the United States,Newport News Shipbuilding and Drydock Company|Northrop Grumman Shipbuilding-Newport News|Northrop Grumman Newport News|NNS,Q190928|Q16274795,,Newport News Shipbuilding
Newport New,Hampton Roads Music Venues,Q47474810,4,0,1,"designation of local music performance spaces, both past and present",Tidewater Music Venues|Southeastern Virginia Music Venues|Norfolk Music Venues|Virginia Beach Music Venues|Hampton Music Venues|Newport News Music Venues|Portsmouth Music Venues|Suffolk Music Venues|Chesapeake Music Venues,Q16887380,,
Newport New,Newport News station,Q7018931,4,0,1,"railway station in Newport News, Virginia",,Q55488,,Newport News station
Newport New,Newport News Public Schools,Q16982771,4,0,1,"school division school in Newport News, Virginia, United States",,Q398141,,Newport News Public Schools
Newport New,Newport News High School,Q14712960,4,0,1,"high school in Virginia, United States",,Q9826,,Newport News High School
Newport New,Newport News Middle Ground Light,Q7018936,4,0,1,"lighthouse in Virginia, United States",Newport News Middle Ground Lighthouse,Q39715,,Newport News Middle Ground Light
Newport New,Newport News Public Library System,Q30258192,4,0,1,"archive organization in Newport News, United States",,Q3152824|Q26271642,,
Newport New,Newport News Park,Q14712961,4,0,1,"park in Virginia, United States of America",,Q22698,,Newport News Park
Newport New,Newport News Dodgers,Q7018933,4,0,1,Minor League Baseball team,,Q13027888,,Newport News Dodgers
Newport New,Newport,Q54264,4,0,2,"city in and county seat of Newport County, Rhode Island, United States","Newport, Rhode Island|Newport, RI",Q1093829,,"Newport, Rhode Island"
Newport New,"Newport, Rhode Island",Q20859789,4,0,2,painting by Edward Bannister,,Q3305213,,
Newport New,"Newport, Rhode Island",Q64156753,4,0,2,photograph in the National Gallery of Art (NGA 118557),,Q125191,,
Newport New,"Newport, Rhode Island (Beacon Rock)",Q79163557,4,0,2,painting by John Frederick Kensett,,Q3305213,,
Newport New,Newporters,Q131302283,4,0,2,"people from or residing in Newport, Rhode Island","Newport, Rhode Island, residents|Newport residents",Q33829,Q100713414|Q22947,
Newport New,"2020 COVID-19 pandemic in Newport News, Virginia",Q94155709,4,0,2,"pandemic in Newport News, Virginia","2020 coronavirus outbreak in Newport News, Virginia|COVID-19 pandemic in Newport News, Virginia|2020 Newport News, Virginia COVID-19 pandemic|Newport News, Virginia COVID-19 pandemic|2020 COVID pandemic in Newport News, Virginia",Q3241045,,
Newport New,"history of Newport News, Virginia",Q16980299,4,0,2,aspect of history,"Newport News, Virginia history",Q17524420,,"History of Newport News, Virginia"
