data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Simrne Hotel,,,0,0,0,,,,,
Bxs station in Toruń,,,1,0,0,,,,,
Sainv Nicholas church,Catholic Church,Q9592,2,0,2,"largest Christian Church, made up of 24 autonomous Churches in communion with the Pope, part of the Latin Church aka Latin Christianity a.k.a. western Christianity",Roman Catholic Church|Roman Apostolic Catholic Church|Roman Rite Catholic Church,Q879146|Q4204511|Q34651|Q2638480,,Catholic Church
Sainv Nicholas church,Catholic church building,Q1088552,2,0,2,church building in the Catholic Church,Catholic church|Roman Rite Catholic church|Roman Rite Catholic church building|Catholic temple,Q811102,Q140454931,Catholic church building
Sainv Nicholas church,Catholic Church,Q110209751,2,0,2,gouache - Michel Jean Cazabon,,Q21281546,,
Sainv Nicholas church,Catholic Church in the United States,Q769585,2,0,2,part of the worldwide Roman Catholic Church,Roman Catholic Church in the United States|American Catholicism,Q13073773|Q23955632,Q15717693|Q4116393,Catholic Church in the United States
Sainv Nicholas church,Catholic church,Q106842044,2,0,2,"church building in Hesse, Germany",,Q16970,,
Sainv Nicholas church,Catholic Church,Q1487180,2,0,2,"church building in Langnau im Emmental in the canton of Bern, Switzerland",Katholische Kirche|Kirche Heilig Kreuz,Q1088552,,
Sainv Nicholas church,Catholic Church sexual abuse cases,Q573565,2,0,2,sexual abuse cases by Catholic clergy,Catholic sex abuse cases,Q5801919|Q26553,,Catholic Church sexual abuse cases
Sainv Nicholas church,Catholic Church in the Czech Republic,Q1201779,2,0,2,,,Q13073773|Q23955632,Q15717693|Q12032243,Catholic Church in the Czech Republic
Sainv Nicholas church,Catholic church,Q1537908,2,0,2,"church building in Richterswil in the canton of Zurich, Switzerland",Katholische Kirche Richterswil,Q1088552,,
Sainv Nicholas church,political Catholicism,Q834554,2,0,2,"interplay of Catholicism with religious, and later secular, politics",Catholic Church and politics,Q12909644,Q1841|Q4116798,Catholic Church and politics
Sainv Nicholas church,Saint Nicholas Church,Q10661436,2,0,2,"Church of Sweden church building in Örebro, Sweden",Nicholas Church|Örebro Church,Q16970|Q1497375,,"St. Nicholas Church, Örebro"
Sainv Nicholas church,Old Pine Church,Q16896154,2,0,2,"1838 church near Purgitsville, West Virginia, United States",Mill Church|Nicholas Church|Pine Church,Q16970,,Old Pine Church
Sainv Nicholas church,Nicholas Church,Q12123320,2,0,2,"church building in Pryluky, Ukraine",St. Nicholas Church|Mykolaiivska tserkva,Q16970,,
Sainv Nicholas church,Nicholas Cossack Church,Q12168522,2,0,2,"church building in Putyvl, Ukraine",Nicholas Church|Tserkva Mykoly Kozatskoho,Q16970,,
Sainv Nicholas church,St. Nicholas Church,Q12123316,2,0,2,"church building in Chernihiv Oblast, Ukraine",Nicholas Church|Sviato-Mykolaiivska tserkva,Q16970,,
Sainv Nicholas church,Nicholas Church,Q12123309,2,0,2,"church building in Ichnia, Ukraine",Mykolaiivska tserkva|St. Nicholas Church,Q16970,,
Sainv Nicholas church,St. Nicholas Church,Q12167790,2,0,2,"church building in Chernihiv, Ukraine",Nicholas Church|Khram sviatoho Mykoly Chudotvortsia,Q16970,,
Sainv Nicholas church,Nicholas Churchich,Q133745575,2,0,2,,,Q5,,
Catholic Church,Catholic Church,Q9592,2,1,1,"largest Christian Church, made up of 24 autonomous Churches in communion with the Pope, part of the Latin Church aka Latin Christianity a.k.a. western Christianity",Roman Catholic Church|Roman Apostolic Catholic Church|Roman Rite Catholic Church,Q879146|Q4204511|Q34651|Q2638480,,Catholic Church
Catholic Church,Catholic church building,Q1088552,2,1,1,church building in the Catholic Church,Catholic church|Roman Rite Catholic church|Roman Rite Catholic church building|Catholic temple,Q811102,Q140454931,Catholic church building
Catholic Church,Catholic Church,Q110209751,2,1,1,gouache - Michel Jean Cazabon,,Q21281546,,
Catholic Church,Catholic Church in the United States,Q769585,2,1,1,part of the worldwide Roman Catholic Church,Roman Catholic Church in the United States|American Catholicism,Q13073773|Q23955632,Q15717693|Q4116393,Catholic Church in the United States
Catholic Church,Catholic church,Q106842044,2,1,1,"church building in Hesse, Germany",,Q16970,,
Catholic Church,Catholic Church,Q1487180,2,1,1,"church building in Langnau im Emmental in the canton of Bern, Switzerland",Katholische Kirche|Kirche Heilig Kreuz,Q1088552,,
Catholic Church,Catholic Church sexual abuse cases,Q573565,2,1,1,sexual abuse cases by Catholic clergy,Catholic sex abuse cases,Q5801919|Q26553,,Catholic Church sexual abuse cases
Catholic Church,Catholic Church in the Czech Republic,Q1201779,2,1,1,,,Q13073773|Q23955632,Q15717693|Q12032243,Catholic Church in the Czech Republic
Catholic Church,Catholic church,Q1537908,2,1,1,"church building in Richterswil in the canton of Zurich, Switzerland",Katholische Kirche Richterswil,Q1088552,,
Catholic Church,political Catholicism,Q834554,2,1,1,"interplay of Catholicism with religious, and later secular, politics",Catholic Church and politics,Q12909644,Q1841|Q4116798,Catholic Church and politics
Catholic Church,Saint Nicholas Church,Q22963173,2,1,2,"church located in Manche, in France",,Q16970,,
Catholic Church,Saint Nicholas Church,Q10661436,2,1,2,"Church of Sweden church building in Örebro, Sweden",Nicholas Church|Örebro Church,Q16970|Q1497375,,"St. Nicholas Church, Örebro"
Catholic Church,Saint Nicholas Church,Q10661434,2,1,2,"Church of Sweden church building in Halmstad, Sweden",Sankt Nikolai kyrka,Q16970|Q1497375,,"St. Nicholas Church, Halmstad"
Catholic Church,Saint Nicholas Church,Q1986216,2,1,2,"church building in IJsselstein, Netherlands",Reformed Church|St. Nicholas Church,Q16970,,
Catholic Church,Saint Nicholas church,Q36998554,2,1,2,"church building in Březová, Czech Republic",,Q16970,,
Catholic Church,Saint Nicholas Church,Q11747294,2,1,2,"church building in Gdańsk, Poland",,Q16970|Q811165,,"Basilica of St. Nicholas, Gdańsk"
Catholic Church,Saint Nicholas Church,Q17345352,2,1,2,,,Q5191724,,
Catholic Church,Saint Nicholas church,Q4320867,2,1,2,eastern orthodox church in Helsinki,Hietakannaksentie|Tuonelankuja 3,Q2031836,,
Catholic Church,Saint Nicholas church,Q37629242,2,1,2,"church building in Predazzo, Italy",,Q16970,,
Catholic Church,Skanderbeg Memorial,Q13042604,2,1,2,"Memorial in Lezha, Albania",Selimije Mosque|Saint Nicholas Church,Q5003624,,
Domus Vallis Sancte Bartholomei in Jervsalem,Domus Vallis Sancte Bartholomei in Jerusalem,Q87244163,3,0,2,,Chartreuse de Delft,Q15823129|Q19860854,,
Domus Vallis Sancte Bartholomei in Jervsalem,St Bartholomew's Church,Q17744092,3,0,2,"church in Llanover, Monmouthshire, Wales","Church of St. Bartholomew|St Bartholomew's Church, Llanover",Q16970,,"St Bartholomew's Church, Llanover"
Domus Vallis Sancte Bartholomei in Jervsalem,"Church of Saint Bartholomew, Pozuelo (Albacete)",Q25243000,3,0,2,"church building in Pozuelo, Albacete, Spain",Church of St. Bartholomew,Q1088552,,"San Bartolomé, Pozuelo"
Domus Vallis Sancte Bartholomei in Jervsalem,"Church of St. Bartholomew, Fresnedillas de la Oliva",Q5909961,3,0,2,"church building in Fresnedillas de la Oliva, Spain",Church of St. Bartholomew,Q55876909,,
Domus Vallis Sancte Bartholomei in Jervsalem,Church of St. Bartholomew,Q112094198,3,0,2,"Roman Catholic church and national cultural monument in Košice, Myslava borough, Košice II district, Slovakia",,Q16970,,
Domus Vallis Sancte Bartholomei in Jervsalem,St. Bartholomew's Church,Q112097265,3,0,2,church in Slovakia in the village of Fričovce,Kostol svätého Bartolomeja|Church of St. Bartholomew|Kostel svatého Bartoloměje,Q16970|Q1129743,,
Domus Vallis Sancte Bartholomei in Jervsalem,Church of St. Bartholomew in Kraków,Q11746590,3,0,2,"church building in Kraków, Poland",,Q16970|Q108325|Q811165,,
Domus Vallis Sancte Bartholomei in Jervsalem,"Church of St. Bartholomew in Brenna, Poland",Q29653935,3,0,2,"church building in Brenna, Poland, Poland",,Q16970,,
Domus Vallis Sancte Bartholomei in Jervsalem,Church of St. Bartholomew in Chotel Czerwony,Q16568939,3,0,2,"church building in Chotel Czerwony, Poland",,Q16970,,
Domus Vallis Sancte Bartholomei in Jervsalem,"Church of St. Bartholomew, Vilnius",Q2393863,3,0,2,"church building in Vilnius, Lithuania",,Q16970,,"Church of St. Bartholomew, Vilnius"
Domus Vallis Sancte Bartholomei in Jervsalem,"Church of St. Bartholomew, Giedraičiai",Q12655375,3,0,2,church building in Lithuania,,Q16970,,
Catholicism,Catholicism,Q1841,3,1,1,Christian doctrine professed by the Catholic Church,Catholic faith|Catholic religion|Roman Catholicism|Christianity,Q123129246|Q71966963,Q842798|Q2711500|Q5043,Catholicism
Catholicism,Catholicism: The Story of Catholic Christianity,Q56048148,3,1,1,academic book by Gerald O'Collins & Mario Farrugia,Catholicism,Q47461344,,
Catholicism,Catholic Church and health care,Q12193139,3,1,1,relationship between the Catholic Church and health care,Catholic hospitals|Catholic healthcare|Catholic health care|Roman Catholic hospitals|Catholicism and healthcare|Roman Catholicism and healthcare,Q21040055,,Catholic Church and health care
Catholicism,Catholic Church in Canada,Q1205551,3,1,1,part of the worldwide Catholic Church in Canada,Catholicism in Canada|Roman Catholicism in Canada|Roman Catholic Church in Canada,Q13073773|Q23955632,Q15717693|Q12193115,Catholic Church in Canada
Catholicism,Catholic Church in Italy,Q1201891,3,1,1,part of the worldwide Catholic Church,Roman Catholicism in Italy|Catholicism in Italy,Q13073773,Q15717693|Q378478,Catholic Church in Italy
Catholicism,Catholic Church in Japan,Q1205621,3,1,1,the practice of Latin Catholicism in the eastern island nation of Japan,Latin Catholicism in Japan|Catholicism in Japan|Western Catholicism in Japan|Roman Catholicism in Japan,Q13073773,Q15717693|Q427945,Catholic Church in Japan
Catholicism,Catholicism and Crisis in Modern France,Q140146939,3,1,1,book published by Princeton University Press (1962),,Q3331189,,
Catholicism,Catholicism contending with modernity : Roman Catholic modernism and anti-modernism in historical context,Q139540249,3,1,1,book published in 2000,,Q3331189,,
Catholicism,"Catholicism and the Great War: Religion and Everyday Life in Germany and Austria-Hungary, 1914–1922",Q111134191,3,1,1,,,Q7725634,,
Catholicism,Catholic Church in Bosnia and Herzegovina,Q1572396,3,1,1,part of the worldwide Catholic Church,Catholicism in Bosnia and Herzegovina,Q13073773,Q15717693|Q12193037,Catholic Church in Bosnia and Herzegovina
Catholicism,Christianity,Q5043,3,1,2,Abrahamic monotheistic religion,Christian faith,Q6957341|Q47280|Q9174|Q19842652,Q47280,Christianity
Catholicism,history of Christianity,Q235329,3,1,2,historical development of Christianity,Christian history|Christianity history,Q17524420,Q309,History of Christianity
