data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Ribeira,Ribeira,Q385283,0,0,1,quarter in Porto,Ribeira (Porto),Q123705,,
Ribeira,Ribeira,Q1022093,0,0,1,"civil parish in Ponte de Lima, Portugal",,Q1131296,,
Ribeira,Ribeira,Q2116931,0,0,1,civil parish in Terras de Bouro,,Q1131296,,
Ribeira,Ribeira,Q904130,0,0,1,"municipality in Galician province A Coruña, Spain",,Q2276925,,"Ribeira, Galicia"
Ribeira,Ribeira Brava,Q250139,0,0,1,"municipality in Madeira, Portugal","Ribeira Brava, Madeira Municipality|Ribeira Brava (Madeira)",Q13217644,,"Ribeira Brava, Madeira"
Ribeira,Ribeira Grande,Q565312,0,0,1,"municipality in Sao Miguel island, Azores, Portugal",Ribeira Grande Municipality,Q13217644,,"Ribeira Grande, Azores"
Ribeira,Ribeira,Q1808722,0,0,1,"municipality in the state of São Paulo, Brazil",,Q3184121,,"Ribeira, São Paulo"
Ribeira,Ribeira,Q11000715,0,0,1,"civil parish (parroquia) in Crecente, Galician province of Pontevedra, Spain",Santa Mariña de Ribeira|Ribeira (Santa Mariña),Q12397176,,
Ribeira,Ribeirão Preto,Q188892,0,0,1,"municipality of São Paulo state, Brazil",Ribeirao Preto,Q3184121|Q1549591,,Ribeirão Preto
Ribeira,Ribeira de Pena,Q1006378,0,0,1,municipality of Portugal,,Q13217644,,Ribeira de Pena
Ribeira,Ribeira River,Q22051739,0,0,2,"river in Paraná, Brazil",Rio Ribeira,Q4022,,Ribeira River (Paraná)
Ribeira,Ribeira River,Q7322288,0,0,2,"river in Paraíba, Brazil",Rio Ribeira,Q4022,,Ribeira River (Paraíba)
Ribeira,Ribeira River,Q28148257,0,0,2,Wikimedia disambiguation page,,Q4167410,,Ribeira River
Ames,Ames,Q12784464,1,0,1,family name,,Q101352,,Ames (surname)
Ames,Ames,Q850502,1,0,1,"commune in Pas-de-Calais, France",,Q484170,,"Ames, Pas-de-Calais"
Ames,Ames,Q12382922,1,0,1,,,Q12397176,,
Ames,Ames,Q28936941,1,0,1,given name,,Q202444,,
Ames,Oakes Ames,Q1669326,1,0,1,American botanist (1874-1950),Ames|O. Ames,Q5,,Oakes Ames (botanist)
Ames,Ames,Q470273,1,0,1,"city in Story County, Iowa, United States","Ames, Iowa|Ames, IA",Q1093829,,"Ames, Iowa"
Ames,Amesbury,Q470299,1,0,1,"town in Wiltshire, England, UK","Amesbury, Wiltshire",Q3957,,Amesbury
Ames,Ames,Q1353997,1,0,1,municipality of Galicia,,Q2276925,,"Ames, Spain"
Ames,Améscoa Baja,Q1636180,1,0,1,municipality of Spain,Ameskoabarrena,Q2074737,,Améscoa Baja
Ames,Ames,Q134388742,1,0,1,badminton player,,Q5,,
Ames,Ames National Laboratory,Q4745875,1,0,2,"United States Department of Energy (DOE) national laboratory in Ames, Iowa",Ames Laboratory|Ames Lab,Q31855|Q2624320|Q106668099,,Ames National Laboratory
Porqueira,Porqueira,Q1631352,2,0,1,municipality of Spain,,Q2276925,,Porqueira
Porqueira,"Porqueira, Porqueira",Q20541843,2,0,1,,,Q12397176,,
Porqueira,Porqueira,Q28122277,2,0,1,beach in Spain,,Q28060956|Q24633899,,
Porqueira,Porqueira town hall,Q126829869,2,0,1,"municipal building in Porqueira, Spain",,Q112793351,,
Porqueira,A Porqueira,Q114092737,2,0,1,,,Q5756064,,
Porqueira,Porqueira,Q12397909,2,0,1,"human settlement in A Arnoia, Ourense Province, Galicia, Spain",,Q20541692,,
Porqueira,Porqueira,Q12397910,2,0,1,"human settlement in Negreira, A Coruña Province, Galicia, Spain",,Q20541692,,
Porqueira,Porquera,Q9061816,2,0,1,Wikimedia disambiguation page,,Q4167410,,
Samos,Samos,Q13580795,3,0,1,ancient Greek city-state,Ancient Samos|Mint of Samos,Q15661340|Q148837,,
Samos,Samos,Q37312890,3,0,1,family name,,Q101352,,
