data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Phillis Wheatley,Phillis Wheatley,Q257911,0,0,1,first African-American poet (1753–1784),Phillis Wheatley Peters|Phillis Peters|Philis Wheatley,Q5,,Phillis Wheatley
Phillis Wheatley,Phillis Wheatley,Q28731158,0,0,1,1773 portrait of Phillis Wheatley,"Portrait of Phillis Wheatley|Phillis Wheatley, Negro servant to Mr. John Wheatley, of Boston",Q11835431,,Portrait of Phillis Wheatley
Phillis Wheatley,Phillis Wheatley,Q96384174,0,0,1,"print by anonymous, after (?) Scipio Moorhead, 18th century (MET, 49.40.24)","Phillis Wheatley, Negro Servant to Mr. John Wheatley of Boston",Q11060274,,
Phillis Wheatley,Wheatley High School,Q7991929,0,0,1,"high school in Houston, Texas, United States",Phillis Wheatley High School,Q9826,,Wheatley High School (Houston)
Phillis Wheatley,Phyllis Wheatley YWCA,Q7185976,0,0,1,"historic YWCA building in Washington, DC","Wheatley, Phillis, YWCA|Phillis Wheatley YWCA|Phyllis Wheatley Young Women Christian Association|Phyliss Wheatley YMCA|Wheatley YWCA",Q41176,,"Phyllis Wheatley YWCA (Washington, D.C)"
Phillis Wheatley,Phillis Wheatley: The Girl Who Wrote Her Way To Freedom Volume 2,Q111288130,0,0,1,book by Bunmi Oyinsan,,Q47461344,,
Phillis Wheatley,Phyllis Wheatley Heritage Center,Q8046066,0,0,1,"YWCA building in St. Louis, Missouri","YWCA, Phillis Wheatley Branch|YWCA, Phyllis Wheatley Branch|Phyllis Wheatley Branch YWCA|YWCA Phyllis Wheatley Branch|Phyllis Wheatley Branch YWCA of St. Louis/Women's Christian Home|Phillis Wheatley YWCA",Q41176,,"Phyllis Wheatley YWCA (St. Louis, Missouri)"
Phillis Wheatley,Phillis Wheatley Landing Site,Q108475946,0,0,1,historic marker in Boston,,Q721747,,
Phillis Wheatley,Phillis Wheatley Waters,Q110868988,0,0,1,American educator and basketball player (1895–1973),,Q5,,Phillis Wheatley Waters
Phillis Wheatley,"Phillis Wheatley Elementary School, New Orleans",Q7185975,0,0,1,primary school in United States of America,,Q9842,,"Phillis Wheatley Elementary School, New Orleans"
Phillis Wheatley,poet,Q49757,0,0,2,person who writes poetry,poetess|bard|poetry writer|poetry author,Q28640|Q12737077,Q36180,Poet
Phillis Wheatley,poetry,Q482,0,0,2,literary style characterized by a strong expressiveness of words,poetic art|poem|waxing poetic|poesie|poesy|art of poetry|wordsmithing|singing|rhyming|rhymes|balladry|versification|metrical composition|verse|verses|rhythmical composition|composition|rhyme|poesies|poems|chanting|chant|chants|song,Q4263830|Q11862829,Q7725634,Poetry
Phillis Wheatley,poem,Q5185279,0,0,2,"form of literature, work of poetry, often composed of verses",poems|poetry|ode|lay|song|verse|lyric|hymn|metre|ballad|psalm|epic|metrical work|work in metre|work in meter|chant,Q4263830|Q89522629,Q7725634|Q482,Poem
Phillis Wheatley,Poet,Q37293345,0,0,2,family name,,Q101352,,
Phillis Wheatley,drama,Q25372,0,0,2,"formal type of literature intended for performance, where the text is written in the form of character lines and the author's remarks and is usually divided into acts and scenes",poetic drama|drama after Aristotele|dramatic form,Q621993|Q4263830|Q11862829|Q1047113,Q1318295,Drama
Phillis Wheatley,poetry collection,Q12106333,0,0,2,collection of poems by a single author published together. See also poetry anthology (Q19357149),collection of poetry|collection of poems|group of poems|book of poems|poetry book|poetry compilation|anthology of poetry|compilation of poetry|poem compilation|volume of poems|volume of poetry|poem collection,Q124423387|Q4263830,Q108329788|Q732577|Q108329152,Poetry collection
Phillis Wheatley,poet lawyer,Q1209498,0,0,2,poet with legal training,,Q28640,Q185351|Q49757,
Phillis Wheatley,poets.org,Q24635963,0,0,2,Academy of American Poets website,,Q35127,,
Phillis Wheatley,literary movement,Q3326717,0,0,2,art movement in literature,literary movements|poetry movement|movement in literature|literature movement,Q49773,Q968159,Literary movement
Phillis Wheatley,Le Poët-Laval,Q468602,0,0,2,"commune in Drôme, France",Lo Poet Laval|Poët-Laval,Q484170,,Le Poët-Laval
Phillis Wheatley,African Americans,Q49085,0,0,2,Americans with sub-Saharan African ancestry,African American people|African American|African-American|Afro-Americans|Black Americans|Black or African American|Black Americans and Afro-Americans,Q108788952|Q25380035|Q41710,Q846570|Q817393|Q16242628,African Americans
Phillis Wheatley,African American literature,Q388170,0,0,2,body of literature by Americans of African descent,Afro-American literature|Black literature|Negro literature|African-American literature,Q223393,Q233762,African-American literature
Phillis Wheatley,African American Visual Artists Database,Q106890822,0,0,2,an archived online database documenting the historical and ongoing contribution of artists of African descent to the visual arts,AAVAD|African American Visual Arts Database,Q8513,,
Phillis Wheatley,slavery in the United States,Q118382,0,0,2,form of slave labor which existed as a legal institution from the early years of the United States,slavery in the United States of America|African American slavery|American slavery,Q13418847,Q8463|Q7584266,Slavery in the United States
Phillis Wheatley,civil rights movement,Q48537,0,0,2,1954–1968 U.S. nonviolent social movement,1960s civil rights movement|Civil Rights Revolution|Black Revolution|Black civil rights movement|U.S. civil rights movement|Negro Revolution|Negro American Revolution|African American civil rights movement|Negro Revolt|Southern Freedom Movement|Black rights movement|United States civil rights movement|American Freedom Movemen|Negro Freedom Movement|Afro-American civil rights movement|American freedom movement|Negro movement|African-American civil rights movement|Civil Rights Movement|Second Reconstruction,Q13406660|Q123531451,Q2738074,Civil rights movement
Phillis Wheatley,African-American museum,Q54934129,0,0,2,type of museum that documents the history and culture of African Americans,Afro-American museum,Q63982911,Q33506,
Phillis Wheatley,spirituals,Q212024,0,0,2,music genre created by generations of African-Americans,African-American spirituals|spiritual|Negro spirituals|spiritual music,Q188451,Q388207|Q1541229|Q6452410,Spirituals
Phillis Wheatley,"African American Architects: A Biographical Dictionary, 1865-1945",Q42060015,0,0,2,book by Dreck Spurlock Wilson,African American Architects,Q7725634|Q3331189,,"African American Architects: A Biographical Dictionary, 1865–1945"
Phillis Wheatley,African American Policy Forum,Q4689672,0,0,2,,,Q163740,,African American Policy Forum
Phillis Wheatley,African American studies,Q383968,0,0,2,academic field focusing on peoples of the African diaspora and Africa,African-American/Black studies|Black studies|African-American studies|African American and Diaspora Studies|African-Americanology,Q11862829,Q1143546,Black studies
Phillis Wheatley,American Poet,Q2361421,0,0,2,1972 live album by Lou Reed,,Q482994,,American Poet (album)
Phillis Wheatley,American Poet: A Novel,Q111738758,0,0,2,novel by Jeff Vande Zande,American Poet,Q7725634,,
Phillis Wheatley,American poetry,Q3099146,0,0,2,poetry from the United States of America,,Q131851244,Q482|Q233762,American poetry
Phillis Wheatley,American Poetry,Q140217926,0,0,2,monograph published by Yale University Press (1987),,Q193495,,
Phillis Wheatley,The American Poetry Review,Q7713534,0,0,2,American monthly poetry magazine,American Poetry Review,Q41298,,The American Poetry Review
Phillis Wheatley,American Poetry Center,Q4744691,0,0,2,,,Q33506,,American Poetry Center
Phillis Wheatley,AMERICAN POETRY: BARBARA HOWES: A VIEW OF POETRY (NAID 107344),Q67531332,0,0,2,item in the National Archives and Records Administration's holdings,,Q18593264,,
