data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Viðareiði,Viðareiði,Q901774,0,0,1,human settlement,Vidareidi,Q5084,,Viðareiði
Viðareiði,Viðareiðis Municipality,Q684650,0,0,1,municipality of the Faroe Islands,Viðareiðis kommuna,Q856079,,
Viðareiði,"Viðareiðis, Fugloyar og Svínoyar Municipality",Q366932,0,0,1,,Vidareidi,Q96948740,,
Viðareiði,Viðareiðis Church,Q11003117,0,0,1,church in the Faroe Islands,,Q16970,,
Viðareiði,Viðareiðistunnilin,Q26793908,0,0,1,,Viðareiðitunnel,Q2354973,,
Viðareiði,Faroe Islands,Q4628,0,0,2,North Atlantic archipelago organized as an autonomous constituent country of the Kingdom of Denmark,Faeroe Islands|Atlantic/Faroe|Fareo islands|Faeroyene|Far Oer|Faeroerne|Faer Oer|Faroe Isles|Faroer|Färöer|Faeroe Isles|Faroes|Faroese Islands|Foroyar|Faeroes|Faeroer|Føroyar|Faroe Island|Færøer|Færeyjar|Fær Øer|Faeroe Is|Færøyene|Færøerne|Faröe Islands|Sheep Islands|Færoes|fo|🇫🇴|the Faroe Islands|the Faeroe Islands|Farre|Farre Islands|Farre I.|Farre Is.|Farre Isl.,Q66724388|Q192611,,Faroe Islands
Viðareiði,Faroe Islands men's national football team,Q200688,0,0,2,men's national association football team representing the Faroe Islands,Faroe Islands national football team,Q135408445,Q1194951,Faroe Islands national football team
Viðareiði,Faroe Islands Football Association,Q268628,0,0,2,association football governing body in the Faroe Islands,,Q1478443,,Faroe Islands Football Association
Viðareiði,Faroe Islands Premier League,Q739479,0,0,2,association football league,,Q15991303,Q3270632,Faroe Islands Premier League
Viðareiði,Faroe Islands Cup,Q899180,0,0,2,men's national association football tournament in the Faroe Islands,,Q8463186,,Faroe Islands Cup
Viðareiði,Faroe Islands national under-21 football team,Q579341,0,0,2,national association football team,,Q6979593,Q1194951,Faroe Islands national under-21 football team
Viðareiði,Faroe Islands national under-19 football team,Q5436085,0,0,2,national association football team,,Q6979593,,Faroe Islands national under-19 football team
Viðareiði,Faroese,Q223179,0,0,2,people from or residents of the Faroe Islands,Faroe Islands residents|Faroese people|Faeroes|Faeroese|Faroe Islanders,Q33829,Q164714|Q22947|Q6266,Faroe Islanders
Viðareiði,Faroe Islands women's national football team,Q620771,0,0,2,women's national association football team representing the Faroe Islands,,Q23905105|Q6979593,,Faroe Islands women's national football team
Viðareiði,sports in the Faroe Islands,Q22683263,0,0,2,overview of sports activities in the Faroe Islands,sport in the Faroe Islands|Faroe Islands sports|sports of the Faroe Islands|sporting in the Faroe Islands,Q29791211,,
Viðareiði,Streymoy,Q47303606,0,0,2,family name,,Q101352,,
Viðareiði,Streymoy,Q192540,0,0,2,island in the Faroe Islands,,Q23442,,Streymoy
Viðareiði,Streymoy,Q3976031,0,0,2,region of the Foreoe islands,,Q1000858,,
Viðareiði,Streymoy régió,Q9305447,0,0,2,,,,,
Viðareiði,Streymoy Sud,Q124423784,0,0,2,,,,,
Viðareiði,Streymoy Nord,Q107559192,0,0,2,,,,,
Zaragat,Zaragat,Q1051616,1,0,1,"human settlement in Alsheyevsky District, Republic of Bashkortostan, Russia",,Q5084,,
Zaragat,Plantago afra,Q789360,1,0,1,species of plant,Plantain|Plantago psyllium,Q16521,,Plantago afra
Zaragat,Garrulax leucolophus,Q862812,1,0,1,species of bird,White-crested Laughingthrush,Q16521,,White-crested laughingthrush
Zaragat,Malacocincla abbotti,Q2667966,1,0,1,species of bird,Abbott's babbler,Q16521,,Abbott's babbler
Zaragat,Garrulax canorus,Q1589896,1,0,1,species of bird,Hwamei,Q16521,,Chinese hwamei
Zaragat,Garrulax monileger,Q1588950,1,0,1,species of bird,Lesser Necklaced Laughingthrush,Q16521,,Lesser necklaced laughingthrush
Zaragat,Trochalopteron affine,Q27075531,1,0,1,species of bird,Black-faced Laughingthrush,Q16521,,Black-faced laughingthrush
Zaragat,Grey-crowned Babbler,Q903035,1,0,1,species of bird,Pomatostomus temporalis,Q16521,,Grey-crowned babbler
Zaragat,Trochalopteron variegatum,Q27075533,1,0,1,species of bird,Variegated Laughingthrush,Q16521,,Variegated laughingthrush
Zaragat,Trochalopteron lineatum,Q879650,1,0,1,species of bird,Streaked laughingthrush,Q16521,,Streaked laughingthrush
Zaragat,Zaragoza,Q10305,1,0,2,"municipality in the autonomous community of Aragon, Spain",Saragossa|Zaragoza Municipality,Q2074737,,Zaragoza
Zaragat,Zaragosa,Q28811230,1,0,2,"barangay of the Philippines in the municipality of Badian, Cebu","Barangay Zaragosa|Brgy. Zaragosa|Bgy. Zaragosa|Zaragosa, Badian|Zaragosa, Badian, Cebu",Q61878,,
Zaragat,Badian Island,Q31474366,1,0,2,"island in Cebu, Philippines",Badian|Zaragosa Island|Zaragosa,Q23442,,
Zaragat,Zaragosa,Q37067402,1,0,2,family name,,Q101352,,
Zaragat,Zaragosa,Q28796004,1,0,2,"barangay in Aloguinsan, Cebu",,Q61878,,
Zaragat,Zaragoza,Q31926034,1,0,2,"capital city of Zaragoza Municipality, Spain",Saragossa|City of Zaragoza|Çaragoça|Saragossa city|Zaragoza City,Q121289819|Q515|Q51929311|Q51929311|Q1549591|Q11271835|Q3055118,,
Zaragat,Zaragoza,Q28731,1,0,2,municipality of the Philippines in the province of Nueva Ecija,,Q24764,,"Zaragoza, Nueva Ecija"
Zaragat,Zaragosa Park,Q31596305,1,0,2,"park in El Paso County, Texas, United States of America",,Q22698,,
Zaragat,Zaragosana,Q139473549,1,0,2,,,Q11060274,,
Zaragat,Zaragosa Vargas,Q139069928,1,0,2,,,Q5,,
Zaragat,Zaragoza,Q20232951,1,0,2,"municipal seat of Zaragoza, State of Puebla, Mexico",,Q20202352,,
Zaragat,Zaragoza,Q10838408,1,0,2,"town in Veracruz, Mexico",,Q20202352,,
Zaragat,Zaragoza,Q20295358,1,0,2,"town in Contepec Municipality, State of Michoacán, Mexico",Puerto de Medina,Q20202352,,
Zaragat,Zaragoza Municipality,Q1441664,1,0,2,Colombian municipality of the department of Antioquia,"Zaragoza, Antioquia|Zaragoza, Colombia",Q2555896,,"Zaragoza, Antioquia"
Zaragat,Zaragoza Province,Q55180,1,0,2,province in Aragon,province of Zaragoza|Province of Zaragoza,Q162620,,Province of Zaragoza
Zaragat,Zaragoza Municipality,Q3844606,1,0,2,"municipality in the State of Coahuila, Mexico",Zaragoza,Q1952852,,"Zaragoza Municipality, Coahuila"
Zaragat,Zaragoza Municipality,Q10394922,1,0,2,"municipality in the State of San Luis Potosí, Mexico",Villa de Zaragoza Municipality|Villa de Zaragoza|Zaragoza,Q1952852,,"Zaragoza, San Luis Potosí"
Zaragat,Zaragoza,Q8066573,1,0,2,electoral district of the Spanish Congress,,Q20220333,,Zaragoza (Congress of Deputies constituency)
Davydovo,Davydovo,Q4119170,2,0,1,"human settlement in Orekhovo-Zuyevsky District, Moscow Oblast, Russia",,Q5084,,"Davydovo, Orekhovo-Zuyevsky District, Moscow Oblast"
