data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
NGC 4419,NGC 4419,Q1111309,0,0,1,galaxy,,Q318|Q1931185|Q67201586|Q67206691|Q2557101|Q2488,,NGC 4419
Coma Berenices,Coma Berenices,Q9285,0,1,1,constellation in the northern celestial hemisphere,Com|Comae Berenices,Q8928,,Coma Berenices
Coma Berenices,Coma Berenices,Q2476549,0,1,1,galaxy,,Q190438,,Coma Berenices (dwarf galaxy)
Coma Berenices,Coma Berenices,Q3675035,0,1,1,poem written by Callimachus,,Q7725634,,
Coma Berenices,Coma Berenices,Q105094728,0,1,1,chapter. of 1907 book,,Q1980247,,
Coma Berenices,Coma Berenices,Q105094732,0,1,1,1911 version of chapter,,Q3331189|Q1980247,,
Coma Berenices,Coma Star Cluster,Q84275359,0,1,1,open cluster in the constellation Coma Berenices,Coma Berenices Cluster|Coma Ber Cluster|Mel 111|Cr 256,Q11387,,Coma Star Cluster
Coma Berenices,Coma Berenices,Q5150458,0,1,1,,,,,Coma Berenices in Chinese astronomy
Coma Berenices,Coma Berenices,Q5150459,0,1,1,2007 studio album by Merzbow,,Q482994,,
Coma Berenices,"Coma Berenices, Berenice's Hair",Q116201099,0,1,1,section of 1911 book,,Q1980247,,
Coma Berenices,Coma Berenices: The First Evidence for Incomplete Vertical Phase-mixing in Local Velocity Space with RAVE—Confirmed with Gaia DR2,Q58328480,0,1,1,,,Q13442814,,
Coma Berenices,NGC 4419,Q1111309,0,1,2,galaxy,,Q318|Q1931185|Q67201586|Q67206691|Q2557101|Q2488,,NGC 4419
NGC 4396,NGC 4396,Q1111143,1,0,1,galaxy,,Q318|Q1931185|Q67201586|Q67206691|Q71798532|Q2488,,
NGC 4396,NGC 4396,Q100265282,1,0,1,,,,,
Coma Berenices,Coma Berenices,Q9285,1,1,1,constellation in the northern celestial hemisphere,Com|Comae Berenices,Q8928,,Coma Berenices
Coma Berenices,Coma Berenices,Q2476549,1,1,1,galaxy,,Q190438,,Coma Berenices (dwarf galaxy)
Coma Berenices,Coma Berenices,Q3675035,1,1,1,poem written by Callimachus,,Q7725634,,
Coma Berenices,Coma Berenices,Q105094728,1,1,1,chapter. of 1907 book,,Q1980247,,
Coma Berenices,Coma Berenices,Q105094732,1,1,1,1911 version of chapter,,Q3331189|Q1980247,,
Coma Berenices,Coma Star Cluster,Q84275359,1,1,1,open cluster in the constellation Coma Berenices,Coma Berenices Cluster|Coma Ber Cluster|Mel 111|Cr 256,Q11387,,Coma Star Cluster
Coma Berenices,Coma Berenices,Q5150458,1,1,1,,,,,Coma Berenices in Chinese astronomy
Coma Berenices,Coma Berenices,Q5150459,1,1,1,2007 studio album by Merzbow,,Q482994,,
Coma Berenices,"Coma Berenices, Berenice's Hair",Q116201099,1,1,1,section of 1911 book,,Q1980247,,
Coma Berenices,Coma Berenices: The First Evidence for Incomplete Vertical Phase-mixing in Local Velocity Space with RAVE—Confirmed with Gaia DR2,Q58328480,1,1,1,,,Q13442814,,
Coma Berenices,NGC 4396,Q1111143,1,1,2,galaxy,,Q318|Q1931185|Q67201586|Q67206691|Q71798532|Q2488,,
Coma Berenices,NGC 4396,Q100265282,1,1,2,,,,,
NGC 4375,NGC 4375,Q1111038,2,0,1,galaxy,,Q1931185|Q67201586|Q67206691|Q71965638|Q2488,,NGC 4375
Coma Berenices,Coma Berenices,Q9285,2,1,1,constellation in the northern celestial hemisphere,Com|Comae Berenices,Q8928,,Coma Berenices
Coma Berenices,Coma Berenices,Q2476549,2,1,1,galaxy,,Q190438,,Coma Berenices (dwarf galaxy)
Coma Berenices,Coma Berenices,Q3675035,2,1,1,poem written by Callimachus,,Q7725634,,
Coma Berenices,Coma Berenices,Q105094728,2,1,1,chapter. of 1907 book,,Q1980247,,
Coma Berenices,Coma Berenices,Q105094732,2,1,1,1911 version of chapter,,Q3331189|Q1980247,,
Coma Berenices,Coma Star Cluster,Q84275359,2,1,1,open cluster in the constellation Coma Berenices,Coma Berenices Cluster|Coma Ber Cluster|Mel 111|Cr 256,Q11387,,Coma Star Cluster
Coma Berenices,Coma Berenices,Q5150458,2,1,1,,,,,Coma Berenices in Chinese astronomy
Coma Berenices,Coma Berenices,Q5150459,2,1,1,2007 studio album by Merzbow,,Q482994,,
Coma Berenices,"Coma Berenices, Berenice's Hair",Q116201099,2,1,1,section of 1911 book,,Q1980247,,
Coma Berenices,Coma Berenices: The First Evidence for Incomplete Vertical Phase-mixing in Local Velocity Space with RAVE—Confirmed with Gaia DR2,Q58328480,2,1,1,,,Q13442814,,
Coma Berenices,NGC 4375,Q1111038,2,1,2,galaxy,,Q1931185|Q67201586|Q67206691|Q71965638|Q2488,,NGC 4375
NGC 4359,NGC 4359,Q1110940,3,0,1,galaxy,,Q318|Q67201586|Q67206691|Q2488,,NGC 4359
Coma Berenices,Coma Berenices,Q9285,3,1,1,constellation in the northern celestial hemisphere,Com|Comae Berenices,Q8928,,Coma Berenices
Coma Berenices,Coma Berenices,Q2476549,3,1,1,galaxy,,Q190438,,Coma Berenices (dwarf galaxy)
Coma Berenices,Coma Berenices,Q3675035,3,1,1,poem written by Callimachus,,Q7725634,,
Coma Berenices,Coma Berenices,Q105094728,3,1,1,chapter. of 1907 book,,Q1980247,,
Coma Berenices,Coma Berenices,Q105094732,3,1,1,1911 version of chapter,,Q3331189|Q1980247,,
Coma Berenices,Coma Star Cluster,Q84275359,3,1,1,open cluster in the constellation Coma Berenices,Coma Berenices Cluster|Coma Ber Cluster|Mel 111|Cr 256,Q11387,,Coma Star Cluster
Coma Berenices,Coma Berenices,Q5150458,3,1,1,,,,,Coma Berenices in Chinese astronomy
Coma Berenices,Coma Berenices,Q5150459,3,1,1,2007 studio album by Merzbow,,Q482994,,
Coma Berenices,"Coma Berenices, Berenice's Hair",Q116201099,3,1,1,section of 1911 book,,Q1980247,,
Coma Berenices,Coma Berenices: The First Evidence for Incomplete Vertical Phase-mixing in Local Velocity Space with RAVE—Confirmed with Gaia DR2,Q58328480,3,1,1,,,Q13442814,,
Coma Berenices,NGC 4359,Q1110940,3,1,2,galaxy,,Q318|Q67201586|Q67206691|Q2488,,NGC 4359
NGC 4312,NGC 4312,Q1110623,4,0,1,galaxy,,Q318|Q1931185|Q67201586|Q67206691|Q2488,,NGC 4312
Coma Berenices,Coma Berenices,Q9285,4,1,1,constellation in the northern celestial hemisphere,Com|Comae Berenices,Q8928,,Coma Berenices
Coma Berenices,Coma Berenices,Q2476549,4,1,1,galaxy,,Q190438,,Coma Berenices (dwarf galaxy)
Coma Berenices,Coma Berenices,Q3675035,4,1,1,poem written by Callimachus,,Q7725634,,
Coma Berenices,Coma Berenices,Q105094728,4,1,1,chapter. of 1907 book,,Q1980247,,
Coma Berenices,Coma Berenices,Q105094732,4,1,1,1911 version of chapter,,Q3331189|Q1980247,,
Coma Berenices,Coma Star Cluster,Q84275359,4,1,1,open cluster in the constellation Coma Berenices,Coma Berenices Cluster|Coma Ber Cluster|Mel 111|Cr 256,Q11387,,Coma Star Cluster
Coma Berenices,Coma Berenices,Q5150458,4,1,1,,,,,Coma Berenices in Chinese astronomy
Coma Berenices,Coma Berenices,Q5150459,4,1,1,2007 studio album by Merzbow,,Q482994,,
Coma Berenices,"Coma Berenices, Berenice's Hair",Q116201099,4,1,1,section of 1911 book,,Q1980247,,
Coma Berenices,Coma Berenices: The First Evidence for Incomplete Vertical Phase-mixing in Local Velocity Space with RAVE—Confirmed with Gaia DR2,Q58328480,4,1,1,,,Q13442814,,
Coma Berenices,NGC 4312,Q1110623,4,1,2,galaxy,,Q318|Q1931185|Q67201586|Q67206691|Q2488,,NGC 4312
NGC 4302,NGC 4302,Q1110549,5,0,1,galaxy,,Q318|Q1931185|Q67201586|Q2488,,NGC 4302
Coma Berenices,Coma Berenices,Q9285,5,1,1,constellation in the northern celestial hemisphere,Com|Comae Berenices,Q8928,,Coma Berenices
Coma Berenices,Coma Berenices,Q2476549,5,1,1,galaxy,,Q190438,,Coma Berenices (dwarf galaxy)
Coma Berenices,Coma Berenices,Q3675035,5,1,1,poem written by Callimachus,,Q7725634,,
Coma Berenices,Coma Berenices,Q105094728,5,1,1,chapter. of 1907 book,,Q1980247,,
Coma Berenices,Coma Berenices,Q105094732,5,1,1,1911 version of chapter,,Q3331189|Q1980247,,
Coma Berenices,Coma Star Cluster,Q84275359,5,1,1,open cluster in the constellation Coma Berenices,Coma Berenices Cluster|Coma Ber Cluster|Mel 111|Cr 256,Q11387,,Coma Star Cluster
Coma Berenices,Coma Berenices,Q5150458,5,1,1,,,,,Coma Berenices in Chinese astronomy
Coma Berenices,Coma Berenices,Q5150459,5,1,1,2007 studio album by Merzbow,,Q482994,,
Coma Berenices,"Coma Berenices, Berenice's Hair",Q116201099,5,1,1,section of 1911 book,,Q1980247,,
Coma Berenices,Coma Berenices: The First Evidence for Incomplete Vertical Phase-mixing in Local Velocity Space with RAVE—Confirmed with Gaia DR2,Q58328480,5,1,1,,,Q13442814,,
Coma Berenices,NGC 4302,Q1110549,5,1,2,galaxy,,Q318|Q1931185|Q67201586|Q2488,,NGC 4302
NGC 4298,NGC 4298,Q1110526,6,0,1,galaxy,,Q318|Q1931185|Q67201586|Q67206691|Q2154519|Q2488,,NGC 4298
Coma Berenices,Coma Berenices,Q9285,6,1,1,constellation in the northern celestial hemisphere,Com|Comae Berenices,Q8928,,Coma Berenices
Coma Berenices,Coma Berenices,Q2476549,6,1,1,galaxy,,Q190438,,Coma Berenices (dwarf galaxy)
Coma Berenices,Coma Berenices,Q3675035,6,1,1,poem written by Callimachus,,Q7725634,,
Coma Berenices,Coma Berenices,Q105094728,6,1,1,chapter. of 1907 book,,Q1980247,,
Coma Berenices,Coma Berenices,Q105094732,6,1,1,1911 version of chapter,,Q3331189|Q1980247,,
Coma Berenices,Coma Star Cluster,Q84275359,6,1,1,open cluster in the constellation Coma Berenices,Coma Berenices Cluster|Coma Ber Cluster|Mel 111|Cr 256,Q11387,,Coma Star Cluster
Coma Berenices,Coma Berenices,Q5150458,6,1,1,,,,,Coma Berenices in Chinese astronomy
Coma Berenices,Coma Berenices,Q5150459,6,1,1,2007 studio album by Merzbow,,Q482994,,
Coma Berenices,"Coma Berenices, Berenice's Hair",Q116201099,6,1,1,section of 1911 book,,Q1980247,,
Coma Berenices,Coma Berenices: The First Evidence for Incomplete Vertical Phase-mixing in Local Velocity Space with RAVE—Confirmed with Gaia DR2,Q58328480,6,1,1,,,Q13442814,,
Coma Berenices,NGC 4298,Q1110526,6,1,2,galaxy,,Q318|Q1931185|Q67201586|Q67206691|Q2154519|Q2488,,NGC 4298
NGC 4275,NGC 4275,Q1110341,7,0,1,galaxy,,Q67201586|Q67206691|Q2488,,
Coma Berenices,Coma Berenices,Q9285,7,1,1,constellation in the northern celestial hemisphere,Com|Comae Berenices,Q8928,,Coma Berenices
Coma Berenices,Coma Berenices,Q2476549,7,1,1,galaxy,,Q190438,,Coma Berenices (dwarf galaxy)
Coma Berenices,Coma Berenices,Q3675035,7,1,1,poem written by Callimachus,,Q7725634,,
Coma Berenices,Coma Berenices,Q105094728,7,1,1,chapter. of 1907 book,,Q1980247,,
Coma Berenices,Coma Berenices,Q105094732,7,1,1,1911 version of chapter,,Q3331189|Q1980247,,
Coma Berenices,Coma Star Cluster,Q84275359,7,1,1,open cluster in the constellation Coma Berenices,Coma Berenices Cluster|Coma Ber Cluster|Mel 111|Cr 256,Q11387,,Coma Star Cluster
Coma Berenices,Coma Berenices,Q5150458,7,1,1,,,,,Coma Berenices in Chinese astronomy
Coma Berenices,Coma Berenices,Q5150459,7,1,1,2007 studio album by Merzbow,,Q482994,,
Coma Berenices,"Coma Berenices, Berenice's Hair",Q116201099,7,1,1,section of 1911 book,,Q1980247,,
Coma Berenices,Coma Berenices: The First Evidence for Incomplete Vertical Phase-mixing in Local Velocity Space with RAVE—Confirmed with Gaia DR2,Q58328480,7,1,1,,,Q13442814,,
Coma Berenices,NGC 4275,Q1110341,7,1,2,galaxy,,Q67201586|Q67206691|Q2488,,
