data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
SamsungGalaxy S,Samsung Galaxy S,Q264059,0,0,2,2010 Android smartphone by Samsung,Samsung Galaxy S i9000t,Q19723451,Q22645,Samsung Galaxy S (1st generation)
SamsungGalaxy S,Samsung Galaxy S7,Q22893875,0,0,2,Android smartphone,Galaxy S7|Samsung S7|S7,Q19723451,Q22645,Samsung Galaxy S7
SamsungGalaxy S,Samsung Galaxy S6,Q18941713,0,0,2,2015 Android-based smartphone by Samsung Electronics,Galaxy S6|S6|GS6|Samsung S6|Samsung GS6|SGS6|SG6|GS 6|SG 6,Q19723451,Q493064|Q22645,Samsung Galaxy S6
SamsungGalaxy S,Samsung Galaxy S10,Q60021939,0,0,2,"Android smartphone series including S10e, S10, S10+ and S10 5G",Galaxy S10|S10|SGS10,Q19723451,Q22645,Samsung Galaxy S10
SamsungGalaxy S,Samsung Galaxy S II,Q154851,0,0,2,2011 Android smartphone by Samsung,Samsung Galaxy S 2|SGS2|SGS 2|SGS-2,Q19723451,Q22645,Samsung Galaxy S II
SamsungGalaxy S,Samsung Galaxy S5,Q15618594,0,0,2,Android-based smartphone by Samsung Electronics,Galaxy S5|S5|SGS5|SM-G900|klte|Samsung S5|Samsung Galaxy S V,Q19723451,Q493064|Q22645,Samsung Galaxy S5
SamsungGalaxy S,Samsung Galaxy S III mini,Q490473,0,0,2,Android smartphone model,Galaxy S III Mini|Samsung Galaxy S3 Mini|Galaxy S3 Mini,Q19723451,Q22645,Samsung Galaxy S III Mini
SamsungGalaxy S,Samsung Galaxy S series,Q73389,0,0,2,series of devices within the Samsung Galaxy series,Galaxy S series,Q71266741,Q493064,Samsung Galaxy S series
SamsungGalaxy S,Samsung Galaxy S22 series,Q110800451,0,0,2,group of Android smartphone models produced by Samsung in 2022,,Q71266741|Q135236642,Q22645,Samsung Galaxy S22
SamsungGalaxy S,Samsung Galaxy S22 Ultra,Q111754633,0,0,2,2022 flagship smartphone by Samsung Electronics,,Q19723451,Q521097,Samsung Galaxy S22 Ultra
SamsungGalaxy S,Samsung Galaxy S10e,Q97201645,0,0,2,2019 Android compact phone,Galaxy S10e|Samsung S10e,Q19723451,Q22645,
SamsungGalaxy S,Samsung Galaxy S10 Lite,Q85913308,0,0,2,2020 mid-range smartphone by Samsung Electronics,,Q19723451,Q521097,
SamsungGalaxy S,Samsung Galaxy S20,Q78585853,0,0,2,Android smartphone by Samsung Electronics,,Q19723451,Q521097,Samsung Galaxy S20
SamsungGalaxy S,Samsung Galaxy S10+,Q66688566,0,0,2,smartphone model manufactured by Samsung,S10+,Q19723451,Q22645,Samsung Galaxy S10+
SamsungGalaxy S,Samsung Galaxy S21 series,Q104537157,0,0,2,family of Android smartphone models by Samsung Electronics,Galaxy S21,Q10929058|Q71266741,Q22645,Samsung Galaxy S21
SamsungGalaxy S,Samsung Galaxy S26 series,Q138470906,0,0,2,product line of high-end smartphones from Samsung (presented in February 2026),Samsung Galaxy S26 series|Galaxy S26 series|Samsung S26 series|S26 series|Galaxy S26|Samsung S26|S26,Q71266741,Q493064,Samsung Galaxy S26
SamsungGalaxy S,Samsung Galaxy S24 Ultra,Q124316732,0,0,2,smartphone model,Samsung S24 Ultra|Muse3|Galaxy S24 Ultra|S24 Ultra,Q19723451,Q22645,Samsung Galaxy S24 Ultra
SamsungGalaxy S,Samsung Galaxy S25 Ultra,Q131860835,0,0,2,Samsung smartphone,Galaxy S25 Ultra|Samsung S25 Ultra,Q19723451,Q521097,Samsung Galaxy S25 Ultra
SamsungGalaxy S,Samsung Galaxy S24+,Q124316763,0,0,2,smartphone model,,Q19723451,Q521097,Samsung Galaxy S24+
SamsungGalaxy S,Samsung Galaxy S25+,Q131860826,0,0,2,Samsung smartphone,Samsung Galaxy S25 Plus,Q19723451,Q521097,Samsung Galaxy S25+
SamsungGalaxy S,Samsung Galaxy S26+,Q137793872,0,0,2,Samsung smartphone,Samsung Galaxy S26 Plus,Q19723451,Q521097,Samsung Galaxy S26+
SamsungGalaxy S,Samsung Galaxy S III,Q140944,0,0,2,"2012 multi-touch, slate-format smartphone running the Android operating system",SGS3|SGS-3|SGS 3|Galaxy S 3,Q19723451,Q22645,Samsung Galaxy S III
SamsungGalaxy S,Samsung Galaxy S III Neo,Q18434889,0,0,2,mobile phone model,Samsung Galaxy S3 Neo|Galaxy S III Neo|Galaxy S3 Neo,Q19723451,Q22645,Samsung Galaxy S III Neo
SamsungGalaxy S,Samsung Galaxy S III mini Value Edition,Q134516639,0,0,2,Android smartphone model,Samsung Galaxy S III mini VE,Q19723451,Q22645,
SamsungGalaxy S,Samsung Galaxy S4,Q5812783,0,0,2,2013 Android smartphone,SHV-E300K/S/L|GT-I9505|GT-I9500|GT-I9505G|Galaxy S4|S4|SGS4,Q19723451,Q22645,Samsung Galaxy S4
