data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Kant,Kant,Q11271031,0,0,1,family name,,Q101352,,Kant (surname)
Kant,Immanuel Kant,Q9312,0,0,1,German philosopher (1724-1804),,Q5,,Immanuel Kant
Kant,Kantō region,Q132480,0,0,1,one of 8 regions in Japan encompassing 8 prefectures,,Q207520|Q6027980|Q29441699|Q29441572|Q3455524,,Kantō region
Kant,streptomycin,Q192717,0,0,1,chemical compound,"SM|STREPTOMYCIN|[2-Deoxy-2-(dimethylamino)-alpha-L-glucopyranosyl]-(1->2)-[5-deoxy-3-C-formyl-alpha-L-lyxofuranosyl]-(1->4)-{n',n'''-[(1,3,5/2,4,6)-2,4,5,6-tetrahydroxycyclohexane-1,3-diyl]diguanidine}|Kantrex|2,4-Diguanidino-3,5,6-trihydroxycyclohexyl 5-deoxy-2-O-(2-deoxy-2-methylamino-alpha-L-glucopyranosyl)-3-C-formyl-beta-L-lyxopentanofuranoside|streomycin|2,4-diguanidino-3,5,6-trihydroxycyclohexyl 5-deoxy-2-O-(2-deoxy-2-methylamino-alpha-L-glucopyranosyl)-3-C-formyl-beta-L-lyxopentanofuranoside|Streptomycin|Estreptomicina|Streptomyzin|Streptomicina",Q113145171,Q584144|Q28742,Streptomycin
Kant,Guangzhou,Q16572,0,0,1,"capital city of Guangdong Province, China",Canton|Kwangchow|Kwongchow|Kuang-chou|Can-ton|Kwangtong|Kwang-tong|Guang Zhou Shi|Guangzhou Shi|Guang|Kuang|Kwang|Yangcheng|Yang-ch’êng|Yang-cheng|Yang-ch'eng|Pan|P'an|Punyü|Pun-yü|P'an-yü|Pan-yü|Panyu|P'an-yu|Pan-yu,Q250811|Q748149|Q1549591|Q174844|Q200250,,Guangzhou
Kant,Kathmandu,Q3037,0,0,1,capital of Nepal,Kathmandu Metropolitan City|Kathmandu Valley|Khatmandu|City of Temples|Yen|Kasthamandap|Kantipur|Yambu|Katmandu|Cadmendu|Kadmendu|Catmeduour|Catmandir|Katmandou|Katmandir|Káthmándú,Q515|Q15284|Q1549591|Q51929311|Q257391,,Kathmandu
Kant,Canton of Fribourg,Q12640,0,0,1,canton of Switzerland,"Freiburg, Switzerland|Canton de Fribourg|Kanton Freiburg|Freiburg|Fribourg|FR",Q23058|Q107390|Q56061,,Canton of Fribourg
Kant,Kantor,Q5788033,0,0,1,family name,,Q101352,,Kantor (surname)
Kant,Canton of Aargau,Q11972,0,0,1,canton of Switzerland,Argovia|Kanton Aargau|Aargau|Canton of Argovia,Q23058|Q56061,,Aargau
Kant,Kant,Q1026291,0,0,1,town,,Q7930989|Q486972,,"Kant, Kyrgyzstan"
Kant,Gustav Teichmüller,Q78129,0,0,2,German philosopher (1832–1888),Pseudo-Kant|Immanuel Kant,Q5,,Gustav Teichmüller
Kant,Immanuel Kant Baltic Federal University,Q805777,0,0,2,university in the Russian city of Kaliningrad (formerly Königsberg),Immanuel Kant Russian State University|Kaliningrad State University,Q4481793|Q45400320,,Immanuel Kant Baltic Federal University
Kant,Immanuel Kant,Q124468875,0,0,2,performing arts production of the Schauspielhaus Zürich during the season 2008-2009,,Q43099500,,
Kant,Immanuel-Kant-Gymnasium,Q1659904,0,0,2,"school in Berlin, Germany",,Q3914,,
Kant,Immanuel Kant Park,Q127687582,0,0,2,"urban park in Duisburg, Germany",Kantpark,Q22746,,
Kant,Immanuel Kant: Prolegomena to Any Future Metaphysics,Q139867277,0,0,2,,,Q571,,
Kant,Immanuel Kant Critique of Practical Reason,Q139867278,0,0,2,,,Q571,,
Kant,Immanuel Kants Logik. Ein Handbuch zu Vorlesungen,Q137271488,0,0,2,"work by Gottlob Benjamin Jäsche and Immanuel Kant, 1800",,Q12042160,,
Kant,Immanuel Kant: Groundwork of the Metaphysics of Morals,Q139867325,0,0,2,,,Q571,,
Projecto dos Colletores da Descarga dos Exgotos da Cidade de Santos - Districto da Barra,Projecto dos Colletores da Descarga dos Exgotos da Cidade de Santos - Districto da Barra,Q55763892,1,0,1,,,Q4006,,
Projecto dos Colletores da Descarga dos Exgotos da Cidade de Santos - Districto da Barra,Projecto dos Colletores da Descarga dos Exgotos da Cidade de Santos - Districto da Barra,Q55213801,1,0,1,,,Q18965,,
Projecto dos Colletores da Descarga dos Exgotos da Cidade de Santos - Districto da Barra,"Projecto dos Colletores e da Descaga das Aguas Superfifiaes da Cidade de Santos, Brasil - Distrito da Barra",Q55763893,1,0,2,,,Q4006,,
Projecto dos Colletores da Descarga dos Exgotos da Cidade de Santos - Districto da Barra,"Projecto dos Colletores e da Descaga das Aguas Superfifiaes da Cidade de Santos, Brasil - Distrito da Barra",Q55213823,1,0,2,,,Q18965,,
Projecto dos Colletores da Descarga dos Exgotos da Cidade de Santos - Districto da Barra,Town of Santos,Q59826479,1,0,2,work of the Brasiliana Iconográfica collection,Cidade de Santos,Q93184,,
Projecto dos Colletores da Descarga dos Exgotos da Cidade de Santos - Districto da Barra,Santos,Q81882,1,0,2,municipality in the São Paulo state of Brazil,,Q3184121|Q1549591,,"Santos, São Paulo"
Projecto dos Colletores da Descarga dos Exgotos da Cidade de Santos - Districto da Barra,Cidade De Santos,Q122709124,1,0,2,ship built in 1973,IMO 7325899,Q11446,,
Projecto dos Colletores da Descarga dos Exgotos da Cidade de Santos - Districto da Barra,Cidade de Santos Unidade Municipal de Educação,Q140021176,1,0,2,"school in Santos, São Paulo, Brazil",,Q3914,,
Projecto dos Colletores da Descarga dos Exgotos da Cidade de Santos - Districto da Barra,Cidade de Santos (Tirada da Ilha do Bernabé),Q56733509,1,0,2,work by Militão de Azevedo,,Q125191,,
Projecto dos Colletores da Descarga dos Exgotos da Cidade de Santos - Districto da Barra,Cidade de Santos (Tirada do Mont Serrat,Q56733516,1,0,2,work by Militão de Azevedo,,Q125191,,
Projecto dos Colletores da Descarga dos Exgotos da Cidade de Santos - Districto da Barra,Cidade de Santos (Tirada da Ilha do Bernabé Olhando P.A Barra,Q56733511,1,0,2,work by Militão de Azevedo,,Q125191,,
Arago,Arago,Q25267514,2,0,1,family name,,Q101352,,
Arago,Crown of Aragon,Q204920,2,0,1,composite monarchy which existed between 1162–1716,Casal d'Aragó|Aragon|Catalan-Aragonese Crown,Q3024240|Q3624078|Q5156764|Q5473816|Q188800|Q1102202,,Crown of Aragon
Arago,Arago,Q2859427,2,0,1,French patrol boat,,Q331795,,
Arago,Arago,Q18762664,2,0,1,1990 Lapérouse-class patrol vessel,,Q331795,,
Arago,Aragon,Q4040,2,0,1,autonomous community in Spain,,Q10742,,Aragon
Arago,Aragonese,Q8765,2,0,1,Romance language,Aragonese language,Q33742|Q1288568,Q133252927,Aragonese language
Arago,Arago,Q28229877,2,0,1,"township in Saint-Marcel, Quebec, Canada",Arago Township,Q23019040,,
Arago,Kingdom of Aragon,Q199442,2,0,1,medieval and early modern kingdom in the Iberian Peninsula (1035-1707),Aragon,Q3024240|Q417175|Q3624078|Q3183364|Q471855|Q895526,,Kingdom of Aragon
Arago,Aragonese Wikipedia,Q1147071,2,0,1,Aragonese-language edition of Wikipedia,,Q10876391,,Aragonese Wikipedia
Arago,Arago,Q23002719,2,0,1,1912 Brumaire-class submarine,French submarine Arago,Q2811,,French submarine Arago
Arago,Pierre-Simon Laplace,Q44481,2,0,2,French mathematician and astronomer (1749–1827),"Pierre Simon, Marquis de Laplace|Pierre Simon Marquis de Laplace|Pierre-Simon, Marquis de Laplace",Q5,,Pierre-Simon Laplace
Arago,"Pierre Simon Laplace, 1749–1827",Q54638936,2,0,2,"Hahn, Roger - 2005","Pierre Simon Laplace, 1749–1827: A Determined Scientist",Q7725634,,
Arago,"Pierre Simon Laplace, 1749–1827: A Determined Scientist",Q135405584,2,0,2,2005 hardcover edition (en),,Q3331189,,
Arago,Pierre Simon Laplace,Q19484103,2,0,2,,,Q47461344,,
Arago,Pierre Simon Laplace (1749–1827),Q60132731,2,0,2,scientific article published in Nature,,Q13442814,,
Arago,"Pierre Simon Laplace, 1749-1827: A Determined Scientist (review)",Q132762141,2,0,2,journal article from 'Technology and Culture' published in 2007,,Q13442814,,
Arago,Pierre-Simon Laplace et la franc-maçonnerie,Q140928190,2,0,2,"scholarly article published in Archives Internationales d'Histoire des Sciences, vol. 65, no. 174 (2015) (DOI: 10.1484/J.ARIHS.5.109834)",,Q13442814,,
Arago,François Arago,Q154353,2,0,2,"French mathematician, physicist, astronomer and politician (1786-1853)",Francois Arago,Q5,,François Arago
Isis,Isis,Q689414,3,0,1,academic journal,,Q627517|Q5633421,,Isis (journal)
Isis,Isis,Q79876,3,0,1,Egyptian deity,,Q146083,,Isis
Isis,Isis,Q740430,3,0,1,American post-metal band,Celestial,Q215380,,Isis (band)
Isis,Isis,Q18699283,3,0,1,female given name,Isis (first name)|Isis (given name),Q11879590,,Isis (given name)
Isis,Isis,Q5131236,3,0,1,genus of deep-sea bamboo coral of the Isididae family,,Q16521,,Isis (coral)
Isis,Islamic State,Q2429253,3,0,1,Salafi jihadist militant Sunni Islamist group,Daesh|ISIL|Islamic State in Iraq and Syria|Islamic State of Iraq and Levant|ISIS|Islamic State Group|Islamic State of Iraq and Syria|Islamic State of Iraq and al-Sham|The Islamic State|IS|Islamic State of Iraq and the Levant|Islamic State of Iraq and Sham|Islamic State of Iraq and ash-Sham|Islamic State of Iraq and ash-Shām|Islamic State in Iraq and Sham|Islamic State in Iraq ande Sham|Islamic State in Iraq and the Levant|Daish|Islamic state of Iraq and Sham|Islamic State in Iraq and al-Sham|Islamic State in the Levant,Q131401|Q17149090|Q4204060|Q21512251|Q23037160,,Islamic State
Isis,Isis,Q111760816,3,0,1,family name,,Q101352,,
Isis,Isis Love,Q3155347,3,0,1,American pornographic actress,Iris Love|Isis Azelea|Isis Azelea Love|Goddess|Ashley|Isis|Love Azelea|Silvana Quilodran|sisievol|InvisibleStardust|Alia Kamika Jones|Alia Jones|IsisLove,Q5,,
Isis,Isis,Q61400301,3,0,1,,,,,
Isis,Isis hippuris,Q2538738,3,0,1,species of cnidarian,,Q16521,,Isis hippuris
Isis,Isis,Q1673988,3,0,2,all-female horn-rock band from New York,,Q215380,,Isis (horn-rock band)
Fra Mauro,Fra Mauro,Q1440316,4,0,1,lunar impact crater,,Q55818,,Fra Mauro (crater)
Fra Mauro,Fra Mauro,Q445084,4,0,1,Italian cartographer and monk,Mauro,Q5,,Fra Mauro
Fra Mauro,Fra mauro Dmel_CG3239,Q29813479,4,0,1,protein found in Drosophila melanogaster,frma-PG|fra mauro|Neprilysin-like 1|CG3239 gene product from transcript CG3239-RG|frma-PF|CG3239-PF|CG3239-PG|frma|Dmel_CG3239,Q8054,,
Fra Mauro,frma,Q29717698,4,0,1,protein-coding gene in the species Drosophila melanogaster,fra mauro|Dmel_CG3239|CG3239|Dmel\CG3239|BEST:GH09377|Nepl1,Q7187,,
Fra Mauro,Fra Mauro formation,Q3208566,4,0,1,"landing site of Apollo 14, named after Fra Mauro crater",Fra Mauro Highlands,Q736917,,Fra Mauro formation
Fra Mauro,Fra Mauro,Q106812684,4,0,1,Apollo intermediate chart,AIC 76B,Q4006,,
Fra Mauro,Fra Mauro map,Q1613131,4,0,1,15th century world map,,Q653848,,Fra Mauro map
Fra Mauro,Fra Mauro Region of the Moon,Q64618116,4,0,1,drawing in the National Gallery of Art (NGA 74856),,Q93184,,
Fra Mauro,Fra Mauro,Q1440285,4,0,1,Wikimedia disambiguation page,,Q4167410,,Fra Mauro (disambiguation)
Plato,Plato,Q859,5,0,1,4th-century BCE Greek philosopher,,Q5,,Plato
Plato,Plato,Q2667476,5,0,1,genus of arachnids,Plato (hayvan),Q16521,,Plato (spider)
Plato,Plato,Q36956653,5,0,1,family name,,Q101352,,
Plato,Plato,Q1237225,5,0,1,male given name,,Q12308941,,
Plato,Plato,Q23866370,5,0,1,article in Otto's encyclopedia,,Q13433827,,
Plato,Plato,Q124903961,5,0,1,2016 videogame,,Q7889,,
Plato,Plato,Q139866054,5,0,1,,,Q1980247,,
Plato,plato,Q117453780,5,0,1,progamer,Adam Zippor,Q5,,
Plato,Platô,Q48771146,5,0,1,"neighbourhood in Praia, Santiago Island, Cape Verde",,Q123705,,Plateau (Praia)
Plato,Platostoma,Q969873,5,0,1,genus of plants,Mesona,Q16521,,Platostoma
Plato,Socrates,Q913,5,0,2,5th-century BCE Greek philosopher,,Q5,,Socrates
Plato,Socrates,Q3963892,5,0,2,male given name,Socrates (first name)|Socrates (given name),Q12308941,,
Plato,Socrates,Q37247658,5,0,2,family name,,Q101352,,
Plato,Sócrates,Q19782532,5,0,2,male given name,Sócrates (first name)|Sócrates (given name),Q12308941,,
Plato,Sócrates,Q102331,5,0,2,Brazilian association football player (1954–2011),Socrates|Sócrates Brasileiro Sampaio de Souza Vieira de Oliveira,Q5,,Sócrates
Plato,Socrates,Q124262103,5,0,2,American Quake player,Jason Sylka,Q5,,
Plato,Socrates,Q139893322,5,0,2,,,Q193495,,
Plato,Socrates,Q117859578,5,0,2,,,Q5,,
Plato,Socrates programme,Q474650,5,0,2,(1994–2006),SOCRATES|Socrates I|Socrates II,Q382996|Q1385519|Q43229,,Socrates programme
Plato,Socrates,Q7553101,5,0,2,play by Voltaire,,Q7725634,,Socrates (Voltaire)
Plato,Aristotle,Q84473023,5,0,2,male given name,,Q12308941,,
Plato,Aristotle,Q868,5,0,2,4th-century BCE Classical Greek philosopher and polymath,the Stagirite,Q5,,Aristotle
Plato,Aristotle,Q139867147,5,0,2,,,Q571,,
Plato,Aristotle,Q139870412,5,0,2,,,Q571,,
Plato,Aristotle,Q140036109,5,0,2,monograph published by Cambridge University Press (1988),,Q193495,,
Plato,Aristotle University of Thessaloniki,Q667568,5,0,2,"higher education institution based in Thessaloniki, Greece",Aristotelian University|University of Thessaloniki|AUTH|A.U.Th|AUTh|Α..U.T.H.|A.U.T.H|A.U.T.h.|A.U.T.h|Aristotle University,Q875538|Q45400320,,Aristotle University of Thessaloniki
Plato,Aristotle Onassis,Q180455,5,0,2,Greek shipping magnate (1906–1975),Aristotélis Onásis|Aristotle S. Onassis|Aristotle Socrates Onassis|Ari Onassis,Q5,,Aristotle Onassis
Plato,Aristotle,Q421280,5,0,2,Wikimedia disambiguation page,,Q22808320,,Aristotle (disambiguation)
Plato,Aristotle,Q4791094,5,0,2,book by Dick King-Smith,,Q47461344,,Aristotle (children's book)
Plato,Aristotle,Q4791095,5,0,2,1637 painting by Jusepe de Ribera,,Q3305213,,Aristotle (Ribera)
Plato,Pythagoras,Q110438401,5,0,2,male given name,,Q12308941,,
Plato,Pythagoras,Q10261,5,0,2,Greek philosopher and mathematician (c. 570 – c. 495 BC),Pythagoras of Samos|Pythagoras from Samos|Samian Sage,Q5,,Pythagoras
Plato,Pythagoras,Q125845742,5,0,2,ancient Greek author of treatise on Red Sea,,Q5,,
Plato,Pythagoras,Q2705569,5,0,2,ancient Greek sculptor of Rhegion,Pythagoras of Rhegium|Pythagoras of Rhegion|Pythagoras of Samos,Q5,,
Plato,Pythagoras,Q15758999,5,0,2,journal,,Q5633421|Q737498|Q773668,,
Plato,6143 Pythagoras,Q553716,5,0,2,asteroid,Pythagoras,Q3863,,6143 Pythagoras
Plato,Pythagoras,Q16269322,5,0,2,ancient Greek sculptor of Samos,Pythagoras of Samos,Q5,,Pythagoras (sculptor)
Plato,Pythagoras,Q2403916,5,0,2,Roman freedman,,Q5,,Pythagoras (freedman)
Plato,Pythagoras,Q201400,5,0,2,lunar impact crater,,Q55818,,Pythagoras (crater)
Plato,Pythagoras Papastamatiou,Q2906130,5,0,2,Greek writer (1930-1979),Pythagoras,Q5,,Pythagoras Papastamatiou
Artemis,Artemis,Q20000154,6,0,1,female given name,Artemis (first name)|Artemis (given name),Q11879590,,
Artemis,Artemisia,Q156421,6,0,1,genus of plants in the family Asteraceae,mugwort|mugworts|wormwood|wormwoods|sagebrush|sagebrushes,Q16521,,Artemisia (plant)
Artemis,Artemisia annua,Q1308044,6,0,1,species of plant,Artemisia annua L. (Linnaeus),Q16521,Q192691|Q190903|Q42295,Artemisia annua
Artemis,Artemis,Q39503,6,0,1,goddess of the hunt and the wild in ancient Greek religion and mythology,,Q113103481|Q22989102|Q1569856,,Artemis
Artemis,Artemis,Q52337371,6,0,1,ro-ro/passenger ship built in 1997,IMO 8966951,Q11446,,Artemis (1997 ship)
Artemis,Artemisia vulgaris,Q26663,6,0,1,species of plant,common wormwood|mugwort,Q16521,Q11992872,Artemisia vulgaris
Artemis,Artemis,Q113402737,6,0,1,all-star jazz band,,Q215380|Q1684430,,
Artemis,KNM Jeløy,Q11861035,6,0,1,1941 Faial-class naval trawler,HMS Shiant|Artemis,Q202527,,
Artemis,Artemisia absinthium,Q25686,6,0,1,species of plant,wormwood|grand wormwood|absinthe|absinthium|absinthe wormwood|wermout|wermud|wormid|wormod|wormit,Q16521,Q11992872,Artemisia absinthium
Artemis,Artemisia Gentileschi,Q212657,6,0,1,Italian Baroque painter (1593-1651),Artemissa del Gentileschy|Artemisia Lomi|Artemitia|Gentilesca|Artemizia Gentilesca|Artimisi|Artemisia|Artemisia Gentilesca|Artemiggia|Artemisia Gentileschi Lomi|Artemiscia Gentoleschi|Artemisia del Gentileschi|Artimisia Gentileschi|Artemitia Gentilesca|Artemesia Schiattesi|Artemiggia Gentileschi|Artemisa|Gentilesche|Artemisia Lami Gentileschi,Q5,,Artemisia Gentileschi
Artemis,Artemis Fowl,Q325283,6,0,2,novel series by Eoin Colfer,,Q1667921,,Artemis Fowl
Artemis,Artemis Fowl,Q706725,6,0,2,novel by Eoin Colfer,,Q7725634,,Artemis Fowl (novel)
Artemis,Artemis Fowl,Q12302227,6,0,2,2020 film by Kenneth Branagh,,Q11424,,Artemis Fowl (film)
Artemis,Artemis Fowl and the Arctic Incident,Q1807346,6,0,2,novel by Eoin Colfer,Artemis Fowl: The Arctic Incident,Q7725634,,Artemis Fowl and the Arctic Incident
Artemis,Artemis Fowl II,Q778059,6,0,2,fictional character,,Q15632617|Q3658341,,Artemis Fowl II
Artemis,Artemis Fowl: The Graphic Novel,Q1456856,6,0,2,graphic novel,,Q2831984,,Artemis Fowl: The Graphic Novel
Artemis,Artemis Fowl and the Eternity Code,Q1806179,6,0,2,novel by Eoin Colfer,Artemis Fowl: The Eternity Code,Q7725634,,Artemis Fowl and the Eternity Code
Artemis,Artemis Fowl and the Lost Colony,Q2665494,6,0,2,2006 novel by Eoin Colfer,Artemis Fowl: The Lost Colony,Q7725634,,Artemis Fowl and the Lost Colony
Artemis,Artemis Fowl,Q133455974,6,0,2,graphic novel second series by Michael Moreci and Stephen Gilpin,Artemis Fowl (new graphic novels series),Q14406742,,
Artemis,Artemis Fowl,Q126796918,6,0,2,paperback edition (en),,Q3331189,,
Sabatier,Sabatier,Q23995810,7,0,1,family name,,Q101352,,
Sabatier,Sabatieria,Q4142456,7,0,1,genus of worms,,Q16521,,
Sabatier,Sabatier,Q2209429,7,0,1,lunar impact crater,,Q1348589|Q55818,,Sabatier (crater)
Sabatier,Daniel Sabatier,Q33691588,7,0,1,botanist,Sabatier,Q5,,
Sabatier,Sabatieriinae,Q61595315,7,0,1,subfamily of worms,,Q16521,,
Sabatier,Sabatier,Q3460488,7,0,1,maker's mark used by several kitchen knife manufacturers,,,,Sabatier
Sabatier,Sabatieria bubulba,Q21304552,7,0,1,species of worm,,Q16521,,
Sabatier,Sabatieria pumila,Q21304536,7,0,1,species of worm,,Q16521,,
Sabatier,Sabatieria bathycopia,Q21304556,7,0,1,species of worm,,Q16521,,
Sabatier,Sabatieria exculta,Q21304544,7,0,1,species of worm,,Q16521,,
Bonpland,Bonpland,Q4942564,8,0,1,"municipality and town in Corrientes, Argentina",,Q3257686|Q15284,,"Bonpland, Corrientes"
Bonpland,Bonpland,Q8250764,8,0,1,"village in Misiones, Argentina",,Q15284|Q486972,,
Bonpland,Aimé Bonpland,Q405702,8,0,1,"French physician, botanist and explorer (1773-1858)",Aimé Jacques Alexandre Bonpland|Bonpl.|Aime Bonpland|Aime Jacques Alexandre Bonpland|Goujaud|Bonpland,Q5,,Aimé Bonpland
Bonpland,Bonpland,Q892854,8,0,1,lunar impact crater,,Q55818,,Bonpland (crater)
Bonpland,Bonplandia,Q8250765,8,0,1,genus of plants,,Q16521,,Bonplandia
Bonpland,9587 Bonpland,Q925077,8,0,1,asteroid,Bonpland|1990 UG4,Q3863,,9587 Bonpland
Bonpland,Lake Tahoe,Q169962,8,0,1,"lake in California and Nevada, United States",Tahoe|Bigler Lake|Bonpland Lake|Daow aga|Lago Beergler|Lake Bigler|Lake Bompland|Lake Bonplan|Lake Bonpland|Lake Teho|Lake Tehoe|Mountain Lake|Taa-oo|Tah-oo|Tula Tulia,Q6341928,,Lake Tahoe
Bonpland,Bonplandia geminiflora,Q15389912,8,0,1,species of plant,,Q16521,,
Bonpland,Bonplandia,Q5732018,8,0,1,"scientific journal published in Corrientes, Argentina",Bonplandia (Corrientes)|ISSN 0524-0476|Bonplandia. Corrientes,Q5633421|Q737498|Q773668|Q108440863,,
Bonpland,Bonpland,Q122917162,8,0,1,family name,,Q101352,,
Bonpland,Bonplandia. Zeitschrift für die gesammte Botanik,Q5732022,8,0,2,scientific journal (1853–1862),Bonplandia (Hanover)|Bonplandia. Zeitschrift für angewandte Botanik,Q5633421|Q1002697|Q20055188,,
Bonpland,Bonplandia linearis,Q15389999,8,0,2,species of plant,,Q16521,,
Bonpland,Bonplandia candolleana,Q111417126,8,0,2,species of plant,,Q16521,,
Bonpland,Bonplandia lasiostemon,Q111417140,8,0,2,species of plant,,Q16521,,
Bonpland,Bonplandia resinosa,Q111417144,8,0,2,species of plant,,Q16521,,
Bonpland,Bonplandia heterophylla,Q111417139,8,0,2,species of plant,,Q16521,,
Bonpland,Bonplandia geminiflora var. erosa,Q111421235,8,0,2,,,Q16521,,
Schickard,Schickard,Q2234212,9,0,1,lunar crater,,Q55818,,Schickard (crater)
Schickard,Schickard,Q114157804,9,0,1,family name,,Q101352,,
Schickard,Schickard,Q106806568,9,0,1,Lunar astronautical chart,LAC 110,Q4006|Q25106976,,
Schickard,"Schickard, Wilhelm",Q27596256,9,0,1,entry in the Allgemeine Deutsche Biographie,"Schickard, Wilhelm (ADB)",Q19389637,,
Schickard,"Schickard, Wilhelm",Q103848887,9,0,1,encyclopedia article,,Q13433827,,
Schickard,Schickard,Q1285514,9,0,1,Wikimedia disambiguation page,,Q4167410,,
Schickard,Wilhelm Schickard,Q57403,9,0,2,"German astronomer, mathematician",,Q5,,Wilhelm Schickard
Schickard,Wilhelm Schickard School,Q130239001,9,0,2,"vocational school in Tübingen, Germany",,Q322563,,
Schickard,Wilhelm-Schickard-Straße,Q100968108,9,0,2,"street in Münster, North Rhine-Westphalia, Germany",,Q79007,,
Schickard,Eberhard Karls Universität Tübingen Wilhelm-Schickard-Institut für Informatik,Q2571554,9,0,2,research institute,,Q2385804|Q31855,,
Schickard,Johannes Schickhardt,Q19286923,9,0,2,,,Q5,,
Reinhold,Reinhold,Q18091397,10,0,1,male given name,Reinhold (first name)|Reinhold (given name),Q12308941,,
Reinhold,Reinhold,Q110729349,10,0,1,(fl. 17. century),,Q5,,
Reinhold,Reinhold Schünzel,Q28998,10,0,1,actor and director (1888-1954),,Q5,,Reinhold Schünzel
Reinhold,Reinhold,Q21974454,10,0,1,family name,,Q101352|Q98775491,,Reinhold
Reinhold,Reinhold Kliegl,Q1300738,10,0,1,German psychologist,,Q5,,
Reinhold,Reinhold Baer,Q78085,10,0,1,German mathematician (1902–1979),,Q5,,Reinhold Baer
Reinhold,Reinhold Haux,Q41143442,10,0,1,German computer scientist,,Q5,,
Reinhold,Reinhold Carle,Q23061301,10,0,1,German university teacher,,Q5,,
Reinhold,Reinhold Messner,Q189307,10,0,1,"Italian mountaineer, adventurer and explorer (born 1944)",,Q5,,Reinhold Messner
Reinhold,Reinhold Mack,Q61679,10,0,1,German music producer and audio engineer (born 1949),,Q5,,Reinhold Mack
Reinhold,Reinhold Messner,Q121337911,10,0,2,Austrian Franciscan priest and philosopher,Reinhold Meßner|Reinhold Oswald Messner,Q5,,
Reinhold,Reinhold Pichler,Q94405643,10,0,2,,,Q5,,
Reinhold,Reinhold Schmid,Q104641578,10,0,2,born 1800; died 1873,,Q5,,
Reinhold,Reinhold Schmidt,Q1500290,10,0,2,German publisher,,Q5,,
Reinhold,Reinhold Schmid,Q95247723,10,0,2,,,Q5,,
Reinhold,Reinhold Schmidt,Q108469784,10,0,2,,,Q5,,
Reinhold,Reinhold Schmidt,Q102232405,10,0,2,Dr. phil. Universität Breslau 1908,,Q5,,
Reinhold,Reinhold Schmid,Q1763160,10,0,2,Austrian composer (1902-1980),,Q5,,
Reinhold,Reinhold Schmid,Q95238350,10,0,2,,,Q5,,
Reinhold,Reinhold Schmid,Q139201045,10,0,2,,,Q5,,
Reinhold,Reinhold Schmid,Q137067858,10,0,2,,,Q5,,
Reinhold,Reinhold Schmidt,Q27992583,10,0,2,"German Esperantist, writer and private teacher (1867-1948)",,Q5,,
Dorsum Nicol,Dorsum Nicol,Q1250538,11,0,1,wrinkle ridge,,Q667575,,Dorsum Nicol
Dorsum Nicol,Dorsum Nicol,Q106757213,11,0,1,special scale lunar map,,Q4006,,
Dorsum Nicol,Mount Nicolay,Q21887206,11,0,2,mountain in Australia,,Q8502,,
Dorsum Nicol,Mount Nicola,Q22549209,11,0,2,"mountain in British Columbia, Canada",,Q8502,,
Dorsum Nicol,Mount Nicols,Q31681051,11,0,2,mountain in New Zealand,,Q8502,,
Dorsum Nicol,Mount Nicols,Q21940689,11,0,2,mountain in Australia,,Q8502,,
