data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
SN 209jh,,,0,0,0,,,,,
SN 2216eui,,,1,0,0,,,,,
SO 2017ihf,,,2,0,0,,,,,
SN 2017ue,,,3,0,0,,,,,
SNHiTS 1N,,,4,0,0,,,,,
N 201ez,,,5,0,0,,,,,
S 2003ej,,,6,0,0,,,,,
SN 204hu,,,7,0,0,,,,,
SN2010bd,SN 2010bd,Q9331568,8,0,2,supernova,,Q3937,,
SN2006fn,,,9,0,0,,,,,
SN 3007bo,,,10,0,0,,,,,
DES14C2rhg,DES14C2fkd,Q90428077,11,0,2,supernova in the constellation Fornax,,Q3937,,
DES14C2rhg,DES14C2vnf,Q76107862,11,0,2,,,Q3937,,
DES14C2rhg,DES14C2kct,Q80468984,11,0,2,supernova in the constellation Fornax,,Q3937,,
DES14C2rhg,DES14C2pw,Q75008149,11,0,2,,,Q3937,,
DES14C2rhg,DES14C2apq,Q75008218,11,0,2,,,Q3937,,
DES14C2rhg,DES14C2gwx,Q90428142,11,0,2,supernova in the constellation Fornax,,Q3937,,
DES14C2rhg,DES14C2ikn,Q94530799,11,0,2,supernova in the constellation Fornax,,Q3937,,
DES14C2rhg,DES14C2fkf,Q90428211,11,0,2,supernova in the constellation Fornax,,Q3937,,
SN 1988H,SN 1988H,Q9326926,12,0,1,supernova,,Q3937,,
SN 5005ay,,,13,0,0,,,,,
