data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Magdalena River,Magdalena River,Q191829,0,0,1,river in Colombia,,Q4022,,Magdalena River
Magdalena River,Magdalena River,Q35398755,0,0,1,tributary of the Huallaga River in Peru,Río Magdalena,Q355304,,
Magdalena River,Magdalena River,Q35446078,0,0,1,"stream in Masbate, Philippines",,Q47521,,
Magdalena River,Magdalena River,Q6115369,0,0,1,river in Mexico City,,Q4022,,
Magdalena River,Magdalena River,Q116528315,0,0,1,,,Q16465938,,
Magdalena River,Magdalena River,Q23305843,0,0,1,watercourse in Chile,,Q4022,,
Magdalena River,Magdalena River turtle,Q2699599,0,0,1,species of reptile,Podocnemis lewyana,Q16521,,Magdalena River turtle
Magdalena River,Magdalena River Valley,Q9092479,0,0,1,region in Colombia,,Q39816,,Magdalena River Valley
Magdalena River,"Magdalena River, New Granada, Equador",Q64570694,0,0,1,drawing in the National Gallery of Art (NGA 60364),,Q93184,,
Magdalena River,Magdalena River basin,Q131445832,0,0,1,drainage basin of the Magdalena River,,Q166620,,
Magdalena River,Jequetepeque River,Q6978463,0,0,2,river in Peru,Río Jequetepeque|Río Huacraruco|Río San Juan|Río Magdalena|Río Chilete,Q4022,,Jequetepeque River
Magdalena River,Río Magdalena,Q35398742,0,0,2,,,Q47521,,
Magdalena River,Río Magdalena,Q35398729,0,0,2,"stream in Cajamarca, Peru",,Q47521,,
Magdalena River,Río Magdalena,Q35398716,0,0,2,"stream in Sonora, Mexico",,Q47521,,
Magdalena River,Río Magdalena District,Q106787504,0,0,2,"district in Ayacucho, Peru",,Q2179958,,
Magdalena River,Concepción River,Q2179131,0,0,2,river in Mexico,Concepcion River|Río de la Concepción,Q4022|Q47521,,
Magdalena River,Río Magdalena,Q23793993,0,0,2,,,Q16465938,,
Magdalena River,Río Magdalena,Q23793992,0,0,2,,,Q16465938,,
Auerbach,Auerbach,Q46843,1,0,1,"city in the Vogtlandkreis in the Free State of Saxony, Germany",Auerbach/Vogtl.|Auerbach (Vogtland)|Auerbach/Vogtland,Q448801|Q42744322,,Auerbach (Vogtland)
Auerbach,Auerbach,Q759213,1,0,1,family name,Auerbach (surname),Q612090|Q101352,,Auerbach (surname)
Auerbach,Auerbach,Q170162,1,0,1,municipality of Germany,,Q116457956,,"Auerbach, Lower Bavaria"
Auerbach,Auerbach in der Oberpfalz,Q523956,1,0,1,"town in Bavaria, Germany",Auerbach|Auerbach i.d.OPf.,Q42744322|Q820254,,Auerbach in der Oberpfalz
Auerbach,Auerbach,Q57707,1,0,1,municipality in the Erzgebirgskreis of Germany,,Q116457956,,"Auerbach, Erzgebirgskreis"
Auerbach,Auerbach,Q759226,1,0,1,"district of Zwickau, Germany",,Q253019,,
Auerbach,Auerbach,Q759218,1,0,1,human settlement in Germany,,Q253019|Q378636|Q19730508,,Auerbach (Horgau)
Auerbach,Auerbach,Q31886988,1,0,1,human settlement in   Germany,,Q253019|Q1493533,,
Auerbach,Auerbach,Q90420050,1,0,1,"village in the municipality of Wartenberg, Bavaria, Germany",,Q532|Q253019|Q378636,,
Auerbach,Auerbach,Q19259771,1,0,1,human settlement   in Germany,,Q253019|Q532,,
