data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Ellington Township,Ellington Township,Q5365425,0,0,1,"township in Adams County, Illinois",,Q17198545,,"Ellington Township, Illinois"
Ellington Township,Ellington Township,Q5365427,0,0,1,"township in Tuscola County, Michigan",,Q17205774,,"Ellington Township, Michigan"
Ellington Township,Ellington Township,Q1892958,0,0,1,"township in Hancock County, Iowa",,Q17205621,,"Ellington Township, Hancock County, Iowa"
Ellington Township,Ellington Township,Q1898640,0,0,1,"township in Dodge County, Minnesota",,Q42211429,,"Ellington Township, Dodge County, Minnesota"
Ellington Township,Ellington Township,Q9038711,0,0,1,"township in Palo Alto County, Iowa","Ellington Township, Palo Alto County, Iowa",Q17205621|Q1394476,,"Ellington Township, Palo Alto County, Iowa"
Ellington Township,Ellington Cemetery,Q117695923,0,0,1,"cemetery in Palo Alto County, Iowa, United States",Ellington Township Cemetery,Q39614,,
Ellington Township,Ellington Township Cemetery,Q117606357,0,0,1,"cemetery in Tuscola County, Michigan, United States",Ellington Cemetery,Q39614,,
Ellington Township,Ellington Township,Q733936,0,0,1,Wikimedia disambiguation page,,Q4167410,,Ellington Township
Scott Township,Scott Township,Q1187088,1,0,1,"township in Allegheny County, Pennsylvania, United States",,Q9035798,,"Scott Township, Allegheny County, Pennsylvania"
Scott Township,Scott Township,Q2222332,1,0,1,"township in Central Columbia County, Pennsylvania","Scott Township, Columbia County, PA",Q9035798,,"Scott Township, Columbia County, Pennsylvania"
Scott Township,Scott Township,Q9044381,1,0,1,"township in Fremont County, Iowa","Scott Township, Fremont County, Iowa",Q17205621,,"Scott Township, Fremont County, Iowa"
Scott Township,Scott Township,Q965759,1,0,1,"township in Franklin County, Iowa, United States","Scott Township, Franklin County, Iowa",Q17205621,,"Scott Township, Franklin County, Iowa"
Scott Township,Scott Township,Q9044388,1,0,1,"township in Johnson County, Iowa","Scott Township, Johnson County, Iowa",Q17205621,,"Scott Township, Johnson County, Iowa"
Scott Township,Scott Township,Q7437406,1,0,1,"one of eleven townships in Montgomery County, Indiana, United States","Scott Township, Montgomery County, Indiana|Scott Township, Indiana",Q17201685,,"Scott Township, Montgomery County, Indiana"
Scott Township,Scott Township,Q5696144,1,0,1,"township in Vanderburgh County, Indiana",,Q17201685,,"Scott Township, Vanderburgh County, Indiana"
Scott Township,Scott Township,Q9044394,1,0,1,"township in Montgomery County, Iowa",,Q17205621,,"Scott Township, Montgomery County, Iowa"
Scott Township,Scott Township,Q5476507,1,0,1,"township in Mahaska County, Iowa","Scott Township, Mahaska County, Iowa",Q17205621|Q1394476,,"Scott Township, Mahaska County, Iowa"
Scott Township,Scott Township,Q5800660,1,0,1,"township in Henry County, Iowa","Scott Township, Henry County, Iowa",Q17205621|Q1394476,,"Scott Township, Henry County, Iowa"
Putnam Township,Putnam Township,Q2834945,2,0,1,"township in Linn County, Iowa","Putnam Township, Linn County, Iowa",Q17205621,,"Putnam Township, Linn County, Iowa"
Putnam Township,Putnam Township,Q1892924,2,0,1,"township in Fayette County, Iowa",,Q17205621,,"Putnam Township, Fayette County, Iowa"
Putnam Township,Putnam Township,Q7262364,2,0,1,"township in Livingston County, Michigan",,Q17205774,,"Putnam Township, Michigan"
Putnam Township,Putnam Township,Q7998444,2,0,1,"township in Anderson County, Kansas",,Q17205735,,"Putnam Township, Anderson County, Kansas"
Putnam Township,Putnam Township,Q2892065,2,0,1,"township in Tioga County, Pennsylvania",,Q9035798,,"Putnam Township, Pennsylvania"
Putnam Township,Putnam Township,Q9043780,2,0,1,"township in Stafford County, Kansas, United States",,Q17205735,,
Putnam Township,Putnam Township,Q2119268,2,0,1,Wikimedia disambiguation page,,Q4167410,,Putnam Township
Goodrich Township,Goodrich Township,Q1892922,3,0,1,"township in Crawford County, Iowa",,Q17205621,,"Goodrich Township, Crawford County, Iowa"
Goodrich Township,Goodrich Township,Q9039493,3,0,1,"township in Sheridan County, North Dakota",,Q28111,,
Goodrich Township,Goodrich Township,Q1321500,3,0,1,Wikimedia disambiguation page,,Q4167410,,
Goodrich Township,Goodrich,Q2284947,3,0,2,"village in Genesee County, Michigan, United States of America","Goodrich, Michigan|Goodrich, MI",Q751708,,"Goodrich, Michigan"
Eden Township,Eden Township,Q5336933,4,0,1,"township in LaSalle County, Illinois",,Q17198545,,"Eden Township, LaSalle County, Illinois"
Eden Township,Eden Township,Q1899921,4,0,1,"township in Polk County, Minnesota","Eden Township, Polk County, Minnesota",Q42211429,,"Eden Township, Polk County, Minnesota"
Eden Township,Eden Township,Q10757953,4,0,1,"township in Marshall County, Iowa","Eden Township, Marshall County, Iowa",Q17205621,,"Eden Township, Marshall County, Iowa"
Eden Township,Eden Township,Q9038626,4,0,1,"human settlement in Winnebago County, Iowa, United States of America",,Q17205621,,"Eden Township, Winnebago County, Iowa"
Eden Township,Eden Township,Q5789729,4,0,1,"township in Sac County, Iowa","Eden Township, Sac County, Iowa",Q17205621,,"Eden Township, Sac County, Iowa"
Eden Township,Eden Township,Q9038609,4,0,1,"township in Walsh County, North Dakota","Eden Township, Walsh County, North Dakota",Q28111|Q6643834,,"Eden Township, Walsh County, North Dakota"
Eden Township,Eden Township,Q9038613,4,0,1,"township in Marshall County, South Dakota",,Q28111,,
Eden Township,Eden Township,Q6028407,4,0,1,"township in Codington County, South Dakota","Eden Township, Codington County, South Dakota",Q28111,,
Eden Township,Eden Township,Q6028409,4,0,1,"township in Lincoln County, South Dakota",,Q28111,,
Eden Township,Eden Township,Q6028405,4,0,1,"township in Clark County, South Dakota",,Q28111,,
Eden Township,Eden,Q2861937,4,0,2,"town in New York, U.S.","Eden, New York|Eden, NY",Q15127012|Q106071004,,"Eden, New York"
Eden Township,Eden,Q3460268,4,0,2,"census-designated place in Erie County, New York","Eden (CDP), New York, NY|Eden , NY",Q498162|Q17343829,,"Eden (CDP), New York"
Wagner Township,Wagner Township,Q1892910,5,0,1,"township in Clayton County, Iowa",,Q17205621,,"Wagner Township, Clayton County, Iowa"
Wagner Township,Wagner Township,Q1917363,5,0,1,"township in Aitkin County, Minnesota",,Q42211429,,"Wagner Township, Aitkin County, Minnesota"
Wagner Township,Wagner Township Cemetery,Q117639307,5,0,1,"cemetery in Aitkin County, Minnesota, United States",Giese Free,Q39614,,
Wagner Township,Wagner Township Cemetery,Q117584033,5,0,1,"cemetery in Clayton County, Iowa, United States",United Brethren Church Cemetery,Q39614,,
Wagner Township,Wagner Township,Q2539223,5,0,1,Wikimedia disambiguation page,,Q4167410,,Wagner Township
Eden Township,Eden Township,Q5336933,6,0,1,"township in LaSalle County, Illinois",,Q17198545,,"Eden Township, LaSalle County, Illinois"
Eden Township,Eden Township,Q1899921,6,0,1,"township in Polk County, Minnesota","Eden Township, Polk County, Minnesota",Q42211429,,"Eden Township, Polk County, Minnesota"
Eden Township,Eden Township,Q10757953,6,0,1,"township in Marshall County, Iowa","Eden Township, Marshall County, Iowa",Q17205621,,"Eden Township, Marshall County, Iowa"
Eden Township,Eden Township,Q9038626,6,0,1,"human settlement in Winnebago County, Iowa, United States of America",,Q17205621,,"Eden Township, Winnebago County, Iowa"
Eden Township,Eden Township,Q5789729,6,0,1,"township in Sac County, Iowa","Eden Township, Sac County, Iowa",Q17205621,,"Eden Township, Sac County, Iowa"
Eden Township,Eden Township,Q9038609,6,0,1,"township in Walsh County, North Dakota","Eden Township, Walsh County, North Dakota",Q28111|Q6643834,,"Eden Township, Walsh County, North Dakota"
Eden Township,Eden Township,Q9038613,6,0,1,"township in Marshall County, South Dakota",,Q28111,,
Eden Township,Eden Township,Q6028407,6,0,1,"township in Codington County, South Dakota","Eden Township, Codington County, South Dakota",Q28111,,
Eden Township,Eden Township,Q6028409,6,0,1,"township in Lincoln County, South Dakota",,Q28111,,
Eden Township,Eden Township,Q6028405,6,0,1,"township in Clark County, South Dakota",,Q28111,,
Eden Township,Eden,Q2861937,6,0,2,"town in New York, U.S.","Eden, New York|Eden, NY",Q15127012|Q106071004,,"Eden, New York"
Eden Township,Eden,Q3460268,6,0,2,"census-designated place in Erie County, New York","Eden (CDP), New York, NY|Eden , NY",Q498162|Q17343829,,"Eden (CDP), New York"
Long Creek Township,Long Creek Township,Q1892880,7,0,1,"township in Decatur County, Iowa",,Q17205621,,"Long Creek Township, Decatur County, Iowa"
Long Creek Township,Long Creek Township,Q5788775,7,0,1,"township in Macon County, Illinois",,Q17198545,,"Long Creek Township, Macon County, Illinois"
Long Creek Township,Long Creek Township,Q6672484,7,0,1,"township in Boone County, Arkansas",,Q24027556,,"Long Creek Township, Boone County, Arkansas"
Long Creek Township,Long Creek Township,Q6672487,7,0,1,"township in Carroll County, Arkansas",,Q24027556,,"Long Creek Township, Carroll County, Arkansas"
Long Creek Township,Long Creek Township,Q6672489,7,0,1,"township in Searcy County, Arkansas",,Q24027556,,"Long Creek Township, Searcy County, Arkansas"
Long Creek Township,Long Creek Township,Q9041727,7,0,1,"township in Divide County, North Dakota",,Q28111,,
Long Creek Township,Long Creek Township,Q6029994,7,0,1,"township in Pender County, North Carolina",,Q28111,,
Long Creek Township,Long Creek Township,Q1869312,7,0,1,Wikimedia disambiguation page,,Q4167410,,Long Creek Township
Long Creek Township,"Long Creek Township, Arkansas",Q17035158,7,0,1,Wikimedia disambiguation page,,Q4167410,,"Long Creek Township, Arkansas"
Long Creek Township,Long Creek,Q2217462,7,0,2,"city in Oregon, USA","Long Creek, Oregon|Long Creek, OR",Q63440326,,"Long Creek, Oregon"
Long Creek Township,Long Creek,Q22650233,7,0,2,"watercourse in Columbia-Shuswap Regional District, British Columbia, Canada",,Q4022,,
Long Creek Township,Long Creek,Q22650244,7,0,2,"watercourse in Cariboo Regional District, British Columbia, Canada",,Q4022,,
Long Creek Township,Long Creek,Q49951067,7,0,2,"natural watercourse in Grant County, Oregon, United States of America",,Q47521,,
Long Creek Township,Long Creek,Q22650224,7,0,2,"watercourse in Regional District of Central Kootenay, British Columbia, Canada",,Q4022,,
Long Creek Township,Long Creek,Q2672386,7,0,2,"human settlement in Illinois, United States of America","Long Creek, IL",Q110071217,,"Long Creek, Illinois"
Long Creek Township,Long Creek,Q108178964,7,0,2,"census-designated place in North Carolina, United States",,Q498162,,"Long Creek, North Carolina"
Long Creek Township,Long Creek,Q15242742,7,0,2,"navigable route through Great South Bay, New York",Long Creek (New York),Q1210950,,Long Creek (New York)
Long Creek Township,Long Creek,Q20708211,7,0,2,river in the United States of America,,Q47521,,Long Creek (Iowa River tributary)
Long Creek Township,Long Creek,Q49951135,7,0,2,"tributary to the Sound Fork Stillaguamish River in Snohomish County, Washington, United States",,Q47521,,
Jackson Township,Jackson,Q2713022,8,0,1,"township in Ocean County, New Jersey, United States","Jackson Township, New Jersey|Jackson Township, NJ|Jackson Township",Q7830213,,"Jackson Township, New Jersey"
Jackson Township,Jackson Township,Q7998167,8,0,1,"township in Stark County, Ohio",,Q17198620,,"Jackson Township, Stark County, Ohio"
Jackson Township,Jackson Township,Q1658232,8,0,1,"township in Jackson County, Iowa, United States","Jackson Township, Jackson County, Iowa|Jackson Township, IA",Q3957|Q17205621,,"Jackson Township, Jackson County, Iowa"
Jackson Township,Jackson Township,Q513271,8,0,1,"township in Fountain County, Indiana, United States",,Q17201685,,"Jackson Township, Fountain County, Indiana"
Jackson Township,Jackson Township,Q2890488,8,0,1,"township in Harrison County, Iowa","Jackson Township, Harrison County, Iowa",Q17205621|Q1394476,,"Jackson Township, Harrison County, Iowa"
Jackson Township,Jackson Township,Q9040508,8,0,1,"township in Hardin County, Iowa","Jackson Township, Hardin County, Iowa",Q17205621,,"Jackson Township, Hardin County, Iowa"
Jackson Township,Jackson Township,Q6117695,8,0,1,"township in Randolph County, Indiana",,Q17201685,,"Jackson Township, Randolph County, Indiana"
Jackson Township,Jackson Township,Q7996472,8,0,1,"township in Owen County, Indiana",,Q17201685,,"Jackson Township, Owen County, Indiana"
Jackson Township,Jackson Township,Q9040514,8,0,1,"township in Henry County, Iowa","Jackson Township, Henry County, Iowa",Q17205621|Q1394476,,"Jackson Township, Henry County, Iowa"
Jackson Township,Jackson Township,Q6117571,8,0,1,"township in Huntingdon County, Pennsylvania",,Q9035798,,"Jackson Township, Huntingdon County, Pennsylvania"
Oran Township,Oran Township,Q1892835,9,0,1,"township in Fayette County, Iowa",,Q17205621,,"Oran Township, Fayette County, Iowa"
Oran Township,Oran Township,Q7099448,9,0,1,"township in Logan County, Illinois",,Q17198545,,"Oran Township, Logan County, Illinois"
Oran Township,Oran Township Cemetery,Q117620285,9,0,1,"cemetery in Fayette County, Iowa, United States",,Q39614,,
Oran Township,Oran Township,Q2027987,9,0,1,Wikimedia disambiguation page,,Q4167410,,Oran Township
Richland Township,Richland Township,Q10836360,10,0,1,"township in Jefferson County, Arkansas",Richland township|Richland twp|Richland Twp|Township of Richland,Q24027556,,"Richland Township, Jefferson County, Arkansas"
Richland Township,Richland Township,Q925883,10,0,1,"township in Belmont County, Ohio",,Q17198620,,"Richland Township, Belmont County, Ohio"
Richland Township,Richland Township,Q5647764,10,0,1,"Township in Franklin County, Iowa, United States","Richland Township, Franklin County, Iowa",Q17205621,,"Richland Township, Franklin County, Iowa"
Richland Township,Richland Township,Q1912546,10,0,1,"township in Rice County, Minnesota",,Q42211429,,"Richland Township, Rice County, Minnesota"
Richland Township,Richland Township,Q164093,10,0,1,"township in Clinton County, Ohio, United States","Richland Township, Clinton County, Ohio",Q17198620,,"Richland Township, Clinton County, Ohio"
Richland Township,Richland Township,Q1769319,10,0,1,"township in Allegheny County, Pennsylvania",,Q9035798|Q5888666,,"Richland Township, Allegheny County, Pennsylvania"
Richland Township,Richland Township,Q2151177,10,0,1,"township in Jackson County, Iowa, United States","Richland Township, Jackson County, Iowa",Q17205621,,"Richland Township, Jackson County, Iowa"
Richland Township,Richland Township,Q7330682,10,0,1,"township in Miami County, Indiana",,Q17201685,,"Richland Township, Miami County, Indiana"
Richland Township,Richland Township,Q7330677,10,0,1,"township in Madison County, Indiana",,Q17201685,,"Richland Township, Madison County, Indiana"
Richland Township,Richland Township,Q2881947,10,0,1,"township in Keokuk County, Iowa","Richland Township, Keokuk County, Iowa",Q17205621|Q1394476,,"Richland Township, Keokuk County, Iowa"
Richland Township,Richland,Q37565194,10,0,2,family name,,Q101352,,
Richland Township,Richland,Q693638,10,0,2,"city in Benton County, Washington, United States","Richland, Washington|Richland, WA",Q1093829,,"Richland, Washington"
Richland Township,Richland Center,Q1569965,10,0,2,"city in and county seat of Richland County, Wisconsin, United States","Richland Center, Wisconsin|Richland Center, WI",Q15221373|Q62049,,"Richland Center, Wisconsin"
Richland Township,Richland,Q1912978,10,0,2,"city in Stewart County, Georgia, United States of America","Richland, Georgia|Richland, GA",Q1093829|Q76514543,,"Richland, Georgia"
Richland Township,Richland,Q3043807,10,0,2,"village in Kalamazoo County, Michigan","Richland, MI|Richland, Michigan",Q751708,,"Richland, Michigan"
Richland Township,Richland,Q1926011,10,0,2,"city in Keokuk County, Iowa","Richland, Iowa|Richland, IA",Q1093829,,"Richland, Iowa"
Richland Township,Richland,Q625828,10,0,2,"city in Rankin County, Mississippi, United States","Richland, Mississippi|Richland, MS|Richland, Rankin County, Mississipi|Richland, Rankin County, MS",Q1093829,,"Richland, Mississippi"
Richland Township,Richland,Q1181950,10,0,2,"borough in southeastern Lebanon County, Pennsylvania, United States","Richland, Pennsylvania|Richland, PA",Q777120,,"Richland, Pennsylvania"
Richland Township,Richland,Q7330603,10,0,2,"ghost town in Kansas, United States","Richland, Kansas|Richland, KS",Q74047,,"Richland, Kansas"
Richland Township,Richland,Q961271,10,0,2,"city in Missouri parts of witch are in Camden, Laclede, and Pulaski Counties","Richland, Missouri|Richland, MO",Q1093829,,"Richland, Missouri"
Osceola Township,Osceola Township,Q387765,11,0,1,"township in Houghton County, Michigan, United States",,Q17205774,,"Osceola Township, Houghton County, Michigan"
Osceola Township,Osceola Township,Q6030774,11,0,1,"township in Grant County, South Dakota",,Q28111,,
Osceola Township,Osceola Township,Q9043169,11,0,1,"township in Franklin County, Iowa","Osceola Township, Franklin County, Iowa",Q17205621,,"Osceola Township, Franklin County, Iowa"
Osceola Township,Osceola Township,Q10803292,11,0,1,township in Missouri,"Osceola Township, St. Clair County, Missouri",Q6270791|Q19610511,,"Osceola Township, St. Clair County, Missouri"
Osceola Township,Osceola Township,Q6030772,11,0,1,"township in Brown County, South Dakota",,Q28111,,
Osceola Township,Osceola Township,Q5398331,11,0,1,"township in Osceola County, Michigan",,Q17205774,,"Osceola Township, Osceola County, Michigan"
Osceola Township,Osceola Township,Q1892734,11,0,1,"township in Clarke County, Iowa",,Q17205621,,"Osceola Township, Clarke County, Iowa"
Osceola Township,Osceola Township,Q7106395,11,0,1,"township in Stark County, Illinois",,Q17198545,,"Osceola Township, Stark County, Illinois"
Osceola Township,Osceola Township,Q7106396,11,0,1,"township in Tioga County, Pennsylvania",,Q9035798,,"Osceola Township, Pennsylvania"
Osceola Township,Osceola Township,Q1910536,11,0,1,"township in Renville County, Minnesota",,Q42211429,,"Osceola Township, Renville County, Minnesota"
Osceola Township,"Osceola Township, Michigan",Q7106391,11,0,2,Wikimedia disambiguation page,,Q4167410,,"Osceola Township, Michigan"
Union Township,West Chester Township,Q924675,12,0,1,"township in Butler County, Ohio, United States","West Chester|Union Township|West Chester Township, Butler County, Ohio|West Chester Township, Ohio|Union Township, Butler County, Ohio",Q17198620,,"West Chester Township, Ohio"
Union Township,Union Township,Q7886242,12,0,1,"township in Hunterdon County, New Jersey, United States","Union Township, Hunterdon County, New Jersey|Union Township, NJ",Q7830213,,"Union Township, Hunterdon County, New Jersey"
Union Township,Union,Q1089738,12,0,1,"township of Union County, New Jersey, United States","Union Township, Union County, New Jersey|Union|Union, New Jersey|Union Township, NJ",Q7830213,,"Union Township, Union County, New Jersey"
Union Township,Lianhe Township,Q28832272,12,0,1,"township in Xundian, Kunming, Yunnan, China",Union Township,Q1500350,,
Union Township,Union Township,Q926258,12,0,1,"township in Clermont County, Ohio, United States","Union Township, Clermont County, Ohio",Q17198620,,"Union Township, Clermont County, Ohio"
Union Township,Union Township,Q1892716,12,0,1,"township in Davis County, Iowa","Union Township, Davis County, Iowa",Q17205621,,"Union Township, Davis County, Iowa"
Union Township,Union Township,Q968756,12,0,1,"township of Johnson County, Indiana","Union Township, Johnson County, Indiana",Q17201685,,"Union Township, Johnson County, Indiana"
Union Township,Union Township,Q7886295,12,0,1,"township in Perry County, Indiana","Union Township, Perry County, Indiana",Q17201685,,"Union Township, Perry County, Indiana"
Union Township,Union Township,Q582641,12,0,1,"township of Perry County, Missouri, United States","Union Township, Perry County, Missouri",Q6270791,,"Union Township, Perry County, Missouri"
Union Township,Union Township,Q5853750,12,0,1,"township in Louisa County, Iowa","Union Township, Louisa County, Iowa",Q17205621,,"Union Township, Louisa County, Iowa"
Union Township,"Union Township, Ohio",Q7886290,12,0,2,Wikimedia disambiguation page,,Q4167410,,"Union Township, Ohio"
Union Township,Union Township,Q7886337,12,0,2,"township in southeastern Union County, Pennsylvania","Union Township, Pennsylvania",Q9035798,,"Union Township, Union County, Pennsylvania"
Union Township,"Union Township, Pennsylvania",Q7886294,12,0,2,Wikimedia disambiguation page,,Q4167410,,"Union Township, Pennsylvania"
Union Township,Union Township,Q344773,12,0,2,Wikimedia disambiguation page,,Q4167410,,Union Township
Jefferson Township,Jefferson Township,Q9040708,13,0,1,"township in Jefferson County, Arkansas",Jefferson township|Jefferson Twp|Jefferson twp|Township of Jefferson,Q24027556,,"Jefferson Township, Jefferson County, Arkansas"
Jefferson Township,Jefferson Township,Q3015817,13,0,1,"township in Morris County, New Jersey, United States","Jefferson Township, NJ",Q7830213,,"Jefferson Township, New Jersey"
Jefferson Township,Jefferson Township,Q6175632,13,0,1,"township in Greene County, Pennsylvania","Jefferson Township, PA|Jefferson Township, Greene County, PA",Q9035798,,"Jefferson Township, Greene County, Pennsylvania"
Jefferson Township,Jefferson Township,Q6175685,13,0,1,"township in Washington County, Indiana",,Q17201685,,"Jefferson Township, Washington County, Indiana"
Jefferson Township,Jefferson Township,Q89482343,13,0,1,"former township in Allegheny County, Pennsylvania","Jefferson Township, PA|Jefferson Township, Allegheny County, PA",Q9035798,,
Jefferson Township,Jefferson Township,Q11694173,13,0,1,"township in Henry County, Iowa","Jefferson Township, Henry County, Iowa",Q17205621|Q1394476,,"Jefferson Township, Henry County, Iowa"
Jefferson Township,Jefferson Township,Q6175654,13,0,1,"township in Madison County, Ohio, United States","Jefferson Township, Madison County, Ohio",Q17198620,,"Jefferson Township, Madison County, Ohio"
Jefferson Township,Jefferson Township,Q6175609,13,0,1,"township in Allen County, Indiana",,Q17201685,,"Jefferson Township, Allen County, Indiana"
Jefferson Township,Jefferson Township,Q6175671,13,0,1,"township in Pike County, Indiana",,Q17201685,,"Jefferson Township, Pike County, Indiana"
Jefferson Township,Jefferson Township,Q9040769,13,0,1,"township in Wayne County, Iowa",,Q17205621,,"Jefferson Township, Wayne County, Iowa"
Jefferson Township,Jefferson Township High School,Q6175691,13,0,2,"high school in Ohio, United States",,Q9826|Q1080794,,"Jefferson Township High School (Dayton, Ohio)"
Jefferson Township,Jefferson Township High School,Q14705670,13,0,2,"high school in New Jersey, United States",,Q9826,,Jefferson Township High School (New Jersey)
Richland Township,Richland Township,Q10836360,14,0,1,"township in Jefferson County, Arkansas",Richland township|Richland twp|Richland Twp|Township of Richland,Q24027556,,"Richland Township, Jefferson County, Arkansas"
Richland Township,Richland Township,Q925883,14,0,1,"township in Belmont County, Ohio",,Q17198620,,"Richland Township, Belmont County, Ohio"
Richland Township,Richland Township,Q5647764,14,0,1,"Township in Franklin County, Iowa, United States","Richland Township, Franklin County, Iowa",Q17205621,,"Richland Township, Franklin County, Iowa"
Richland Township,Richland Township,Q1912546,14,0,1,"township in Rice County, Minnesota",,Q42211429,,"Richland Township, Rice County, Minnesota"
Richland Township,Richland Township,Q164093,14,0,1,"township in Clinton County, Ohio, United States","Richland Township, Clinton County, Ohio",Q17198620,,"Richland Township, Clinton County, Ohio"
Richland Township,Richland Township,Q1769319,14,0,1,"township in Allegheny County, Pennsylvania",,Q9035798|Q5888666,,"Richland Township, Allegheny County, Pennsylvania"
Richland Township,Richland Township,Q2151177,14,0,1,"township in Jackson County, Iowa, United States","Richland Township, Jackson County, Iowa",Q17205621,,"Richland Township, Jackson County, Iowa"
Richland Township,Richland Township,Q7330682,14,0,1,"township in Miami County, Indiana",,Q17201685,,"Richland Township, Miami County, Indiana"
Richland Township,Richland Township,Q7330677,14,0,1,"township in Madison County, Indiana",,Q17201685,,"Richland Township, Madison County, Indiana"
