data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Helsingborg,Helsingborg,Q25411,0,0,1,"town and seat of Helsingborg Municipality, in Scania County, Sweden",,Q12813115|Q1549591|Q902814|Q2264924,,Helsingborg
Helsingborg,Helsingborg Municipality,Q487648,0,0,1,"municipality in Skåne County, Sweden",Helsingborgs kommun|Hälsingborgs kommun|Hälsingborg Municipality,Q127448,,Helsingborg Municipality
Helsingborg,Helsingborg Arena,Q10520527,0,0,1,"arena in Helsingborg, Sweden",,Q641226|Q18674739,,Helsingborg Arena
Helsingborg,Helsingborgs IF,Q207503,0,0,1,"sports club in Helsingborg, Sweden",HIF,Q476028,,Helsingborgs IF
Helsingborg,10549 Helsingborg,Q1484609,0,0,1,asteroid,Helsingborg,Q3863,,10549 Helsingborg
Helsingborg,Helsingborgs Maria church parish,Q10520535,0,0,1,parish of the Church of Sweden,,Q615980,,
Helsingborg,Helsingborg lighthouse,Q10520541,0,0,1,"lighthouse in Helsingborg Municipality, south coast, Sweden",Helsingborg lighthouse station,Q16948701|Q39715|Q3278565|Q787078,,
Helsingborg,Helsingborg Central Station,Q3062731,0,0,1,"multimodal transit station in Helsingborg, Sweden",,Q18543139|Q1339195|Q1497375|Q22808403,,Helsingborg Central Station
Helsingborg,Helsingborgs Dagblad,Q3297718,0,0,1,Swedish newspaper from Helsingborg,,Q1002697,,Helsingborgs Dagblad
Helsingborg,Port of Helsingborg,Q1185055,0,0,1,"port in Helsingborg, Skåne County, Sweden",Helsingborg Harbor,Q44782|Q15310171,,Port of Helsingborg
Helsingborg,Siege of Helsingborg,Q11960487,0,0,2,1678 siege,,Q188055,,
Helsingborg,Siege of Helsingborg,Q126679112,0,0,2,"siege in Helsingborg between Swedish, Hanseatic and Danish forces",,Q188055,,Siege of Helsingborg (1368–1369)
Siege of Helsingborg,Siege of Helsingborg,Q11960487,0,1,1,1678 siege,,Q188055,,
Siege of Helsingborg,Siege of Helsingborg,Q126679112,0,1,1,"siege in Helsingborg between Swedish, Hanseatic and Danish forces",,Q188055,,Siege of Helsingborg (1368–1369)
Siege of Helsingborg,Battle of Helsingborg,Q705409,0,1,2,battle in Sweden 1710,,Q178561,,Battle of Helsingborg
