data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Jamestown,Jamestown,Q1409532,0,0,1,titular see,,Q15217609,,
Jamestown,Jamestown,Q2117150,0,0,1,"village in County Leitrim, Ireland",,Q486972,,"Jamestown, County Leitrim"
Jamestown,Jamestown,Q77505961,0,0,1,painting by Beverly Buchanan,,Q3305213,,
Jamestown,Jamestown,Q2240713,0,0,1,"human settlement in Highland, Scotland, UK",,Q486972,,"Jamestown, Easter Ross"
Jamestown,Jamestown,Q6146159,0,0,1,"human settlement in Ontario, Canada",,Q486972,,"Jamestown, Ontario"
Jamestown,Jamestown,Q983861,0,0,1,"city in Chautauqua County, New York, United States","Jamestown, New York|Jamestown, NY",Q1093829|Q15063611,,"Jamestown, New York"
Jamestown,Jamestown,Q1052658,0,0,1,"seat of Stutsman County, North Dakota, United States","Jamestown, ND|Jamestown, North Dakota",Q1093829|Q62049,,"Jamestown, North Dakota"
Jamestown,Jamestown,Q323813,0,0,1,fort and town established in the Virginia Colony,"Jamestown Settlement|Jamestown colony|Jamestown, Virginia|Jamestowne|James His Towne|James Towne|James City|James Cittie",Q17343829,,Jamestown
Jamestown,Jamestown,Q30970,0,0,1,capital of Saint Helena,"Jamestown, Saint Helena",Q515|Q2264924,,"Jamestown, Saint Helena"
Jamestown,Jamestown,Q1378580,0,0,1,"town in Rhode Island, United States","Jamestown, Rhode Island|Jamestown, RI",Q131438413,,"Jamestown, Rhode Island"
Jamestown,Jamestown colonists,Q6146209,0,0,2,Wikimedia list article,"Jamestown, Virginia settlers|Jamestown settlers 1607 to 1611",Q13406463,,List of Jamestown colonists
Jamestown,"Jamestown, Virginia, 1607: First Southern Surgeons and the First Healthcare Crisis",Q104570172,0,0,2,scientific article published on 23 December 2020,,Q13442814,,
Jamestown,Jamestown,Q2026580,0,0,2,"town in Guilford County, North Carolina, United States","Jamestown, North Carolina|Jamestown, NC",Q15127012|Q132680629,,"Jamestown, North Carolina"
Jamestown,Jamestown,Q3240120,0,0,2,"town in South Carolina, USA","Jamestown, South Carolina|Jamestown, SC",Q15127012,,"Jamestown, South Carolina"
Bangui,Bangui,Q39326,1,0,1,municipality of the Philippines in the province of Ilocos Norte,,Q24764,,"Bangui, Ilocos Norte"
Bangui,Bangui,Q806553,1,0,1,rural commune in Niger,Bangi,Q605291,,"Bangui, Niger"
Bangui,Bangui,Q3832,1,0,1,capital city of the Central African Republic,,Q515|Q843886|Q902814|Q1549591,,Bangui
Bangui,Banguingui,Q155970,1,0,1,municipality of the Philippines in the province of Sulu,"Tongkil|Banguingui, Sulu|Municipality of Banguingui|Tongkil, Sulu",Q24764,,"Banguingui, Sulu"
Bangui,Bangui,Q55424615,1,0,1,prefecture of the Central African Republic,,Q1911973,,Bangui (prefecture)
Bangui,Bangui M'Poko International Airport,Q790043,1,0,1,airport,M'poko Airport|BGF,Q644371|Q1248784|Q94993988,,Bangui M'Poko International Airport
Bangui,Bangui,Q14226399,1,0,1,village in China,,Q13100073,,
Bangui,Bangui,Q109519237,1,0,1,a village in the Republic of Congo,Bangui-Motaba,Q486972|Q532,,
