data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Big Trout Lake,Big Trout Lake,Q859461,0,0,1,"lake in Kenora District, Ontario, Canada",,Q23397,,Big Trout Lake
Big Trout Lake,Big Trout Lake,Q33231808,0,0,1,"lake in Presque Isle County, Michigan, USA",,Q23397,,
Big Trout Lake,Big Trout Lake,Q22433273,0,0,1,"lake in Laurentian Valley, Ontario, Canada",,Q23397,,
Big Trout Lake,Big Trout Lake,Q22433313,0,0,1,"lake in Thunder Bay District, Ontario, Canada",,Q23397,,
Big Trout Lake,Big Trout Lake,Q22433191,0,0,1,"lake in Algoma District, Ontario, Canada (lat 46.32, lon -82.27)",,Q23397,,
Big Trout Lake,Big Trout Lake,Q22433253,0,0,1,"lake in Nipissing District, Ontario, Canada",,Q23397,,
Big Trout Lake,Big Trout Lake,Q22433232,0,0,1,"lake in Kawartha Lakes, Ontario, Canada",,Q23397,,
Big Trout Lake,Big Trout Lake,Q22433293,0,0,1,"lake in Sudbury District, Ontario, Canada",,Q23397,,
Big Trout Lake,Big Trout Lake,Q22433210,0,0,1,"lake in Algoma District, Ontario, Canada (lat 46.72, lon -83.02)",,Q23397,,
Big Trout Lake,Big Trout Lake,Q33231800,0,0,1,"lake in Chippewa County, Michigan, USA",,Q23397,,
Beversee,Beversee,Q851850,1,0,1,"lake in Bergkamen, North Rhine-Westphalia, Germany",,Q23397,,
Beversee,Beversee,Q30073754,1,0,1,"nature reserve in Bergkamen, North Rhine-Westphalia, Germany",,Q759421|Q473972,,
Beversee,Beversee,Q60690273,1,0,1,"protected area in the European Union defined by the habitats directive in Nordrhein-Westfalen, Germany",,Q1191622|Q796174|Q60534895,,
