data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Cornfield Point,Cornfield Point,Q34711817,0,0,1,"cape in Cumberland County, Maine, United States of America",,Q185113,,
Cornfield Point,Cornfield Point,Q34842563,0,0,1,"cape in St. Mary's County, Maryland, United States of America",,Q185113,,
Cornfield Point,Cornfield Point,Q34711808,0,0,1,,,Q185113,,
Cornfield Point,Cornfield Point Shoal,Q31824539,0,0,1,,,Q478251,,
Black Rock Point,Black Rock Point,Q32132020,1,0,1,"Point on Stewart Island, New Zealand",,Q24529780,,
Black Rock Point,Black Rock Point,Q22560924,1,0,1,"peninsula in Nova Scotia, Canada",,Q34763,,
Black Rock Point,Black Rock Point,Q22560932,1,0,1,"peninsula in Simcoe County, Ontario, Canada",,Q34763,,
Black Rock Point,Black Rock Point,Q21713688,1,0,1,point in the Bahamas,,Q24529780,,
Black Rock Point,Black Rock Point,Q22560941,1,0,1,"peninsula in Muskoka District Municipality, Ontario, Canada",,Q34763,,
Black Rock Point,Black Rock Point,Q31880934,1,0,1,point in South Africa,,Q24529780,,
Black Rock Point,Black Rock Point,Q31832729,1,0,1,point in the Philippines,,Q24529780,,
Black Rock Point,Black Rock Point,Q21894277,1,0,1,point in Australia,,Q24529780,,
Black Rock Point,Black Rock Point,Q49467668,1,0,1,"cliff in Apache County, Arizona, United States",,Q107679,,
Black Rock Point,Black Rock Point,Q49014012,1,0,1,"mountain in New Mexico, United States of America",,Q8502,,
Black Rock Point,Black Rock Point Lighthouse,Q60294317,1,0,2,lighthouse in Honduras,,Q39715,,Black Rock Point Lighthouse
Black Rock Point,Black Rock Point light,Q28375742,1,0,2,"lighthouse in Nova Scotia, Canada",Black Rock Point lighthouse,Q39715,,
Tigani,Tigani,Q36897862,2,0,1,family name,,Q101352,,
Tigani,Romani people,Q8060,2,0,1,Indo-Aryan ethnic group,Roma|Romany|Rroma|Gipsies|Roma people|Gypsy|Gypsies|Tzigan|Romani|Gipsy|Rromani,Q41710|Q17150753,Q1267849,Romani people
Tigani,Tiganik,Q55271953,2,0,1,family name,,Q101352,,
Tigani,Tigani Parou,Q21693596,2,0,1,"islet off Paros, Greece",,Q207524,,
Tigani,Tigani,Q24896635,2,0,1,"islet near Katakolo, Elis, Greece",,Q207524,,
Tigani,Tigani,Q24896610,2,0,1,"cape in Kissamos municipality, Greece",,Q185113|Q34763,,
Tigani,Tigani,Q110390805,2,0,1,"islet near Agios Aimilianos, Argolis, Greece",,Q216851,,
Tigani,Tigani,Q84257721,2,0,1,ship built in 2017,,Q11446,,
Tigani,Tigania East Constituency,Q7801321,2,0,1,electoral district of Kenya,,Q47461453|Q55193935,,Tigania East Constituency
Tigani,Tigania West Constituency,Q7801319,2,0,1,Kenyan electoral constituency,,Q47461453|Q55193935,,Tigania West Constituency
Tigani,Tegani,Q137942883,2,0,2,family name,,Q101352,,
Tigani,Teganium,Q87233796,2,0,2,,,Q16521,,
Tigani,Teganissorens,Q7694672,2,0,2,Onondaga chief,Decanesora,Q5,,Teganissorens
Big Bay Point,Big Bay Point,Q49852812,3,0,1,"cape in Ashland County, Wisconsin, United States of America",,Q185113,,
Big Bay Point,Big Bay Point,Q22413323,3,0,1,"peninsula in Ontario, Canada",,Q34763,,
Big Bay Point,Big Bay Point,Q32840271,3,0,1,point in the United States of America,,Q24529780,,
Big Bay Point,Big Bay Point,Q34670504,3,0,1,"cape in Marquette County, Michigan, United States of America",,Q185113,,
Big Bay Point,Big Bay Point,Q115178067,3,0,1,"urban community in Innisfil, Ontario, Canada","Big Bay Point, Ontario",Q2989457,,
Big Bay Point,Big Bay Point Light,Q4905043,3,0,1,"lighthouse in Michigan, United States",Big Bay Point Lighthouse,Q3278565,,Big Bay Point Light
Big Bay Point,Big Bay Point,Q22941557,3,0,1,Wikimedia disambiguation page,,Q4167410,,
Cap Bon,Cap Bon,Q849879,4,0,1,cape in Tunisia,Cape Bon,Q185113,,Cape Bon
Cap Bon,Cap Bon,Q11927431,4,0,1,peninsula in Tunisia,Sharik Peninsula|Cape Bon,Q34763,,
Cap Bon,Cap-Bon-Ami,Q112836599,4,0,1,"administrative sector in Gaspé, Quebec, Canada",,Q28203007,,
Cap Bon,Cap Bon Lighthouse,Q39381917,4,0,1,lighthouse in Tunisia,Cape Bon lighthouse|Ra's at Tib Lighthouse,Q39715,,
Cap Bon,Gardiner,Q83583946,4,0,1,container ship built in 2003,IMO 9275048|P&O Nedlloyd Marita|Nedlloyd Marita|Cap Bonavista|BSL Cape Town,Q17210,,
Cap Bon,Cap Bon Ami Formation,Q17514268,4,0,1,"geologic formation in Quebec, Canada",,Q736917,,Cap Bon Ami Formation
Cap Bon,Cap Bon Espoir,Q34826593,4,0,1,cape in French Southern and Antarctic Lands,,Q185113,,
Cap Bon,Strait of Sicily,Q206975,4,0,1,strait in Italy and Tunisia,Stretto di Sicilia|Strait of Sicilia,Q37901,,Strait of Sicily
Cap Bon,Cape Bonavista,Q5034593,4,0,1,"peninsula in Newfoundland and Labrador, Canada",,Q34763,,Cape Bonavista
Cap Bon,Cape Bon Ami,Q2937001,4,0,1,"peninsula in Quebec, Canada",,Q34763,,
Cap Bon,Kennedy,Q7671785,4,0,2,American training vessel built in 1967,IMO 6621662|TS Kennedy|Velma Lykes|Cape Bon|Enterprise,Q660668,,TS Kennedy
Cap Bon,IMO 9260055,Q83631922,4,0,2,tanker built in 2003,Cape Bon|Vardar|Gratia|Garuda|Dorin,Q14970,,
Cap Bon,Cape Bonavista Light,Q5034596,4,0,2,"lighthouse in Newfoundland and Labrador, Canada",Cape Bonavista Lighthouse,Q39715,,Cape Bonavista Light
Cap Bon,Cape Bonny,Q83593417,4,0,2,ship built in 2005,IMO 9293131,Q11446,,
Cap Bon,Cape Djar,Q25093448,4,0,2,point in Indonesia,Tanjung Yar|Cape Bonpland,Q24529780,,
Cape Lazarev,Cape Lazarev,Q20670541,5,0,1,cape in Sevastopol,,Q185113,,"Cape Lazarev, Sevastopol"
Cape Lazarev,Cape Lazarev,Q4309480,5,0,1,Wikimedia disambiguation page,,Q4167410,,Cape Lazarev
Cap d'Agde,Cap d'Agde,Q996129,6,0,1,"human settlement in Agde, France",,Q486972,,Cap d'Agde
