data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
School Lane Public Conveniences,School Lane Public Conveniences,Q107357706,0,0,1,Public Conveniences in Llanfair Talhaiarn,,Q813966,,
School Lane Public Conveniences,School Lane Public Conveniences,Q107357972,0,0,1,Public Conveniences in Goetre Fawr,,Q813966,,
Conwy County Borough,Conwy County Borough,Q817971,0,1,1,principal area in north-east Wales,Bwrdeistref Sirol Conwy|County Borough of Conwy|Conwy,Q15979307,,Conwy County Borough
Conwy County Borough,Conwy County Borough Council,Q5166758,0,1,1,governing body for Conwy County Borough in Wales,,Q110416322,,Conwy County Borough Council
Conwy County Borough,Conwy County Borough Handbook,Q75364357,0,1,1,edition; published in 2000,,Q3331189,,
Conwy County Borough,Conwy County Borough Handbook,Q76545800,0,1,1,book (work),,Q47461344,,
Conwy County Borough,2017 Conwy County Borough Council election,Q55393174,0,1,1,2017 Welsh local government election,"Conwy County Borough Council election, 2017",Q40231,,2017 Conwy County Borough Council election
Conwy County Borough,2008 Conwy County Borough Council election,Q55608383,0,1,1,Local election in Wales,"Conwy County Borough Council election, 2008",Q40231,,2008 Conwy County Borough Council election
Conwy County Borough,Conwy County Borough Sports Council,Q140666433,0,1,1,"council in Conwy County Borough, Wales",,Q4358176,,
Station Road Public Conveniences,Station Road Public Conveniences,Q107357388,1,0,1,Public Conveniences in Llangelynin,,Q813966,,
Station Road Public Conveniences,Station Road Public Conveniences,Q107357496,1,0,1,Public Conveniences in Ystradgynlais,,Q813966,,
Station Road Public Conveniences,Station Road Public Conveniences,Q107357705,1,0,1,Public Conveniences in Llanfairfechan,,Q813966,,
Conwy County Borough,Conwy County Borough,Q817971,1,1,1,principal area in north-east Wales,Bwrdeistref Sirol Conwy|County Borough of Conwy|Conwy,Q15979307,,Conwy County Borough
Conwy County Borough,Conwy County Borough Council,Q5166758,1,1,1,governing body for Conwy County Borough in Wales,,Q110416322,,Conwy County Borough Council
Conwy County Borough,Conwy County Borough Handbook,Q75364357,1,1,1,edition; published in 2000,,Q3331189,,
Conwy County Borough,Conwy County Borough Handbook,Q76545800,1,1,1,book (work),,Q47461344,,
Conwy County Borough,2017 Conwy County Borough Council election,Q55393174,1,1,1,2017 Welsh local government election,"Conwy County Borough Council election, 2017",Q40231,,2017 Conwy County Borough Council election
Conwy County Borough,2008 Conwy County Borough Council election,Q55608383,1,1,1,Local election in Wales,"Conwy County Borough Council election, 2008",Q40231,,2008 Conwy County Borough Council election
Conwy County Borough,Conwy County Borough Sports Council,Q140666433,1,1,1,"council in Conwy County Borough, Wales",,Q4358176,,
