data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
real estate photographer,real estate photographer,Q123560808,0,0,1,an individual who practices photography as a profession and specializes in photographing real estate property,,Q28640,Q98084799|Q33231,
real estate photographer,photographer,Q33231,0,0,2,person who takes photographs,photog,Q12737077|Q108300140,Q3391743,Photographer
real estate photographer,Photographers' Identities Catalog,Q23892012,0,0,2,database on photographers and photography studios,PIC,Q35127|Q8513,,PIC (identifier)
real estate photographer,Photographers in the Netherlands,Q15880691,0,0,2,book by Steven Wachlin,"Photographers in the Netherlands : a survey of commercial photographers born before 1900 based on data from the Dutch population administration, city directories and newspapers|Wachlin 2011",Q13136,,
real estate photographer,war photographer,Q11496048,0,0,2,photographer documenting a war,photographer,Q28640,Q164236|Q957729,War photographer
real estate photographer,amateur photographer,Q21694268,0,0,2,someone who takes photos for passion,photographer,Q12737077,Q33231|Q455595,
real estate photographer,architectural photographer,Q3381574,0,0,2,photographer specialized on architecture,architecture photographer|photographer,Q28640|Q12737077,Q98084799,Architectural photographers
real estate photographer,portrait photographer,Q2544530,0,0,2,photographer specializing in portraits,studio photographer|photographer,Q28640,Q98084799|Q21178131,
real estate photographer,Photographer,Q135451922,0,0,2,2021 video game developed by 中年修仙,,Q7889,,
real estate photographer,sports photographer,Q51093656,0,0,2,person who takes photographs in the field of sports,photographer,Q28640,Q98084799|Q50995749,Sports photographer
real estate photographer,nature photographer,Q12368980,0,0,2,profession,photographer,Q28640,Q98084799,Nature photographer
media industry,media industry,Q56611639,0,2,1,"business model based on communicating information, art and entertainment to a large audience",media industries|mass media industry,Q136653105,Q97466012,
media industry,media industry studies,Q113128088,0,2,1,field of research,,Q11862829,Q11680831,
media industry,Media Industry Development Authority of Fiji,Q115517989,0,2,1,independent body that regulates media organizations and services in Fiji,,Q43229,,Media Industry Development Authority of Fiji
media industry,Media Industry Development Act 2010,Q117661701,0,2,1,Fijian law,,Q820655,,Media Industry Development Act 2010
media industry,The Media Industry Research Foundation of Finland,Q140351984,0,2,1,"nonprofit organization in Helsinki, Finland",Media Industry Research Foundation of Finland,Q163740,,
media industry,Media Industry Newsletter,Q108280079,0,2,1,periodical,,Q737498,,
media industry,Media Industry,Q130590868,0,2,1,,,Q43229,,
media industry,Media Industry Ownership Convergence and Anti-monopoly Regulation,Q119694829,0,2,1,,,Q13442814,,
media industry,Media Industry Convergence and Government Regulation Reform,Q119690150,0,2,1,,,Q13442814,,
media industry,Media Industry Regulation and Its Influence Upon Media Industry in China,Q120625073,0,2,1,"scholarly article in Journal of Northwest A&F University (Social Science Edition), no. 5, 2009",,Q13442814,,
media industry,real estate photography,Q123560844,0,2,2,photography genre denoting the activity of creating photographs of real estate properties,photography of real estate|real estate photo genre|real estate listing photography|property photography|residential real estate photography,Q3100808,Q12029910|Q1657850|Q2111747|Q635309|Q2029911,
media industry,Real Estate Photography: A Complete Guide,Q138573354,0,2,2,photography tutorial article by Dave Koch published on PetaPixel,,Q191067,,
media industry,photo industry,Q1439700,0,2,2,totality of the manufacturing companies and service providers in the field of photography,photography industry|photographic industry,Q268592,,
audio engineer,audio engineer,Q128124,1,0,1,"engineer who operates recording, mixing, sound reproduction equipment",recording engineer|sound producer|sound director|sound engineer|music engineer|musical engineer|first engineer,Q28640,Q81096,Audio engineer
audio engineer,audio technician,Q2442329,1,0,1,"technician who operates recording, mixing, sound reproduction equipment",sound technician|sound engineer|audio engineer|recording studio technician,Q28640,Q5352191|Q93922873,
audio engineer,acoustical engineer,Q48351128,1,0,1,profession,audio engineer|acoustic engineer,Q28640,Q81096|Q2267418,
audio engineer,sound engineering,Q15280872,1,0,1,"generic term for any technical apparatus of the conversion, editing, recording (storing) and playback of acoustic events (sound)",audio engineering|audio technology|sound technology,Q12015335,Q11023,
audio engineer,Audio Engineering Society,Q758847,1,0,1,organization of professional audio engineers,AES,Q43229|Q2178147|Q106760956,,Audio Engineering Society
audio engineer,acoustical engineering,Q859044,1,0,1,branch of engineering dealing with sound and vibration,acoustic engineering|audio engineering,,Q11023,Acoustical engineering
audio engineer,audio engineering award,Q107494655,1,0,1,type of award,award for audio engineering,Q107467117,Q107494101,
audio engineer,Simone Torres,Q124399995,1,0,1,"American vocal producer, engineer and artist","audio engineer, artist",Q5,,Simone Torres (music producer)
audio engineer,"Audio Engineering Society, Coarse-groove Calibration Discs",Q4819827,1,0,1,,,,,AES64
audio engineer,Audio Engineering,Q110139718,1,0,1,"magazine, 1947-1954",,Q41298,,
audio engineer,mixing engineer,Q6884071,1,0,2,person responsible for mixing the different sonic elements of a piece of recorded music into a final version of a song,mix engineer|mixer|music mixer|audio mixer,Q28640,Q128124,Mixing engineer
mixing engineer,mixing engineer,Q6884071,1,1,1,person responsible for mixing the different sonic elements of a piece of recorded music into a final version of a song,mix engineer|mixer|music mixer|audio mixer,Q28640,Q128124,Mixing engineer
mixing engineer,audio engineer,Q128124,1,1,2,"engineer who operates recording, mixing, sound reproduction equipment",recording engineer|sound producer|sound director|sound engineer|music engineer|musical engineer|first engineer,Q28640,Q81096,Audio engineer
mixing engineer,audio technician,Q2442329,1,1,2,"technician who operates recording, mixing, sound reproduction equipment",sound technician|sound engineer|audio engineer|recording studio technician,Q28640,Q5352191|Q93922873,
mixing engineer,acoustical engineer,Q48351128,1,1,2,profession,audio engineer|acoustic engineer,Q28640,Q81096|Q2267418,
