data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Nfw Town,Women's Institutes,Q2925762,0,0,2,voluntary women's organization,Women's Institute|WI|The WI|National Federation of Women's Institutes|NFWI|The National Federation of Women's Institutes,Q43229,,Women's Institute
Nfw Town,NFWC Building,Q52306687,0,0,2,"office building in Manila, Philippines",Josefa Llanes Escoda Memorial Building,Q41176,,
Nfw Town,National Liberation Front of South Vietnam,Q174423,0,0,2,revolutionary organization active in South Vietnam and Cambodia from 1960 to 1977,Vietcong|VC|National Liberation Front for South Vietnam|National Front for the Liberation of South Vietnam,Q1855859|Q7210356|Q20642011,,Viet Cong
Nfw Town,National Fish and Wildlife Foundation,Q1967223,0,0,2,organization,NFWF,Q163740,,National Fish and Wildlife Foundation
Nfw Town,National Federation of Women's Clubs of the Philippines,Q80569506,0,0,2,organization of women's clubs in the Philippines,National Federation of Women's Clubs|NFWC|NFWCP,Q1451906,,
Nfw Town,National Federation of Women Workers,Q55076574,0,0,2,British trade union for women workers,NFWW,Q178790|Q43229|Q1451906,,National Federation of Women Workers
Nfw Town,National Floral Workers Organization,Q108714972,0,0,2,Organization created by working women at the Kitayama plant in the 1960s to improve working conditions,NFWO,Q178790,,
Nfw Town,Naval Air Station Joint Reserve Base Fort Worth,Q3016367,0,0,2,"airport in Texas, United States of America",FWH|KNFW,Q1248784|Q695850,,Naval Air Station Joint Reserve Base Fort Worth
Nfw Town,NFW E.I,Q12755858,0,0,2,fighter aircraft,,Q15056995,Q135214932,NFW E.I
Nfw Town,NFW E.II,Q65119329,0,0,2,WWI German fighter aircraft,,,,NFW E.II
New Tpwn,New Town,Q14935638,1,0,2,"suburb of Hobart, Australia","New Town, Tasmania|New Town, Tasmania, Australia",Q188509|Q98433835,,"New Town, Tasmania"
New Tpwn,New Town,Q753219,1,0,2,quarter in the city of Prague in the Czech Republic,Nové Město,Q20871353|Q61089180|Q123705|Q7375052,,"New Town, Prague"
New Tpwn,New Town,Q590710,1,0,2,"central area of Edinburgh, Scotland, UK",Edinburgh New Town,Q123705|Q1074523,,"New Town, Edinburgh"
New Tpwn,New Town,Q17027486,1,0,2,album by Jandek,,Q482994,,New Town (Jandek album)
New Tpwn,new town,Q65241205,1,0,2,"type of new, usually self-sufficient settlement, with a planned urban center created in an undeveloped or rural area, especially with government sponsorship",New towns,,Q11480697|Q1074523|Q11503991|Q486972,
New Tpwn,new town (UK),Q10270157,1,0,2,proposed town in the United Kingdom following the Second World War,new town in the United Kingdom|new town (United Kingdom)|new towns in the United Kingdom,,Q65241205|Q1074523,New towns in the United Kingdom
New Tpwn,New Town,Q2310050,1,0,2,"city in North Dakota, United States","New Town, North Dakota|New Town, ND",Q1093829,,"New Town, North Dakota"
New Tpwn,New Town,Q26236372,1,0,2,"town in West Bengal, India","New Town, Kolkata|Rajarhat New Town|Rajarhat Township|Rajarhat",Q3957|Q691960|Q1074523|Q65241205,,"New Town, Kolkata"
New Tpwn,Nubieber,Q6046168,1,0,2,"census-designated place in Lassen County, California","Nubieber, California|Nubieber, CA|New Town",Q498162|Q17343829,,"Nubieber, California"
New Tpwn,New Town,Q28942213,1,0,2,locality in South Australia,"New Town, South Australia|New Town, South Australia, Australia",Q3257686,,"New Town, South Australia"
New Tpwn,New Township Palwal Sub Post Office,Q69678697,1,0,2,,,Q61443650,,
New Tpwn,New Township Talents in New Rural Construction: Value and Limitation,Q120420474,1,0,2,"scholarly article in Journal of Guangxi University (Philosophy and Social Science), no. 6, 2018",,Q13442814,,
The Lng,The LNG-IUS study on adenomyosis: a 3-year follow-up study on the efficacy and side effects of the use of levonorgestrel intrauterine system for the treatment of dysmenorrhea associated with adenomyosis,Q34934632,2,0,1,scientific article,,Q13442814,,
The Lng,The Longest Journey,Q918194,2,0,2,1999 video game,,Q7889,,The Longest Journey (video game)
The Lng,The Longest Road on Earth,Q110678158,2,0,2,2021 video game,,Q7889,,
The Lng,The Longing,Q87003515,2,0,2,2020 adventure video game developed by Studio Seufz,:THE LONGING:,Q7889,,The Longing
The Lng,The Long Journey Home,Q29956078,2,0,2,2017 video game,,Q7889,,The Long Journey Home (video game)
The Lng,The Long Reach,Q88890625,2,0,2,2018 video game,,Q7889,,
The Lng,The Long Run,Q2568147,2,0,2,1979 studio album by Eagles,,Q482994,,The Long Run (album)
