data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Sa Riera,Sa Riera,Q3067112,0,0,1,"human settlement in Begur, Baix Empordà, Comarques Gironines, Spain",,Q3055118,,Sa Riera
Sa Riera,La Riera,Q9089084,0,0,1,watercourse in Palma (Spain),,Q355304,,
Sa Riera,Torrent de Biniatró,Q11952495,0,0,1,watercourse in Escorca (Mallorca),,Q1437299,,
Sa Riera,Sa Riera i Cala Begur,Q27538468,0,0,1,"artwork by Joan Llaverias, Vilanova i la Geltrú, 1865 – Lloret de Mar, 1938 (1900)",,Q3305213,,
Sa Riera,Sa Riera,Q11946536,0,0,1,Wikimedia disambiguation page,,Q4167410,,
Monells,Monells,Q3920536,1,0,1,"village in Catalonia, Spain",,Q3055118|Q130261443,,Monells
Monells,Monells,Q67151385,1,0,1,Populated place in Vilademuls (Pla de l'Estany),,Q11939023,,
Monells,Monells,Q73417115,1,0,1,"building in Sant Bartomeu del Grau (Osona, Catalonia)",,Q585956,,
Monells,Monells,Q128940760,1,0,1,former municipality in Catalonia,,Q8776398|Q19730508,,
Monells,Monells,Q115990871,1,0,1,sardana by Josep Masó i Quer,,Q105543609,,
Monells,Monells i Sant Sadurní Cruïlles results in 2021 Catalan parliamentary election,Q105515521,1,0,1,Municipal electoral results,,Q19571328,,
Monells,Monells i Sant Sadurní Cruïlles results in 2017 Catalan parliamentary election,Q105481564,1,0,1,Municipal electoral results,,Q19571328,,
Monells,Castell de Monells,Q18003854,1,0,1,"cultural property in Cruïlles, Monells i Sant Sadurní de l'Heura, Spain",,Q1408475,,
Monells,Monells Christophe,Q130665756,1,0,1,,,Q43229,,
Jonqueres,Jonquères,Q51178688,2,0,1,family name,Jonquères (family name)|Jonquères (surname),Q101352,,
Jonqueres,Jonqueres,Q67150274,2,0,1,Populated place in Maià de Montcal (Garrotxa),,Q3055118,,
Jonqueres,Jonqueres de la rerapineda de Gavà,Q20106649,2,0,1,,,Q170321,,
Jonqueres,Monestir de Jonqueres,Q3354707,2,0,1,,,Q96353874,,
Jonqueres,Casa-fàbrica Vermell-Martí,Q119441046,2,0,1,,,Q11755880|Q83405,,
Jonqueres,Grave of Jonquères-Dujat,Q112328826,2,0,1,,,Q173387,,
Jonqueres,Jonqueres Villeclare,Q132055825,2,0,1,,,Q43229,,
Jonqueres,Jonqueres d'Oriola Vignobles,Q132055824,2,0,1,,,Q43229,,
Jonqueres,Jonqueres,Q11928261,2,0,1,Wikimedia disambiguation page,,Q4167410,,
Pumares,Pumares,Q105133270,3,0,1,"hamlet in Santalla, Spain",,Q5084|Q3055118,,
Pumares,Pumares,Q124672595,3,0,1,,,Q5756064,,
Pumares,Pumares,Q123223543,3,0,1,family name,,Q101352,,
Pumares,Pumares,Q12398308,3,0,1,"human settlement in Allariz, Ourense Province, Galicia, Spain",,Q20541692,,
Pumares,Pumares,Q12398307,3,0,1,"human settlement in Baños de Molgas, Ourense Province, Galicia, Spain",,Q20541692,,
Pumares,Pumares,Q115769797,3,0,1,,"Pumares, Brosmos, Sober",Q20541692,,
Pumares,Pumares,Q115930031,3,0,1,,"Pumares, Taboada dos Freires, Taboada",Q20541692,,
Pumares,Pumares,Q113123225,3,0,1,,"Pumares, Arcillá, Cospeito",Q20541692,,
Pumares,Pumares,Q116450765,3,0,1,,"Pumares, Ribela, A Estrada",Q20541692,,
Pumares,Pumares Reservoir,Q130283782,3,0,1,,Pumares Dam,Q131681,,
La Tallada,La Tallada,Q11930838,4,0,1,"human settlement in Sant Guim de Freixenet, Segarra, Ponent, Spain",,Q3055118|Q130261443,,
La Tallada,La Tallada d'Empordà,Q13571,4,0,1,"municipality in Catalonia, Spain",,Q33146843,,La Tallada d'Empordà
