data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Smythesdale,Smythesdale,Q7546777,0,0,1,"town in Victoria, Australia","Smythesdale, Victoria|Smythesdale, Victoria, Australia",Q3957,,Smythesdale
Smythesdale,Smythesdale,Q28930860,0,0,1,"parish in Golden Plains Shire, Victoria, Australia",,Q28930084,,
Smythesdale,SMYTHESDALE,Q123661151,0,0,1,"weather station in Victoria, Australia from 1905 to 1975",089028,Q190107,,
Smythesdale,Smythesdale,Q28933204,0,0,1,"railway station in Golden Plains Shire, Victoria, Australia",Smythesdale railway station,Q55488,,
Smythesdale,Smythesdale Court House,Q56051731,0,0,1,"heritage-listed former court house in Smythesdale, Victoria, Australia",Smythesdale Courthouse,Q1137809,,
Smythesdale,Smythesdale H15 B.R. Natural Features Reserve,Q139749053,0,0,1,"natural features reserve in Victoria, Australia",Smythesdale H15 B.R.,Q62059246,,
Smythesdale,Smythesdale Police Station,Q28926953,0,0,1,"police station in Golden Plains Shire, Victoria, Australia",,Q861951,,
Smythesdale,Smythesdale H16 B.R. Natural Features Reserve,Q139744966,0,0,1,"natural features reserve in Victoria, Australia",Smythesdale H16 B.R.,Q62059246,,
Smythesdale,Smythesdale Bulldogs,Q112816444,0,0,1,Australian rules football club,Smythesdale Bulldogs Football Club,Q17374546,,
Smythesdale,Smythesdale SS.R. Natural Features Reserve,Q139753892,0,0,1,"natural features reserve in Victoria, Australia",Smythesdale SS.R.,Q62059246,,
Smithtown,Smithtown,Q1594054,1,0,1,"town in Suffolk County, New York, United States","Smithtown, New York|Smithtown, NY",Q15127012|Q106071004,,"Smithtown, New York"
Smithtown,Smithtown,Q7545647,1,0,1,"railway station in Smithtown, the United States of America",,Q55488,,Smithtown station
Smithtown,Smithtown,Q3460011,1,0,1,"census-designated place in Suffolk County, New York","Smithtown (CDP), New York|Smithtown, New York|Smithtown, NY",Q498162|Q17343829,,"Smithtown (CDP), New York"
Smithtown,Smithtown,Q7545643,1,0,1,"town in New South Wales, Australia","Smithtown, New South Wales|Smithtown, New South Wales, Australia",Q3957|Q3257686,,"Smithtown, New South Wales"
Smithtown,Smithtown,Q7545649,1,0,1,"unincorporated community in Yadkin County, North Carolina","Smithtown, NC",Q17343829,,"Smithtown, North Carolina"
Smithtown,Smithtown,Q7545644,1,0,1,"unincorporated community in Monongalia County, West Virginia","Smithtown, West Virginia|Smithtown, WV",Q17343829,,"Smithtown, West Virginia"
Smithtown,Smithtown,Q136210980,1,0,1,"unincorporated community in Bucks County, Pennsylvania","Smithtown, Pennsylvania",Q17343829,,
Smithtown,Smithtown,Q112464207,1,0,1,"human settlement in New Brunswick, Canada",,Q486972,,
Smithtown,Smithtown Special Library District,Q69486937,1,0,1,"public library system in New York, USA",,Q26271642,,
Smithtown,Smithtown - Gladstone,Q31202401,1,0,1,"Bounded Locality area in New South Wales, Australia",,Q82794,,
Smiths Gully,Smiths Gully,Q7545571,2,0,1,"town in Victoria, Australia","Smiths Gully, Victoria|Smiths Gully, Victoria, Australia",Q3957,,Smiths Gully
Smiths Gully,Smiths Gully,Q49343342,2,0,1,"valley in the Wellington Region, New Zealand",,Q39816,,
