data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Constantius,Constantius,Q21144112,0,0,1,male given name,Constantius (given name)|Constantius (first name),Q12308941,,
Constantius,Constantius,Q112945880,0,0,1,ancient Roman cognomen,,Q140389146,,
Constantius,Constantius,Q97727422,0,0,1,bishop of the Roman Catholic Diocese of Octodurus,,Q5,,
Constantius,Constantius II,Q46418,0,0,1,Roman emperor (317-361),Flavius Julius Constantius|Constantius the Apostate|Flavius Julius Constantius Augustus|Flavius Iulius Constantius|Constantius II of Rome|Fl. Iulius Constantius|Fl. Julius Constantius,Q5,,Constantius II
Constantius,Constantius,Q3695647,0,0,1,Christian saint and supposed 3rd-century Roman soldier,,Q5,,Constantius (Theban Legion)
Constantius,Constantius,Q26197081,0,0,1,Christian saint and martyr,,Q5,,
Constantius,Constantius,Q45187956,0,0,1,dictionary entry,,Q1580166,,
Constantius,Constantius 1 (Pauly-Wissowa),Q19994751,0,0,1,encyclopedic article in Paulys Realencyclopädie der classischen Altertumswissenschaft (RE),,Q13433827,,
Constantius,Constantius 3 (Pauly-Wissowa),Q19994753,0,0,1,encyclopedic article in Paulys Realencyclopädie der classischen Altertumswissenschaft (RE),,Q13433827,,
Constantius,Constantius 5 (Pauly-Wissowa),Q19994755,0,0,1,encyclopedic article in Paulys Realencyclopädie der classischen Altertumswissenschaft (RE),,Q13433827,,
Constantius,Constantius I of Constantinople,Q597625,0,0,2,Ecumenical Patriarch of Constantinople,Constantius I,Q5,,Constantius I of Constantinople
Constantius,Constantius III,Q201905,0,0,2,Western Roman Emperor (370-421),Flavius Constantius,Q5,,Constantius III
Constantius,Konstantios II de Constantinoble,Q2242201,0,0,2,ecumenical Patriarch of Constantinople from 1834 to 1835,Constantius II,Q5,,Constantius II of Constantinople
Constantius,Constantius I. von Chur (ADB),Q27571530,0,0,2,entry in the Allgemeine Deutsche Biographie,,Q19389637,,
Constantius,Constantius Chlorus,Q131195,0,0,2,Roman emperor (250-306),Flavius Valerius Constantius|Herculius|Flavius Constantius|Marcus Flavius Valerius Constantius|Gaius Flavius Valerius Constantius|Chlorus,Q5,,Constantius Chlorus
Constantius,Constantius II's Suebo-Sarmatian campaign,Q3651757,0,0,2,358 military campaign,,Q831663,,
Constantius,Constantius II's Siege of Bezabde,Q4337359,0,0,2,CE 360 siege of the Bezabde in Zabdicene,,Q188055,,Constantius II's siege of Bezabde
Constantius,Constantius I. von Chur,Q55132885,0,0,2,,,Q5,,
Constantius,"Constantius II., son of Constantius the Great",Q120200536,0,0,2,article in the Dictionary of Christian Biography and Literature to the End of the Sixth Century,,Q13433827,,
Constantius,Constantine III,Q209793,0,0,2,Western Roman Emperor from 407 to 411,Flavius Claudius Constantinus|Constantinus III,Q5,,Constantine III (Western Roman emperor)
Constantius,Constantius II und die Bürgerkriege in Pannonien (350–351 n.Chr.),Q73249717,0,0,2,scientific article published in December 2017,,Q13442814,,
Bootes,Boötes,Q8667,1,0,1,constellation in the northern celestial hemisphere,Boötis|Boo,Q8928,,Boötes
Bootes,Bootes,Q37285121,1,0,1,family name,,Q101352,,
Bootes,Philomelus,Q1128685,1,0,1,ancient Greek deity,Philomenus|Bootes,Q22989102|Q23015925,,Philomelus
Bootes,Spanish boot,Q653096,1,0,1,instruments of torture and interrogation designed to cause crushing injuries to the foot and/or leg,bootes|bootikins|boot,Q933870,,Boot (torture)
Bootes,Boötes,Q135453588,1,0,1,2024 video game developed by HEAD GMZ,,Q7889,,
Bootes,Bootes 1 (Pauly-Wissowa),Q19994123,1,0,1,encyclopedic article in Paulys Realencyclopädie der classischen Altertumswissenschaft (RE),,Q13433827,,
Bootes,Boötes,Q105169100,1,0,1,chapter of 1907 book,,Q1980247,,
Bootes,Bootes 2 (Pauly-Wissowa),Q19994125,1,0,1,encyclopedic article in Paulys Realencyclopädie der classischen Altertumswissenschaft (RE),,Q13433827,,
Bootes,Boötes,Q105169169,1,0,1,1911 version of chapter,,Q3331189|Q1980247,,
Bootes,Boötes I,Q46037,1,0,1,galaxy,,Q318,,Boötes I
St. Nicholas,Santa Claus,Q315796,2,0,1,legendary figure said to deliver gifts to people on Christmas Eve,Sancte Claus|San Nicolás|San Nick|Papá Noel|Saint Nicholas|St. Nicholas|Saint Nick|St. Nick|Santy Claus|Kris Kringle|Santaclaus|Father Christmas|St. a Claus|St.a Claus|Santaclaw|Santeclaus|Santa|Old Saint Nick|Santie Claws,Q113371917|Q6567237|Q4271324|Q4686758|Q15773347|Q1114461|Q15711870|Q3658341|Q80447738|Q15632617|Q15773317|Q25810847,,Santa Claus
St. Nicholas,St. Nicholas Magazine,Q7590838,2,0,1,American children's magazine,St. Nicholas,Q41298,,St. Nicholas (magazine)
St. Nicholas,St. Nicholas,Q109951155,2,0,1,"Vol. 41, Part 1, Number 1",,Q1238720|Q13196193|Q28869365,,
St. Nicholas,St. Nicholas,Q110027083,2,0,1,"Vol. 41, Number 2",,Q1238720|Q13196193|Q28869365,,
St. Nicholas,St. Nicholas,Q110110683,2,0,1,"Vol. 41, Number 5",,Q1238720|Q13196193|Q28869365,,
St. Nicholas,St Nicholas,Q7590820,2,0,1,"village in the Vale of Glamorgan, Wales",Sain Nicolas|St. Nicholas,Q532,,"St Nicholas, Vale of Glamorgan"
St. Nicholas,St. Nicholas,Q12293209,2,0,1,church in Bulgaria,,Q16970|Q35032,,
St. Nicholas,St. Nicholas,Q110048654,2,0,1,"Vol. 41, Number 3",,Q1238720|Q13196193|Q28869365,,
St. Nicholas,St. Nicholas,Q110278907,2,0,1,"Vol. 10, Nov. 1882-Oct. 1883",,Q1238720|Q148958,,
St. Nicholas,St. Nicholas,Q110278984,2,0,1,"Vol. 12, Nov. 1884-Oct. 1885",,Q1238720|Q148958,,
St. Nicholas,St. Nicholas of Myra,Q116953067,2,0,2,,St. Nicholas of Bari,Q3305213,,
St. Nicholas,"St. Nicholas of Myra Cathedral, Lungro",Q23039109,2,0,2,"church in Lungro, Italy",,Q2977,,"St. Nicholas of Myra Cathedral, Lungro"
St. Nicholas,St. Nicholas of Myra Church,Q3936282,2,0,2,"church building in Manhattan, United States of America",,Q16970,,St. Nicholas of Myra Church (Manhattan)
St. Nicholas,Church of St Nicholas,Q17527973,2,0,2,"church in South Ockendon, Essex, England, UK","St. Nicholas of Myra, South Ockendon|St Nicholas' Church, South Ockendon",Q16970,,"St Nicholas of Myra, South Ockendon"
St. Nicholas,St. Nicholas of Myra and Scenes from His Life,Q79358706,2,0,2,painting by Unknown,,Q3305213,,
St. Nicholas,"St. Nicholas of Myra, Byzantine Catholic Church (North Star, Anchorage, Alaska)",Q138819471,2,0,2,,,Q16970,,
St. Nicholas,St. Nicholas of Myra Church in Cenad,Q20438260,2,0,2,"Serbian orthodox church in Cenad, Romania",,Q16970,,
St. Nicholas,"St. Nicholas of Myra Church, Bolsheohtinskoe cemetery",Q125753256,2,0,2,,,Q2319498|Q16970,,
St. Nicholas,Saint Nicholas of Bari,Q3947722,2,0,2,"painting by Carlo Crivelli (Italian, 1430/35-1495) (1952.111)",,Q3305213,,
St. Nicholas,Saint Nicholas of Bari,Q106620604,2,0,2,painting by Mattia Preti,,Q3305213,,Saint Nicholas (Preti)
St. Nicholas,Saint Nicholas of Bari,Q28094525,2,0,2,painting by Andrea da Firenze,,Q3305213,,
St. Nicholas,Saint Nicholas of Bari,Q20187265,2,0,2,painting by Pietro di Giovanni d'Ambrogio,,Q3305213,,
St. Nicholas,Saint Nicholas of Bari,Q113826981,2,0,2,painting by Francisco de Zurbarán,,Q3305213,,
St. Nicholas,Saint Nicholas of Bari,Q106864623,2,0,2,painting Workshop of Filippo Lippi,,Q3305213,,
St. Nicholas,Saint Nicholas of Bari,Q128096530,2,0,2,painting by Andrea di Bonaiuto,,Q3305213,,
St. Nicholas,Saint Nicholas of Bari,Q118680509,2,0,2,"painting by Italian (Florentine) School, Christ Church, University of Oxford",,Q3305213,,
St. Nicholas,Saint Nicholas of Bari,Q139411946,2,0,2,painting by David Teniers the Younger after Tintoretto (Jacopo Robusti),,Q3305213,,
St. Nicholas,"Saint Nicholas of Bari, John the Baptist and Philip",Q30093959,2,0,2,painting by Rocco Marconi,,Q3305213,,
Severus,Septimius Severus,Q1442,3,0,1,Roman emperor from 193 to 211,"Septimius, Emperor of Rome Severus|Lucius Septimius Severus Emperor of Rome|Lucius Septimius, Emperor of Rome Severus|Lucius Septimius Severus Pertinax|Severus|Lucius Septimius Severus Pius Pertinax Augustus Arabicus Adiabenicus|L. Septimius Severus",Q5,,Septimius Severus
Severus,Severus,Q131939812,3,0,1,pseudonym of Wilhelm Ruess,"Severus, Wilhelm|Ruess, Wilhelm",Q5|Q61002,,
Severus,Severus,Q133462390,3,0,1,"Roman senator, legatus Augusti pro praetore Ponti et Bithyniae 183-186 AD",,Q5,,
Severus,Severus Snape,Q176772,3,0,1,fictional character in the Harry Potter series,Half-Blood Prince|Snape|Professor Snape,Q15298259|Q3658341|Q15773347|Q33297169|Q66118879|Q3375722,,Severus Snape
Severus,Severus,Q46814,3,0,1,early 4th century Roman emperor,Flavius Valerius Severus|Severus II,Q5,,Severus II
Severus,Severus,Q64667626,3,0,1,ancient Roman cognomen,,Q140389146,,
Severus,Christoph Ernst Friedrich Weyse,Q707924,3,0,1,Danish composer,C. E. F. Weyse|Severus S.,Q5,,Christoph Ernst Friedrich Weyse
Severus,Severus,Q61826297,3,0,1,male given name,Severus (given name),Q12308941,,
Severus,Severus,Q2275361,3,0,1,Bishop of Prague,Severus of Prague,Q5,,
Severus,Severus,Q65560336,3,0,1,family name,,Q101352,,
Severus,Severus Snape and the Marauders,Q28146833,3,0,2,2016 short film by Justin Zagri,Harry Potter Fan Film|The Marauders,Q24862,,Severus Snape and the Marauders
Severus,Severus Alexander,Q1769,3,0,2,Roman Emperor (208-235),Marcus Aurelius Severus Alexander|Alexianus Bassianus|Alexander Severus|Alexander Mammaeae|Alexander of Mammaea|Alexianus|Marcus Aurelius Severus Alexianus,Q5,,Severus Alexander
Severus,Alexander Severus,Q87775489,3,0,2,part of Historia Augusta,Severus Alexander|Sev. Alex,Q7725634,,
King Arthur,King Arthur,Q1428601,4,0,1,semi-opera by John Dryden and Henry Purcell,"King Arthur, or the British Worthy",Q58483083,,King Arthur (opera)
King Arthur,King Arthur,Q16259729,4,0,1,2004 video game,,Q7889,,King Arthur (video game)
King Arthur,King Arthur,Q45792,4,0,1,legendary British leader of the late 5th and early 6th centuries,Arthur Pendragon,Q4271324|Q21070568|Q124710051,,King Arthur
King Arthur,King Arthur: The Role-Playing Wargame,Q1108806,4,0,1,2009 video game,King Arthur,Q7889,,King Arthur: The Role-Playing Wargame
King Arthur,King Arthur,Q337090,4,0,1,2004 film directed by Antoine Fuqua,,Q11424,,King Arthur (2004 film)
King Arthur,King Arthur,Q2864960,4,0,1,character from the Kaamelott TV series,,Q15773317|Q15632617|Q15773347,,
