data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Olot,Olot,Q12618,0,0,1,"capital of the comarca of the Garrotxa, in the province of Girona, Catalonia, Spain",,Q33146843,,Olot
Olot,Olot,Q23994114,0,0,1,"capital town of the municipality of Olot, Spain",,Q3055118|Q130261443|Q121289819,,
Olot,Olotelus,Q4353437,0,0,1,genus of insects,,Q16521,,
Olot,Olot,Q23932007,0,0,1,painting by Ignasi Mallol,,Q3305213,,
Olot,Ollot,Q19729887,0,0,1,"village in North Bolaang Mongondow Regency, North Sulawesi, Indonesia",,Q26211545,,
Olot,Oirats,Q689831,0,0,1,westernmost group of Mongols,Eleuths|Ölöte|Dzungars|Eluts|Elut Mongols|Elut Tartars|Oirat Mongols|Eluths|Oyrots|Oiratia|Oiratistan|Oiratian,Q41710,Q10588098,Oirats
Olot,Olots,Q15145787,0,0,1,ethnic subgroup of the mongolian Oirats,Ölöts|Ööld|Euleut,Q41710,Q689831,Olot people
Olot,Olot school,Q639605,0,0,1,Catalan painting movement,Escola d'Olot|Escola paisatgística d'Olot,Q3326867,,Olot school
Olot,Olot,Q3351545,0,0,1,,Ööld,Q33384,Q56959,
Olot,Olot,Q116014619,0,0,1,sardana by Pere Mercader i Andreu,,Q105543609,,
Sant Ramon,Sant Ramon,Q1917568,1,0,1,"human settlement in Segarra, Ponent, Lleida Province, Spain",,Q33146843,,Sant Ramon
Sant Ramon,Sant Ramon,Q126493380,1,0,1,"innhabited place in Sant Ramon, Spain",,Q3055118|Q121289819,,
Sant Ramon,Sant Ramon,Q21748964,1,0,1,"building in Constantí (Tarragonès, Catalonia)",,Q585956,,
Sant Ramon,Sant Ramon,Q73282572,1,0,1,"Historic building in el Pla de Santa Maria (Alt Camp, Catalonia)",,Q16970|Q56750657,,
Sant Ramon,Sant Ramon,Q115509554,1,0,1,"triangulation station in Viladecans, Spain",,Q131862,,
Sant Ramon,Sant Ramon de Portell,Q11947361,1,0,1,"church building in Sant Ramon, Spain",,Q16970,,
Sant Ramon,Sant Ramon d'Ermedàs,Q18007317,1,0,1,"church building in Palafrugell, Spain",,Q16970,,
Sant Ramon,Sant Ramon del Portet,Q19257327,1,0,1,"church building in Vallcebre, Spain",,Q16970,,
Sant Ramon,Sant Ramon de Casa Ramonet,Q11947360,1,0,1,"church building in Pallars Sobirà, Spain",,Q16970,,
Sant Ramon,Sant Ramon de Vic,Q47171375,1,0,1,"church building in Vic, Spain",,Q16970,,
Montmajor,Montmajor,Q15522,2,0,1,"municipality in Catalonia, Spain",,Q33146843,,Montmajor
Montmajor,Montmajor,Q11937479,2,0,1,mountain in Spain,El Montmajor,Q8502,,El Montmajor
Montmajor,Montmajor,Q23994260,2,0,1,human settlement in Spain,,Q3055118|Q121289819|Q130261443,,
Montmajor,Montmajor,Q110164922,2,0,1,,,Q11939023,,
Montmajor,Saint-Florent-sur-Auzonnet,Q859709,2,0,1,"commune in Gard, France",Mont-Mayard|Montmajord|Saint-Florent|Sent Florenç d'Ausona,Q484170,,Saint-Florent-sur-Auzonnet
Montmajor,Montmajor results in 2017 Catalan parliamentary election,Q105481835,2,0,1,Municipal electoral results,,Q19571328,,
Montmajor,Montmajor results in 2021 Catalan parliamentary election,Q105514851,2,0,1,Municipal electoral results,,Q19571328,,
Montmajor,flag of Montmajor,Q11907906,2,0,1,,Montmajor flag,Q21850100,,
Montmajor,Montmajor town hall,Q126826387,2,0,1,"municipal building in Montmajor, Spain",,Q112793351,,
Montmajor,Montmajor city council,Q126482651,2,0,1,,,Q22996476,,
Porqueres,Porqueres,Q19366712,3,0,1,"human settlement in Vilamalla, Alt Empordà, Comarques Gironines, Spain",,Q3055118|Q130261443,,
Porqueres,Porqueres,Q85206153,3,0,1,family name,,Q101352,,
Porqueres,Porqueres,Q13607,3,0,1,Spanish municipality,,Q33146843,,Porqueres
Porqueres,Porqueres,Q115990504,3,0,1,sardana by Joan Duran i Boix,,Q105543609,,
Porqueres,Porqueres city councillor,Q60301275,3,0,1,,,Q294414,Q708492,
Porqueres,Porqueres City Council,Q60301333,3,0,1,,,Q22996476,,
Porqueres,Porqueres results in 2021 Catalan parliamentary election,Q105515360,3,0,1,Municipal electoral results,,Q19571328,,
Porqueres,Porqueres results in 2017 Catalan parliamentary election,Q105482337,3,0,1,Municipal electoral results,,Q19571328,,
Porqueres,Porqueres town hall,Q42617587,3,0,1,"municipal building in Porqueres, Pla de l'Estany, Catalonia",Porqueres Town Hall,Q112793351,,
Porqueres,"Porqueres, Camí del Roc",Q117751968,3,0,1,,,Q811430,,
Porqueres,Porquerolles,Q975080,3,0,2,"island in Hyères, France",,Q23442|Q64953083,,Porquerolles
Porqueres,phare de Porquerolles,Q3378564,3,0,2,"lighthouse in Var, France",phare du cap d'Arme|Porquerolles Lighthouse|Phare du cap d'Arme,Q39715,,
Porqueres,Porquerolles,Q77932327,3,0,2,painting by Albert Marquet,,Q3305213,,
Porqueres,Porquerolles lifeboat station,Q98843945,3,0,2,French sea rescue station,,Q98820215|Q43229,,
Porqueres,swineherd,Q7658473,3,0,2,"person who tends, feeds, or guards herds of pigs",pig herder,Q12737077,Q12059906,Swineherd
Porqueres,Porquerolles Abbey,Q16068832,3,0,2,"abbey located in Var, in France",,Q44613,,
Porqueres,Porquerolles weather station,Q117883076,3,0,2,"weather station located in Var, in France",,Q190107,,
Porqueres,The Swineherd,Q20879032,3,0,2,painting by Paul Gauguin,,Q3305213,,
Porqueres,Porquerolles,Q98392819,3,0,2,painting by Albert Marquet,,Q3305213,,
Porqueres,Porquerolles-Landschaft mit Fremdenlegionären,Q131585556,3,0,2,painting by Paul Basilius Barth,,Q3305213,,
Lloret de Mar,Lloret de Mar,Q12977,4,0,1,"town in Catalonia, Spain",,Q33146843,,Lloret de Mar
Lloret de Mar,Lloret de Mar,Q23995225,4,0,1,"capital town of the municipality of Lloret de Mar, Spain",,Q3055118|Q130261443|Q121289819,,
Lloret de Mar,Lloret de Mar,Q134455089,4,0,1,2024 single by Mata,,Q134556,,
Lloret de Mar,Lloret de Mar,Q115993024,4,0,1,sardana by Josep Masó i Quer,,Q105543609,,
Lloret de Mar,Lloret de Mar,Q115975017,4,0,1,sardana by Artur Rimbau i Clos,,Q105543609,,
Lloret de Mar,Lloret de Mar,Q115985428,4,0,1,sardana by Francesc Basil i Oliveras,,Q105543609,,
Lloret de Mar,Lloret de Mar Cemetery,Q1457368,4,0,1,cemetery,,Q39614,,
Lloret de Mar,"Lloret de Mar, from Fotografias de los Anõs 40, Volumen I",Q106577372,4,0,1,photograph by Joaquim Gomis 1989.037c,,Q125191,,
Lloret de Mar,"Lloret de Mar, from Fotografias de los Anõs 40, Volumen I",Q103304660,4,0,1,photograph by Joaquim Gomis,,Q125191,,
Lloret de Mar,Lloret de Mar results in 2017 Catalan parliamentary election,Q105482513,4,0,1,Municipal electoral results,,Q19571328,,
Pardines,Pardines,Q272765,5,0,1,"commune in Puy-de-Dôme, France",,Q484170,,"Pardines, Puy-de-Dôme"
Pardines,Pardines,Q12294,5,0,1,"municipality in the comarca of Ripollès, province of Girona, Catalonia, Spain",,Q33146843,,"Pardines, Spain"
Pardines,Pardines,Q126488547,5,0,1,"innhabited place in Pardinas, Spain",,Q3055118|Q130261443|Q121289819,,
Pardines,Pardines,Q110905073,5,0,1,family name,,Q101352,,
Pardines,Pardines,Q115996359,5,0,1,sardana by Josep Masó i Quer,,Q105543609,,
Pardines,Pardines results in 2017 Catalan parliamentary election,Q105482408,5,0,1,Municipal electoral results,,Q19571328,,
Pardines,Pardines City Council,Q100884019,5,0,1,local government,,Q22996476,,
Pardines,Pardines results in 2021 Catalan parliamentary election,Q105515348,5,0,1,Municipal electoral results,,Q19571328,,
Pardines,flag of Pardines,Q20104197,5,0,1,,Pardines flag,Q21850100,,
Pardines,Pardines town hall,Q126826820,5,0,1,"municipal building in Pardines, Spain",Pardinas town hall,Q112793351,,
Cubells,Cubells,Q106400595,6,0,1,family name,,Q101352,,
Cubells,Cubells,Q24013025,6,0,1,"capital of Cubells Municipality, Spain",,Q3055118|Q121289819|Q130261443,,
Cubells,Cubells,Q1769656,6,0,1,"village in Lleida, Catalonia, Spain",,Q33146843,,Cubells
Cubells,Cubells,Q47179515,6,0,1,"masia in Espinelves (Osona, Catalonia)",,Q585956,,
Cubells,Master of Cubélls,Q21995244,6,0,1,"Spanish artist, active 1374-1405",Master of Cubells|Cubélls Master,Q5|Q1747829,,
Cubells,Cubells results in 2021 Catalan parliamentary election,Q105516133,6,0,1,Municipal electoral results,,Q19571328,,
Cubells,Cubells results in 2017 Catalan parliamentary election,Q105482128,6,0,1,Municipal electoral results,,Q19571328,,
Cubells,Cubells city council,Q126483068,6,0,1,,,Q22996476,,
Cubells,"Cubells y Ruiz, Enrique Martínez",Q104038519,6,0,1,encyclopedia article,,Q13433827,,
Cubells,"Cubells, Jaime or Jaume",Q104038518,6,0,1,encyclopedia article,,Q13433827,,
