data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
SWIRE J104601.78+590916.9,SWIRE J104601.78+590916.9,Q90099691,0,0,1,,,Q726611|Q1931185,,
[CBB2012] 1HERMES X1.4 J104722.56+590111.7,[CBB2012] 1HERMES X1.4 J104722.56+590111.7,Q90099628,1,0,1,,,Q726611|Q1931185,,
2MASX J15100968+4359578,2MASX J15100968+4359578,Q89688778,2,0,1,,,Q726611|Q72802508|Q318,,
2MASX J15503286+2936013,2MASX J15503286+2936013,Q89518252,3,0,1,,,Q726611|Q72802508|Q318,,
2MASX J09403093+1332305,2MASX J09403093+1332305,Q89272585,4,0,1,,,Q726611|Q318,,
2MASX J13393608+2913128,2MASX J13393608+2913128,Q88850305,5,0,1,,,Q726611|Q72802508|Q318,,
2MASX J16155251+4409403,2MASX J16155251+4409403,Q88832511,6,0,1,,,Q726611|Q318,,
[BLS2007] EN2-6702,[BLS2007] EN2-6702,Q88829161,7,0,1,,,Q726611,,
[BLS2007] EN2-165571,[BLS2007] EN2-165571,Q88829150,8,0,1,,,Q726611,,
[BLS2007] EN2-167232,[BLS2007] EN2-167232,Q88829143,9,0,1,,,Q726611,,
[BLS2007] EN2-9202,[BLS2007] EN2-9202,Q88829133,10,0,1,,,Q726611,,
[BLS2007] EN2-172031,[BLS2007] EN2-172031,Q88829089,11,0,1,,,Q726611,,
[BLS2007] EN2-169884,[BLS2007] EN2-169884,Q88829040,12,0,1,,,Q726611,,
[BLS2007] EN2-166853,[BLS2007] EN2-166853,Q88829019,13,0,1,,,Q726611,,
2MASX J13085483+2932394,2MASX J13085483+2932394,Q88557611,14,0,1,,,Q726611|Q72802508|Q318,,
2MASX J14165538+2929124,2MASX J14165538+2929124,Q88547425,15,0,1,,,Q726611|Q72802508|Q318,,
2MASX J14174848+2903115,2MASX J14174848+2903115,Q88547407,16,0,1,,,Q726611|Q72802508|Q1931185|Q318,,
LEDA 1844747,LEDA 1844747,Q88547226,17,0,1,,,Q726611|Q72802508|Q318,,
2MASX J14210999+2910043,IRAS F14189+2923,Q80656864,18,0,1,infrared source,,Q67206691|Q1931185|Q726611|Q72802508|Q318,,
2MASX J14184181+2926225,2MASX J14184181+2926225,Q88547132,19,0,1,,,Q726611|Q72802508|Q318,,
