data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
The Art of Happiness,The Art of Happiness,Q2975386,0,0,1,1998 written work by Tenzin Gyatso,,Q47461344,,The Art of Happiness
The Art of Happiness,The Art of Happiness,Q17198466,0,0,1,2013 film by Alessandro Rak,Art of Happiness|L'arte della felicità,Q202866,,The Art of Happiness (film)
The Art of Happiness,The Art of Happiness,Q135520480,0,0,1,non-fiction work by Dimitris Papadimitriadis,,Q7725634,,
The Art of Happiness,The Art of Happiness,Q126719973,0,0,1,edition (en),,Q3331189,,
The Art of Happiness,"The art of happiness, Moriarty!",Q50406686,0,0,1,painting by Felix Baker,,Q3305213,,
The Art of Happiness,Tenzin Gyatso,Q17293,0,0,2,"14th Dalai Lama, the spiritual and temporal leader of Tibetans",Lhamo Dondrub|Jetsun Jamphel Ngawang Lobsang Yeshe Tenzin Gyatso|Dalai Lama|Tendzin Gyatso|Lhamo Dhondup|Lhamo Tönzhub|Gyalwa Rinpoche|Gongsachok,Q5,,14th Dalai Lama
The Art of Happiness,Dalai Lama,Q37349,0,0,2,Tibetan Buddhist spiritual teacher,Grand Lama,Q4164871|Q15904441,Q64711780|Q2285706|Q2285706,Dalai Lama
The Art of Happiness,Ngawang Lobzang Gyatso,Q25252,0,0,2,political and religious leader of Tibet (1617–1682),Great Fifth Dalai Lama|5th Dalai Lama|Lobsang Gyatso|Great Fifth|Great 5th Dalai Lama|Dalai Lama|Fifth Dalai Lama|Ngawang Lobdzang Ghiamdzo|Ngawang lobdzang ghiamdzo|Dalai Lama V,Q5,,5th Dalai Lama
The Art of Happiness,Dalai Lama,Q47512328,0,0,2,painting by Boris Chaliapin,,Q3305213,,
The Art of Happiness,Dalai Lama (song),Q13221656,0,0,2,song of Rammstein,Dalai Lama,Q105543609,,
The Art of Happiness,1st Dalai Lama,Q25260,0,0,2,Dalai Lama of Tibet (1391-1474),Gendun Drub|Kundun Drup|Dalai Lama 01|Dalai Lama 01 Gendun Drubpa,Q5,,1st Dalai Lama
The Art of Happiness,Gedun Gyatso,Q25259,0,0,2,Dalai Lama of Tibet (1476-1542),Gendun Gyatso Palzangpo|2nd Dalai Lama|Dalai Lama 02 Gendun Gyatso,Q5,,2nd Dalai Lama
The Art of Happiness,Dalai Lama 10 Tsultrim Gyatso,Q25244,0,0,2,10th Dalai Lama of Tibet (1816-1837),10th Dalai Lama,Q5,,10th Dalai Lama
The Art of Happiness,Dalai Lama 09 Lungtok Gyatso,Q25246,0,0,2,9th Dalai Lama (1805-1815),,Q5,,9th Dalai Lama
The Art of Happiness,Dalai Lama 11 Khedrub Gyatso,Q25242,0,0,2,11th Dalai Lama (1838–1856),,Q5,,11th Dalai Lama
