data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Fleurus,Fleurus,Q31583129,0,0,1,"municipality section town in Fleurus municipality, Belgium",,Q2785216|Q3957,,
Fleurus,Fleurus,Q314922,0,0,1,"city in Wallonia, Belgium",,Q493522|Q15273785,,Fleurus
Fleurus,Fleurus,Q105588163,0,0,1,French Navy's Wattignies-class torpedo cruiser,French cruiser Fleurus,Q4295041|Q11446,,French cruiser Fleurus
Fleurus,Fleurus,Q3073626,0,0,1,publisher,,Q8869,,
Fleurus,CEP Fleurus,Q15790729,0,0,1,Belgian basketball club,CEPF|Fleurus|E',Q847017,,CEP Fleurus
Fleurus,Fleurus railway station,Q2033211,0,0,1,railway station in Belgium,,Q55488,,
Fleurus,Rue de Fleurus - Fleurusstraat,Q85064970,0,0,1,"street in Ixelles, Belgium",Rue de Fleurus|Fleurusstraat,Q79007,,
Fleurus,Fleurus Island,Q5458896,0,0,1,island,,Q23442,,Fleurus Island
Fleurus,Fleurus 1794 Order of Battle,Q5458891,0,0,1,,,Q11167066,,Battle of Fleurus order of battle
Fleurus,Fleurusstraat,Q115810706,0,0,1,"street in Ghent, Belgium",,Q79007,,
Fleurus,Battle of Fleurus,Q678227,0,0,2,1794 battle during the War of the First Coalition,Battle of Fleurus (1794),Q178561,,Battle of Fleurus (1794)
Fleurus,Battle of Fleurus,Q1642290,0,0,2,"battle in the Thirty Years' War, 1622",,Q178561,,Battle of Fleurus (1622)
Fleurus,Battle of Fleurus,Q2888496,0,0,2,painting by Jean-Baptiste Mauzaisse,,Q3305213,,
Fleurus,Battle of Fleurus,Q1612417,0,0,2,battle in the Nine Years' War between France and the Grand Alliance (1690),,Q178561,,Battle of Fleurus (1690)
Fleurus,"Battle of Fleurus, 1 July 1690.",Q131628531,0,0,2,painting by Pierre-Denis Martin,,Q3305213,,
Fleurus,Battle of Fleurus,Q249721,0,0,2,Wikimedia disambiguation page,,Q4167410,,Battle of Fleurus
Baarle-Hertog,Baarle-Hertog,Q244959,1,0,1,"municipality in Antwerp, Belgium",,Q493522|Q933394|Q171441|Q902814,,Baarle-Hertog
Baarle-Hertog,Baarle-Hertog,Q21770147,1,0,1,"town in Baarle-Hertog municipality, Belgium",,Q532,,
Baarle-Hertog,coat of arms of Baarle-Hertog,Q18286850,1,0,1,,Baarle-Hertog coat of arms,Q41505469,,
Baarle-Hertog,Baarle Hertoglaan,Q18941120,1,0,1,"street in Eindhoven, the Netherlands",,Q79007,,
Baarle-Hertog,flag of Baarle-Hertog,Q120987533,1,0,1,,,Q21850100,,
Baarle-Hertog,English,Q1860,1,0,2,West Germanic language,English language|English (language),Q33742|Q1288568|Q34770|Q152559|Q399495|Q1097949|Q20162172,Q1346342|Q5329170,English language
Baarle-Hertog,Baarle,Q797512,1,0,2,village in Belgium and the Netherlands,,Q902814|Q67123843|Q532,,Baarle
